"rownum","Id","i32_8","i32_12","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","CompletionsRequired","AchievementsKey","bool_44","bool_45","bool_46","bool_47"
10,"Level70",1,10,"","","","","","","","","","",1,1,"",1,"",""
11,"Level80",1,11,"","","","","","","","","","",1,2,"",1,"",""
12,"Level90",1,12,"","","","","","","","","","",1,3,"",1,"",""
13,"Level100",1,13,"","","","","","","","","","",1,4,"",1,"",""
14,"Level70HC",1,14,"","","","","","","","","","",1,5,"",1,"",""
15,"Level80HC",1,15,"","","","","","","","","","",1,6,"",1,"",""
16,"Level90HC",1,16,"","","","","","","","","","",1,7,"",1,"",""
17,"Level100HC",1,17,"","","","","","","","","","",1,8,"",1,"",""
18,"Act1Normal_1",1,18,"","","","","","","","","","",1,9,"",1,"",""
19,"Act2Normal_1",1,19,"","","","","","","","","","",1,10,"",1,"",""
20,"Act3Normal_1",1,20,"","","","","","","","","","",1,11,"",1,"",""
21,"AllWaypoints",1,21,"","","","","","","","","","",1,12,1,1,"",""
22,"AllOptionalQuests",1,22,"","Normale","Normal","","","Normal","Обычный","","Normal","一般",1,13,1,1,"",""
23,"AllEnvironmentLore",1,23,"","Acte 1","Akt I","","","Ato 1","Акт 1","","Act 1","第一章",1,14,1,1,"",""
24,"ExtraAreas_1",1,24,"","","","","","","","","","",1,15,"",1,"",""
25,"ChooseAscendancyClass",1,25,"","","","","","","","","","",1,16,"",1,"",""
26,"FullyAscend_1",1,26,"","","","","","","","","","",1,17,"",1,"",""
27,"AscendAllClasses_1",1,27,"Sorceress","Magicienne","Zauberin","ソーサレス","소서리스","Feiticeira","Чародейка","Hechicera","Sorceress","女術者",1,18,"",1,"",""
28,"UniqueBossesAct1_1",1,28,"The Bloated Miller","Le Meunier boursouflé","Der Aufgedunsene Müller","腐乱した粉屋","불어 터진 방아꾼","O Triturador Inchado","Раздувшийся мельник","El molinero hinchado","เจ้าของโรงสีขึ้นอืด","浮腫米勒",1,19,"",1,"",""
29,"UniqueBossesAct1_2",1,29,"Beira of the Rotten Pack","Beira de la Meute pourrie","Beira des Verrotteten Rudels","腐りし群れのベイラ","썩은 무리의 베이라","Beira, da Matilha Podre","Бейра из Гнилой стаи","Beira, de la manada putrefacta","เบย์ร่าแห่งฝูงหมาป่าสามานย์","腐敗獸群．貝伊拉",1,19,"",1,"",""
30,"UniqueBossesAct1_3",1,30,"The Devourer","Le Dévoreur","Der Verschlinger","喰らう者","포식자","O Devorador","Пожиратель","El devorador","ตัวสวาปาม","吞噬獸",1,19,"",1,"",""
31,"UniqueBossesAct1_4",1,31,"The Brambleghast","Le Phantasmagoronce","Der Dornengeist","ブランブルガスト","가시나무망령","O Sarça-Espectral","Жуткий колючник","El horror de espinas","ภูติไม้หนาม","荊棘懼怪",1,19,"",1,"",""
32,"UniqueBossesAct1_5",1,32,"The Rust King","Le Roi de la Rouille","Der Rostkönig","錆の王","녹왕","O Rei da Ferrugem","Ржавый король","El rey del óxido","กษัตริย์สนิม","鐵鏽之王",1,19,"",1,"",""
33,"UniqueBossesAct1_6",1,33,"Ervig, the Rotten Druid","Ervig, le Druide pourri","Ervig, Verfaulter Druide","腐ったドルイド、エルヴィグ","썩은 드루이드 에르빅","Ervig, o Druida Pútrido","Эрвиг, сгнивший друид","Ervig, el Druida putrefacto","เออร์วิก ดรูอิดกายเปื่อย","腐敗的德魯伊．厄維格",1,19,"",1,"",""
34,"UniqueBossesAct1_7",1,34,"Draven, the Eternal Praetor","Draven, le Préteur éternel","Draven, der ewige Prätor","永遠なる法務官、ドレイヴン","영원의 집정관 드레이븐","Draven, o Pretório Eterno","Дрейвен, претор Вечных","Draven, el Pretor eterno","เดรเวน ข้าหลวงนิรันดร์","永恆政務官．德雷文",1,19,"",1,"",""
35,"UniqueBossesAct1_8",1,35,"Asinia, the Praetor's Consort","Asinia, la consort du Préteur","Asinia, die Gemahlin des Prätors","法務官の妻、アシニア","집정관의 배우자 아시니아","Asinia, a Consorte do Pretório","Азиния, супруга претора","Asinia, la Consorte del pretor","อะซีเนีย ภริยาข้าหลวง","政務官配偶．阿席妮雅",1,19,"",1,"",""
36,"UniqueBossesAct1_9",1,36,"Lachlann of Endless Lament","Lachlann, l'éternelle lamentation","Lachlann der endlosen Wehklage","終わりなき悲嘆のラクラン","끝없는 한탄의 라클란","Lachlann do Lamento Eterno","Лакланн вечностенающий","Lachlann del lamento eterno","ลาคแลนน์ ผู้ไม่สิ้นโศกา","無盡悲歌的拉克朗",1,19,"",1,"",""
37,"UniqueBossesAct1_10",1,37,"The Crowbell","Le Clochebeau","Die Glockenkrähe","クロウベル","까마귀종","O Sinorvo","Колокольщик","El cuervo repicador","โครวเบลล์","鴉鈴",1,19,"",1,"",""
38,"UniqueBossesAct1_11",1,38,"The King in the Mists","Le Roi dans les Brumes","Der König in den Nebeln","霧の王","연무 속의 왕","O Rei nas Brumas","Хозяин в Туманах","El rey de las nieblas","ราชันในม่านหมอก","迷霧之王",1,19,"",1,"",""
39,"UniqueBossesAct1_12",1,39,"The Executioner","Le Bourreau","Der Henker","処刑人","사형 집행자","O Carrasco","Палач","El verdugo","เพชฌฆาต","劊子手",1,19,"",1,"",""
40,"UniqueBossesAct1_13",1,40,"Candlemass, the Living Rite","Moultecierge, le Rituel vivant","Lichtmess, lebendiger Ritus","生ける儀式、キャンドルマス","살아있는 의례 양초덩어리","Candelário, o Ritual Vivo","Сретение, оживший ритуал","Cirio, el Ritual viviente","แคนเดิลแมส พิธีกรรมเดินดิน","存活儀式．燭光",1,19,"",1,"",""
41,"UniqueBossesAct1_14",1,41,"Count Geonor","Comte Géonor","Graf Geonor","ジオノール伯爵","지오너 백작","Conde Geonor","Граф Жеонор","El conde Geonor","เคานต์จีโอนอร์","吉恩諾伯爵",1,19,"",1,"",""
42,"UniqueBossesAct2_1",1,42,"Rathbreaker","Brise-muraille","Erdbrecher","ラスブレイカー","토성파괴자","Esmagafúria","Бурголом","Matajefes","แรธเบรกเกอร์","撕裂者",1,20,"",1,"",""
43,"UniqueBossesAct2_2",1,43,"Rudja, Dread Engineer","Rudja, Ingénieur de la terreur","Besiegt Rudja, die Schreckensingenieurin.","恐怖の技師、ルジャ","공포의 기술자 룻자","Rudja, Engenheira do Pavor","Руджа, инженер ужаса","Rudja, Ingeniera del terror","รุดจา วิศวกรเขย่าขวัญ","恐懼工程師．魯賈",1,20,"",1,"",""
44,"UniqueBossesAct2_3",1,44,"Balbala, the Traitor","Balbala, la traîtresse","Balbala, die Verräterin","裏切り者、バルバラ","배반자 발바라","Balbala, a Traidora","Балбала Изменница","Balbala, la Traidora","บัลบาล่า ผู้ทรยศ","叛徒芭芭拉",1,20,"",1,"",""
45,"UniqueBossesAct2_4",1,45,"Kabala, Constrictor Queen","Kabala, Reine de la constriction","Kabala, Würgekönigin","大蛇の女王、カバラ","위압자 여왕 카발라","Kabala, Rainha Constritora ","Царица угнетателей Кабала","Kabala, Reina constrictora","คาบาล่า ราชินีงูยักษ์","異界．干擾女王．卡巴拉",1,20,"",1,"",""
46,"UniqueBossesAct2_5",1,46,"Azarian, the Forsaken Son","Azarian, le Fils abandonné","Azarian, der verlassene Sohn","見捨てられた息子、アザリアン","버림받은 아들 아자리안","Azarian, o Filho Esquecido","Азариан, Брошенный сын","Azarian, el Hijo abandonado","แอซาเรียน บุตรผู้ถูกทอดทิ้ง","遺忘之子．阿薩里恩",1,20,"",1,"",""
47,"UniqueBossesAct2_6",1,47,"Ekbab, Ancient Steed","Ekbab, monture antique","Ekbab, das uralte Ross","古代の戦象、エクバブ","고대의 군상 에크밥","Ekbab, Corcel Ancestral","Экбаб, древний скакун","Ekbab, Montura ancestral","เอ็คบาบ ไอยราโบราณ","遠古之蹄．埃克巴勃",1,20,"",1,"",""
48,"UniqueBossesAct2_7",1,48,"Iktab, the Deathlord","Iktab, le Seigneur de la mort","Iktab, der Todesfürst","死の王、イクタブ","죽음군주 이크탑","Iktab, o Senhor da Morte","Иктаб, Повелитель смерти","Iktab, el Señor de la muerte","อิคทาบ จ้าวมรณะ","死亡領主．伊克塔",1,20,"",1,"",""
49,"UniqueBossesAct2_8",1,49,"Zalmarath, the Colossus","Zalmarath, le Colosse","Zalmarath, der Koloss","巨像、ザルマラス","거상 잘마라트","Zalmarath, o Colosso","Залмарат, Колосс","Zalmarath, el Coloso","ซัลมาแรธ หุ่นมหึมา","巨像．札爾瑪拉斯",1,20,"",1,"",""
50,"UniqueBossesAct2_9",1,50,"Tor Gul, the Defiler","Tor Gul, le Profanateur","Tor Gul, der Schänder","冒涜者、トール・ガル","모독자 토르 굴","Tor Gul, o Profanador","Тор Гул, Осквернитель","Tor Gul, el Profanador","ทอร์ กัล ผู้เสื่อมทราม","玷汙者托爾．谷爾",1,20,"",1,"",""
51,"UniqueBossesAct2_10",1,51,"Jamanra, the Abomination","Jamanra, l'Abomination","Jamanra, die Abscheulichkeit","アボミネーション、ジャマンラ","흉물 자만라","Jamanra, a Abominação","Яманра, Чудовище","Jamanra, la Abominación","จามันรา อสุรกายคืนร่าง","憎惡者．賈嫚拉",1,20,"",1,"",""
52,"UniqueBossesAct3_1",1,52,"Rootdredge","Fangeracine","Wurzelholz","ルートドレッジ","뿌리준설자","Dragaraiz","Древокорень","Dregaraíces","รูทเดรดจ์","根淤",1,21,"",1,"",""
53,"UniqueBossesAct3_2",1,53,"Mighty Silverfist","Poing d'argent, le Puissant","Mächtige Silberfaust","マイティ・シルバーフィスト","강력한 은빛주먹","Poderoso Punho de Prata","Могучий Седой кулак","Puñoplateado poderoso","ซิลเวอร์ฟิสต์ผู้ยิ่งใหญ่","神威銀拳",1,21,"",1,"",""
54,"UniqueBossesAct3_3",1,54,"Senishra, the Snake Priestess","Senishra, la Prêtresse des serpents","Senishra, die Schlangenpriesterin","蛇の巫女、セニシュラ","뱀 여사제 세니쉬라","Senishra, a Sacerdotisa da Serpente","Сенишра, змеиная жрица","Senishra, la Sacerdotisa serpiente","เซนิชร่า นักบวชงูหญิง","蛇之女祭司．瑟妮希菈",1,21,"",1,"",""
55,"UniqueBossesAct3_4",1,55,"Ignagduk, the Bog Witch","Ignagduk, la Sorcière de la Tourbière","Ignagduk, die Moorhexe","沼地の魔女、イグナグドゥク","습지대 마녀 이그나그두크","Ignagduk, a Bruxa do Pântano","Игнагдук, Ведьма из трясин","Ignagduk, la Bruja del pantano","อิ๊กนักดุ๊ก แม่มดพรุ","沼澤女巫．尹娜杜克",1,21,"",1,"",""
56,"UniqueBossesAct3_5",1,56,"Xyclucian, the Chimera","Xyclucian, la Chimère","Xyclucian, die Chimäre","キメラ、ザイクルシアン","키메라 자이클루시언","Derrote Xyclucian, a Quimera","Шйклусиан, химера","Xyclucian, la Quimera","ไซคลูเซียน ไคมีรา","龍蜥．欽路錫安",1,21,"",1,"",""
57,"UniqueBossesAct3_6",1,57,"Blackjaw, the Remnant","Mâchenoire, le Vestige","Schwarzkiefer, das Überbleibsel","亡霊、黒き顎","잔류하는 검은턱","Mandíbula Negra, o Remanescente","Чёрнозев, реликт","Quijada negra, el Remanente","แบล็คจอว์ ผู้เหลือรอด","遺忘的黑顎",1,21,"",1,"",""
58,"UniqueBossesAct3_7",1,58,"Zicoatl, Warden of the Core","Zicoatl, Gardien du Noyau","Zicoatl, Wächter des Kerns","コアの番人、ジコアトル","핵의 간수 지코아틀","Zicoatl, Guardião do Núcleo","Зикоатль, Страж ядра","Zicoatl, Guardián del núcleo","ซีคัวทัล ผู้พิทักษ์แกนวิญญาณ","核心守衛．茲科亞特",1,21,"",1,"",""
59,"UniqueBossesAct3_8",1,59,"Krog, Carver Beastmaster","Krog, Belluaire des Burineurs","Krog, Bestienmeister der Schnitzer","カーヴァーのビーストマスター、クロッグ","도륙자 야수의 대가 크로그","Krog, Carver Mestre das Feras","Крог, зверолов Вырезателей","Krog, Maestro de bestias de los despedazadores","คร็อก ผู้คุมสัตว์คาร์เวอร์","卡佛馴獸大師．克羅格",1,21,"",1,"",""
60,"UniqueBossesAct3_9",1,60,"Mektul, the Forgemaster","Mektul, le Maître de la forge","Mektul, der Schmiedemeister","鍛造場主、メクトゥル","제련 장인 메크툴","Mektul, o Mestre da Forja","Мектул, главный кузнец","Mektul, el Maestro de la forja","เมคทุล ผู้คุมโรงหลอม","冶煉師範．梅克圖",1,21,"",1,"",""
61,"UniqueBossesAct3_10",1,61,"The Queen of Filth","La Reine des immondices","Die Königin des Unflats","汚物の女王","오물의 여왕","Rainha da Imundície","Царица мерзости","La reina de la inmundicia","ราชินีแห่งความโสมม","污垢女王",1,21,"",1,"",""
62,"UniqueBossesAct3_11",1,62,"Viper Napuatzi","Vipère Napuatzi","Viper Napuatzi","ヴァイパー・ナプアツィ","바이퍼 나푸앗지","Víbora Napuatzi","Гадюка Напуаци","Napuatzi la Víbora","อสรพิษนาปวดซี","邪魔毒蛇納普阿茲",1,21,"",1,"",""
63,"UniqueBossesAct3_12",1,63,"Doryani's Triumph","Triomphe de Doryani","Doryanis Triumph","ドリヤニの偉業","도리아니의 승리","Triunfo de Doryani","Триумф Дориани","Triunfo de Doryani","เครื่องฉลองชัยของดอร์ยานี","多里亞尼的凱旋",1,21,"",1,"",""
64,"RefundPassive_1",1,64,"","","","","","","","","","",1,22,"",1,"",""
65,"IdentifyItems_1",1,65,"","","","","","","","","","",1,23,"",1,"",""
66,"AllocateKeystone",1,66,"","","","","","","","","","",1,24,"",1,"",""
67,"UpgradeCraftingBench_1",1,67,"","","","","","","","","","",1,25,"",1,"",""
68,"UseCraftingBench_1",1,68,"","","","","","","","","","",1,26,"",1,"",""
69,"WeaponSetPassives_1",1,69,"","","","","","","","","","",1,27,"",1,"",""
70,"AllPowerups_1",1,70,"","","","","","","","","","",1,28,"",1,"",""
71,"ReadAllBooks_1",1,71,"","","","","","","","","","",1,29,"",1,"",""
72,"QualityEquipment_1",1,72,"","","","","","","","","","",1,30,"",1,"",""
73,"EquipJewels_1",1,73,"","","","","","","","","","",1,31,"",1,"",""
74,"5SocketSkillGem_1",1,74,"","","","","","","","","","",1,32,"",1,"",""
75,"Level30SkillGem_1",1,75,"","","","","","","","","","",1,33,"",1,"",""
76,"30SupportGems_1",1,76,"","","","","","","","","","",1,34,"",1,"",""
77,"CorruptEnchant_1",1,77,"","","","","","","","","","",1,35,"",1,"",""
78,"SoulCores_1",1,78,"","","","","","","","","","",1,36,"",1,"",""
79,"Attribute300_1",1,79,"","","","","","","","","","",1,37,"",1,"",""
80,"ResistAllElements75%",1,80,"","","","","","","","","","",1,38,"",1,"",""
81,"MillionGold_1",1,81,"","","","","","","","","","",1,39,"",1,"",""
82,"RareChests_1",6,82,"","","","","","","","","","",50,40,"",1,"",""
83,"UniquesEquipped_1",1,88,"","","","","","","","","","",1,41,"",1,"",""
84,"UniqueVendorGamble_1",1,89,"","","","","","","","","","",1,42,"",1,"",""
85,"ChanceUnique",1,90,"","","","","","","","","","",1,43,"",1,"",""
86,"UniqueFromNormalTwilightStrand",1,91,"","","","","","","","","","",1,44,"",1,"",""
87,"IdentifyTieredRarity_1",1,92,"","","","","","","","","","",1,45,"",1,"",""
88,"OpenAndEnterAMap",1,93,"","","","","","","","","","",1,46,"",1,"",""
89,"AtlasPinnacleBoss_1",1,94,"","","","","","","","","","",1,47,"",1,"",""
90,"BreachBoss_1",1,95,"","","","","","","","","","",1,48,"",1,"",""
91,"RitualBoss_1",1,96,"","","","","","","","","","",1,49,"",1,"",""
92,"ExpeditionBoss_1",1,97,"","","","","","","","","","",1,50,"",1,"",""
93,"DeliriumSimulacrum_1",1,98,"","","","","","","","","","",1,51,"",1,"",""
94,"UltimatumBoss_1",1,99,"","","","","","","","","","",1,52,"",1,"",""
95,"SanctumBoss_1",1,100,"","","","","","","","","","",1,53,"",1,"",""
96,"MapTiers_1",1,101,"Tier 1","Palier 1","Level 1","ティア1","1등급","Tier 1","1 уровень","Grado 1","ระดับ 1","階級 1",1,54,"",1,"",""
97,"AtlasPassivePoints_1",1,102,"","","","","","","","","","",1,55,"",1,"",""
98,"AscendAllClasses_2",1,103,"Warrior","Guerrier","Krieger","ウォーリアー","워리어","Guerreiro","Воин","Guerrero","Warrior","戰士",1,18,"",1,"",""
99,"AscendAllClasses_3",1,104,"Ranger","Rôdeuse","Waldläuferin","レンジャー","레인저","Patrulheira","Охотница","Exploradora","Ranger","遊俠",1,18,"",1,"",""
100,"AscendAllClasses_4",1,105,"Witch","Sorcière","Hexe","ウィッチ","위치","Bruxa","Ведьма","Bruja","Witch","女巫",1,18,"",1,"",""
101,"AscendAllClasses_5",1,106,"Mercenary","Mercenaire","Söldner","マーセナリー","머서너리","Mercenário","Наёмник","Mercenario","Mercenary","傭兵",1,18,"",1,"",""
102,"AscendAllClasses_6",1,107,"Monk","Moine","Mönch","モンク","몽크","Monge","Монах","Monje","Monk","僧侶",1,18,"",1,"",""
103,"MapTiers_2",1,108,"Tier 2","Palier 2","Level 2","ティア2","2등급","Tier 2","2 уровень","Grado 2","ระดับ 2","階級 2",1,54,"",1,"",""
104,"MapTiers_3",1,109,"Tier 3","Palier 3","Level 3","ティア3","3등급","Tier 3","3 уровень","Grado 3","ระดับ 3","階級 3",1,54,"",1,"",""
105,"MapTiers_4",1,110,"Tier 4","Palier 4","Level 4","ティア4","4등급","Tier 4","4 уровень","Grado 4","ระดับ 4","階級 4",1,54,"",1,"",""
106,"MapTiers_5",1,111,"Tier 5","Palier 5","Level 5","ティア5","5등급","Tier 5","5 уровень","Grado 5","ระดับ 5","階級 5",1,54,"",1,"",""
107,"MapTiers_6",1,112,"Tier 6","Palier 6","Level 6","ティア6","6등급","Tier 6","6 уровень","Grado 6","ระดับ 6","階級 6",1,54,"",1,"",""
108,"MapTiers_7",1,113,"Tier 7","Palier 7","Level 7","ティア7","7등급","Tier 7","7 уровень","Grado 7","ระดับ 7","階級 7",1,54,"",1,"",""
109,"MapTiers_8",1,114,"Tier 8","Palier 8","Level 8","ティア8","8등급","Tier 8","8 уровень","Grado 8","ระดับ 8","階級 8",1,54,"",1,"",""
110,"MapTiers_9",1,115,"Tier 9","Palier 9","Level 9","ティア9","9등급","Tier 9","9 уровень","Grado 9","ระดับ 9","階級 9",1,54,"",1,"",""
111,"MapTiers_10",1,116,"Tier 10","Palier 10","Level 10","ティア10","10등급","Tier 10","10 уровень","Grado 10","ระดับ 10","階級 10",1,54,"",1,"",""
112,"MapTiers_11",1,117,"Tier 11","Palier 11","Level 11","ティア11","11등급","Tier 11","11 уровень","Grado 11","ระดับ 11","階級 11",1,54,"",1,"",""
113,"MapTiers_12",1,118,"Tier 12","Palier 12","Level 12","ティア12","12등급","Tier 12","12 уровень","Grado 12","ระดับ 12","階級 12",1,54,"",1,"",""
114,"MapTiers_13",1,119,"Tier 13","Palier 13","Level 13","ティア13","13등급","Tier 13","13 уровень","Grado 13","ระดับ 13","階級 13",1,54,"",1,"",""
115,"MapTiers_14",1,120,"Tier 14","Palier 14","Level 14","ティア14","14등급","Tier 14","14 уровень","Grado 14","ระดับ 14","階級 14",1,54,"",1,"",""
116,"MapTiers_15",1,121,"Tier 15","Palier 15","Level 15","ティア15","15등급","Tier 15","15 уровень","Grado 15","ระดับ 15","階級 15",1,54,"",1,"",""
117,"MapTiers_16",1,122,"Tier 16","Palier 16","Level 16","ティア16","16등급","Tier 16","16 уровень","Grado 16","ระดับ 16","階級 16",1,54,"",1,"",""
118,"030MillerReward",1,0,"","","","","","","","","","",1,56,"",1,"",""
119,"030GrimTangleReward",1,1,"","","","","","","","","","",1,57,"",1,"",""
120,"030IronCountReward",1,2,"","","","","","","","","","",1,58,"",1,"",""
