"rownum","SoulCore","StatCategory","Stats","StatsValues","BondedStats","BondedStatsValues"
60,20,1,[99],[30],[436],[24]
61,20,2,[132],[18],[8947],[8]
62,20,3,[436],[21],"[117,121]","[10,10]"
63,21,1,[101],[8],[16793],[12]
64,21,2,[124],[16],[22973],[16]
65,21,3,[124],[12],"[117,121]","[10,10]"
66,22,1,[101],[16],[16793],[12]
67,22,2,[124],[20],[22973],[16]
68,22,3,[124],[15],"[117,121]","[10,10]"
69,23,1,[101],[24],[16793],[12]
70,23,2,[124],[24],[22973],[16]
71,23,3,[124],[18],"[117,121]","[10,10]"
72,24,1,[18534],[20],[23455],[40]
73,24,2,[19118],[10],[23436],[30]
74,24,3,[18519],[40],"[117,121]","[10,10]"
75,25,1,[18534],[25],[23455],[40]
76,25,2,[19118],[12],[23436],[30]
77,25,3,[18519],[60],"[117,121]","[10,10]"
78,26,1,[18534],[30],[23455],[40]
79,26,2,[19118],[14],[23436],[30]
80,26,3,[18519],[80],"[117,121]","[10,10]"
81,27,1,[557],[50],[6645],[100]
82,27,2,[542],[16],[95],[25]
83,27,3,[10717],[8],"[117,121]","[10,10]"
84,28,1,[557],[80],[6645],[100]
85,28,2,[542],[20],[95],[25]
86,28,3,[10717],[10],"[117,121]","[10,10]"
87,29,1,[557],[110],[6645],[100]
88,29,2,[542],[24],[95],[25]
89,29,3,[10717],[12],"[117,121]","[10,10]"
90,30,1,[5128],[15],[],[]
91,30,3,[144],[11],[],[]
92,31,1,[2754],[15],[],[]
93,31,9,[20016],[20],[],[]
94,32,1,[3197],[2],[],[]
95,32,4,[118],[3],[],[]
96,33,1,[5973],[2],[],[]
97,33,9,[122],[3],[],[]
98,34,1,[5699],[30],[],[]
99,34,3,[135],[5],[],[]
100,35,1,[17988],[30],[],[]
101,35,8,[947],[1],[],[]
102,36,1,[18181],[30],[],[]
103,36,9,[948],[1],[],[]
104,37,1,[17989],[30],[],[]
105,37,5,[949],[1],[],[]
106,38,1,[19484],[15],[],[]
107,38,8,[19794],[10],[],[]
108,39,1,[3954],[15],[],[]
109,39,5,[9903],[25],[],[]
110,40,1,[71],[5],[],[]
111,40,5,[18436],[-15],[],[]
112,41,1,[383],[5],[],[]
113,41,4,[97],[20],[],[]
114,41,11,[97],[20],[],[]
115,42,1,[20589],[20],[],[]
116,42,3,[20589],[20],[],[]
117,43,1,[20590],[20],[],[]
118,43,3,[20590],[20],[],[]
119,44,1,[20591],[20],[],[]
120,44,3,[20591],[20],[],[]
121,45,1,[21865],[10],[474],[20]
122,45,3,[21862],[10],[2075],[10]
123,46,1,[19198],[10],[23798],[25]
124,46,3,"[20152,20153]","[1,100]",[20169],[15]
125,47,1,[20025],[8],[23333],[15]
126,47,3,[5975],[8],[9903],[15]
127,48,1,[21866],[10],[20416],[20]
128,48,3,[3448],[-10],[201],[10]
129,49,0,[560],[6],[],[]
130,49,1,[],[],"[30,31,45,46]","[6,10,6,10]"
131,49,2,[],[],[110],[100]
132,49,3,[],[],"[117,121]","[10,10]"
133,50,0,[560],[8],[],[]
134,50,1,[],[],"[30,31,45,46]","[6,10,6,10]"
135,50,2,[],[],[110],[100]
136,50,3,[],[],"[117,121]","[10,10]"
137,51,0,[560],[10],[],[]
138,51,1,[],[],"[30,31,45,46]","[6,10,6,10]"
139,51,2,[],[],[110],[100]
140,51,3,[],[],"[117,121]","[10,10]"
141,52,0,[566],[6],[],[]
142,52,1,[],[],"[30,31,59,60]","[6,10,1,16]"
143,52,2,[],[],[113],[80]
144,52,3,[],[],"[117,121]","[10,10]"
145,53,0,[566],[8],[],[]
146,53,1,[],[],"[30,31,59,60]","[6,10,1,16]"
147,53,2,[],[],[113],[80]
148,53,3,[],[],"[117,121]","[10,10]"
149,54,0,[566],[10],[],[]
150,54,1,[],[],"[30,31,59,60]","[6,10,1,16]"
151,54,2,[],[],[113],[80]
152,54,3,[],[],"[117,121]","[10,10]"
153,55,0,[563],[6],[],[]
154,55,1,[],[],"[30,31,52,53]","[6,10,5,8]"
155,55,2,[],[],[127],[50]
156,55,3,[],[],"[117,121]","[10,10]"
157,56,0,[563],[8],[],[]
158,56,1,[],[],"[30,31,52,53]","[6,10,5,8]"
159,56,2,[],[],[127],[50]
160,56,3,[],[],"[117,121]","[10,10]"
161,57,0,[563],[10],[],[]
162,57,1,[],[],"[30,31,52,53]","[6,10,5,8]"
163,57,2,[],[],[127],[50]
164,57,3,[],[],"[117,121]","[10,10]"
165,58,1,"[32,33]","[3,4]",[],[]
166,58,3,"[20146,20147]","[6,9]",[],[]
167,59,1,"[32,33]","[6,9]",[],[]
168,59,3,"[20146,20147]","[14,21]",[],[]
169,60,1,"[32,33]","[9,12]",[],[]
170,60,3,"[20146,20147]","[31,52]",[],[]
171,61,8,[1382],[5],[20841],[10]
172,61,10,[17980],[8],[24119],[10]
173,62,9,[153],[12],[21112],[20]
174,62,10,[17969],[30],[24114],[40]
175,63,7,[3227],[10],[23421],[15]
176,63,10,[17981],[8],[24119],[10]
177,64,8,[84],[15],[20016],[20]
178,64,10,[17983],[14],[24118],[25]
179,65,8,[9535],[10],[24839],[-15]
180,65,10,[17984],[14],[24118],[25]
181,66,9,[20145],[50],[20901],[40]
182,66,10,"[17976,17977]","[1,40]",[24407],[40]
183,67,8,[19311],[1],[3436],[15]
184,67,10,[17986],[480],[24122],[25]
185,68,9,[420],[8],[23332],[10]
186,68,10,"[17970,17971]","[12,18]",[24407],[40]
187,69,11,[19332],[10],[23880],[10]
188,69,10,[17985],[8],[24555],[20]
189,70,4,[147],[5],[19794],[5]
190,70,10,[16206],[10],[20884],[30]
191,71,4,[14512],[2],[590],[4]
192,71,10,[18391],[30],[9325],[20]
193,72,2,[9547],[1],[23420],[30]
194,73,1,[22685],[5],[23222],[8]
195,73,2,[22685],[5],[23809],[12]
196,74,1,[17867],[13],[17863],[8]
197,74,2,[17867],[13],[17863],[8]
198,75,5,[24722],[8],[17696],[3]
199,76,5,[171],[5],[3227],[10]
200,77,4,[1274],[-50],[1382],[8]
201,78,9,[151],[2],[135],[10]
202,79,9,[20416],[25],[5944],[15]
203,80,1,[19428],[50],[22963],[1]
204,81,4,[132],[50],[133],[20]
205,82,8,[9538],[20],[19165],[15]
206,83,8,[5944],[30],[2598],[15]
207,84,8,[212],[8],[22974],[20]
208,85,6,[168],[1],[169],[20]
209,86,2,[19205],[25],[24139],[1]
210,87,8,[11226],[20],[144],[7]
211,88,1,"[47,48]","[23,34]",[947],[2]
212,89,1,"[54,55]","[19,28]",[948],[2]
213,90,1,"[61,62]","[1,60]",[949],[2]
214,91,8,"[30,31]","[5,12]",[24844],[2]
215,92,4,[1910],[15],[5122],[8]
216,93,8,[70],[8],[18436],[-15]
217,94,1,"[18834,3251]","[1,-25]",[2107],[13]
218,95,8,[11301],[20],[22811],[20]
219,96,9,[22971],[12],[23796],[12]
220,97,9,[3417],[6],[2055],[20]
221,98,4,[16030],[1],[24815],[1]
222,99,9,[22754],[8],[18176],[8]
223,100,9,[22693],[40],[],[]
224,101,5,[22694],[40],[],[]
225,102,8,[18930],[40],[],[]
226,103,4,[133],[30],[],[]
227,103,7,[133],[30],[],[]
228,104,9,"[211,3227]","[8,8]",[],[]
229,105,9,[7009],[4],[],[]
230,106,5,"[2009,3251]","[15,15]",[],[]
231,107,1,[22681],[50],[],[]
232,107,2,[22681],[50],[],[]
233,108,1,[22679],[50],[],[]
234,108,2,[22679],[50],[],[]
235,109,1,[22680],[50],[],[]
236,109,2,[22680],[50],[],[]
237,110,5,[19196],[12],[],[]
238,110,9,[8947],[8],[],[]
239,111,9,[4244],[-5],[],[]
240,112,6,[169],[20],[],[]
241,113,1,"[68,69]","[19,29]",[],[]
242,114,2,[22615],[40],[],[]
243,114,10,[22615],[40],[],[]
244,115,9,[23648],[1],[],[]
245,115,4,[23649],[2],[],[]
246,115,5,[23650],[1],[],[]
247,116,4,[436],[90],[],[]
248,116,8,[22972],[25],[],[]
249,116,5,[794],[10],[],[]
250,117,9,[23651],[1],[],[]
251,117,8,[9369],[40],[],[]
252,117,5,[23652],[15],[],[]
253,118,9,[23653],[1],[],[]
254,118,8,[23654],[1],[],[]
255,118,4,[17696],[3],[],[]
256,119,9,[24469],[25],[],[]
257,119,4,[18935],[10],[],[]
258,119,5,"[24470,22482]","[300,25]",[],[]
259,120,4,[24471],[50],[],[]
260,120,8,[24473],[1],[],[]
261,120,5,[24514],[10],[],[]
262,121,9,[24584],[1],[],[]
263,121,8,[24585],[1],[],[]
264,121,5,[24586],[1],[],[]
265,122,9,[24731],[15],[],[]
266,122,8,[24693],[10],[],[]
267,122,4,[24694],[50],[],[]
