"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
47,"Wildfire","Wildfire","Incendie","Wildfeuer","発火伝染","도깨비불","Fogo Incontrolável","Пожар","Fuego desatado","Wildfire","燐火"
48,"FrostNexus","Frost Nexus","Nexus gelé","Frostnexus","フロストネクサス","서리 연결부","Nexus Congelado","Очаг холода","Núcleo de escarcha","Frost Nexus","冰霜核心"
49,"ShockConduction","Shock Conduction","Électrocution propagée","Schockleitung","感電伝染","감전 전도","Condutividade Elétrica","Проводник шока","Conducción de electrocución","Shock Conduction","感電傳導"
50,"SpellEcho","Spell Echo","Écho de sortilèges","Zauberecho","スペルエコー","주문 메아리","Eco Mágico","Эхо магии","Eco de hechizo","Spell Echo","法術迴響"
51,"Unleash","Unleash","Déchaînement","Entfesseln","アンリーシュ","촉발","Desencadeamento","Высвобождение","Descarga","Unleash","釋放"
52,"FieryDeath","Fiery Death","Mort ardente","Feuriger Tod","発火死亡時爆発","불타는 죽음","Morte Ardente","Пламенная смерть","Muerte ardiente","Fiery Death","火熱死寂"
53,"FrozenVortex","Frozen Vortex","Vortex gelé","Frostwirbel","フローズンヴォーテックス","얼어붙은 소용돌이","Vórtice Congelante","Морозная пурга","Vórtice congelado","Frozen Vortex","凍結漩渦"
54,"ShockSiphon","Shock Siphon","Siphon d'énergie","Schockrückführung","感電吸収","충격 착취","Sifão Elétrico","Вбирание шока","Robo electrocutante","Shock Siphon","電擊虹吸"
55,"FrostFire","Frostfire","Givre ardent","Frostfeuer","フロストファイヤー","서리화염","Fogofrio","Из холода в жар","Fuego helado","Frostfire","霜火"
56,"StormFire","Stormfire","Feu conducteur","Sturmfeuer","ストームファイヤー","태풍불길","Tempestade de Fogo","Пламя бури","Fuego eléctrico","Stormfire","烈風暴"
57,"BitingFrost","Biting Frost","Froid glacial","Beißender Frost","バイティングフロスト","살을 에는 서리","Gelo Cortante","Кусачий мороз","Escarcha cortante","Biting Frost","刺骨冰霜"
58,"InevitableCritical","Inevitable Critical","Critique inévitable","Unausweichliche kritische Treffer","クリティカル蓄積","피할 수 없는 치명타","Crítico Inevitável","Неизбежное критическое попадание","Crítico inevitable","Inevitable Critical","必定暴擊"
59,"Fortress","Fortress","Forteresse","Festung","円形陣地","요새","Fortaleza","Крепость","Fortaleza","Fortress","堡壘"
60,"Ambush","Ambush","Embuscade","Hinterhalt","アンブッシュ","매복","Emboscada","Засада","Emboscada","Ambush","伏擊"
61,"ElementalDischarge","Elemental Discharge","Décharge élémentaire","Elementarentladung","エレメンタルディチャージ","원소 방출","Descarga Elemental","Разряд стихий","Descarga elemental","Elemental Discharge","元素解放"
62,"ManaFlare","Mana Flare","Flamboiement de Mana","Mana-Fackel","マナフレア","마나 섬광","Sinalizador de Mana","Вспышка маны","Destello de maná","Mana Flare","魔力閃焰"
63,"Hourglass","Hourglass","Sablier","Sanduhr","砂時計","모래시계","Ampulheta","Песочные часы","Reloj de arena","Hourglass","沙漏"
64,"Bounty","Bounty","Prime","Kopfgeld","バウンティ","하사품","Recompensa","Щедрость","Premio","Bounty","寶物"
65,"LifeLeech","Life Leech","Drain de vie","Lebensraub","ライフリーチ","생명력 흡수","Roubo de Vida","Похищение здоровья","Absorción de vida","Life Leech","生命偷取"
66,"HeavySwing","Heavy Swing","Coup massif","Großer Schwung","ヘビースイング","묵직한 휘두르기","Golpe Poderoso","Тяжёлый замах","Giro pesado","Heavy Swing","沉重揮擊"
67,"Bloodlust","Bloodlust","Soif de sang","Blutlust","ブラッドラスト","유혈 충동","Sede de Sangue","Кровожадность","Sed de sangre","Bloodlust","嗜血"
68,"MeatShield","Meat Shield","Souffre-douleur","Fleischschild","ミートシールド","육탄 방어","Bucha de Canhão","Живой щит","Escudo de carne","Meat Shield","肉盾"
69,"BreakEndurance","Break Endurance","Briser et Endurer","Widerstandsbrecher","破壊時エンデュランス","인내 파괴","Anular Tolerância","Разрушительная выносливость","Break Endurance","Break Endurance","打破忍耐"
70,"Fork","Fork","Scindement","Gabelung","分岐","갈래","Ramificação","Разветвление","Bifurcar","Fork","分岔"
71,"HexBloom","Hex Bloom","Floraison calamiteuse","Verhexte Blüte","呪術の華","사술의 꽃","Exuberância Mágica","Расцвет порчи","Proliferación maléfica","Hex Bloom","咒術綻放"
72,"ManaLeech","Mana Leech","Drain de mana","Manaraub","マナリーチ","마나 흡수","Roubo de Mana","Похищение маны","Absorción de maná","Mana Leech","魔力偷取"
73,"ElementalFocus","Elemental Focus","Focalisation élémentaire","Elementarfokus","元素ダメージ集中","원소 집중","Foco Elemental","Концентрация стихий","Concentración elemental","Elemental Focus","元素專注"
74,"ElementalArmy","Elemental Army","Armée élémentaire","Elementararmee","元素の軍勢","원소의 군단","Exército Elemental","Стихийное войско","Ejército elemental","Elemental Army","元素軍隊"
75,"MinionInstability","Minion Instability","Créatures instables","Instabile Kreaturen","ミニオンインスタビリティ","소환수 불안정","Instabilidade de Lacaio","Нестабильность приспешников","Inestabilidad de los esbirros","Minion Instability","復仇之靈"
76,"EternalFlame","Eternal Flame","Flamme éternelle","Ewige Flamme","永遠の炎","영원한 화염","Chama Eterna","Вечное пламя","Llama eterna","Eternal Flame","永恆烈焰"
77,"LastingShock","Lasting Shock","Électrocution durable","Anhaltender Schock","感電持続","이어지는 충격","Eletrificação Duradoura","Длительный шок","Electrocución duradera","Lasting Shock","持續感電"
78,"DeepFreeze","Deep Freeze","Congélation","Tieffrieren","凍結持続","결빙","Congelamento Total","Глубокая заморозка","Ultracongelación","Deep Freeze","深度冰凍"
79,"InfernalLegion","Infernal Legion","Légion infernale","Legion des Höllenfeuers","インファーナルレギオン","지옥불 군단","Legião Infernal","Пылающий легион","Legión infernal","Infernal Legion","煉獄軍團"
80,"FeedingFrenzy","Feeding Frenzy","Frénésie dévorante","Fressrausch","狂乱の餌付け","격분 주입","Frenesi Voraz","Голодное остервенение","Frenesí voraz","Feeding Frenzy","豢養狂熱"
81,"ArcaneSurge","Arcane Surge","Éruption arcanique","Arkane Woge","アーケインサージ","비전 쇄도","Fúria Arcana","Колдовской выброс","Sobrecarga arcana","Arcane Surge","秘能波動"
82,"CorpseConservation","Corpse Conservation","Conservation de cadavres","Leichenkonservierung","死体温存","시체 보존","Conservação de Cadáver","Сохранение трупов","Conservación de cadáveres","Corpse Conservation","屍體保存"
83,"HeightenedCurse","Heightened Curse","Malédiction intensifiée","Fluchmaximierer","呪いブースト","고조된 저주","Maldição Intensificada","Возвышенное проклятие","Maldición mejorada","Heightened Curse","增強詛咒"
84,"FireAttunement","Fire Attunement","Harmonie avec le feu","Feuereinstimmung","ファイヤーアチューンメント","화염 조율","Sintonia com o Fogo","Власть огня","Adaptación al fuego","Fire Attunement","火焰同調"
85,"ColdAttunement","Cold Attunement","Harmonie avec le  froid","Kälteeinstimmung","コールドアチューンメント","냉기 조율","Sintonia com o Frio","Власть холода","Adaptación al hielo","Cold Attunement","冰冷同調"
86,"LightningAttunement","Lightning Attunement","Harmonie avec la foudre","Blitzeinstimmung","ライトニングアチューンメント","번개 조율","Sintonia com a Eletricidade","Власть молний","Adaptación al rayo","Lightning Attunement","閃電同調"
87,"ChaosAttunement","Chaos Attunement","Harmonie avec le  chaos","Chaoseinstimmung","カオスアチューンメント","카오스 조율","Sintonia com o Caos","Власть хаоса","Adaptación al caos","Chaos Attunement","混沌同調"
88,"Efficiency","Efficiency","Efficacité","Effizienz","コスト軽減","효율","Eficiência","Эффективность","Eficiencia","Efficiency","效率"
89,"LifeDrain","Life Drain","Récupération de Vie","Lebensentzug","ライフドレイン","생명력 고갈","Drenagem de Vida","Вытягивание жизни","Drenaje de vida","Life Drain","生命吸取"
90,"SoulDrain","Soul Drain","Récupération de Mana","Seelenentzug","ソウルドレイン","영혼 고갈","Dreno Anímico","Вытягивание души","Drenaje de alma","Soul Drain","靈魂吸取"
91,"RapidAttacks","Rapid Attacks","Attaques rapides","Schnelle Angriffe","アタックスピード増加","빠른 공격","Ataques Rápidos","Быстрые атаки","Ataques rápidos","Rapid Attacks","疾速攻擊"
92,"HeightenedAccuracy","Heightened Accuracy","Précision accrue","Erhöhte Genauigkeit","命中ブースト","고조된 정확도","Precisão Elevada","Повышенная меткость","Precisión mejorada","Heightened Accuracy","強化命中"
93,"RapidCasting","Rapid Casting","Incantation rapide","Schnelles Zaubern","キャストスピード増加","빠른 시전","Conjuração Rápida","Быстрое сотворение","Lanzamiento rápido","Rapid Casting","疾速施法"
94,"DecayingHex","Decaying Hex","Dégénérescence","Verfallender Fluch","腐敗の呪術","쇠퇴의 사술","Feitiço Decadente","Разлагающая порча","Maleficio de decaimiento","Decaying Hex","腐朽咒術"
95,"FocussedCurse","Focussed Curse","Malédiction focalisée","Fokussierter Fluch","呪い迅速","집중된 저주","Maldição Concentrada","Наведённое проклятие","Maldición concentrada","Focused Curse","專注詛咒"
96,"RitualisticCurse","Ritualistic Curse","Malédiction rituelle","Ritueller Fluch","儀式的呪い","의식의 저주","Maldição Ritualística","Ритуальное проклятие","Maldición ritualística","Ritualistic Curse","儀式詛咒"
97,"MinionPact","Minion Pact","Pacte des créatures","Kreaturenpakt","ミニオンパクト","소환수 맹약","Pacto de Lacaio","Договор служения","Pacto de esbirros","Minion Pact","召喚物契約"
98,"LastGasp","Last Gasp","Dernier soupir","Letzter Atemzug","死に際\r\n","마지막 헐떡임","Último Suspiro","Последний вздох","Último aliento","Last Gasp","臨終恐息"
99,"ControlledDestruction","Controlled Destruction","Destruction maîtrisée","Kontrollierte Zerstörung","破壊制御","제어된 파괴","Destruição Controlada","Контролируемое разрушение","Destrucción controlada","Controlled Destruction","精準破壞"
100,"ImpendingDoom","Impending Doom","Fatalité imminente","Drohendes Unheil","インペンディングドゥーム","임박한 멸망","Destruição Iminente","Обречённость","Perdición inminente","Impending Doom","末日厄運"
101,"IceBite","Ice Bite","Morsure du froid","Erfrierung","アイスバイト","얼음 쐐기","Mordida Congelante","Укус льда","Mordida de hielo","Ice Bite","霜咬"
102,"Supercritical","Supercritical","Supercritique","Superkritisch","スーパークリティカル\r\n","초치명타","Supercrítico","Сверхкритический удар","Supercrítico","Supercritical","超暴擊"
103,"Innervate","Innervate","Innervation","Aufladen","電気刺激\r\n","자극","Avivamento","Возбуждение","Irrigar","Innervate","亢奮"
104,"Immolate","Immolate","Immolation","Feueropferung","火炙り","번제","Imolação","Жертвенность","Inmolar","Immolate","犧牲"
105,"ChargeProfusion","Charge Profusion","Charges abondantes","Ladungsüberfluss","チャージ追加付与","넘치는 충전","Profusão de Cargas","Обилие зарядов","Profusión de cargas","Charge Profusion","充能滿盈"
106,"EscalatingPoison","Escalating Poison","Surempoisonnement","Eskalierendes Gift","急性毒","격화되는 중독","Veneno Ascendente","Нарастающий яд","Veneno intensificado","Escalating Poison","遞增之毒"
107,"Premeditation","Premeditation","Préméditation","Vorbedacht","強化ブースト","모의","Premeditação","Предумышленность","Premeditación","Premeditation","預謀"
108,"MurderousIntent","Murderous Intent","Intention meurtrière","Mörderische Absichten","殺意","의도적인 살인","Desígnio Assassino","Умышленное убийство","Intención asesina","Murderous Intent","殺人意圖"
109,"RagingCry","Raging Cry","Cri enrageant","Rauschender Schrei","憤怒のクライ","격노하는 함성","Clamor Furioso","Свирепый клич","Grito enfurecedor","Raging Cry","憤怒戰吼"
110,"ArmourDemolisher","Armour Demolisher","Démolisseur d'armure","Rüstungszerstörer","アーマー破壊ブースト","방어구 철거자","Demolir Armadura","Разбиватель брони","Demolición de armadura","Armour Demolisher","護甲破壞者"
111,"RageForged","Rageforged","Rage exaltante","Rauschgeschmiedet","レイジフォージド","격노벼림","Forjado pela Fúria","Разъярение","Forjado con furia","Rageforged","盛怒鍛造"
112,"Momentum","Momentum","Momentum","Momentum","モーメンタム","기세","Dinamismo","Разбег","Impulso","Momentum","氣勢"
113,"ArmourExplosion","Armour Explosion","Explosion d'armure","Rüstungsexplosion","アーマー爆発","방어구 폭발","Explosão de Armadura","Взрыв брони","Explosión de armadura","Armour Explosion","護甲爆破"
114,"StompingGround","Stomping Ground","Piétinement","Bodenstampfer","地響き","짓밟는 지대","Chão Batido","Топотун","Pisotón","Stomping Ground","重踏地面"
115,"Crescendo","Crescendo","Crescendo","Crescendo","クレッシェンド","크레센도","Crescente","Крещендо","Crescendo","Crescendo","逐漸增強"
116,"FireExposure","Fire Exposure","Exposition au feu","Feuer-Anfälligkeit","火の曝露","화염 노출","Exposição ao Fogo","Восприимчивость к огню","Exposición al fuego","Fire Exposure","火焰曝曬"
117,"LightningExposure","Lightning Exposure","Exposition à la foudre","Blitz-Anfälligkeit","雷の曝露","번개 노출","Exposição à Eletricidade","Восприимчивость к молнии","Exposición al rayo","Lightning Exposure","閃電曝曬"
118,"ColdExposure","Cold Exposure","Exposition au froid","Kälte-Anfälligkeit","冷気の曝露","냉기 노출","Exposição ao Frio","Восприимчивость к холоду","Exposición al hielo","Cold Exposure","冰冷曝曬"
119,"DeadlyPoison","Deadly Poison","Poison mortel","Tödliches Gift","致死毒\r\n","치명적인 중독","Veneno Mortal","Смертельный яд","Veneno mortífero\r\n","Deadly Poison","致命毒藥"
120,"DeepCuts","Deep Cuts","Entailles profondes","Tiefe Schnitte","重出血","깊은 상처","Cortes Profundos","Глубокие порезы","Cortes profundos","Deep Cuts","深度切割"
121,"CorruptingCry","Corrupting Cry","Cri corrupteur","Verderbender Schrei","コラプティングクライ","타락시키는 비명","Clamor Corruptivo","Оскверняющий клич","Grito corruptor","Corrupting Cry","汙染戰吼"
122,"WindowOfOpportunity","Window of Opportunity","Intervalle stratégique","Günstige Gelegenheit","好機の幅","기회의 창","Janela de Oportunidade","Окно возможностей","Ventana de oportunidad","Window of Opportunity","機會之窗"
123,"CloseCombat","Close Combat","Combat rapproché","Gefecht","近距離戦闘","근접 전투","Combate Corpo a Corpo","Бой вплотную","Combate cercano","Close Combat","近身戰"
124,"Mastery","Mastery","Maîtrise","Meisterschaft","マスタリー","숙련","Maestria","Мастерство","Maestría","Mastery","專精"
125,"ComboFinisher","Combo Finisher","Enchaînement destructeur","Kombo-Finisher","コンボフィニッシャー","연계 마무리","Finalizador de Combo","Финальный удар","Finalizador de combo","Combo Finisher","連擊終結"
126,"AilithLineage","Ailith's Chimes","Carillons d'Ailith","Ailiths Glockenspiel","エイリスの鐘","아일리트의 종","Carrilhão de Ailith","Мелодия Алилит","Campanas de Ailith","Ailith's Chimes","艾里絲的管鐘"
127,"Encumberance","Encumbrance","Encombrement","Belastung","減速ブースト","가탈","Sobrecarga","Обуза","Carga","Encumbrance","負擔輔助"
128,"Precision","Precision","Justesse","Präzision","プレシジョン","정밀함","Precisão","Точность","Exactitud","Precision","精準"
129,"Clarity","Clarity","Clarté","Klarheit","クラリティ","명상","Clareza","Ясность ума","Claridad","Clarity","清晰"
130,"Vitality","Vitality","Vitalité","Vitalität","バイタリティ","활력","Vitalidade","Живучесть","Vitalidad","Vitality","活力"
131,"Herbalism","Herbalism","Phytothérapie","Kräuterkunde","薬草学","약초학","Herbalismo","Травничество","Herbología","Herbalism","藥草學"
132,"Cannibalism","Cannibalism","Cannibalisme","Kannibalismus","カニバリズム","식인","Canibalismo","Каннибализм","Canibalismo","Cannibalism","食人"
133,"Fusilade","Fusillade","Fusillade","Pfeilsalve","一斉射撃\r\n","일제 사격","Fuzilamento","Обстрел","Ráfaga","Fusillade","聚靈之杖"
134,"SwiftAffliction","Swift Affliction","Affliction fulgurante","Schneller Verfall","スウィフトアフリクション\r\n","고통 격화","Aflição Rápida","Стремительный недуг","Aflicción veloz","Swift Affliction","極速苦痛"
135,"IntenseAgony","Intense Agony","Agonie intense","Intensive Qualen","激痛\r\n","격렬한 고통","Agonia Intensa","Интенсивная агония","Agonía intensa","Intense Agony","劇烈苦痛"
136,"DrainAilments","Drain Ailments","Drain d'altérations","Beeinträchtigungen entziehen","状態異常吸収\r\n","상태 이상 흡수","Drenar Afecções","Поглощение состояний","Drenaje de estados alterados","Drain Ailments","汲取異常狀態"
137,"ChaoticFreeze","Chaotic Freeze","Gel chaotique","Chaotisches Einfrieren","混沌凍結","혼돈의 동결","Congelamento Caótico","Хаотичная заморозка","Congelamiento caótico","Chaotic Freeze","混沌冰凍"
138,"Hinder","Hinder","Entrave","Lähmen","阻害","이동 방해","Tolhimento","Скованность","Entumecer","Hinder","阻礙"
139,"Soulbreaker","Soulbreaker","Brise-âme","Seelenbrecher","ソウルブレーカー","영혼파괴자","Destruidor de Almas","Разрушитель душ","Rompealmas","Soulbreaker","破魂者"
140,"Rupture","Rupture","Rupture","Aufreißen","裂傷","파열","Colapso","Разрывание","Ruptura","Rupture","殘破"
141,"CullingStrike","Culling Strike","Coup de grâce","Todesstoß","カリングストライク","마무리 타격","Golpe Aniquilador","Добивание","Golpe de gracia","Culling Strike","撲殺"
142,"SpellCascade","Spell Cascade","Cascade de sorts","Zauberkaskade","スペルカスケード","연속 주문","Saraivada Mágica","Каскад чар","Cascada de hechizos","Spell Cascade","秘能爆發"
143,"ArmourBreak","Armour Break","Brise-armure","Rüstungsbrecher","アーマー破壊","방어구 파괴","Quebrar Armadura","Разрушение брони","Rompearmaduras","Armour Break","護甲破壞"
144,"Longshot","Longshot","Tir à longue distance","Fernschuss","ロングショット","원거리 사격","Disparo Longo","Дальний выстрел","Tiro largo","Longshot","遠程射擊"
145,"Discombobulate","Discombobulate","Désorientation","Verwirren","眩暈蓄積","혼란 유발","Desorientação","Оцепенение","Desorientación","Discombobulate","迷惑"
146,"BreakPosture","Break Posture","Brise posture","Haltung brechen","アーマー破壊時眩暈","자세 파괴","Anular Postura","Вышибание","Romper postura","Break Posture","破壞姿態"
147,"DazingCry","Dazing Cry","Cri hébétant","Benommenmachender Schrei","眩暈のクライ","혼미의 함성","Clamor Desorientador","Оцепеняющий клич","Grito desorientador","Dazing Cry","目眩戰吼"
148,"CursedGround","Cursed Ground","Cursed Ground","Verfluchter Boden","呪い領域","저주받은 지대","Chão Amaldiçoado","Проклятая земля","Suelo maldito","Cursed Ground","詛咒地面"
149,"ElementalArmament","Elemental Armament","Armement élémentaire","Elementarbewaffnung","元素武装","원소 병기","Armamento Elemental","Стихийное оружие","Armamento elemental","Elemental Armament","元素武裝"
150,"CooldownRecovery","Cooldown Recovery","Récupération des Temps de recharge","Abklingzeit","クールダウン解消","재사용 대기시간 회복","Velocidade de Recarga","Ускорение перезарядки","Recuperación del enfriamiento","Cooldown Recovery","冷卻時間恢復"
151,"Font","Font","Fontaine","Fontäne","泉","샘","Fonte","Купель","Fuente","Font","泉湧"
152,"HolyDescent","Holy Descent","Descente sacrée","Heiliger Abstieg","聖なる着地","상서로운 비탈","Descida Sagrada","Священное сошествие","Descenso sagrado","Holy Descent","神聖血統"
153,"BurningInscription","Burning Inscription","Inscription brûlante","Brennende Inschrift","燃焼の刻印","용암 명문","Inscrição Ardente","Пылающее начертание","Inscripción ardiente","Burning Inscription","爆燃銘文"
154,"DoubleBarrel","Double Barrel","Double canon","Doppellauf","ダブルバレル","더블배럴","Cano Duplo","Два ствола","Cañón doble","Double Barrel","雙管"
155,"AutoReload","Auto Reload","Rechargement automatique","Automatisches Nachladen","自動装填\r\n","자동 재장전","Recarregamento Automático","Автоматическая перезарядка","Autorrecarga","Auto Reload","自動裝填"
156,"AmmoConservation","Ammo Conservation","Conservation de munitions","Munitionsverwaltung","弾薬温存","탄약 보존","Preservar Munição","Сохранение боеприпаса","Conservación de munición","Ammo Conservation","彈藥保存"
157,"NimbleReload","Nimble Reload","Rechargement rapide","Flinkes Nachladen","高速装填","가뿐한 재장전","Recarregamento Ágil","Ловкая перезарядка","Recarga veloz","Nimble Reload","靈活裝填"
158,"FreshClip","Fresh Clip","Chargeur flambant neuf","Neues Magazin","新弾倉","새 탄창","Pente Novo","Сменный магазин","Peine recargado","Fresh Clip","全新彈夾"
