"rownum","Id","bool_8","bool_9","Message","Message (French)","Message (German)","Message (Japanese)","Message (Korean)","Message (Portuguese)","Message (Russian)","Message (Spanish)","Message (Thai)","Message (Traditional Chinese)","string_18"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","i32_26","bool_30","bool_31","i32_32"
28,"LeagueEvent",1,1,"League Event","Événement de ligue en cours","Liga-Event","リーグイベント","리그 이벤트","Evento da Liga","Событие","Evento de liga","กิจกรรมลีก","聯盟活動","","","","","","","","","","",30,1,1,0
29,"MarketNotifications",1,1,"Market Notifications","Notifications du marché","Markt-Benachrichtigungen","マーケット通知","상점 알림","Notificações do Mercado","Уведомления рынка","Notificaciones de mercado","การแจ้งเตือนตลาด","市集通知","Displays notification when you receive offers, when they are accepted or when they are rejected.","Affiche une notification lorsque vous recevez une offre, lorsqu'elle est acceptée ou lorsqu'elle est rejetée.","Zeigt einen Hinweis, wenn du Angebote erhältst und diese angenommen oder abgelehnt wurden.","オファーを受け取ったとき、承認されたとき、拒否されたときにディスプレイ通知が表示されます","매물이 승인되었거나 거절당했을 때 알림 표시","Exibi uma notificação quando você receber ofertas, quando elas forem aceitas ou quando forem rejeitadas.","Показывает уведомление при получении предложений, когда они приняты или отклонены.","Muestra una notificación cuando recibes ofertas, cuando son aceptadas y cuando son rechazadas.","การแจ้งเตือนจะปรากฏขึ้นเมื่อคุณได้รับข้อเสนอ และเมื่อมีการยอมรับหรือปฏิเสธข้อเสนอต่างๆ","當你收到報價、同意或拒絕時，收到市集通知訊息。",31,1,1,0
30,"BestiaryRecipeNotification",1,"","Bestiary Recipe","Vous apprenez une recette du Bestiaire","Bestiary-Rezept","ベスティアリーレシピ","야수 도감 조합법","Receita do Bestiário","Рецепты Бестиария","Receta de Bestiario","สูตรสมุดรวมสัตว์","獻祭獵譜","","","","","","","","","","",32,1,"",0
31,"RewardNotifications",1,1,"Reward Notifications","Vous obtenez une récompense","<size:30>{Benachrichtigungen zu Belohnungen}","報酬通知","보상 알림","Notificações de Recompensas","Уведомления о наградах","<size:30>{Notificaciones de recompensas}","การแจ้งเตือนของรางวัล","獎勵提示","Displays challenge reward notifications.","Affiche une notification lorsque vous obtenez une récompense de défi.","Zeigt an, wenn du eine Herausforderungsbelohnung freigespielt hast.","チャレンジ報酬通知を表示します","도전과제 보상 알림을 표시합니다.","Mostra as notificações das recompensas recebidas.","Показывает уведомление при получении награды за выполнений испытаний.","Muestra las notificaciones de las recompensas de los desafíos.","แสดงการแจ้งเตือนเมื่อได้รับของรางวัลจากภารกิจ\r\nท้าทาย","顯示挑戰獎勵提示。",33,1,1,0
32,"LeagueInGame",1,"","Harvest In-game Notifications","Notifs de Harvest en jeu","Benachrichtigungen zu Harvest","ハーベストゲーム内通知","수확 게임 내 알림","Notificações do Jogo da Harvest","Внутриигровые уведомления Жатвы","Notificaciones de Harvest dentro del juego","การแจ้งเตือนฮาร์เวสต์ภายในเกม","遊戲內收割提示","Displays Harvest related in-game notifications","Affiche les notifications de Harvest en jeu.","Zeigt Benachrichtigungen zu Harvest an.","ハーベストに関するゲーム内通知を表示します","수확에 관련된 게임 내 알림 표시","Mostra as notificações relaciondas à Harvest no jogo","Показыает внутриигровые уведомления Жатвы","Muestra las notificaciones relacionadas con Harvest de dentro del juego","แสดงการแจ้งเตือนเกี่ยวกับฮาร์เวสต์ภายในเกม","顯示遊戲內收割相關提示",34,1,"",0
33,"ConsoleServerMessages","",1,"Server Messages","Messages du serveur","Servernachrichten","サーバーメッセージ","서버 메시지","Mensagens do Servidor","Серверные сообщения","Mensajes del servidor","ข้อความจากเซิร์ฟเวอร์","伺服器訊息","Show server messages as popups as well as in the chatbox","Affiche les messages du serveur sous forme de pop-up ainsi que dans la fenêtre de tchat.","Zeigt Servernachrichten sowohl als Pop-Ups als auch im Chat an.","チャットボックスと、ポップアップにてサーバーメッセージを表示します","서버 메시지를 채팅창과 팝업으로 표시합니다","Mostrar mensagens do servidor como pop-ups assim como no chat","Дублирует всплывающие серверные сообщения в окне чата ","Muestra los mensajes del servidor como ventanas emergentes y en la ventana del chat","แสดงข้อความจากเซิร์ฟเวอร์ทั้งในหน้าต่างแยกและในหน้าต่างแชท","顯示伺服器訊息跳窗，同時顯示於對話窗",35,1,1,2
34,"ConsolePlayerLevelUp","",1,"Level Up","Gain de niveau","Hochstufen","レベルアップ","레벨 업","Subiu de Nível","Повышение уровня","Has subido de nivel","เพิ่มเลเวล","升級","","","","","","","","","","",36,1,1,2
35,"MobilePushFriendInvites","","","Recieve Offline Friend Requests","Recevoir les demandes d'ami (hors ligne)","Offline Freundesanfragen erhalten","オフラインフレンドリクエストを受信","오프라인 친구 요청 받기","Receber Solicitações de Amizade Offline","Получать запросы дружбы вне игры","Recibir solicitudes de amistad fuera de línea","รับคำขอเป็นเพื่อนเมื่อออฟไลน์","收到離線好友請求","","","","","","","","","","",36,"","",3
36,"MobilePushPartyInvites","","","Recieve Offline Party Invites","Recevoir les demandes de groupe (hors ligne)","Offline Gruppeneinladungen erhalten","オフラインパーティ招待を受信","오프라인 파티 초대 받기","Receber Convites de Grupo Offline","Получать приглашения в группу вне игры","Recibir invitaciones de grupo fuera de línea","รับคำเชิญเข้าร่วมปาร์ตี้เมื่อออฟไลน์","收到離線隊伍邀請","","","","","","","","","","",37,"","",3
37,"MobilePushGuildInvites","","","Recieve Offline Guild Invites","Recevoir les demandes de guilde (hors ligne)","Offline Gildeneinladungen erhalten","オフラインギルド招待を受信","오프라인 길드 초대 받기","Receber Convites de Guilda Offline","Получать приглашения в гильдию вне игры","Recibir invitaciones de hermandad fuera de línea","รับคำเชิญเข้าร่วมกิลด์เมื่อออฟไลน์","收到離線公會邀請","","","","","","","","","","",38,"","",3
38,"MobilePushTradeRequests","","","Recieve Offline Trade Requests","Recevoir les demandes d'échange (hors ligne)","Offline Handelsanfragen erhalten","オフライントレードリクエストを受信","오르파인 거래 요청 받기","Receber Solicitações de Troca Offline","Получать запросы на торговлю вне игры","Recibir solicitudes de comercio fuera de línea","รับคำขอการแลกเปลี่ยนเมื่อออฟไลน์","收到離線交易請求","","","","","","","","","","",39,"","",3
39,"MobilePushEventUpdates","","","Recieve Offline Event Updates","Recevoir les mises à jours d'Événement (hors ligne)","Offline Event-Updates erhalten","オフライントイベントアップデートを受信","오르파인 이벤트 업데이트 받기","Receber Atualizações de Eventos Offline","Получать уведомления о событиях вне игры","Recibir actualizaciones de eventos fuera de línea","รับการอัพเดทกิจกรรมเมื่อออฟไลน์","收到離線活動更新","","","","","","","","","","",40,"","",3
