"rownum","GrantedEffect","Stats","StatsValuesPermille","AddTypes","AddMinionTypes","ApplyToStatSets","AltStats","AltStatValuesPermille","AltApplyToStatSets"
251,122,[17376],[200],[],[],[1],[17816],[200],[1]
252,143,[18039],[100],[],[],[1],[21263],[1000],[]
253,7890,[22344],[750],[],[],[],[25311],[1000],[]
254,430,[22227],[1250],[],[],[0],[627],[1000],[]
255,144,[17376],[200],[],[],[],[18392],[1000],[]
256,406,[20068],[200],[],[],[1],[25298],[750],[0]
257,346,[641],[1000],[],[],[],[13815],[1500],[]
258,426,[17796],[1500],[],[],[],[19337],[1000],[]
259,123,[22223],[1000],[],[],[0],[1230],[500],[0]
260,131,[21328],[500],[],[],[],[1908],[1000],[0]
261,350,[17376],[200],[],[],"[1,2]",[18392],[1000],[]
262,7950,[19079],[750],[],[],[],[],[],[]
263,7952,[19079],[750],[],[],[],[],[],[]
264,349,[21631],[1000],[],[],[],[22866],[1000],[]
265,7864,[347],[75000],[],[],[],[],[],[]
266,121,[21641],[1000],[],[],[1],[5682],[2000],[]
267,440,[2073],[1000],[],[],[],[],[],[]
268,290,[642],[1000],[],[],[],[13815],[1000],[]
269,435,[13815],[500],[],[],[],[10859],[1000],[]
270,8016,[19908],[1000],[],[],[],[],[],[]
271,429,[347],[80000],[],[],[],[210],[2500],[]
272,422,[70],[1000],[],[],[],[11176],[1000],[]
273,442,[347],[25000],[],[],[],[3224],[1500],[]
274,7910,[20959],[250],[],[],[],[625],[1000],[]
275,427,[21605],[2500],[],[],[],[],[],[]
276,428,[452],[1],[],[],[],[625],[1000],[]
277,425,[22226],[1500],[],[],"[0,1]",[21421],[1000],[]
278,353,[22225],[1500],[],[],[],[18553],[2000],[]
279,431,[21075],[50],[],[],"[1,2]",[18039],[100],[0]
280,434,[17376],[100],[],[],[],[11176],[1000],[0]
281,424,[22224],[750],[],[],[0],[1230],[500],[]
282,8012,[642],[1000],[],[],[],[],[],[]
283,437,[17376],[150],[],[],[],[],[],[]
284,7888,[19079],[750],[],[],[],[],[],[]
285,423,[18720],[1000],[],[],[],[23094],[1000],[]
286,408,[17376],[500],[],[],[],[26676],[-100000],[]
287,444,[22312],[500],[],[],[],[],[],[]
288,455,[17376],[100],[],[],[],[],[],[]
289,456,[22470],[100],[],[],[],[],[],[]
290,457,[17376],[100],[],[],[],[],[],[]
291,460,[16365],[1000],[],[],[],[],[],[]
292,7866,[17376],[250],[],[],[0],[],[],[]
293,149,[22608],[200],[],[],[],[],[],[]
294,411,[347],[50000],[],[],[],[],[],[]
295,414,[347],[50000],[],[],[],[13815],[2000],[0]
296,412,[452],[0],[],[],[],[13815],[2000],[]
297,447,[18076],[2500],[],[],[],[625],[1000],[]
298,7867,"[642,641]","[1000,1000]",[],[],[],[],[],[]
299,8032,[23021],[1500],[],[],[],[],[],[]
300,7872,[1732],[500],[],[],[0],[],[],[]
301,7874,[1732],[500],[],[],[0],[],[],[]
302,7876,[1732],[500],[],[],[0],[],[],[]
303,7878,[1732],[500],[],[],[0],[],[],[]
304,7880,[17376],[250],[],[],[],[],[],[]
305,8037,[17376],[150],[],[],[],[25312],[100000],[0]
306,468,[3068],[1000],[],[],[],[877],[50],[]
307,474,[18782],[1000],[],[],[0],[25313],[500],[0]
308,7881,[20723],[1000],[],[],[],[],[],[]
309,389,[3224],[500],[],[],[],[],[],[]
310,7882,[17376],[200],[],[],[],[],[],[]
311,467,[3224],[500],[],[],[0],[21418],[1000],[]
312,480,[19086],[500],[],[],[0],[9883],[100],[0]
313,197,[17376],[200],[],[],[],[],[],[]
314,1118,[19079],[750],[],[],[],[],[],[]
315,8038,[3224],[500],[],[],[],[22860],[100],[]
316,471,[22666],[250],[],[],[],[],[],[]
317,7772,[19967],[500],[],[],[],[],[],[]
318,8033,[22845],[150],[],[],[],[],[],[]
319,479,"[23405,23406,23407]","[100,100,100]",[],[],[],[20985],[1500],[]
320,537,[17376],[100],[],[],[],[],[],[]
321,8053,[3079],[15000],[],[],[],[],[],[]
322,126,[213],[500],[],[],[],[],[],[]
323,211,[347],[50000],[],[],[],[],[],[]
324,47,[7932],[500],[],[],[],[],[],[]
325,7718,[19889],[100],[],[],[],[],[],[]
326,8049,[167],[100],[],[],[1],[],[],[]
327,334,[18308],[5000],[],[],[],[],[],[]
328,436,[17376],[150],[],[],[],[],[],[]
329,490,[24142],[1500],[],[],[],[13818],[750],[]
330,7776,[22352],[1000],[],[],[],[],[],[]
331,7775,[24656],[1000],[],[],[],[],[],[]
332,498,[24619],[750],[],[],[],[],[],[]
333,233,[19191],[100],[],[],[],[],[],[]
334,451,[70],[1000],[],[],[],[],[],[]
335,235,[24337],[500],[],[],[],[],[],[]
336,228,[17376],[100],[],[],[],[12091],[1000],[]
337,449,[22997],[1000],[],[],[0],[22453],[200],[0]
338,247,[19670],[2000],[],[],[],[3731],[1000],[]
339,459,[21423],[500],[],[],[],[584],[1000],[]
340,493,[452],[1],[],[],[],[3720],[200],[]
341,453,"[24146,24416]","[50,750]",[],[],[],[],[],[]
342,443,[22507],[250],[],[],[],[625],[1000],[]
343,462,[24515],[2500],[],[],[],[18720],[1000],[]
344,246,"[24238,24239]","[500,250]",[],[],[],[3731],[1000],[]
345,452,[19191],[100],[],[],[],[1908],[1000],[]
346,466,[24516],[1000],[],[],[],[15514],[1000],[]
347,454,[17379],[200],[],[],[],[1101],[2000],[]
348,445,[18056],[250],[],[],[],[18392],[1000],[]
349,117,[871],[200000],[],[],[],[],[],[]
350,118,[452],[0],[],[],[],[4436],[500],[]
351,248,[22505],[5000],[],[],[],[],[],[]
352,249,[12352],[1500],[],[],[],[3224],[2000],[]
353,245,[24183],[50000],[],[],[],[3731],[1000],[]
354,132,[347],[100000],[],[],[],[13862],[100],[]
355,463,[17376],[250],[],[],[],[12115],[1500],[]
356,465,[22537],[500],[],[],[],[3224],[2000],[]
357,448,[24183],[50000],[],[],[],[3731],[1000],[]
358,494,[24225],[500],[],[],[],[23016],[2500],[]
359,229,[22461],[50],[],[],[],[10859],[1000],[]
360,489,[6390],[250],[],[],[],[17376],[300],[]
361,491,[24153],[250],[],[],[],[24144],[50],[]
362,507,[24279],[250],[],[],[],[12091],[1000],[]
363,508,[19079],[1000],[],[],[],[13815],[2000],[]
364,8103,[18039],[100],[],[],[],[],[],[]
365,31,[347],[100000],[],[],[],[],[],[]
366,230,[641],[1000],[],[],[],[],[],[]
367,7865,[17376],[100],[],[],[],[],[],[]
368,483,[13815],[1000],[],[],[],[],[],[]
369,97,[424],[1000],[],[],[0],[],[],[]
370,96,[22560],[1000],[],[],[],[],[],[]
371,497,[424],[1000],[],[],[],[],[],[]
372,528,[25337],[100],[],[],[],[],[],[]
373,95,[641],[1000],[],[],[],[],[],[]
374,8162,[25273],[100],[],[],[],[],[],[]
375,526,[641],[1000],[],[],[],[],[],[]
376,523,[5870],[100],[],[],[],[],[],[]
377,482,[347],[80000],[],[],[],[],[],[]
378,7584,[22825],[1000],[],[],[],[],[],[]
379,7585,[23024],[1000],[],[],[],[],[],[]
380,7586,[22302],[500],[],[],[],[],[],[]
381,7587,"[18068,9988]","[2000,2000]",[],[],[],[],[],[]
382,7588,[24670],[600],[],[],[],[],[],[]
383,7589,[22621],[100],[],[],[0],[],[],[]
384,7590,[22658],[500],[],[],[],[],[],[]
385,7591,[22657],[100],[],[],[],[],[],[]
386,7593,[19604],[1000],[],[],[],[],[],[]
387,7594,[347],[100000],[],[],"[1,2]",[],[],[]
388,7595,[17376],[200],[],[],[],[],[],[]
389,7596,[18039],[200],[],[],[],[],[],[]
390,7597,[1230],[200],[],[],[],[],[],[]
391,177,[1128],[100],[],[],[],[],[],[]
392,8160,[17376],[100],[],[],[],[],[],[]
393,8161,[25383],[200],[],[],[],[],[],[]
394,535,[26022],[250],[],[],[],[347],[100000],[]
395,536,[26190],[2500],[],[],[],[23688],[1000],[]
396,547,[18445],[1000],[],[],[1],[17376],[200],[]
397,546,[19663],[500],[],[],[],[2828],[1000],[]
398,543,[26233],[500],[],[],[],[26234],[250],[]
399,534,[17376],[500],[],[],[0],[2828],[1000],[1]
400,542,[18076],[2000],[],[],[],[18052],[1000],[]
401,1043,[3224],[1000],[],[],[],[],[],[]
402,8319,[623],[500],[],[],[],[],[],[]
403,549,[6111],[50],[],[],[],[18632],[500],[]
404,539,[26326],[10000],[],[],[],[3224],[2000],[]
405,557,"[26341,26342]","[-5000,-5000]",[],[],[],[17376],[300],[]
406,540,[26207],[1000],[],[],[],[347],[50000],[]
407,7868,[23155],[500],[],[],[],[],[],[]
408,7870,[17379],[-200],[],[],[0],[],[],[]
409,7871,[18076],[1500],[],[],[],[],[],[]
410,559,[22854],[1000],[],[],[],[212],[1000],[]
411,533,[26024],[500],[],[],[],[17376],[500],[]
412,561,[19670],[2000],[],[],[],[26464],[500],[]
413,555,[17376],[200],[],[],[],[347],[50000],[]
414,556,[17376],[200],[],[],[],[],[],[]
415,515,[26510],[250],[],[],[],[],[],[]
416,552,[347],[100000],[],[],[],[26580],[100],[]
417,548,[3224],[1000],[],[],[],[26266],[250],[]
418,553,"[26375,26379]","[250,250]",[],[],[],[26378],[-2500],[]
419,550,[26504],[100],[],[],[0],[17379],[200],[]
420,59,"[25937,25938]","[125,125]",[],[],[],[],[],[]
421,554,[26696],[100],[],[],[],[347],[250000],[]
422,565,[17376],[100],[],[],[],[26151],[1500],[]
423,567,[3224],[1000],[],[],[],[],[],[]
424,568,[3224],[1000],[],[],[],[23314],[1500],[]
425,562,[212],[2000],[],[],[],[],[],[]
426,566,[452],[0],[],[],[],[167],[100],[]
