"rownum","Metadata","AreaLevel","SpawnsMonsters","i32_28","i32_32","i32_36","i32_40","i32_44","i32_48","i32_52","i32_56","bool_60","bool_61","bool_62","bool_63","bool_64","bool_65","i32_66","i32_70","i32_74","i32_78","rid_82","bool_98","bool_99","Script1","bool_108","bool_109","Script2","[i32]_118","i32_134","i32_138","i32_142","i32_146","i32_150","i32_154","i32_158","i32_162","i32_166","i32_170","bool_174","[rid]_175"
33,"Metadata/Monsters/BogZombie/BogZombieEmitter",1,"[908,909,910,670]",225,10,20,0,0,20,0,0,"",1,"","","","",0,1,0,0,"","","","triggerer.shaman = shaman; triggerer.If( GetHeightAtLocation() <= -20, { IfExists( shaman, { FaceObject( shaman, 1 ); }, { } ); DoAction( Emerge ); AddOnActionEnd( { DoAction( MoveForced, shaman ); }, true ); }, { Delete(); } );","","","","[3,6,5,1]",0,0,0,0,3,3,1,1,0,0,"",[]
34,"Metadata/Monsters/BogZombie/BogZombieEmitterMapSlick",2,"[908,909,910,670]",225,10,20,0,0,20,0,0,"",1,"","","","",0,1,0,0,"","","","","","","","[3,6,5,1]",0,0,0,0,3,3,1,1,0,0,"",[]
35,"Metadata/Monsters/Taniwha/RiverTaniwhaEmitter",1,[1043],0,0,0,0,0,0,0,0,"",1,"","",1,"",0,0,8,4,"","","","","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
36,"Metadata/Terrain/Gallows/Act3/3_3/Objects/TreeNodeMarker",1,[],0,0,0,500,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
37,"Metadata/Terrain/Gallows/Act3/3_4/Objects/SpiderMonkeyRampSpawner1",1,[1013],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
38,"Metadata/Terrain/Gallows/Act3/3_4/Objects/SpiderMonkeyRampSpawner2",1,[1013],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
39,"Metadata/Terrain/Gallows/Act3/3_4/Objects/SpiderMonkeyRampSpawner3",1,[1013],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
40,"Metadata/Terrain/Gallows/Act3/3_4/Objects/SpiderMonkeyRampSpawner4",1,[1013],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
41,"Metadata/Terrain/Gallows/Act3/3_4/Objects/SpiderMonkeyRampSpawner5",1,[1013],0,0,0,0,0,0,0,0,"",1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
42,"Metadata/Terrain/Gallows/Act3/3_4/Objects/SnakeManSpawner1",1,[1008],0,0,0,250,0,0,0,1,"",1,"","","","",0,0,0,0,"","","","triggerer.emerge_loc = GetLocation() + RotateLocation( [14, -9] ); triggerer.If( emerge_loc.IsWalkable( 4, walk ), (){ triggerer.SetLocation( emerge_loc, 1 ); triggerer.RotateBy( 90, true, true ); triggerer.SetStateTo( snake_colour, this.GetState( snake_colour ) ); triggerer.TriggerStateBracket( colour, snake_colour ); triggerer.DoAction( Emerge ); }, (){ Delete(); } );","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
43,"Metadata/Monsters/VaalMonsters/Living/objects/ArchivistRuneMonkey",1,[1192],0,5,20,0,0,0,0,65793,1,"","","",1,"",0,0,0,0,"","","","","",1,"",[],0,0,0,0,1,1,1,1,0,0,"",[]
44,"Metadata/Monsters/VaalMonsters/Living/objects/ArchivistRuneSnake",1,[1191],0,10,20,0,0,0,0,65793,"","","","",1,"",0,0,0,0,"","","","triggerer.FaceNearestPlayer();","",1,"",[],0,0,0,0,1,1,1,1,0,0,"",[]
45,"Metadata/Terrain/Gallows/Act3/3_8/Objects/FishSpawnerBase",1,[500],0,5,20,0,0,0,0,256,1,1,"","","","",0,0,0,0,"","","","","","","",[],0,0,0,0,8,8,8,8,0,0,"",[]
46,"Metadata/Monsters/Cenobite/Objects/SunkenDoorSpawner",1,"[1105,1104,957,958]",0,0,5,500,1000,0,0,0,"","","","",1,"",0,0,1,1,"","","","triggerer.MatchOrientation( parent, 1 ); triggerer.rot_offset = Random( -5.0, 5.0 ); triggerer.tan_val = triggerer.rot_offset / 28.0; triggerer.RotateBy( ATan( triggerer.tan_val ), 1 ); triggerer.MoveRelative( rot_offset, 0, 1 ); triggerer.DoAction( WalkEmerge );","","","","[1,1,3,2]",0,0,0,0,6,10,1,3,0,0,"",[]
47,"Metadata/Terrain/Gallows/Act3/3_11/Rooms/ShowcaseOnly/SunkenDoorSpawner",1,"[1105,1103,1101,957,958]",0,0,2,500,1000,0,0,0,"","","","",1,"",0,0,0,0,"","","","triggerer.MatchOrientation( parent, 1 ); triggerer.rot_offset = Random( -3.0, 3.0 ); triggerer.tan_val = triggerer.rot_offset / 28.0; triggerer.RotateBy( ATan( triggerer.tan_val ), 1 ); triggerer.MoveRelative( rot_offset, 0, 1 ); triggerer.DoAction( WalkEmerge );","","","","[2,1,2,2,2]",0,0,0,0,5,6,1,1,0,0,"",[]
48,"Metadata/Terrain/Gallows/Act3/3_2_2/Objects/BossFightWaveSpawner",1,[],1000,0,0,1500,2500,0,0,16777216,"","","","","","",0,0,0,0,"","","","triggerer.DoAction( Emerge );","","","",[],0,0,0,0,8,8,1,1,0,0,"",[]
49,"Metadata/Terrain/Gallows/Act3/3_11/Objects/BossFightWaveSpawner",1,"[957,958,1101,1105]",5500,0,0,500,5500,20,0,0,"","","","","","",0,0,0,0,"","","","\ttriggerer.filthqueen = FindClosestObject( \""Metadata/Monsters/QueenOfFilth/QueenofFilfthBoss_\""\r\n\t ); triggerer.DoAction(WalkEmergeQoFMinions); triggerer.AddMonsterExplicitMod( BossMinionFlaskChargeIncrease50 );","",1,"",[],0,0,0,0,1,1,1,1,0,0,"",[]
50,"Metadata/Terrain/Gallows/Act3/3_11/Objects/BossFightWaveSpawnerMaps",1,"[957,958,1101,1105]",5500,0,0,500,5500,20,0,0,"","","","","","",0,0,0,0,"","","","\ttriggerer.filthqueen = FindClosestObject( \""Metadata/Monsters/QueenOfFilth/QueenofFilfthBossMap\""\r\n\t ); triggerer.DoAction(WalkEmergeQoFMinionsMap); triggerer.AddMonsterExplicitMod( BossMinionFlaskChargeIncrease50 );","",1,"",[],0,0,0,0,1,1,1,1,0,0,"",[]
51,"Metadata/Monsters/Anchorman/Objects/AnchormanCrackMid",1,[502],0,0,0,400,600,0,0,0,"","","","","","",0,0,0,0,"","","","triggerer.MatchLocator( this, spawner, true, true ); triggerer.DoAction( Emerge );","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
52,"Metadata/Terrain/Gallows/Act4/4_2_2/Objects/GenericSpawner1",1,[],1100,0,15,300,800,0,0,256,"",1,"","",1,"",0,0,3,2,"","","","ModifyState( spawn_count, -1); ModifyState( minion_count, +1);","","","","[2,2,1,2,1,2]",0,0,0,0,30,30,1,1,0,0,"",[]
53,"Metadata/Terrain/Gallows/Act4/4_5_1/Objects/PrisonSpawnerGround",1,"[1354,1356,1358,1360,1362]",0,0,0,1000,2000,0,0,256,"",1,1,"",1,"",0,0,6,3,"","","","triggerer.MatchOrientation( parent, 1 ); triggerer.rot_offset = Random( -4.0, 4.0 ); triggerer.tan_val = triggerer.rot_offset / 18.0; triggerer.RotateBy( ATan( triggerer.tan_val ), 1 ); triggerer.MoveRelative( rot_offset, 0, 1 );triggerer.DoAction( WalkEmerge );  triggerer.SetStateTo( emerge, 1 ); triggerer.AddBuff( hidden_monster, infinity, 1, 1, 1, 0 );","","","",[],0,0,0,0,1,3,1,1,0,0,"",[]
54,"Metadata/Terrain/Gallows/Act4/4_5_1/Objects/PrisonSpawnerUpper",1,"[1360,1362]",0,0,0,1000,2000,0,0,256,"",1,1,"",1,"",0,0,6,3,"","","","triggerer.DoAction( Emerge2 ); triggerer.SetStateTo( emerge, 1 ); triggerer.AddBuff( hidden_monster, infinity, 1, 1, 1, 0 );","","","",[],0,0,0,0,1,3,1,1,0,0,"",[]
55,"Metadata/Terrain/Gallows/Act4/4_5_1/Objects/PrisonSpawnerProwler",1,[1349],0,0,0,300,500,0,0,256,"",1,1,"",1,"",0,0,0,0,"","","","triggerer.DoAction( Emerge2 ); triggerer.SetStateTo( emerge, 1 ); triggerer.AddBuff( hidden_monster, infinity, 1, 1, 1, 0 );","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
56,"Metadata/Terrain/Gallows/Act4/4_3_2/Objects/SirenAmbushSpawner",1,[1445],2000,0,0,50,50,0,0,1,"",1,"","","","",0,0,0,100,"","","","triggerer.DoAction(Emerge);","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
57,"Metadata/Terrain/Gallows/Act4/4_3_2/Objects/SirenAmbushSpawnerMinion",1,[1441],2000,0,0,50,50,0,0,1,"","",1,"","","",2,0,0,0,"","","","triggerer.DoAction(Emerge);","","","",[],0,1500,0,0,5,5,1,1,0,0,"",[]
58,"Metadata/Terrain/Gallows/Act4/4_4_1/Objects/TotemWall",1,"[1454,1458,1461,1464]",0,0,30,600,2000,0,0,256,"","",1,"","","",0,0,0,0,"","","","triggerer.SetStateTo( visible, 1 );","","","","[3,2,2,2]",0,0,0,0,1,1,1,1,0,0,"",[]
59,"Metadata/Terrain/Gallows/Act4/4_4_1/Objects/TotemWallArchers",1,"[1454,1458,1461,1464]",500,0,45,100,400,0,0,65792,"","",1,"",1,"",0,0,3,2,"","","","triggerer.SetMonsterBehaviour( NoAI );\r\nModifyState( minion_count, +1);\r\nMakeBeam( KaruiFallenWarriorLifeBeam, triggerer, FollowFrom|FollowTo|SerialiseAnimationProgress|NoDeleteOnSleep, root, hip_jntBnd);","","","","[3,2,2,2]",0,0,0,0,1,1,1,1,0,0,"",[]
60,"Metadata/Terrain/Gallows/Act4/4_4_1/Objects/TotemWallCaster",1,"[1449,1458,1461,1464]",500,0,45,100,400,0,0,65792,"","",1,"",1,"",0,0,3,2,"","","","triggerer.SetMonsterBehaviour( NoAI );\r\nModifyState( minion_count, +1);\r\nMakeBeam( KaruiFallenWarriorLifeBeam, triggerer, FollowFrom|FollowTo|SerialiseAnimationProgress|NoDeleteOnSleep, root, hip_jntBnd);","","","","[3,2,2,2]",0,0,0,0,1,1,1,1,0,0,"",[]
61,"Metadata/Terrain/Gallows/Act4/4_4_1/Objects/TotemWallHorn",1,"[1481,1458,1461,1464]",500,0,45,100,400,0,0,65792,"","",1,"",1,"",0,0,3,2,"","","","triggerer.SetMonsterBehaviour( NoAI );\r\nModifyState( minion_count, +1);\r\nMakeBeam( KaruiFallenWarriorLifeBeam, triggerer, FollowFrom|FollowTo|SerialiseAnimationProgress|NoDeleteOnSleep, root, hip_jntBnd);","","","","[3,2,2,2]",0,0,0,0,1,1,1,1,0,0,"",[]
62,"Metadata/Terrain/Gallows/Act4/4_4_1/Objects/ArenaSpawner_Kaom_01",1,[1467],0,0,5,250,500,0,0,65792,"","",1,"",1,"",0,0,3,0,"","","","triggerer.SetMonsterBehaviour( NoAI );\r\nthis.totem.ModifyState( minion_count, +1);\r\nPlayServerBeam( KaruiFallenWarriorLifeBeam, this.totem, triggerer ); triggerer.my_wall2 = this.totem;","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
63,"Metadata/Terrain/Gallows/Act4/4_4_1/Objects/ArenaSpawner_Kaom_02",1,[1469],0,0,5,250,500,0,0,65792,"","",1,"",1,"",0,0,3,0,"","","","triggerer.SetMonsterBehaviour( NoAI );\r\nthis.totem.ModifyState( minion_count, +1);\r\nPlayServerBeam( KaruiFallenWarriorLifeBeam, this.totem, triggerer ); triggerer.my_wall2 = this.totem;","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
64,"Metadata/Terrain/Gallows/Act4/4_4_1/Objects/ArenaSpawner_Kaom_Rare",1,[1468],0,0,5,250,500,0,0,65792,"","",1,"",1,"",0,0,0,100,"","","","triggerer.SetMonsterBehaviour( NoAI );\r\nthis.totem.ModifyState( minion_count, +1);\r\nPlayServerBeam( KaruiFallenWarriorLifeBeam, this.totem, triggerer ); triggerer.my_wall2 = this.totem;","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
65,"Metadata/Terrain/Gallows/Act4/4_4_1/Objects/ArenaSpawner_Kiloava_01",1,[2480],0,0,5,250,500,0,0,65792,"","",1,"",1,"",0,0,3,0,"","","","triggerer.SetMonsterBehaviour( NoAI );\r\nthis.totem.ModifyState( minion_count, +1);\r\nPlayServerBeam( KaruiFallenWarriorLifeBeam, this.totem, triggerer ); triggerer.my_wall2 = this.totem;","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
66,"Metadata/Terrain/Gallows/Act4/4_4_1/Objects/ArenaSpawner_Kiloava_02",1,[2481],0,0,5,250,500,0,0,65792,"","",1,"",1,"",0,0,3,0,"","","","triggerer.SetMonsterBehaviour( NoAI );\r\nthis.totem.ModifyState( minion_count, +1);\r\nPlayServerBeam( KaruiFallenWarriorLifeBeam, this.totem, triggerer ); triggerer.my_wall2 = this.totem;","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
67,"Metadata/Terrain/Gallows/Act4/4_4_1/Objects/ArenaSpawner_Kiloava_Rare",1,[2482],0,0,5,250,500,0,0,65792,"","",1,"",1,"",0,0,0,100,"","","","triggerer.SetMonsterBehaviour( NoAI );\r\nthis.totem.ModifyState( minion_count, +1);\r\nPlayServerBeam( KaruiFallenWarriorLifeBeam, this.totem, triggerer ); triggerer.my_wall2 = this.totem;","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
68,"Metadata/Terrain/Gallows/Act4/4_4_1/Objects/ArenaSpawner_Rakiata_01",1,"[1470,1471,1473]",0,0,5,250,500,0,0,65792,"","",1,"",1,"",0,0,3,0,"","","","triggerer.SetMonsterBehaviour( NoAI );\r\nthis.totem.ModifyState( minion_count, +1);\r\nPlayServerBeam( KaruiFallenWarriorLifeBeam, this.totem, triggerer ); triggerer.my_wall2 = this.totem;","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
69,"Metadata/Terrain/Gallows/Act4/4_4_1/Objects/ArenaSpawner_Rakiata_02",1,"[1470,1471,1473]",0,0,5,250,500,0,0,65792,"","",1,"",1,"",0,0,3,0,"","","","triggerer.SetMonsterBehaviour( NoAI );\r\nthis.totem.ModifyState( minion_count, +1);\r\nPlayServerBeam( KaruiFallenWarriorLifeBeam, this.totem, triggerer ); triggerer.my_wall2 = this.totem;","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
70,"Metadata/Terrain/Gallows/Act4/4_4_1/Objects/ArenaSpawner_Rakiata_Rare",1,"[1470,1473]",0,0,5,250,500,0,0,65792,"","",1,"",1,"",0,0,0,100,"","","","triggerer.SetMonsterBehaviour( NoAI );\r\nthis.totem.ModifyState( minion_count, +1);\r\nPlayServerBeam( KaruiFallenWarriorLifeBeam, this.totem, triggerer ); triggerer.my_wall2 = this.totem;","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
71,"Metadata/Terrain/Gallows/Act4/4_4_2/Objects/ArenaSpawner_Type_01",1,"[1454,1458,1461,1464]",0,0,5,250,500,0,0,65792,"","",1,"",1,"",0,0,3,2,"","","","triggerer.SetMonsterBehaviour( NoAI );\r\nthis.totem.ModifyState( minion_count, +1);\r\nPlayServerBeam( KaruiFallenWarriorLifeBeam, this.totem, triggerer );","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
72,"Metadata/Terrain/Gallows/Act4/4_4_2/Objects/ArenaSpawner_Type_02",1,"[1454,1458,1461,1464]",0,0,5,250,500,0,0,65792,"","",1,"",1,"",0,0,3,2,"","","","triggerer.SetMonsterBehaviour( NoAI );\r\nthis.totem.ModifyState( minion_count, +1);\r\nPlayServerBeam( KaruiFallenWarriorLifeBeam, this.totem, triggerer );","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
73,"Metadata/Terrain/Gallows/Act4/4_4_2/Objects/ArenaSpawner_Rare_01",1,[1481],0,0,5,250,500,0,0,65792,"","",1,"",1,"",0,0,3,100,"","","","triggerer.SetMonsterBehaviour( NoAI );\r\nthis.totem.ModifyState( minion_count, +1);\r\nPlayServerBeam( KaruiFallenWarriorLifeBeam, this.totem, triggerer );","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
74,"Metadata/Terrain/Gallows/Act4/4_4_2/Objects/ArenaSpawner_Rare_02",1,[1449],0,0,5,250,500,0,0,65792,"","",1,"",1,"",0,0,3,100,"","","","triggerer.SetMonsterBehaviour( NoAI );\r\nthis.totem.ModifyState( minion_count, +1);\r\nPlayServerBeam( KaruiFallenWarriorLifeBeam, this.totem, triggerer );","","","",[],0,0,0,0,1,1,1,1,0,0,"",[]
