"rownum","Id","Act","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon_DDSFile","QuestId","bool_32","Type","[i32]_49","i32_65","TrackerGroup","bool_85","bool_86","NormalReward","QuestFlag"
68,"EndgameLeagueDelirium2",10,"Facing the Simulacrum","Affronter le Simulacre","Dem Simulacrum ins Auge sehen","シミュラクラムとの対峙","복제된 영토 마주하기","Enfrentando o Simulacrum","Столкновение с Симулякром","Afrontar el Simulacro","เผชิญเมืองจำแลง","面對幻像異界","Art/2DArt/QuestIcons/Four/AlvaDelirium.dds",0,"",0,[],56,"","","",[],[]
69,"EndgameLeagueRitual1",10,"Mysterious Altars","Autels mystérieux","Mysteriöse Altäre","不思議な祭壇","수수께끼의 제단","Altares Misteriosos","Загадочные алтари","Altares misteriosos","แท่นลี้ลับ","神秘祭壇","Art/2DArt/QuestIcons/Four/Ritual.dds",0,"",0,[],56,"","","",[27],[]
70,"EndgameLeagueRitual2",10,"The Edge of Nothingness","Au bord du Néant","Der Rand des Nichts","無の端","허무의 변두리","A Beira do Nada","Граница небытия","El borde de la nada","ชายขอบความว่างเปล่า","無量邊境","Art/2DArt/QuestIcons/Four/Ritual.dds",0,"",0,[],56,"","","",[],[]
71,"EndgameLeagueExpedition1",10,"The Grand Quest","La Grande aventure","Die große Quest","壮大な使命","중차대한 임무","A Grande Missão","Великая миссия","La gran misión","ภารกิจใหญ่หลวง","大型任務","Art/2DArt/QuestIcons/Four/DannigExpedition.dds",0,"",0,[],56,"","","",[],[]
72,"EndgameLeagueExpedition2",10,"The Fallen Hero","Le Héro déchu","Der gefallene Held","堕ちた英雄","몰락한 영웅","O Herói Caído","Падший герой","El héroe caído","วีรชนผู้วินาศ","殞落英雄","Art/2DArt/QuestIcons/Four/DannigExpedition.dds",0,"",0,[],56,"","","",[],[]
73,"TormentedSpirits",1,"The Hunt Begins","La Chasse commence","Die Jagd beginnt","狩り開始","사냥의 시작","A Caçada Começa","Начало охоты","Comienza la cacería","เริ่มออกล่า","狩獵開始","Art/2DArt/QuestIcons/Four/TormentedSpirit.dds",0,"",1,[],56,"","","",[],[]
74,"EndgameCastaway",10,"The Captain's Hideaway","La cachette du Capitaine","Das Versteck des Kapitäns","船長の隠れ家","선장의 은신처","O Esconderijo do Capitão","Убежище капитана","El escondite del capitán","ที่หลบภัยของกัปตัน","船長的藏身處","Art/2DArt/QuestIcons/Four/Castaway.dds",0,"",0,[],56,"","","",[],[]
75,"EndgameUniqueMaps",10,"Endgame Unique Quest","Quête unique de l'Endgame","Endgame Unique Quest","エンドゲームユニーククエスト","엔드게임 고유 퀘스트","Missão Única do Fim de Jogo","Уникальные карты","Misión única del epílogo","เควสต์แผนที่ยูนิคช่วงท้ายเกม","終局傳奇任務","Art/2DArt/QuestIcons/Four/PinnacleOfFlame.dds",0,"",0,[],56,"","","",[],[]
76,"EndgameMapBoss",10,"Powerful Foe","Ennemi puissant","Mächtiger Feind","強敵","강력한 적","Inimigo Poderoso","Могучий противник","Enemigo poderoso","ข้าศึกทรงพลัง","勁敵","Art/2DArt/QuestIcons/Four/MapBoss.dds",0,"",0,[],56,"","","",[],[]
77,"EndgamePrecursorTower",10,"Precursor Towers","Tours des Prédécesseurs","Wegbereitertürme","先人の塔","선도자 탑","Torres Precursoras","Башни предтеч","Torres precursoras","หอคอยกลุ่มชนก่อนกาล","先行者高塔","Art/2DArt/QuestIcons/Four/PrecursorTower.dds",0,"",0,[],56,"","","",[],[]
78,"EndgameBreachAtlasSkillBooks",10,"Breach Atlas Skill Books","Livre de Talents d'Atlas de Brèche","Atlas-Fertigkeitenbuch: Riss","ブリーチアトラススキルの書","균열 아틀라스 기술의 서","Livros de Habilidades do Atlas: Fenda","Книги умений Атласа Разлома","Libros de habilidad del Atlas de fisura","คัมภีร์บังเกิดสกิลแอตลาส บรีช","裂痕輿圖技能書","Art/2DArt/QuestIcons/Four/PrecursorTower.dds",0,"",1,[],56,"","","",[],[]
79,"EndgameRitualAtlasSkillBooks",10,"Ritual Atlas Skill Books","Livre de Talents d'Atlas de Rituel","Atlas-Fertigkeitenbuch: Ritual","リチュアルアトラススキルの書","의식 아틀라스 기술의 서","Livros de Habilidades do Atlas: Ritual","Книги умений Атласа Ритуала","Libros de habilidad del Atlas de ritual","คัมภีร์บังเกิดสกิลแอตลาส พิธีกรรม","祭祀輿圖技能書","Art/2DArt/QuestIcons/Four/PrecursorTower.dds",0,"",1,[],56,"","","",[],[]
80,"EndgameExpeditionAtlasSkillBooks",10,"Expedition Atlas Skill Books","Livre de Talents d'Atlas d'Expédition","Atlas-Fertigkeitenbuch: Expedition","エクスペディションアトラススキルの書","탐험 아틀라스 기술의 서","Livros de Habilidades do Atlas: Expedição","Книги умений Атласа Экспедиции","Libros de habilidad del Atlas de expedición","คัมภีร์บังเกิดสกิลแอตลาส กองสำรวจ","探險輿圖技能書","Art/2DArt/QuestIcons/Four/PrecursorTower.dds",0,"",1,[],56,"","","",[],[]
