"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","XBoxText","XBoxText (French)","XBoxText (German)","XBoxText (Japanese)","XBoxText (Korean)","XBoxText (Portuguese)","XBoxText (Russian)","XBoxText (Spanish)","XBoxText (Thai)","XBoxText (Traditional Chinese)","XBoxText2","HASH32","PlaystationText","string_44"
10,"DeathScreenRespawnConfirmationTitle","Respawn in New Area","Ressusciter dans une Nouvelle zone","Wiederbeleben in neuem Gebiet","新しいエリアでリスポーン","새로운 지역에서 재소환","Ressurgir em Nova Área","Возродиться в новой области","Resucitar en una nueva área","คืนชีพในด่านใหม่","在新區域重生","","","","","","","","","","","",4294036189,"",""
11,"DeathScreenRespawnConfirmationText","This action will respawn you in a new area. Your party can join you when they are ready, or you can choose to wait for them to revive you. Proceed?","Cette action vous ressuscitera dans une nouvelle zone. Votre groupe peut vous rejoindre lorsque ses membres sont prêts, ou vous pouvez choisir d'attendre qu'ils vous ressuscitent. Êtes-vous sûr de vouloir continuer ?","Durch diese Aktion wirst du in einem neuen Gebiet wiederbelebt. Deine Gruppe kann sich dir anschließen, wenn sie bereit ist, oder du kannst warten, bis sie dich wiederbelebt. Fortfahren?","このアクションは、あなたを新しいエリアにリスポーンさせます。パーティーの準備完了後にあなたに合流、またはパーティーがあなたを復活させるのを待つこともできます。続行しますか？","계속하면 새로운 지역에서 재소환됩니다. 파티가 준비되면 합류할 수 있으며, 파티가 부활시켜 주기를 기다릴 수도 있습니다. 계속하시겠습니까?","Isso fará você renascer em outra área. Seu grupo pode se juntar a você depois ou você pode esperar que te revivam. Continuar?","Вы возродитесь в новой области. Ваша группа сможет присоединиться к вам, когда будет готова; либо вы можете дождаться, пока вас воскресят. Продолжить?","Esta acción te hará resucitar en una nueva área. Los miembros de tu grupo podrán unirse a ti cuando estén listos, o puedes esperar a que te resuciten. ¿Quieres proceder?","การกระทำนี้จะทำให้คุณคืนชีพในด่านใหม่ สมาชิกของคุณจะมาร่วมกับคุณได้หากพวกเขาพร้อม หรือคุณจะเลือกรอให้พวกเขาทำการคืนชีพให้กับคุณก็ได้ ดำเนินการต่อหรือไม่?","此行動會使你在一個新區域重生。你的隊伍可在準備就緒時加入你，或你可選擇等待他們復活你。是否繼續？","","","","","","","","","","","",3254883878,"",""
12,"DeathScreenRespawnConfirmationTextMaps","If you leave this Area, you will not be able to return. Proceed?","Si vous quittez cette Zone, vous ne pourrez pas y retourner. Quitter quand même ?","Wenn du dieses Gebiet verlässt, wirst du nicht mehr zurückkehren können. Trotzdem fortfahren?","このエリアを離れると戻ることができなくなります。続行しますか?","이 지역에서 나가면 돌아올 수 없습니다. 그래도 나가시겠습니까?","Se você sair desta área, não poderá retornar. Continuar?","Покинув эту область, вы не сможете вернуться. Продолжить?","Si sales de esta área, no podrás regresar. ¿Quieres proceder?","หากคุณออกจากด่านนี้ คุณจะไม่สามารถกลับเข้ามาได้อีก ดำเนินการต่อหรือไม่?","如果你離開此區域，你將無法返回。要繼續嗎？","","","","","","","","","","","",964372996,"",""
13,"DeathScreenRespawnLimited1","1 attempt remaining","1 tentative restante","1 Versuch übrig","残り挑戦回数 1","횟수 1회 남음","Resta 1 tentativa","Осталось попыток: 1","1 intento restante","คืนชีพได้อีก 1 ครั้ง","剩餘 1 次復活機會","","","","","","","","","","","",2545609045,"",""
14,"DeathScreenRespawnLimitedN","{} attempts remaining","{} tentatives restantes","{} Versuche übrig","残り挑戦回数 {}","횟수 {}회 남음","Restam {} tentativas","Осталось попыток: {}","{} intentos restantes","คืนชีพได้อีก {} ครั้ง","剩餘 {} 次復活機會","","","","","","","","","","","",3309978943,"",""
15,"DeathScreenRespawnWaitForMapOwner","Wait for the Map Owner to respawn the party","Attendez que le propriétaire de la Carte ressuscite le groupe","Warte, bis der Kartenbesitzer die Gruppe wiederbelebt","マップ所有者がパーティーを復活させるのを待つ","지도 소유자가 파티를 재소환하기를 기다리십시오","Aguarde o dono do mapa reviver o grupo","Дождитесь, пока владелец карты не возродит группу","Espera a que el dueño del mapa resucite al grupo","รอรับการคืนชีพของปาร์ตี้จากเจ้าของแผนที่","等待地圖擁有者復活隊伍","","","","","","","","","","","",24909824,"",""
16,"GamepadActionSocketJewelInPassiveTree","Socket In Passive Tree","Enchâsser dans l'Arbre des Talents","In Fertigkeitenbaum einfassen","パッシブツリーにソケットする","패시브 트리에 장착하기","Encaixe na Árvore Passiva","Разместить в древе пассивных умений","Engarzar en el árbol de pasivas","ใส่ลงในตารางพาสซีฟ","放入天賦樹插槽中","","","","","","","","","","","",675109749,"",""
17,"MtxOptionBuyMore","Buy More","Acheter plus","Mehr kaufen","さらに購入","더 구입하기","Comprar Mais","Купить ещё","Comprar más","ซื้อเพิ่ม","購買更多","","","","","","","","","","","",2263651545,"",""
18,"ConsoleActionClearSearch","Clear Search","Effacer la recherche","Suche leeren","検索をクリア","검색 초기화","Limpar Busca","Очистить строку поиска","Borrar búsqueda","ล้างการค้นหา","清除搜尋","","","","","","","","","","","",447930731,"",""
19,"EquipErrorSkillAlreadyHasSupport","Skill already has this Support socketed","Cette Gemme de soutien est déjà enchâssée dans cette Aptitude","Fertigkeit hat diese Unterstützungsgemme bereits","スキルにはすでにこのサポートがソケットされています","스킬에 이미 이 보조 젬이 장착되어 있습니다.","A habilidade já tem este reforço encaixado","В умение уже вставлен этот камень поддержки","La habilidad ya tiene esta asistencia engarzada","มีการใส่หินเสริมนี้ในสกิลอยู่แล้ว","技能已插入此輔助","","","","","","","","","","","",1644618209,"",""
20,"OptionUseCompactMinionDisplayOnLocalPlayerListName","Use compact minion display","Utiliser l'affichage des Créatures compact","Kompakte Kreaturen-Anzeige","コンパクトなミニオン画面を使用する","축약된 소환수 표시 사용","Usar tela de lacaios compacta","Компактный экран приспешников","Usar visualización compacta de esbirros","แสดงผลมิเนียนแบบย่อ","使用緊湊召喚物顯示","","","","","","","","","","","",4210839863,"",""
21,"OptionUseCompactMinionDisplayOnLocalPlayerListDesc","Changes how minions are displayed on HUD. \r\nThis setting is on by default in couch co-op mode.","Modifie la manière dont les créatures sont affichées sur l'ATH.\r\nCe réglage est activé par défaut en mode coopératif local.","Ändert die Anzeige der Kreaturen im HUD. \r\nDiese Einstellung ist im Couch-Koop-Modus standardmäßig aktiviert.","HUDでのミニオンの表示方法を変更します。 \r\nこの設定は、ローカル協力モードではデフォルトでオンになっています。","HUD에 소환수가 표시되는 방식을 변경합니다. \r\n로컬 협동 모드에서는 이 설정이 기본적으로 켜져 있습니다.","Muda como os lacaios são mostrados na interface.\r\nPor padrão, esta configuração é ativada no modo cooperação local.","Изменяет способ отображения приспешников в HUD.\r\nЭта настройка включена по умолчанию в режиме совместной игры.","Cambia la forma en la que se muestran los esbirros en la interfaz. \r\nEste ajuste está activado por defecto en el modo cooperativo local.","เปลี่ยนวิธีการแสดงผลมิเนียนในหน้าจอแสดงผล\r\nโหมด Couch co-op จะเปิดการตั้งค่านี้โดยอัตโนมัติ","變更召喚物在 HUD 的顯示方式。\r\n\r\n同機多人遊玩模式預設將此設定開啟。","","","","","","","","","","","",216102234,"",""
22,"QuickMoveToMapDeviceTowerInventory","Place in Tablet Slot","Placer dans l'emplacement de Tablette.","Im Tafel-Platz platzieren","タブレットスロットに設置する","서판 슬롯에 놓기","Inserir no Espaço de Tabuleta","Поместить в ячейку для плиток","Colocar en espacio para tablilla","ใส่ในช่องแผ่นหิน","放置於碑牌槽中 ","","","","","","","","","","","",1221782307,"",""
23,"ConsoleActionReplaceRune","Replace Rune","Remplacer la Rune","Rune ersetzen","ルーンを置き換える","룬 교체","Substituir Runa","Заменить руну","Reemplazar runa","เปลี่ยนอักขระ","替換符文","","","","","","","","","","","",1321356618,"",""
24,"RuneSocketSwapConfirmWarning","Replace {0} with {1}?","Remplacer {0} par {1} ?","{0} mit {1} ersetzen?","{0}を{1}に置き換えますか？","{0}을(를) {1}(으)로 교체하시겠습니까?","Substituir {0} por {1}?","Заменить {0} на {1}?","¿Seguro que quieres reemplazar {0} por {1}?","นำ {1} ไปแทนที่ {0} หรือไม่?","是否將{0}替換為{1}？","","","","","","","","","","","",31285109,"",""
25,"RuneSocketUpgradeConfirmWarning","Upgrade {0} to {1}?","Upgrade {0} to {1}?","{0} zu {1} aufwerten?","{0}を{1}にアップグレードしますか？","{0}을(를) {1}(으)로 업그레이드하시겠습니까?","Atualizar {0} para {1}?","Улучшить {0} в {1}?","¿Seguro que quieres mejorar {0} en {1}?","อัพเกรด {0} ให้เป็น {1} หรือไม่?","{0} 升級至 {1}?","","","","","","","","","","","",674246559,"",""
26,"WorldPanelGamepadToHideout","Warp to Hideout","Vous téléporter au Repaire","Zum Versteck reisen","隠れ家にワープする","은신처로 차원 이동","Teletransportar-se para o Refúgio","Перенестись в убежище","Teletransportarse a la guarida","วาร์ปไปยังที่ซ่อน","傳送至藏身處","","","","","","","","","","","",4050159004,"",""
27,"WorldPanelGamepadToLastArea","Return to {0}","Retourner à {0}","Zurückkehren zu {0}","{0}に戻る","{0}(으)로 돌아가기","Retornar para {0}","Вернуться в {0}","Regresar a {0}","กลับไปยัง {0}","返回 {0}","","","","","","","","","","","",2593562875,"",""
28,"EndgameMapWarningCannotApplyAllContent","This Tower can only add {0} to {1} Maps in range, even though this Tablet could add up to {2}.\n\nAre you sure you want to proceed?","Cette Tour ne peut ajouter {0] qu'à {1} Cartes à portée, alors que cette Tablette pourrait en ajouter jusqu'à {2}.\n\nÊtes-vous sûr de vouloir continuer ?","Dieser Turm kann lediglich {0} bis {1} Karten in Reichweite beeinflussen, obwohl diese Tafel bis zu {2} beeinflussen kann.\n\nBist du sicher, dass du fortfahren möchtest?","石板は最大{2}個まで{0}を追加できるにもかかわらず、この塔は範囲内の{1}個のマップにしか追加できません。\n\n続行しますか？","이 석판은 범위 내의 지도 최대 {2}개에 {0} 콘텐츠를 추가할 수 있는데, 이 탑은 {1}개에만 추가할 수 있습니다.\n\n정말 계속하시겠습니까?","Esta Torre só pode adicionar {0} a {1} mapas ao alcance, mesmo que esta Tábua pudesse adicionar até {2}.\n\nQuer mesmo continuar?","Эта башня может добавить {0} только на {1} карт(-ы) в радиусе действия, хотя эта плитка может добавить на {2} карт(-ы).\n\nВы уверены, что хотите продолжить?","Esta torre solo puede agregar de {0} a {1} mapas dentro de su alcance, pero esta tablilla podría agregar hasta {2}.\n\n¿Seguro que quieres continuar?","หอคอยนี้สามารถใส่ผลให้กับแผนที่ได้เพียง {0} ถึง {1} ด่านในระยะเท่านั้น แม้ว่าแผ่นหินนี้สามารถใส่ผลให้กับแผนที่ได้สูงสุด {2} ด่าน\n\nคุณต้องการทำเช่นนั้นหรือไม่?","這座塔只能為範圍內{1}張地圖添加{0}，但這面碑牌最多可影響{2}張地圖。\n\n你真的要繼續嗎？","","","","","","","","","","","",1282649502,"",""
29,"SocketErrorCannotReplaceSoulCoreWithSameItem","Cannot replace a Rune, Soul Core or Idol with the same item","Impossible de remplacer une Rune, un Noyau d'âme ou une Idole par le même objet","Du kannst keine Rune, Seelenkern oder Götzen durch denselben Gegenstand ersetzen","ルーン、ソウルコアまたはアイドルを同じアイテムと置き換えることはできません。","룬, 영혼 핵 또는 우상을 동일한 아이템으로 교체할 수 없습니다","Não é possível substituir uma Runa, Núcleo d'alma ou Ídolo pelo mesmo item","Нельзя заменить руну, Ядро душ или идол на аналогичный предмет","No se puede reemplazar una runa, un núcleo de alma ni un ídolo por el mismo objeto","ไม่สามารถนำอักขระ, แกนวิญญาณ หรือเทวรูปไปแทนที่ไอเทมเดียวกันได้","無法用相同的物品替換符文、靈魂核心或魔偶","","","","","","","","","","","",2563706192,"",""
30,"SocketErrorLockedSocket","This socket is locked","Cette châsse est verrouillée","Diese Fassung ist gesperrt.","ソケットがロックされています","잠긴 홈입니다","O encaixe está bloqueado","Эта ячейка заблокирована","Este engarce está bloqueado","รูนี้ถูกล็อกอยู่","此插槽已被鎖定","","","","","","","","","","","",2228114560,"",""
31,"SocketErrorNotEzomyteNorKalguuran","This item is not Ezomyte nor Kalguuran","This item is not Ezomyte nor Kalguuran","Dieser Gegenstand ist weder von den Ezomyten noch den Kalguur.","このアイテムはエゾマイトのものでもカルグールのものでもありません","이 아이템은 에조미어의 것도, 칼구르의 것도 아닙니다.","Este item não é ezomyta nem kalguurano","Это ни эзомитский, ни калгууранский предмет","Este objeto no es ezomita ni kalgurano","ไอเทมนี้ไม่ใช่ไอเทมเอโซไมต์หรือคาลเกอร์","此物品不為艾茲麥或卡爾葛","","","","","","","","","","","",3031613348,"",""
32,"SocketErrorMaxOneRuneforgerPerItem","[DNT-UNUSED] Item has already been Runeforged","[DNT-UNUSED] Item has already been Runeforged","[DNT-UNUSED] Item has already been Runeforged","[DNT-UNUSED] Item has already been Runeforged","[DNT-UNUSED] Item has already been Runeforged","O item já foi runiforjado","[DNT-UNUSED] Item has already been Runeforged","[DNT-UNUSED] Item has already been Runeforged","DNT","物品已被符文鍛造","","","","","","","","","","","",653770576,"",""
33,"SocketErrorHasSocketedUnremovableRune","Cannot use this on an item with a Socket-Bound Augment","Cannot use this on an item with a Socket-Bound Augment","Du kannst dies nicht auf einen Gegenstand mit einer fassungsgebundenen Augmentation anwenden","ソケットバウンドのオーグメントを持つアイテムにこれを使用できません","홈에 증강물이 귀속되어 있는 아이템에는 사용할 수 없습니다.","Não é possível usar isso em um item com um aprimoramento vinculado a um encaixe","Нельзя использовать на предмете с привязанным к гнезду усилителем","No puedes usar esto en un objeto que tenga una mejora vinculada a engarce","ไม่สามารถใช้ไอเทมนี้ร่วมกับไอเทมที่มีวัตถุฝังถาวรได้","無法對具有插槽綁定增幅的物品使用此物品","","","","","","","","","","","",2886353836,"",""
34,"SocketErrorHasLessThanTwoMaxPhysicalSockets","[DNT] This item cannot have enough sockets.","[DNT] This item cannot have enough sockets.","[DNT] This item cannot have enough sockets.","[DNT] This item cannot have enough sockets.","[DNT] This item cannot have enough sockets.","[DNT] This item cannot have enough sockets.","[DNT] This item cannot have enough sockets.","[DNT] This item cannot have enough sockets.","[DNT] This item cannot have enough sockets.","[DNT] This item cannot have enough sockets.","","","","","","","","","","","",55835946,"",""
35,"GamepadTargetingModeTitleMelee","Targeting Mode\r\n<bigger>{<valuedefault>{Melee}}","Mode de ciblage\r\n<bigger>{<valuedefault>{Mêlée}}","Zielmodus\r\n<bigger>{<valuedefault>{Nahkampf}}","ターゲッティングモード\r\n<bigger>{<valuedefault>{近接}}","대상 지정 모드\r\n<bigger>{<valuedefault>{근접}}","Modo de Mira\r\n<bigger>{<valuedefault>{Corpo a Corpo}}","Режим прицеливания\r\n<bigger>{<valuedefault>{Ближний бой}}","Modo de selección de objetivos\r\n<bigger>{<valuedefault>{Cuerpo a cuerpo}}","โหมดเลือกเป้าหมาย\r\n<bigger>{<valuedefault>{ประชิด}}","目標鎖定模式\r\n<bigger>{<valuedefault>{近戰}}","","","","","","","","","","","",3872882771,"",""
36,"GamepadTargetingModeTitleRanged","Targeting Mode\r\n<bigger>{<valuedefault>{Ranged}}","Mode de ciblage\r\n<bigger>{<valuedefault>{À distance}}","Zielmodus\r\n<bigger>{<valuedefault>{Fernkampf}}","ターゲッティングモード\r\n<bigger>{<valuedefault>{遠距離}}","대상 지정 모드\r\n<bigger>{<valuedefault>{원거리}}","Modo de Mira\r\n<bigger>{<valuedefault>{A Distância}}","Режим прицеливания\r\n<bigger>{<valuedefault>{Дальний бой}}","Modo de selección de objetivos\r\n<bigger>{<valuedefault>{A distancia}}","โหมดเลือกเป้าหมาย\r\n<bigger>{<valuedefault>{ระยะไกล}}","目標鎖定模式\r\n<bigger>{<valuedefault>{遠程}}","","","","","","","","","","","",3101604535,"",""
37,"GamepadTargetingModeTitleCustom","Targeting Mode\r\n<bigger>{<valuedefault>{Custom}}","Mode de ciblage\r\n<bigger>{<valuedefault>{Personnalisé}}","Zielmodus\r\n<bigger>{<valuedefault>{Benutzerdefiniert}}","ターゲッティングモード\r\n<bigger>{<valuedefault>{カスタム}}","대상 지정 모드\r\n<bigger>{<valuedefault>{사용자 지정}}","Modo de Mira\r\n<bigger>{<valuedefault>{Personalizado}}","Режим прицеливания\r\n<bigger>{<valuedefault>{Настраиваемый}}","Modo de selección de objetivos\r\n<bigger>{<valuedefault>{Personalizado}}","โหมดเลือกเป้าหมาย\r\n<bigger>{<valuedefault>{ปรับแต่ง}}","目標鎖定模式\r\n<bigger>{<valuedefault>{自訂}}","","","","","","","","","","","",321987256,"",""
38,"GamepadTargetingSelectTitle","Select Targeting Mode","Choisir le mode de ciblage","Zielmodus wählen","ターゲティングモードを選択","대상 지정 모드 선택","Selecionar Modo de Mira","Выберите режим прицеливания","Elige un modo de selección de objetivos","เลือกโหมดเลือกเป้าหมาย","選擇目標選擇模式","","","","","","","","","","","",2604119036,"",""
39,"GamepadTargetingMeleeDescription","<subtitle>{Melee}\r\nPrecise and responsive targeting.\r\n\r\n<italic>{<subtitle>{Select to always use Melee mode.}}","<subtitle>{Mêlée}\r\nCiblage précis et réactif.\r\n\r\n<italic>{<subtitle>{Sélectionner pour toujours utiliser le mode Mêlée.}}","<subtitle>{Nahkampf}\r\nPräzises und reaktionsschnelles Zielen.\r\n\r\n<italic>{<subtitle>{Mit dieser Einstellung wird immer der Nahkampfmodus verwendet.}}","<subtitle>{近接}\r\n正確で高い応答性のターゲティング。\r\n\r\n<italic>{<subtitle>{常に近接モードを使用するように設定}}","<subtitle>{근접}\r\n정밀하고 반응이 빠른 대상 지정 모드입니다.\r\n\r\n<italic>{<subtitle>{선택하면 항상 근접 모드를 사용합니다.}}","<subtitle>{Corpo a Corpo}\r\nMira precisa e responsiva.\r\n\r\n<italic>{<subtitle>{Selecione para sempre usar o modo Corpo a Corpo.}}","<subtitle>{Ближний бой}\r\nТочное и отзывчивое целеуказание.\r\n\r\n<italic>{<subtitle>{Выберите, чтобы всегда использовать режим ближнего боя.}}","<subtitle>{Cuerpo a cuerpo}\r\nSelección de objetivos precisa y adaptativa.\r\n\r\n<italic>{<subtitle>{Establécelo para utilizar siempre el modo Cuerpo a cuerpo.}}","<subtitle>{ประชิด}\r\nเลือกเป้าหมายแม่นยำอย่างรวดเร็ว\r\n\r\n<italic>{<subtitle>{เลือกเพื่อใช้โหมดประชิดเท่านั้น}}","<subtitle>{近戰}\r\n精確且靈敏地鎖定目標。\r\n\r\n<italic>{<subtitle>{選擇永遠使用近戰模式。}}","","","","","","","","","","","",3449623909,"",""
40,"GamepadTargetingRangedDescription","<subtitle>{Ranged}\r\nStay on target while avoiding dangers.\r\n\r\n<italic>{<subtitle>{Select to always use Ranged mode.}}","<subtitle>{À distance}\r\nVerrouiller la cible tout en évitant les dangers.\r\n\r\n<italic>{<subtitle>{Sélectionner pour toujours utiliser le mode À distance.}}","<subtitle>{Fernkampf}\r\nBleibt am Ziel und vermeidet Gefahren.\r\n\r\n<italic>{<subtitle>{Mit dieser Einstellung wird immer der Fernkampfmodus verwendet.}}","<subtitle>{遠距離}\r\n危険を回避しながら目標を狙い続けます。\r\n\r\n<italic>{<subtitle>{常に遠距離モードを使用するように設定}}","<subtitle>{원거리}\r\n위험을 피하면서 대상 지정을 유지합니다.\r\n\r\n<italic>{<subtitle>{선택하면 항상 원거리 모드를 사용합니다.}}","<subtitle>{A Distância}\r\nFixa no alvo enquanto evita os perigos.\r\n\r\n<italic>{<subtitle>{Selecione para sempre usar o modo À Distância.}}","<subtitle>{Дальний бой}\r\nСледите за целью, избегая опасностей.\r\n\r\n<italic>{<subtitle>{Выберите, чтобы всегда использовать режим дальнего боя.}}","<subtitle>{A distancia}\r\nMantiene al objetivo seleccionado mientras evita el peligro.\r\n\r\n<italic>{<subtitle>{Establécelo para utilizar siempre el modo A distancia.}}","<subtitle>{ระยะไกล}\r\nล็อกเป้าหมายพร้อมไปกับการเลี่ยงอันตราย\r\n\r\n<italic>{<subtitle>{เลือกเพื่อใช้โหมดระยะไกลเท่านั้น}}","<subtitle>{遠程}\r\n鎖定目標的同時避開危機。\r\n\r\n<italic>{<subtitle>{選擇永遠使用遠程模式。}}","","","","","","","","","","","",608349093,"",""
41,"GamepadTargetingCustomDescription","<subtitle>{Custom}\r\nFor those that prefer to create their own settings.","<subtitle>{Personnalisé}\r\nPour ceux qui préfèrent créer leurs propres réglages.","<subtitle>{Benutzerdefiniert}\r\nFür diejenigen, die es vorziehen, ihre eigenen Einstellungen zu erstellen","<subtitle>{カスタム}\r\nご自身で設定を作りたい方向け","<subtitle>{사용자 지정}\r\n직접 설정하고 싶은 분을 위한 모드입니다.","<subtitle>{Personalizado}\r\nPara os que quiserem criar suas próprias configurações.","<subtitle>{Настраиваемый}\r\nДля желающих задать собственные настройки.","<subtitle>{Personalizado}\r\nPara quienes prefieren crear su propia configuración.","<subtitle>{ปรับแต่ง}\r\nสำหรับผู้ที่ต้องการตั้งค่าการเลือกเป้าหมายด้วยตนเอง","<subtitle>{自訂}\r\n讓玩家可自行設定。","","","","","","","","","","","",2541868444,"",""
42,"GamepadTargetingCustomOptionLargeSelectionArea","Targeting Area","Zone de ciblage","Zielbereich","選択エリア","대상 지정 범위","Área Selecionada","Область прицеливания","Área de selección de objetivos","พื้นที่การเลือกเป้าหมาย","目標選擇區域","","","","","","","","","","","",2332706223,"",""
43,"GamepadTargetingCustomOptionDistanceWeighting","Range Bias ","Préférence de portée","Reichweitenorientierung","距離ウェイティング","거리 편향","Desvio de Alcance","Разброс расстояния","Preferencia del alcance","ความสำคัญของระยะ","範圍偏差","","","","","","","","","","","",4182151648,"",""
44,"GamepadTargetingCustomOptionAimOverrideSoftlock","{0} Softlock","{0} Verrouillage souple","{0} Softlock","{0} ソフトターゲットロック","{0} 대상 고정","{0} Trava Leve","{0} Мягкая блокировка","{0} Bloqueo suave","{0} ล็อกเป้าหมาย","{0} 軟鎖","","","","","","","","","","","",731132508,"",""
45,"GamepadTargetingCustomOptionPriortiseCombatDirection","Direction Priority","Priorité de direction","Richtungspriorität","優先戦闘方向","방향 우선순위","Prioridade Direcional","Приоритет направления","Prioridad de dirección","การให้ความสำคัญต่อทิศทาง","方向優先度","","","","","","","","","","","",2227149466,"",""
