"rownum","Id","MiscObject","i32_24","string_28","string_36","[i32]_44","bool_60","i32_61","bool_65","i32_66","i32_70","i32_74","[i32]_78","HideoutDoodad"
11,"MiracleMapDevice2","",36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice2","aux_potralbutton_attachment","[-25,0]",1,0,1,8,0,0,[],1056
12,"MiracleMapDevice3","",36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice3","aux_potralbutton_attachment","[-25,0]",1,0,1,8,0,0,[],1057
13,"AstrolabeMapDevice","",18,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/AstrolabeMapDevice","",[],1,0,"",8,0,0,[],1165
14,"SyntheticMapDevice","",36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/SyntheticMapDevice","aux_portalbutton_attachment","[-28,0]",1,0,1,8,0,0,[],1196
15,"DemonicMapDevice","",36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/DemonicMapDevice","pyre_jntBnd","[-30,0]",1,0,1,8,0,0,[],1212
16,"EldritchReaperMapDeviceSmall","",18,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ScaryMapDevice","",[],1,0,"",8,0,0,[],""
17,"EldritchReaperMapDeviceLarge","",36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ScaryMapDevice","aux_brazier_attach","[-18,2]",1,0,1,8,0,0,[],""
18,"MagebloomMapDevice","",24,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/PauaMapDevice","aux_receptacle_jntBnd","[-17,0]",1,0,1,8,0,0,[],1249
19,"SunMapDevice",266,30,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/SunMapDevice","aux_pedestal_attach","[-20,0]",1,20,1,8,0,0,[],1277
20,"BloodlordMapDevice",269,31,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/PetBlenderMapDevice","aux_button_attach","[-31,0]",1,0,1,8,0,0,[],1278
21,"CauldronMapDevice",528,38,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/CauldronMapDevice","aux_receptacle","[-37,2]",1,0,1,4,0,0,[],1332
22,"ThroneoftheRulerMapDevice",540,30,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ThroneoftheRulerMapDevice","pot_jntBnd","[0,-19]",1,0,1,8,0,0,[],1355
23,"ZodiacDragonMapDevice",564,18,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ZodiacDragonMapDevice","aux_flowerBase","[0,-40]",1,0,1,8,1,0,[],1356
24,"StopwatchMapDevice",619,26,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/StopwatchMapDevice","aux_bowl_attach","[-17,0]",1,0,1,1,0,0,[],1447
25,"StopwatchMapDeviceSilver",621,26,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/StopwatchMapDeviceSilver","aux_bowl_attach","[-17,0]",1,0,1,1,0,0,[],1448
26,"StopwatchMapDeviceGold",620,26,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/StopwatchMapDeviceGold","aux_bowl_attach","[-17,0]",1,0,1,1,0,0,[],1449
27,"ZigguratMapDeviceSmall","",20,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ZigguratMapDevice","",[],1,0,"",8,0,0,[],1450
28,"ZigguratMapDeviceLarge",624,38,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/ZigguratMapDevice","interactable_jntBnd","[-25,2]",1,0,1,8,0,0,[],1450
29,"VaalSerpentGodMapDevice",636,24,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/VaalSerpentGodMapDevice","aux_bowl_attach","[-40,-2]",1,0,1,8,1,3500,[],1451
30,"TreeMapDevice",656,24,"Metadata/MapDevices/TreeMapDevice/TreeMapDevice","aux_receptacle_jntBnd","[-23,-13]",1,0,1,3,0,2500,"[0,0,0,0,0,0]",1453
31,"TreeMapDeviceSmall",656,24,"Metadata/MapDevices/TreeMapDevice/TreeMapDevice","aux_receptacle_jntBnd","[-15,-8]",1,0,"",3,0,2500,"[0,0,0,0,0,0]",1453
32,"TreeMapDeviceBlood",657,24,"Metadata/MapDevices/TreeMapDevice/blood/TreeMapDevice","aux_receptacle_jntBnd","[-23,-13]",1,0,1,3,0,2500,"[0,0,0,0,0,0]",1454
33,"TreeMapDeviceBloodSmall",657,24,"Metadata/MapDevices/TreeMapDevice/blood/TreeMapDevice","aux_receptacle_jntBnd","[-15,-8]",1,0,"",3,0,2500,"[0,0,0,0,0,0]",1454
34,"TreeMapDeviceNightlotus",658,24,"Metadata/MapDevices/TreeMapDevice/nightlotus/TreeMapDevice","aux_receptacle_jntBnd","[-23,-13]",1,0,1,3,0,2500,"[0,0,0,0,0,0]",1455
35,"TreeMapDeviceNightlotusSmall",658,24,"Metadata/MapDevices/TreeMapDevice/nightlotus/TreeMapDevice","aux_receptacle_jntBnd","[-15,-8]",1,0,"",3,0,2500,"[0,0,0,0,0,0]",1455
36,"TorGulMapDevice",670,46,"Metadata/MapDevices/TorGulMapDevice/TorGulMapDevice","aux_pedestal_jntBnd","[0,-46]",1,0,1,2,0,2700,"[0,250,500,750,1000,1250]",1475
37,"TreeofSoulsMapDevice",684,24,"Metadata/MapDevices/TreeOfSoulsMapDevice/TreeOfSoulsMapDevice","aux_mapholder_ground","[-29,-32]",1,0,1,3,0,2500,"[0,0,0,0,0,0]",1484
38,"Metadata/Items/Hideout/HideoutAukunasAgonyMapDevice",695,24,"Metadata/MapDevices/DjinnMapDevice/DjinnMapDevice01/DjinnMapDevice01","aux_Pedestal","[-30,3]",1,0,1,1,0,0,[],1485
39,"Metadata/Items/Hideout/HideoutAsalasAgonyMapDevice",696,24,"Metadata/MapDevices/DjinnMapDevice/DjinnMapDevice02/DjinnMapDevice02","aux_Pedestal","[-30,3]",1,0,1,1,0,0,[],1486
40,"Metadata/Items/Hideout/HideoutDeshretsDespairMapDevice",697,24,"Metadata/MapDevices/DjinnMapDevice/DjinnMapDevice03/DjinnMapDevice03","aux_Pedestal","[-30,3]",1,0,1,1,0,0,[],1487
41,"CrueltyMapDevice",717,40,"Metadata/MapDevices/WorldEaterMapDevice/WorldEaterMapDevice","aux_bowl_jntBnd","[0,-50]",1,0,1,5,0,0,[],1510
42,"HallowedLibraryMapDeviceSmall",741,20,"Metadata/MapDevices/HallowedLibraryMapDevice/HallowedLibraryMapDevice","aux_receptacle_small_jntBnd","[-16,0]",1,0,1,8,0,0,[],1512
43,"HallowedLibraryMapDeviceLarge",741,46,"Metadata/MapDevices/HallowedLibraryMapDevice/HallowedLibraryMapDevice","aux_receptacle_jntBnd","[-46,0]",1,0,1,8,0,0,[],1512
44,"MetkulMapDevice",761,36,"Metadata/MapDevices/MektulMapDevice/MektulMapDevice","aux_podium_base","[-46,0]",1,0,1,8,0,0,[],1530
45,"FountainHallwayMapDevice","",32,"Metadata/MapDevices/FountainHallwayMapDevice/FountainHallwayMapDevice","",[],1,0,"",8,0,0,[],1531
46,"FountainHallwayMediumDevice","",32,"Metadata/MapDevices/FountainHallwayMapDevice/FountainHallwayMapDevice","",[],1,0,"",8,0,0,[],1531
47,"FountainHallwayLargeDevice","",32,"Metadata/MapDevices/FountainHallwayMapDevice/FountainHallwayMapDevice","",[],1,0,"",8,0,0,[],1531
48,"PrisonHallwayMapDeviceTiny",829,18,"Metadata/MapDevices/PrisonHallwayMapDevice/PrisonHallwayMapDevice","plinth_aux_1","[0,0]",1,0,"",2,0,0,[],1576
49,"PrisonHallwayMapDeviceSmall",829,18,"Metadata/MapDevices/PrisonHallwayMapDevice/PrisonHallwayMapDevice","plinth_aux_1","[0,-67]",1,0,"",2,0,0,[],1576
50,"PrisonHallwayMapDeviceLarge",829,18,"Metadata/MapDevices/PrisonHallwayMapDevice/PrisonHallwayMapDevice","plinth_aux_1","[0,-92]",1,0,1,2,0,0,[],1576
51,"ChampionsPodiumMapDeviceSmall",883,18,"Metadata/MapDevices/MonarchOfTrarthusMapDevice/MonarchOfTrarthusMapDevice","aux_podium","[0,-17]",1,0,"",8,1,0,[],1581
52,"ChampionsPodiumMapDeviceLarge",883,36,"Metadata/MapDevices/MonarchOfTrarthusMapDevice/MonarchOfTrarthusMapDevice","aux_podium","[0,-27]",1,0,1,8,1,0,[],1581
53,"PrecursorMapDeviceSmall",916,18,"Metadata/MapDevices/PrecursorMapDevice/PrecursorMapDevice","aux_podium_attach_jntBnd","[-9,-22]",1,0,"",4,1,3300,[],1644
54,"PrecursorMapDeviceSmall2",916,18,"Metadata/MapDevices/PrecursorMapDevice/PrecursorMapDevice","aux_podium_attach_jntBnd","[-9,-22]",1,0,"",4,1,3300,[],1644
55,"PrecursorMapDeviceLarge",916,36,"Metadata/MapDevices/PrecursorMapDevice/PrecursorMapDevice","aux_podium_attach_jntBnd","[-12,-46]",1,0,1,4,1,3300,[],1644
56,"PrecursorMapDeviceLarge2",916,36,"Metadata/MapDevices/PrecursorMapDevice/PrecursorMapDevice","aux_podium_attach_jntBnd","[-12,-46]",1,0,1,4,1,3300,[],1644
57,"SanctumHourglassMapDevice",921,36,"Metadata/MapDevices/HourglassMapDevice/HourglassMapDevice","aux_poduim_jntBnd","[0,-32]",1,0,1,6,0,0,[],1635
58,"PinkSanctumHourglassMapDevice",923,36,"Metadata/MapDevices/HourglassMapDevice/PinkHourglassMapDevice","aux_poduim_jntBnd","[0,-32]",1,0,1,6,0,0,[],1636
59,"BlackSanctumHourglassMapDevice",925,36,"Metadata/MapDevices/HourglassMapDevice/BlackHourglassMapDevice","aux_poduim_jntBnd","[0,-32]",1,0,1,6,0,0,[],1637
60,"PrisonAltarMapDeviceSmall",959,36,"Metadata/MapDevices/PrisonerAltarMapDevice/PrisonAltarMapDevice","aux_pedestal","[0,-24]",1,0,1,7,1,2000,[],1683
61,"PrisonAltarMapDeviceLarge",959,36,"Metadata/MapDevices/PrisonerAltarMapDevice/PrisonAltarMapDevice","aux_pedestal","[0,-24]",1,0,"",7,1,1000,[],1683
62,"ArbiterOfDivinityMapDevice1",964,18,"Metadata/MapDevices/DivinityMapDevice/DivinityMapDevice","controlPanelRight_jntBnd","[-20,-42]",1,0,"",8,1,0,[],1688
63,"ArbiterOfDivinityMapDevice2",964,18,"Metadata/MapDevices/DivinityMapDevice/DivinityMapDevice","controlPanelRight_jntBnd","[-16,-44]",1,0,"",8,0,0,[],1688
