"rownum","StatisticTrackingMtx","i32_16","i32_20","VisualIdentity","bool_40","Icon","bool_49","Description","CounterType","i32_82","i32_86","bool_90","bool_91"
198,28,2,146,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryConstruct","","",0,0,34,"",""
199,28,3,147,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryUndead","","",0,0,34,"",""
200,28,4,148,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryBeasts","","",0,0,34,"",""
201,28,5,149,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryHumanoid","","",0,0,34,"",""
202,28,6,144,"","","Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryEldritch","","",1,0,34,"",""
203,28,7,145,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryDemon","","",1,0,34,"",""
204,28,8,146,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryConstruct","","",1,0,34,"",""
205,28,9,147,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryUndead","","",1,0,34,"",""
206,28,10,148,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryBeasts","","",1,0,34,"",""
207,28,11,149,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/MonsterCategoryHumanoid","","",1,0,34,"",""
208,30,0,22,"",1,"","","",0,0,34,"",""
209,30,1,23,"",1,"","","",0,0,34,"",""
210,30,2,24,"",1,"","","",0,0,34,"",""
211,30,3,25,"",1,"","","",0,0,34,"",""
212,30,4,22,"",1,"","","",1,0,34,"",""
213,30,5,23,"",1,"","","",1,0,34,"",""
214,30,6,24,"",1,"","","",1,0,34,"",""
215,30,7,25,"",1,"","","",1,0,34,"",""
216,29,0,150,12940,1,"","","",0,0,34,"",""
217,29,1,151,"",1,"Art/2DArt/UIImages/InGame/MTX/EssenceTabIcon","","",0,0,34,"",""
218,29,2,152,16482,1,"","","",0,0,34,"",""
219,29,3,153,11535,1,"","","",0,0,34,"",""
220,29,4,154,11704,1,"","","",0,0,34,"",""
221,29,5,155,17194,1,"","","",0,0,34,"",""
222,29,6,156,16939,1,"","","",0,0,34,"",1
223,29,7,157,"",1,"Art/2DArt/UIImages/InGame/MTX/TrackingScrolls/TrackingScrollLineageGem","","",0,0,34,"",""
224,29,8,158,16271,1,"","","",0,0,34,"",""
225,29,9,159,16272,1,"","","",0,0,34,"",""
226,29,10,160,16549,1,"","","",0,0,34,"",""
227,31,0,45,"",1,"","",329,0,0,34,"",""
228,31,1,69,"",1,"","",330,0,0,34,"",""
229,31,2,70,"",1,"","",331,0,0,34,"",""
230,31,3,71,"",1,"","",332,0,0,34,"",""
231,31,4,45,"",1,"","",329,1,0,34,"",""
232,31,5,69,"",1,"","",330,1,0,34,"",""
233,31,6,70,"",1,"","",331,1,0,34,"",""
234,31,7,71,"",1,"","",332,1,0,34,"",""
