"rownum","Id","Name","GrantedEffect","GrantedEffectHardmode","GrantedEffect2","GrantedEffect2Hardmode","SupportText","SupportName","GemTags","Consumed_ModsKey","ItemColor"
77,"SplitArrowAltY","[DNT] SplitArrowAltY",374,"","","","","","[10,25,13,5,33,6]","",2
78,"AddedFireDamageSupport","",583,"","","","Supports any skill that hits enemies.","","[0,33,9,16]",13921,3
79,"FasterAttackSupport","",584,"","","","Supports attack skills.","","[13,10,16]",14016,3
80,"GreaterMultipleProjectilesSupport","",586,"","","","Supports projectile skills.","","[10,16,5]",13960,3
81,"LesserMultipleProjectilesSupport","",588,"","","","Supports projectile skills.","","[10,16,5]",13948,3
82,"FasterProjectilesSupport","",590,"","","","Supports projectile skills.","","[10,16,5]",13936,3
83,"AddedColdDamageSupport","",592,"","","","Supports any skill that hits enemies.","","[1,10,16]",13925,3
84,"AdditionalAccuracySupport","",594,"","","","Supports attack skills.","","[13,10,16]",13927,3
85,"IncreasedAreaOfEffectSupport","",595,"","","","Supports any skill with an area of effect.","","[11,16,14]",13944,3
86,"AddedLightningDamageSupport","",597,"","","","Supports any skill that hits enemies.","","[2,11,16]",14024,3
87,"ColdSnap","",8750,"","","","","","[11,25,4,14,1,15]","",3
88,"ColdSnapAltX","Cold Snap of Power",8751,"","","","","","[47,11,25,4,14,1]","",1
89,"ColdSnapAltY","[DNT] ColdSnapAltY",8752,"","","","","","[11,25,4,14,1,15]","",2
90,"VaalColdSnap","",8759,"",8750,"","","","[11,25,4,14,15,24,1]","",3
91,"VaalColdSnapAltX","Vaal Cold Snap",8759,"",8751,"","","","[47,11,25,4,14,15,24,1]","",1
92,"VaalColdSnapAltY","Vaal Cold Snap",8759,"",8752,"","","","[11,25,4,14,15,24,1]","",2
93,"RaiseZombie","",617,"","","","","","[11,25,4,8]","",3
94,"RaiseZombieAltX","Raise Zombie of Slamming",618,"","","","","","[11,25,4,8]","",1
95,"RaiseZombieAltY","Raise Zombie of Falling",619,"","","","","","[11,25,4,8]","",2
96,"PoisonArrow","",632,"","","","","","[10,25,13,5,14,15,3,6]","",3
97,"PoisonArrowAltX","Caustic Arrow of Poison",633,"","","","","","[10,25,13,5,14,3,6]","",1
98,"PoisonArrowAltY","[DNT] PoisonArrowAltY",634,"","","","","","[10,25,13,5,14,15,3,6]","",2
99,"DamageInfusion","",647,"","","","","","[11,25,4,14]","",3
100,"BloodRage","",648,"","","","","","[10,25,4,15,33]","",3
101,"Ignite","",652,"","","","","","[11,25,4,15,0]","",3
102,"RighteousFire","",653,"","","","","","[11,25,4,14,0]","",3
103,"RighteousFireAltX","Righteous Fire of Arcane Devotion",654,"","","","","","[11,25,4,14,0]","",1
104,"RighteousFireAltY","[DNT] RighteousFireAltY",655,"","","","","","[11,25,4,14,0]","",2
105,"VaalRighteousFire","",8849,"",653,"","","","[11,25,4,14,0,24,15]","",3
106,"VaalRighteousFireAltX","Vaal Righteous Fire",8849,"",654,"","","","[11,25,4,14,0,24,15]","",1
107,"VaalRighteousFireAltY","Vaal Righteous Fire",8849,"",655,"","","","[11,25,4,14,0,24,15]","",2
108,"FireWeapon","",699,"","","","","","[11,25,4,15,0]","",3
109,"Discharge","",700,"","","","","","[11,25,4,14,0,1,2,38]","",3
110,"DischargeAltX","Discharge of Misery",701,"","","","","","[11,25,4,14,0,1,2,38]","",1
111,"DischargeAltY","[DNT] DischargeAltY",702,"","","","","","[11,25,4,14,0,1,2,38]","",2
112,"Portal","",707,"","","","","","[29,25,4]","",3
113,"VaalPortal","",708,"",707,"","","","[29,25,4,24]","",3
114,"ReducedManaSupport","",709,"","","","Supports any skill. Minions, Totems, Traps and Mines cannot gain Inspiration Charges.","","[47,9,16]",13926,3
115,"IncreasedCriticalStrikesSupport","",714,"","","","Supports any skill that hits enemies.","","[47,11,16]",13961,3
116,"IncreasedCriticalDamageSupport","",716,"","","","Supports any skill that hits enemies.","","[47,11,16]",13950,3
117,"KnockbackSupport","",717,"","","","Supports any skill that hits enemies.","","[9,16]",13945,3
118,"LifeLeechSupport","",719,"","","","Supports any skill that hits enemies, causing those hits to leech life based on damage dealt.","","[9,16]",13933,3
119,"ManaLeechSupport","",721,"","","","Supports attack skills that hit enemies, causing those hits to leech mana based on damage dealt.","","[10,16]",13924,3
120,"AddedChaosDamageSupport","",722,"","","","Supports any skill that hits enemies.","","[3,11,16]",14025,3
121,"Backstab","",723,"","","","","","[10,25,13,7,36]","",3
122,"FlickerStrike","",724,"","","","","","[10,25,13,7,36,22,15]","",3
123,"FlickerStrikeAltX","Flicker Strike of Power",725,"","","","","","[47,10,25,13,7,36,22,15]","",1
124,"FlickerStrikeAltY","[DNT] FlickerStrikeAltY",726,"","","","","","[10,25,13,7,36,22,15]","",2
125,"VaalFlickerStrike","",734,"",724,"","","","[10,25,13,7,36,22,24,15]","",3
126,"VaalFlickerStrikeAltX","Vaal Flicker Strike",734,"",725,"","","","[47,10,25,13,7,36,22,24,15]","",1
127,"VaalFlickerStrikeAltY","Vaal Flicker Strike",734,"",726,"","","","[10,25,13,7,36,22,24,15]","",2
128,"Spark","",877,"","","","","","[11,25,4,5,15,2]","",3
129,"SparkAltX","Spark of the Nova",878,"","","","","","[11,25,4,5,15,2]","",1
130,"SparkAltY","Spark of Unpredictability",879,"","","","","","[11,25,4,5,15,2]","",2
131,"VaalSpark","",3191,"",877,"","","","[11,25,4,5,15,24,2]","",3
132,"VaalSparkAltX","Vaal Spark",3191,"",878,"","","","[11,25,4,5,15,24,2]","",1
133,"VaalSparkAltY","Vaal Spark",3191,"",879,"","","","[11,25,4,5,15,24,2]","",2
134,"CastLinkedCursesOnCurseSupport","",5472,"","","","","","[16,26]","",3
135,"StunSupport","",894,"","","","Supports any skill that hits enemies, making it easier to stun enemies with those skills.","","[9,16]",13939,3
136,"IceSpear","",896,"","","","","","[47,11,25,4,5,1]","",3
137,"IceSpearAltX","Ice Spear of Splitting",897,"","","","","","[11,25,4,5,1]","",1
138,"IceSpearAltY","[DNT] IceSpearAltY",898,"","","","","","[47,11,25,4,5,1]","",2
139,"PierceSupport","",915,"","","","Supports projectile skills.","","[10,16,5]",14015,3
140,"TrapSupport","",916,"","","","Supports spells, or attacks that use bows or wands. Instead of using that skill, you will throw a trap that will use the skill for you when an enemy walks near it. Traps cannot use channelling skills.","","[10,16,20]",13954,3
141,"RaiseSpectre","",918,"","","","","","[11,25,4,8]","",3
142,"RaiseSpectreAltX","Raise Spectre of Transience",919,"","","","","","[11,25,4,8,15]","",1
143,"RaiseSpectreAltY","[DNT] RaiseSpectreAltY",920,"","","","","","[11,25,4,8]","",2
144,"InfernalBlow","",8837,"","","","","","[9,25,13,14,7,36,0,15]","",3
145,"InfernalBlowAltX","Infernal Blow of Immolation",8838,"","","","","","[9,25,13,14,7,36,0,15]","",1
146,"InfernalBlowAltY","[DNT] InfernalBlowAltY",8839,"","","","","","[9,25,13,14,7,36,0,15]","",2
147,"GlacialHammer","",929,"","","","","","[9,25,13,7,36,1]","",3
148,"GlacialHammerAltX","Glacial Hammer of Shattering",930,"","","","","","[47,9,25,13,7,36,1]","",1
149,"GlacialHammerAltY","[DNT] GlacialHammerAltY",931,"","","","","","[9,25,13,7,36,1]","",2
150,"VaalGlacialHammer","",938,"",929,"","","","[9,25,13,7,36,15,14,24,1]","",3
151,"VaalGlacialHammerAltX","Vaal Glacial Hammer",938,"",930,"","","","[9,25,13,7,36,15,14,24,1]","",1
152,"VaalGlacialHammerAltY","Vaal Glacial Hammer",938,"",931,"","","","[9,25,13,7,36,15,14,24,1]","",2
153,"FrostWall","",949,"","","","","","[11,25,4,15,1]","",3
154,"FrostWallAltX","[DNT] FrostWallAltX",950,"","","","","","[11,25,4,15,1]","",1
155,"FrostWallAltY","[DNT] FrostWallAltY",951,"","","","","","[11,25,4,15,1]","",2
156,"FreezingPulse","",961,"","","","","","[11,25,4,5,1]","",3
157,"FreezingPulseAltX","[DNT] FreezingPulseAltX",962,"","","","","","[11,25,4,5,1]","",1
158,"FreezingPulseAltY","[DNT] FreezingPulseAltY",963,"","","","","","[11,25,4,5,1]","",2
159,"ShockNova","",977,"","","","","","[11,25,4,14,2,38]","",3
160,"ShockNovaAltX","[DNT] ShockNovaAltX",978,"","","","","","[11,25,4,14,2,38]","",1
161,"ShockNovaAltY","[DNT] ShockNovaAltY",979,"","","","","","[11,25,4,14,2,38]","",2
162,"NewShockNova","",4572,"","","","","","[11,25,4,14,2,38]","",3
163,"ViperStrike","",1015,"","","","","","[10,25,13,15,7,36,3]","",3
164,"ViperStrikeAltX","Viper Strike of the Mamba",1016,"","","","","","[10,25,13,15,7,36,3]","",1
165,"ViperStrikeAltY","[DNT] ViperStrikeAltY",1017,"","","","","","[10,25,13,15,7,36,3]","",2
166,"NewPhaseRun","",4929,"","","","","","[10,25,4,15,22,33,35]","",3
167,"PhaseRun","",4929,"","","","","","[10,25,4,15,22,33,35]","",3
168,"MeleePhysicalDamageSupport","",1026,"","","","Supports melee attack skills.","","[7,33,9,16,13]",14017,3
169,"ItemQuantitySupport","",1027,"","","","Supports any skill that can kill enemies.","","[9,16]",13962,3
170,"ItemRaritySupport","",1029,"","","","Supports any skill that can kill enemies.","","[11,16]",13963,3
171,"FasterCastSupport","",1030,"","","","Supports non-instant spell skills.","","[11,16,4]",13956,3
172,"ExplosiveArrow","",1032,"","","","","","[10,25,13,5,14,15,0,6]","",3
173,"ExplosiveArrowAltX","[DNT] ExplosiveArrowAltX",1033,"","","","","","[10,25,13,5,14,15,0,6]","",1
174,"ExplosiveArrowAltY","[DNT] ExplosiveArrowAltY",1034,"","","","","","[10,25,13,5,14,15,0,6]","",2
175,"TemporalChains","",1065,"","","","","","[10,25,4,14,15,17,42]","",3
176,"ElementalWeakness","",1088,"","","","","","[11,25,4,14,15,17,42]","",3
177,"WarlordsMark","",1098,"","","","","","[9,25,4,17,43]","",3
178,"Punishment","",1105,"","","","","","[9,25,4,14,15,17,42]","",3
179,"NewPunishment","",4819,"","","","","","[9,25,4,14,15,17,42]","",3
180,"Enfeeble","",1110,"","","","","","[11,25,4,14,15,17,42]","",3
181,"CriticalWeakness","",1124,"","","","","","[47,11,25,4,17,43]","",3
182,"ProjectileWeakness","",1132,"","","","","","[10,25,4,17,43]","",3
183,"Vulnerability","",8606,"","","","","","[11,25,4,14,15,3,17,42]","",3
184,"LightningWarp","",1167,1170,"","","","","[11,25,4,14,15,22,2,35]","",3
185,"LightningWarpAltX","[DNT] LightningWarpAltX",1168,1170,"","","","","[11,25,4,14,15,22,2,35]","",1
186,"LightningWarpAltY","[DNT] LightningWarpAltY",1169,1170,"","","","","[11,25,4,14,15,22,2,35]","",2
187,"VaalLightningWarp","",1172,"",1167,"","","","[11,25,4,14,15,24,2,22,35]","",3
188,"SummonSkeletons","",1204,"","","","","","[11,25,4,8,15]","",3
189,"SummonSkeletonsAltX","Summon Skeletons of Archers",1205,"","","","","","[11,25,4,8,15]","",1
190,"SummonSkeletonsAltY","Summon Skeletons of Mages",1206,"","","","","","[11,25,4,8,15,45]","",2
191,"VaalSummonSkeletons","",1208,"",1204,"","","","[11,25,4,8,15,24]","",3
192,"VaalSummonSkeletonsAltX","Vaal Summon Skeletons",1208,"",1205,"","","","[11,25,4,8,15,24]","",1
193,"VaalSummonSkeletonsAltY","Vaal Summon Skeletons",1208,"",1206,"","","","[11,25,4,8,15,24,45]","",2
194,"HeavyStrike","",1236,"","","","","","[9,25,13,7,36]","",3
195,"HeavyStrikeAltX","[DNT] Heavy Strike of Clobbering",1237,"","","","","","[9,25,13,7,36]","",1
196,"HeavyStrikeAltY","[DNT] HeavyStrikeAltY",1238,"","","","","","[9,25,13,7,36]","",2
197,"VaalHeavyStrike","",1240,"","","","","","[9,25,13,7,36,24]","",3
198,"DominatingBlow","",1251,"","","","","","[9,25,13,8,15,7,36]","",3
199,"DominatingBlowAltX","Dominating Blow of Inspiring",1252,"","","","","","[9,25,13,8,15,7,36]","",1
200,"DominatingBlowAltY","[DNT] DominatingBlowAltY",1253,"","","","","","[9,25,13,8,15,7,36]","",2
201,"RainOfArrows","",8778,"","","","","","[10,25,13,14,5,6]","",3
202,"RainOfArrowsAltX","Rain of Arrows of Artillery",8779,"","","","","","[10,25,13,14,5,6]","",1
203,"RainOfArrowsAltY","Rain of Arrows of Saturation",8781,"","","","","","[10,25,13,14,5,6]","",2
204,"VaalRainOfArrows","",8784,"",8778,"","","","[10,25,13,14,5,24,6]","",3
205,"VaalRainOfArrowsAltX","Vaal Rain of Arrows",8784,"",8779,"","","","[10,25,13,14,5,24,6]","",1
206,"VaalRainOfArrowsAltY","Vaal Rain of Arrows",8784,"",8781,"","","","[10,25,13,14,5,24,6]","",2
207,"ConcentratedEffectSupport","",1266,"","","","Supports any skill with an area of effect, regardless of whether that skill deals damage.","","[11,16,14]",14022,3
208,"MinionDamageSupport","",1268,"","","","Supports skills which create Minions.","","[11,16,8]",13949,3
209,"IncreasedDurationSupport","",1269,"","","","Supports any skill with a duration.","","[9,16,15]",13964,3
210,"ColdToFireSupport","",1271,"","","","Supports any skill that hits enemies.","","[1,0,9,16]",13958,3
211,"ChanceToIgniteSupport","",1272,"","","","Supports any skill that hits enemies.","","[0,11,16]",13965,3
212,"MinionSpeedSupport","",1274,"","","","Supports skills which create Minions.","","[22,11,16,8]",13947,3
213,"MinionLifeSupport","",1275,"","","","Supports skills which create Minions.","","[11,16,8]",13946,3
214,"WeaponElementalDamageSupport","",1276,"","","","Supports attack skills.","","[13,9,16]",13943,3
215,"BloodlustSupport","",4511,"","","","Supports melee attack skills, causing them to deal more damage against bleeding enemies, but preventing those skills from inflicting bleeding on enemies in any way.","","[13,33,9,16,7]",13966,3
216,"LifeGainOnHitSupport","",1277,"","","","Supports attack skills.","","[13,9,16]",13967,3
217,"Firestorm","",1278,"","","","","","[11,25,4,14,15,0]","",3
218,"FirestormAltX","Firestorm of Meteors",1279,"","","","","","[11,25,4,14,0]","",1
219,"FirestormAltY","Firestorm of Pelting",1280,"","","","","","[11,25,4,14,15,0]","",2
220,"LightningStrike","",1421,"","","","","","[10,25,13,5,7,36,2]","",3
221,"LightningStrikeAltX","Lightning Strike of Arcing",1422,"","","","","","[10,25,13,5,7,36,2,18]","",1
222,"LightningStrikeAltY","[DNT] LightningStrikeAltY",1423,"","","","","","[10,25,13,5,7,36,2]","",2
223,"VaalLightningStrike","",8766,"",1421,"","","","[10,25,13,7,36,15,24,2,5]","",3
224,"VaalLightningStrikeAltX","Vaal Lightning Strike",8766,"",1422,"","","","[10,25,13,7,36,15,24,2,5,18]","",1
225,"VaalLightningStrikeAltY","Vaal Lightning Strike",8766,"",1423,"","","","[10,25,13,7,36,15,24,2,5]","",2
226,"TempestShield","",1480,"","","","","","[11,25,4,2,18]","",3
227,"MoltenShell","",1484,"","","","","","[9,25,4,14,15,0,33,34]","",3
228,"VaalMoltenShell","",1485,"",1484,"","","","[9,25,4,14,15,0,33,24,34]","",3
229,"PowerSiphon","",1497,"","","","","","[47,11,25,13,5]","",3
230,"PowerSiphonAltX","Power Siphon of the Archmage",1498,"","","","","","[11,25,13,5,2]","",1
231,"PowerSiphonAltY","[DNT] PowerSiphonAltY",1499,"","","","","","[47,11,25,13,5]","",2
232,"VaalPowerSiphon","",1500,"",1497,"","","","[47,11,25,13,5,24]","",3
233,"VaalPowerSiphonAltX","Vaal Power Siphon",1500,"",1498,"","","","[47,11,25,13,5,24,2]","",1
234,"VaalPowerSiphonAltY","Vaal Power Siphon",1500,"",1499,"","","","[47,11,25,13,5,24]","",2
235,"Puncture","",1819,"","","","","","[10,25,13,5,15,7,36,33,6]","",3
236,"PunctureAltX","[DNT] PunctureAltX",1820,"","","","","","[10,25,13,5,15,7,36,33,6]","",1
237,"PunctureAltY","[DNT] PunctureAltY",1821,"","","","","","[10,25,13,5,15,7,36,33,6]","",2
238,"LightningArrow","",1837,"","","","","","[10,25,13,14,5,2,6]","",3
239,"LightningArrowAltX","Lightning Arrow of Electrocution",1838,"","","","","","[10,25,13,5,2,6]","",1
240,"LightningArrowAltY","[DNT] LightningArrowAltY",1839,"","","","","","[10,25,13,14,5,2,6]","",2
241,"Haste","",1848,"","","","","","[12,10,25,4,14]","",3
242,"VaalHaste","",1854,"",1848,"","","","[12,10,25,4,14,15,24]","",3
243,"Purity","",1858,"","","","","","[12,11,25,4,14]","",3
244,"Vitality","",1860,"","","","","","[12,9,25,4,14]","",3
245,"Discipline","",1867,"","","","","","[12,11,25,4,14]","",3
246,"VaalDiscipline","",1868,"",1867,"","","","[12,11,25,4,14,15,24]","",3
247,"Grace","",1873,1874,"","","","","[12,10,25,4,14]","",3
248,"VaalGrace","",1880,"",1873,1874,"","","[12,10,25,4,14,15,24]","",3
249,"Determination","",1883,1884,"","","","","[12,9,25,4,14,33]","",3
250,"Anger","",1889,"","","","","","[12,9,25,4,14,0]","",3
251,"Hatred","",1896,"","","","","","[12,10,25,4,14,1]","",3
252,"Wrath","",1905,"","","","","","[12,11,25,4,14,2]","",3
253,"BurningArrow","",1915,"","","","","","[10,25,13,5,0,6]","",3
254,"BurningArrowAltX","Burning Arrow of Vigour",1916,"","","","","","[10,25,13,5,0,6]","",1
255,"BurningArrowAltY","[DNT] BurningArrowAltY",1917,"","","","","","[10,25,13,5,0,6]","",2
256,"VaalBurningArrow","",3197,"",1915,"","","","[10,25,13,5,14,24,0,6]","",3
257,"VaalBurningArrowAltX","Vaal Burning Arrow",3197,"",1916,"","","","[10,25,13,5,14,24,0,6]","",1
258,"VaalBurningArrowAltY","Vaal Burning Arrow",3197,"",1917,"","","","[10,25,13,5,14,24,0,6]","",2
259,"ElementalProliferationSupport","",1923,"","","","Supports any skill that hits enemies, or could otherwise apply elemental ailments.","","[1,0,2,11,16,14]",14020,3
260,"BloodMagicSupport","",1924,"","","","Supports any non-blessing skill with a reservation.","","[12,9,16]",13928,3
261,"Clarity","",1930,"","","","","","[12,11,25,4,14]","",3
262,"VaalClarity","",1933,"",1930,"","","","[12,11,25,4,14,15,24]","",3
263,"CullingStrikeSupport","",1934,"","","","Supports any skill that hits enemies. If enemies are left below 10% of maximum life after being hit by these skills, they will be killed.","","[10,16]",13968,3
264,"PointBlankSupport","",1935,"","","","Supports projectile skills.","","[5,13,10,16]",13969,3
265,"IronGripSupport","",1937,"","","","Supports attack skills that fire projectiles, making the increase to physical melee damage from strength also increase their physical projectile damage.","","[5,33,9,16]",13970,3
266,"IronWillSupport","",1938,"","","","Supports spell skills, making the increase to physical melee damage from strength also increase their spell damage.","","[4,9,16]",13955,3
267,"MeleeDamageOnFullLifeSupport","",1939,"","","","Supports attack skills, providing a bonus to all damage dealt by those skills while your life is full.","","[13,9,16]",13971,3
268,"SpellTotemSupport","",1940,"","","","Supports spell skills that are not triggered. Instead of casting that spell, you will summon a totem that casts the spell for you.","","[9,16,4,19]",13959,3
269,"RemoteMineSupport","",1950,"","","","Supports spells, or attacks that use bows or wands. Instead of using that skill, you will throw a mine that will use the skill for you when you detonate it. Mines cannot use channelling skills.","","[11,16,21]",13937,3
270,"DetonateMines","",1953,"","","","","","[29,21,25,4]","",3
271,"ShockwaveTotem","",1954,"","","","","","[19,9,25,4,14,33,38]","",3
272,"ShockwaveTotemAltX","[DNT] ShockwaveTotemAltX",1955,"","","","","","[19,9,25,4,14,33,38]","",1
273,"ShockwaveTotemAltY","[DNT] ShockwaveTotemAltY",1956,"","","","","","[19,9,25,4,14,33,38]","",2
274,"RejuvenationTotem","",1966,"","","","","","[19,12,9,25,4,14]","",3
275,"FreezeMine","",9963,"","","","","","[21,47,11,25,4,5,1,12,14]","",3
276,"FreezeMineAltX","Icicle Mine of Fanning",9964,"","","","","","[21,47,11,25,4,5,1,12,14]","",1
277,"FreezeMineAltY","Icicle Mine of Sabotage",9965,"","","","","","[21,47,11,25,4,5,1,12,14]","",2
278,"ConversionTrap","",1972,"","","","","","[20,11,25,4,15]","",3
279,"BearTrap","",1973,"","","","","","[20,10,25,4,15,33]","",3
280,"BearTrapAltX","Bear Trap of Skewers",1974,"","","","","","[20,10,25,4,15,33]","",1
281,"BearTrapAltY","[DNT] BearTrapAltY",1975,"","","","","","[20,10,25,4,15,33]","",2
282,"ChanceToFleeSupport","",1986,"","","","Supports any skill that hits enemies.","","[10,16]",13957,3
283,"FireTrap","",1987,"","","","","","[20,10,25,4,15,14,0]","",3
