"rownum","Id","bool","i32","Name","AOFiles","bool","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","f32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","[rid]","string","i32","i32","bool","rid","rid","bool","bool","[rid]","bool","[string]","bool","bool","bool","i32","i32","rid","bool"
33,"Metadata/Chests/InfestationEggGreenSmall",1,2,"Egg","[""Metadata/Monsters/SpiderlingEgg/RyslathaEgg.ao""]","",1,367788032,0,-16908288,-16843010,-16843010,-16843010,16842494,0,-335544320,21,0,0,-67108864,21,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-67108864,21,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,100,"",1
34,"Metadata/Chests/InfestationEggGreenPlatform",1,2,"Egg","[""Metadata/Monsters/SpiderlingEgg/RyslathaEggwPlatform.ao""]","",1,382730240,0,-16908288,-16843010,-16843010,-16843010,16842494,0,-805306368,22,0,0,-536870912,22,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-536870912,22,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,100,"",1
35,"Metadata/Chests/InfestationEggGreenLargePlatform",1,2,"Egg","[""Metadata/Monsters/SpiderlingEgg/RyslathaEggwPlatform.ao""]","",5,390856704,0,-16908288,-16843010,-16843010,-16843010,16842494,0,1275068416,23,0,0,1543503872,23,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1543503872,23,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,500,"",1
36,"Metadata/Chests/InfestationEggGreenSmallPlatform",1,2,"Egg","[""Metadata/Monsters/SpiderlingEgg/RyslathaEggwPlatform.ao""]","",1,398983168,0,-16908288,-16843010,-16843010,-16843010,16842494,0,-939524096,23,0,0,-671088640,23,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-671088640,23,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,100,"",1
37,"Metadata/Chests/InfestationEggGreenParasite",1,2,"Egg","[""Metadata/Monsters/ParasiteNest/ParasiteNestRyslathaChest.ao""]","",10,414449664,0,-16908288,-16843010,-16843010,-16843010,33619710,0,-1275068416,24,0,0,-738197504,24,-33554432,-16843010,-16843010,-16843010,16711422,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-738197504,24,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"","","",1,1000,"",1
38,"Metadata/Chests/MossyChest11",1,2,"Chest","[""Metadata/Chests/MossyChests/MossyChest11.ao""]",1,10,427819008,0,-16908288,-16843010,-16843010,-16843010,65278,0,-2147483648,25,0,0,-2147483648,25,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-2147483648,25,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"",1
39,"Metadata/Chests/MossyChest13",1,2,"Chest","[""Metadata/Chests/MossyChests/MossyChest13.ao""]",1,10,438173696,0,-16908288,-16843010,-16843010,-16843010,65278,0,503316480,26,0,0,503316480,26,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,503316480,26,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"",1
40,"Metadata/Chests/MossyChest14",1,2,"Chest","[""Metadata/Chests/MossyChests/MossyChest14.ao""]",1,10,448528384,0,-16908288,-16843010,-16843010,-16843010,65278,0,-1140850688,26,0,0,-1140850688,26,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-1140850688,26,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"",1
41,"Metadata/Chests/MossyChest17",1,2,"Chest","[""Metadata/Chests/MossyChests/MossyChest17.ao""]",1,10,458883072,0,-16908288,-16843010,-16843010,-16843010,65278,0,1509949440,27,0,0,1509949440,27,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1509949440,27,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"",1
42,"Metadata/Chests/MossyChest11MagicAndRare",1,2,"Chest","[""Metadata/Chests/MossyChests/MossyChest11.ao""]",1,10,464912384,0,-16908288,-16843010,-16843010,-16843010,65278,0,-1241513984,27,0,0,-1241513984,27,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-1241513984,27,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"",""
43,"Metadata/Chests/MossyChest13MagicAndRare",1,2,"Chest","[""Metadata/Chests/MossyChests/MossyChest13.ao""]",1,10,470941696,0,-16908288,-16843010,-16843010,-16843010,65278,0,301989888,28,0,0,301989888,28,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,301989888,28,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"",""
44,"Metadata/Chests/MossyChest14MagicAndRare",1,2,"Chest","[""Metadata/Chests/MossyChests/MossyChest14.ao""]",1,10,476971008,0,-16908288,-16843010,-16843010,-16843010,65278,0,1845493760,28,0,0,1845493760,28,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1845493760,28,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"",""
45,"Metadata/Chests/MossyChest17MagicAndRare",1,2,"Chest","[""Metadata/Chests/MossyChests/MossyChest17.ao""]",1,10,483000320,0,-16908288,-16843010,-16843010,-16843010,65278,0,-905969664,28,0,0,-905969664,28,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-905969664,28,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"",""
46,"Metadata/Chests/Chest18",1,4,"Chest","[""Metadata/Chests/Chests/Chest18.ao""]",1,10,491388928,0,-16908288,-16843010,-16843010,-16843010,65278,0,1241513984,29,0,0,1241513984,29,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1241513984,29,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"",1,1,1,1000,"",1
47,"Metadata/Chests/Chest19",1,3,"Trunk","[""Metadata/Chests/Chests/Chest19.ao""]",1,10,500695040,0,-16908288,-16843010,-16843010,-16843010,65278,0,-671088640,29,0,0,-671088640,29,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-671088640,29,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"",1,1,1,1000,"",1
48,"Metadata/Chests/Chest20",1,4,"Trunk","[""Metadata/Chests/Chests/Chest20.ao""]",1,10,509083648,0,-16908288,-16843010,-16843010,-16843010,65278,0,1476395008,30,0,0,1476395008,30,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1476395008,30,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"",1,1,1,1000,"",1
49,"Metadata/Chests/MossyChest20",1,2,"Trunk","[""Metadata/Chests/MossyChests/MossyChest20.ao""]",1,10,519438336,0,-16908288,-16843010,-16843010,-16843010,65278,0,-167772160,30,0,0,-167772160,30,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-167772160,30,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"",1
50,"Metadata/Chests/Chest21",1,2,"Trunk","[""Metadata/Chests/Chests/Chest21.ao""]",1,10,527826944,0,-16908288,-16843010,-16843010,-16843010,65278,0,1979711488,31,0,0,1979711488,31,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,1979711488,31,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"",1,1,1,1000,"",1
51,"Metadata/Chests/MossyChest21",1,2,"Trunk","[""Metadata/Chests/MossyChests/MossyChest21.ao""]",1,10,538181632,0,-16908288,-16843010,-16843010,-16843010,65278,0,335544320,32,0,0,335544320,32,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,335544320,32,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","","","",[],"",[],"",1,1,1,1000,"",1
52,"Metadata/Chests/Chest22",1,4,"Trunk","[""Metadata/Chests/Chests/Chest22.ao""]",1,10,546570240,0,-16908288,-16843010,-16843010,-16843010,65278,0,-1811939328,32,0,0,-1811939328,32,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,-1811939328,32,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"",1,1,1,1000,"",1
53,"Metadata/Chests/Chest23",1,4,"Chest","[""Metadata/Chests/Chests/Chest23.ao""]",1,10,554958848,0,-16908288,-16843010,-16843010,-16843010,65278,0,335544320,33,0,0,335544320,33,1023410176,0,0,0,0,-8192,0,1677721600,-33554432,"",-16843010,-16843010,-16843010,16711422,0,335544320,33,-33554432,-16843010,-16843010,-16843010,-889258242,0,16777216,"",[],"",0,0,"","","",1,"",[],"",[],"",1,1,1,1000,"",1
