"rownum","i32","Biomes","AdjacentBiomes","WorldAreaBoss","WorldArea","NaturalSpawnWeight","NativePacks","FlavourText","MinWatchstoneTier","i32","i32","i32","rid","i32","rid","rid","rid","i32","rid","i32","rid"
23,23,"[1,5]",[],270,271,"[200,200,2000]",[469],"Darkness enshrouds these endless chasms.",0,1,0,72,0,0,23,0,3,0,4205,0,""
24,24,[8],[],278,279,"[200,200,2000]",[523],"Hubris convinces men they can survive the mistakes of their forebears.",0,1,0,72,0,0,24,0,3,0,4205,0,""
25,25,[3],[],230,231,"[200,200,2000]",[416]," Poisoned trees bear pestilent fruits.",0,1,0,72,0,0,25,0,3,0,4205,0,""
26,26,[1],[],"",221,"[200,200,2000]",[557],"The ground shifts underfoot with disturbing ease.",0,1,0,72,0,0,26,0,3,0,4205,0,""
27,27,"[1,2,3,4]",[],258,259,"[200,200,2000]",[479],"Shafts of light raise life where they fall.",0,1,0,72,0,0,27,0,3,0,4205,0,""
28,28,[1],[],266,267,"[200,200,2000]",[585],"A wound carved into the world, never to heal.",0,1,0,72,0,0,28,0,3,0,4205,0,""
29,29,"[1,6]",[],305,306,[0],[491],"The path grows treacherous as the world falls away.",0,1,0,72,0,0,"",0,4,6,4205,0,118
30,30,"[2,3,4]",[],240,241,"[200,200,2000]",[506],"They watched the birds to foretell what any fool could see.",0,1,0,72,0,0,33,0,3,0,4205,0,""
31,31,"[1,2,5]",[],291,292,[0],[424],"An orchestra of chains and screams produces a discordant cacophony.",0,1,0,72,0,0,34,0,3,0,4205,0,""
32,32,[3],[],286,287,"[200,200,2000]",[563],"Dark energies congeal the lifeblood of the forest.",0,1,0,72,0,0,35,0,3,0,4205,0,""
33,33,[0],[5],218,219,"[200,200,2000]",[449],"Fishermen once reaped a rich bounty here.",0,1,0,72,0,0,36,0,3,0,4205,0,""
34,34,"[2,3,4]",[],293,294,"[200,200,2000]",[404],"Spores dance through the air in search of new hosts.",0,1,0,72,0,0,37,0,3,0,4205,0,""
35,35,"[2,3,5]",[],"",288,[0],[428],"A lineage of a thousand years, broken by one fleeting mistake.",0,1,0,72,0,0,38,0,3,0,4205,0,""
36,36,[5],[],297,298,"[200,200,2000]",[470],"A city ravaged by time and sands.",0,1,0,72,0,0,39,0,3,0,4205,0,""
37,37,[6],[],272,273,"[200,200,2000]",[431],"Avarice in the conqueror builds contempt among the conquered.",0,1,0,72,0,0,40,0,3,0,4205,0,""
38,38,[5],[],"",249,"[200,200,2000]",[554],"The work of an invisible empire.",0,1,0,72,0,0,42,0,3,0,4205,0,""
39,39,[3],[],"",213,[0],[436],"Embers swirl as bark crackles and sparks.",0,1,0,72,0,0,43,0,3,0,4205,0,""
40,40,[7],[],295,296,"[200,200,2000]",[500],"A dark labyrinth of steel and stone.",0,1,0,72,0,0,44,0,3,0,4205,0,""
41,41,"[5,7]",[],299,300,"[200,200,2000]",[465],"Hidden amongst sunbleached wastes lies a mockery of paradise.",0,1,0,72,0,0,45,0,3,0,4205,0,""
42,42,[7],[],289,290,[0],[465],"Stone shelters brace against the doom of the desert.",0,1,0,72,0,0,46,0,3,0,4205,0,""
43,43,"[3,4]",[0],"",285,[0],[561],"A serene shoreline, sharp and slick.",0,1,0,72,0,0,48,0,3,0,4205,0,""
44,44,"[4,8]",[],282,283,[0],[545],"This Vaal structure is not lost in the jungle. Not yet.",0,1,0,72,0,0,"",0,4,6,4205,0,118
45,45,[6],[],338,338,[0],[433],"A heart of corruption, borne of steel.",15,2,0,6630,0,0,29,0,9,5,4205,0,""
46,46,[8],[],340,340,[0],[551],"A heart of corruption, borne of stone.",15,2,0,6630,0,0,30,0,13,5,4205,0,""
47,47,[7],[],339,339,[0],[496],"A heart of corruption, borne of copper.",15,2,0,6630,0,0,31,2,11,5,4205,0,""
48,48,[0],[1],"",323,"[0,0,13]",[],"Hulls crash and splinter upon the shores.",0,1,0,6994,0,0,50,1,19,1,4147,0,121
49,49,[0],"[2,5]","",321,"[10,10,218]",[],"Life grows strong in this realm of plenty.",0,2,0,7146,0,0,51,1,6,1,4148,0,""
50,50,[8],[],"",322,"[50,50,1227]",[],"By that era, Kamasa was just a name. Gold was their true god.",0,2,0,7146,0,0,52,1,18,1,4149,0,124
51,51,"[3,4]",[],"",327,[0],[],"A travelling merchant offers wares in perilous times.",0,1,0,6994,0,0,53,1,6,4,4205,0,125
52,52,[5],[],"",328,[0],[],"A travelling merchant offers wares in perilous times.",0,1,0,6994,0,0,53,1,6,4,4205,0,125
53,53,[4],[],"",329,[0],[],"A travelling merchant offers wares in perilous times.",0,1,0,6994,0,0,53,1,6,4,4205,0,125
54,54,[5],[],"",330,[0],[],"A travelling merchant offers wares in perilous times.",0,1,0,6994,0,0,54,1,6,4,4205,0,125
55,55,[2],[],"",331,[0],[],"A travelling merchant offers wares in perilous times.",0,1,0,6994,0,0,54,1,6,4,4205,0,125
56,56,"[3,4]",[],"",332,[0],[],"A travelling merchant offers wares in perilous times.",0,1,0,6994,0,0,54,1,6,4,4205,0,125
57,57,[0],"[2,5]","",333,[0],[],"A travelling merchant offers wares in perilous times.",0,1,0,6994,0,0,55,1,6,4,4205,0,125
58,58,[0],"[2,3]","",335,"[10,10,34]",[],"A travelling merchant offers wares in perilous times.",0,2,0,7146,0,0,55,1,6,4,4205,0,125
59,59,"[3,4]",[],"",334,[0],[],"A travelling merchant offers wares in perilous times.",0,1,0,6994,0,0,55,1,6,4,4205,0,125
60,60,"[4,8]",[],"",274,[0],[525],"Vice wears a mask of simplicity.",0,1,0,72,0,0,56,0,3,0,4205,0,""
61,61,[5],[],206,207,"[200,200,2000]",[406],"Aeons of wear have rotted steel to its core.",0,1,0,72,0,0,0,0,3,0,4205,0,""
62,62,"[3,4]",[],208,209,"[200,200,2000]",[546],"Humid air chokes and twists everything it touches.",0,1,0,72,0,0,1,0,3,0,4205,0,""
63,63,[4],[],210,211,"[200,200,2000]",[555],"The land returns the dead as easily as it received them.",0,1,0,72,0,0,2,0,3,0,4205,0,""
64,64,[4],[0],214,215,"[200,200,2000]",[429],"Mud and air seethes with warped life.",0,1,0,72,0,0,3,0,3,0,4205,0,""
65,65,[3],[],"",356,"[20,20,200]",[],"A fortress of fallen wood.\n\nFully clear this area to claim it as a Hideout.",0,1,0,8534,0,0,41,1,0,3,4205,0,""
66,66,[0],"[2,3,5,1]","",357,"[5,5,50]",[],"A forgotten grotto, lost to the world.\n\nFully clear this area to claim it as a Hideout.",0,1,0,8534,0,0,41,1,0,3,4205,0,""
67,67,[5],[],"",358,"[20,20,200]",[],"A fragment of a glorious past.\n\nFully clear this area to claim it as a Hideout.",0,1,0,8534,0,0,41,1,0,3,4205,0,""
68,68,[2],[],"",359,"[20,20,200]",[],"A moment in time, on the eve of the end.\n\nFully clear this area to claim it as a Hideout.",0,1,0,8534,0,0,41,1,0,3,4205,0,""
69,69,[8],[],307,308,"[200,200,2000]","[537,538,539]","Wet stone emanates an inner warmth. Vaal brilliance lies in wait.",0,1,0,72,0,0,59,0,3,0,4205,0,""
70,70,[7],[],309,310,"[100,100,1000]",[468],"The waters have returned, but no empire remains to greet them.",0,1,0,72,0,0,60,0,3,0,4205,0,""
71,71,"[1,8]",[],311,312,"[200,200,2000]","[512,515]","The cult of Kamasa exploited Utzaal long before its fall.",0,1,0,72,0,0,61,0,3,0,4205,0,""
72,72,"[2,8]",[],313,314,"[200,200,2000]",[],"Remnants of Vaal artifice still remain.",0,1,0,72,0,0,62,0,3,0,4205,0,""
73,73,"[5,7]",[],315,316,[0],[448],"Bleak heights overlook a devastated land.",0,1,0,72,0,0,"",0,4,6,4205,0,118
74,74,[2],[],317,318,[0],[505],"Life still clings to the highest places.",0,1,0,72,0,0,"",0,4,6,4205,0,118
75,75,"[3,4]",[],"",337,"[0,0,219]",[],"As separate worlds draw ever closer, the Nameless gather at the edge of existence.",0,1,0,6994,0,0,63,1,14,1,4151,0,120
76,76,"[1,5]",[],"",326,"[0,0,74]",[],"The prismatic patterns of Time shimmer and coalesce in vast geodes hidden from sight.",11,1,0,10518,0,0,65,1,17,1,4152,0,123
77,77,"[3,2]",[],"",324,"[0,0,148]",[],"The songs tell of a great thunderstorm that ravaged the valley. A beleaugered tribe appeared in its wake, seeking refuge, and bringing knowledge of runes.",11,1,0,10518,0,0,66,1,15,1,4153,0,122
78,78,[1],[3],361,360,"[0,0,1000]",[],"",0,1,0,72,0,0,58,0,3,0,4205,0,""
79,79,[0],"[2,3,5,1]","",325,"[0,0,12]",[],"A mirror is a perfect prison for one's sense of self... until it cracks.",0,1,0,6994,0,0,64,1,16,1,4154,0,119
80,80,[1],[],364,365,[2000],[],"Beware a chill colder than death itself.",0,1,0,72,0,0,68,0,3,0,4205,0,""
81,81,"[3,4]",[],"",363,[2000],[],"The Cataclysm tore the land asunder.",0,1,0,72,0,0,67,0,3,0,4205,0,""
