"rownum","Id","LimitStat","ActiveCountStat","bool","bool","i32","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","rid"
22,"TaniwhaTailMinion",4434,"",1,1,0,"","",1,"","","","","","",1,"","","",0
23,"GolemMinion",2823,"",1,1,0,"","",1,"","","","","",1,1,"","","",0
24,"MissionFollower","","","","",0,1,1,"","","","","","",1,1,"","","",0
25,"ManifestedUniqueWeaponMinion","",17866,1,1,0,1,"",1,"","","","","",1,1,"","","",0
26,"RangedAnimatedWeaponMinion",3346,"",1,1,0,"",1,1,"","","","","",1,1,"","","",0
27,"WolfMinion",4435,3751,1,1,0,"","",1,"","","","","",1,1,"","","",0
28,"GenericUnlimitedNonMinion","","","",1,0,1,"",1,"","","","","",1,1,"","","",0
29,"EssenceSpiritMinion",4725,4726,1,1,0,"","",1,"","","","","",1,1,"","","",0
30,"SpiderMinion",5128,5129,1,1,0,"","",1,"","","","","",1,1,"","","",0
31,"BeastMinion",5878,6086,1,1,0,"","",1,"","","","","",1,1,"","","",0
32,"GenericLimitedMinion",5299,5300,1,1,0,"","",1,"","","","","",1,1,"","","",0
33,"Harbinger","","",1,1,1,"","",1,"","","","","",1,1,"","","",0
34,"MirageArcher",6706,"","","",0,"","",1,"",1,1,"","",1,1,"","","",0
35,"Effigy",6849,"","",1,0,"","",1,"","","","","",1,1,"","","",0
36,"Clone",7654,"",1,1,0,"","",1,"","","","","",1,1,"","","",0
37,"HeraldScorpion",7714,"",1,1,0,"","",1,"","","","","",1,1,"","","",0
38,"HeraldChampion",7726,7874,1,1,0,"","",1,"","","","","",1,1,"","","",0
39,"Relic",7744,7745,1,1,0,"","",1,"","","","","",1,1,"","","",0
40,"ReplicateMinion",9003,9004,1,1,0,"","",1,"","","","","",1,1,"","","",0
41,"BurrowingViperMinion","","","",1,0,1,"",1,1,"","","","",1,1,"","","",0
42,"MirageWarrior",10136,10137,"",1,0,"","",1,1,"","","","",1,1,"","","",0
43,"DoubleCryWarrior",11223,11224,"",1,0,"","",1,1,"","","","","",1,"","","",0
44,"GenericLimitedTo3Minion","","",1,1,3,"","",1,"","","","","",1,1,"","","",0
45,"MirageChieftain","","",1,1,0,1,"",1,"","","","","",1,1,"","","",0
46,"GenericLimitedMinionWithDrops",5299,"",1,1,0,"","","","","","","","",1,1,"","","",0
47,"TauntingContraption","","",1,1,1,"","",1,"","","","","",1,1,"","","",0
48,"AbsolutionSentinel",13537,13561,1,1,0,"","",1,"","","","","",1,1,"","","",0
49,"VaalAbsolutionSentinel",17192,17233,1,1,0,"","",1,"","","","","",1,1,"","","",0
50,"Reaper",13994,"",1,1,0,"","",1,"","","","","",1,1,"","","",0
51,"ArbalistMinion",13793,"",1,1,0,"","",1,"","","","","",1,1,"","","",0
52,"Triggerbots","","",1,1,0,1,"",1,"","","","","",1,1,"","","",0
53,"VaalAnimatedWeaponMinion",5526,17073,1,1,0,"",1,1,"","","","","",1,1,"","","",0
54,"VaalRangedAnimatedWeaponMinion",3346,17074,1,1,0,"",1,1,"","","","","",1,1,"","","",0
55,"VaalIceShotMirage",17405,"","",1,0,"","",1,1,"","","","","",1,"","","",0
56,"MetaDemonCaster","","",1,1,0,1,1,1,"","","","",1,1,1,"","",1,0
57,"InfernalFamiliar",13625,13626,1,1,0,"","",1,"","","","","",1,1,"",1,1,0
58,"IzaroSpiritMinion","","",1,1,1,"","",1,"","","","","",1,1,"","","",0
59,"WolfCompanion","","",1,1,0,1,"",1,"","","",1,"",1,1,"","","",0
60,"LingeringIllusion","","","","",0,1,"",1,"","","","","","",1,"","","",0
61,"DominatedAuraNormalMinion","","","","",0,1,"",1,"","","",1,"",1,1,"","","",0
62,"DominatedAuraMagicMinion","","","","",0,1,"",1,"","","",1,"",1,1,"","","",0
63,"DominatedAuraRareMinion",18353,18354,"","",0,"","",1,"","","",1,"",1,1,"","","",0
64,"MercenaryCompanion","","",1,1,1,"","",1,"","","","",1,1,1,"","",1,0
65,"SkeletalConstruct",19056,"",1,1,0,"","",1,"","","","","",1,1,"","","",0
66,"RhoaMount","","",1,1,1,"","",1,"","","","",1,1,1,"","",1,0
67,"BoneOfferingSpike",19050,19837,1,1,0,"","",1,"","","","","","","",1,"","",0
68,"PainOfferingSpike",19051,19838,1,1,0,"","",1,"","","","","","","",1,"","",0
69,"SoulOfferingSpike",19052,19839,1,1,0,"","",1,"","","","","","","",1,"","",0
70,"DarkOfferingSpike",19053,19840,1,1,0,"","",1,"","","","","","","",1,"","",0
71,"GraveOfferingSpike",19054,19841,1,1,0,"","",1,"","","","","","","",1,"","",0
72,"PowerOfferingSpike",19055,19842,1,1,0,"","",1,"","","","","","","",1,"","",0
73,"Hydra","","","",1,1,"","",1,1,1,1,"","",1,1,"","","",0
74,"TotemDefender","","",1,1,0,1,"",1,"","","","","","","","",1,"",0
75,"BeastCompanion","","",1,1,0,1,"",1,"","","","",1,1,1,"","",1,2
76,"ArtilleryDaemon","","",1,1,0,1,"",1,"",1,1,"",1,1,1,"","","",0
77,"CompanionAnimatedWeapon","","",1,1,1,"",1,1,"",1,1,"","",1,1,"",1,1,0
