"rownum","Id","string","rid","i32","string","bool","bool","bool","bool"
40,"cold","cold",0,100,"Cold",1,1,"",""
41,"lightning","lightning",0,100,"Lightning",1,1,"",""
42,"chaos","chaos",0,100,"Chaos",1,1,"",""
43,"damage","damage",3,100,"Damage",1,"","",""
44,"attack","attack",3,100,"Attack","","","",1
45,"critical","critical",3,100,"Critical",1,1,"",""
46,"accuracy","accuracy",3,100,"Accuracy",1,1,"",""
47,"melee","melee",3,100,"Melee",1,"","",""
48,"projectile","projectile",3,100,"Projectile",1,"","",""
49,"area_of_effect","area of effect",3,100,"Area Of Effect",1,"","",""
50,"penetrates","penetrates",3,100,"Penetrates","","","",""
51,"exposure","exposure",3,100,"Exposure","","","",""
52,"magnitude","magnitude",3,100,"Magnitude","","","",""
53,"grenade","grenade",3,100,"Grenade",1,"","",""
54,"strike","strike",3,100,"Strike",1,"","",""
55,"slam","slam",3,100,"Slam",1,"","",""
56,"warcry","warcry",3,100,"Warcry",1,"","",""
57,"rage","rage",3,100,"Rage",1,"","",""
58,"aftershock","aftershock",3,100,"Aftershock",1,"","",""
59,"break","break|broken",3,100,"Break",1,"","",""
60,"thorns","thorns",3,100,"Thorns",1,"","",""
61,"armour","armour",4,100,"Armour",1,"",1,""
62,"evasion","evasion",4,100,"Evasion",1,"",1,""
63,"block","block",4,100,"Block",1,1,"",""
64,"parry","parry|parried",4,100,"Parry",1,1,"",""
65,"regen","regeneration|regenerate",4,100,"Regeneration",1,"",1,""
66,"recovery","recover",4,100,"Recovery",1,"",1,""
67,"recoup","recoup",4,100,"Recoup",1,"",1,""
68,"resistance","resistance",4,100,"Resistance",1,"","",""
69,"leech","leech",4,100,"Leech",1,1,1,""
70,"threshold","threshold",4,100,"Threshold","","","",""
71,"ailment","ailment",5,100,"Ailment","",1,"",""
72,"ignite","ignite",5,100,"Ignite",1,1,"",""
73,"burning","burning",5,100,"Burning",1,1,"",""
74,"chill","chill",5,100,"Chill",1,1,"",""
75,"freeze","freeze",5,100,"Freeze",1,1,"",""
76,"shock","shock",5,100,"Shock",1,1,"",""
77,"electrocute","electrocute",5,100,"Electrocute",1,1,"",""
78,"bleed","bleed",5,100,"Bleed",1,1,"",""
79,"poison","poison",5,100,"Poison",1,1,"",""
80,"stun","stun",5,100,"Stun",1,1,"",""
81,"daze","daze",5,100,"Daze",1,1,"",""
82,"aggravate","aggravate",5,100,"Aggravate",1,1,"",""
83,"slow","slow",5,100,"Slow",1,"","",""
84,"hinder","hinder",5,100,"Hinder",1,"","",""
85,"maim","maim",5,100,"Maim",1,1,"",""
86,"knockback","knockback",5,100,"Knockback",1,1,"",""
87,"jagged_ground","jagged ground",5,100,"Jagged Ground",1,"","",""
88,"power_charge","power charge",8,100,"Power Charge",1,"","",""
89,"frenzy_charge","frenzy charge",8,100,"Frenzy Charge",1,"","",""
90,"endurance_charge","endurance charge",8,100,"Endurance Charge",1,"","",""
91,"cooldown","cooldown",9,100,"Cooldown","","","",""
92,"maximum","maximum",9,100,"Maximum","","","",""
93,"dodge_roll","dodge roll",9,100,"Dodge Roll","","","",""
94,"flask","flask",9,100,"Flask","","","",""
95,"charm","charm",9,100,"Charm","","","",""
96,"charge","charge",9,100,"Charge","","","",""
97,"faster","faster",9,100,"Faster","","","",""
98,"slower","slower",9,100,"Slower","","","",""
99,"duration","duration",9,100,"Duration","","","",""
100,"taken","taken",9,100,"Taken","","","",""
101,"movement","movement",9,100,"Movement",1,"","",1
102,"speed","speed",9,100,"Speed","","","",1
103,"range","range",9,100,"Range","","","",""
104,"you","you",9,100,"You","","","",""
105,"ally","allies|ally",9,100,"Ally","","","",""
106,"enemy","enemies|enemy",9,100,"Enemy","","","",""
107,"recently","recently",9,100,"Recently","","","",""
108,"lucky","lucky",9,100,"Lucky","","","",""
109,"reduce","reduce",9,100,"Reduce","","","",""
110,"increase","increase",9,100,"Increase","","","",""
111,"cost","cost",9,100,"Cost","","","",""
112,"bonus","bonus",9,100,"Bonus","","","",""
113,"extra","extra",9,100,"Extra","","","",""
114,"heavy","heavy",9,100,"Heavy","","","",""
115,"on_hit","on hit",9,100,"On Hit","","","",""
116,"on_kill","on kill",9,100,"On Kill","","","",""
117,"distance","distance",9,100,"Distance","","","",""
118,"weapon_swap","weapon swap",9,100,"Weapon Swap","","","",""
119,"chance","chance",9,100,"Chance","","","",""
120,"notable","notable",9,100,"Notable","","","",1
121,"keystone","keystone",9,100,"Keystone","","","",1
