"rownum","Id","TimeoutInSeconds","ChargesShared","Player_ShrineBuffsKey","i32","i32","Monster_ShrineBuffsKey","SummonMonster_MonsterVarietiesKey","SummonPlayer_MonsterVarietiesKey","i32","Duration","ShrineSoundsKey","bool","AchievementItemsKeys","IsPVPOnly","bool","IsLesserShrine","Description","Name","bool","rid","[rid]","rid","rid","rid"
48,"Greed",0,"",455,0,0,454,"","",50,45,12,"",[9148],"",1,"",6229,6228,"","",[],"","",""
49,"BrineKing",0,"",510,0,0,511,"","",50,45,0,"",[9148],"",1,"",6565,6561,"","",[],"","",""
50,"Lunaris",0,"",512,0,0,513,"","",50,45,0,"",[9148],"",1,"",6566,6562,"","",[],"","",""
51,"Solaris",0,"",514,0,0,515,"","",50,45,1,"",[9148],"",1,"",6567,6563,"","",[],"","",""
52,"Arakaali",0,"",516,0,0,517,"","",50,45,11,"",[9148],"",1,"",6568,6564,"","",[],"","",""
53,"FireShrine",0,"",422,100,1,423,1618,1619,50,45,1,"",[],"","","",6162,6161,"","",[],"","",""
54,"LightningShrine",0,"",424,100,1,425,1622,1623,50,45,2,"",[],"","","",6158,6157,"","",[],"","",""
55,"ColdShrine",0,"",426,100,1,427,1620,1621,50,45,0,"",[],"","","",6160,6159,"","",[],"","",""
56,"GloomShrine",0,"",428,75,1,429,"","",50,45,11,"",[],"",1,"",6212,6211,"","",[],"","",""
57,"AccelerationShrine",0,"",430,100,1,431,"","",50,45,3,"",[],"",1,"",6156,6155,"","",[],"","",""
58,"DivineShrine",0,"",432,3,1,433,"","",50,45,6,"",[],"",1,"",6180,6179,"","",[],"","",""
59,"MagicFindShrine",0,"",434,25,1,435,"","",50,45,12,"",[],"",1,"",7966,7965,"","",[],"",21916,21917
60,"MassiveShrine",0,"",436,50,1,437,"","",50,45,4,"",[],"",1,"",6174,6173,"","",[],"","",""
61,"RegenerationShrine",0,1,438,50,1,439,"","",50,45,4,"",[],"",1,"",6172,6171,"","",[],"","",""
62,"ExperienceShrine",0,"",440,25,1,441,"","",50,45,12,"",[],"",1,"",7970,7969,"","",[],"",21918,21919
63,"GoldShrine",0,"",442,25,1,443,"","",50,45,12,"",[],"",1,"",7968,7967,"","",[],"",21920,21921
64,"ResistanceShrine",0,"",444,50,1,445,"","",50,45,6,"",[],"",1,"",6178,6177,"","",[],"","",""
65,"DiamondShrine",0,"",446,10,1,447,"","",50,45,7,"",[],"",1,"",6166,6165,"","",[],"","",""
66,"CorruptShrine",0,"",448,10,1,449,"","",50,45,7,"",[],"",1,"",7988,7987,"","",[],"","",""
