"rownum","RewardOffer","i32","bool","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","bool","[rid]","rid","i32","i32","i32","rid","i32","[rid]","i32","bool"
88,50,0,"",0,0,201326592,0,1593835520,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
89,51,0,"",0,0,201326592,0,1610612736,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
90,52,0,"",0,0,201326592,0,1627389952,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
91,53,0,"",0,0,201326592,0,1644167168,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
92,54,0,"",0,0,201326592,0,1660944384,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
93,55,0,"",0,0,201326592,0,1677721600,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
94,56,0,"",0,0,201326592,0,1694498816,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
95,57,0,"",0,0,201326592,0,1711276032,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
96,58,0,"",0,0,201326592,0,1728053248,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
97,59,0,"",0,0,201326592,0,1744830464,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
98,60,0,"",0,0,201326592,0,1761607680,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
99,61,0,"",0,0,201326592,0,1778384896,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
100,62,0,"",0,0,201326592,0,1795162112,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
101,63,0,"",0,0,201326592,0,1811939328,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
102,64,0,"",0,0,201326592,0,1828716544,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
103,65,0,"",0,0,201326592,0,1845493760,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
104,66,0,"",0,0,201326592,0,1862270976,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
105,67,0,"",0,0,201326592,0,1879048192,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
106,68,0,"",0,0,201326592,0,1895825408,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
107,69,0,"",0,0,201326592,0,1912602624,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
108,70,0,"",0,0,201326592,0,1929379840,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
109,71,0,"",0,0,201326592,0,1946157056,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
110,72,0,"",0,0,201326592,0,1962934272,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
111,73,0,"",0,0,201326592,0,1979711488,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
112,74,0,"",0,0,201326592,0,1996488704,16777216,-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,0,16777216,0,"",[],4205,12,0,0,"",0,[],0,""
