"rownum","Id","Projectile","bool","bool","bool","i32","bool"
212,1060,1456,1,"","",0,""
213,1061,1457,1,"","",0,""
214,1062,1476,1,"","",0,""
215,1063,1477,1,"","",15,""
216,1064,1478,1,"","",-10,""
217,1065,1479,1,"","",10,""
218,1066,1481,1,"","",0,""
219,1067,1487,1,"","",0,""
220,1068,1490,"","","",0,""
221,1069,1491,1,"","",20,""
222,1070,1492,1,"","",40,""
223,1071,1493,"","","",0,""
224,1072,1494,1,"","",0,""
225,1073,1496,"","","",0,""
226,1074,1497,1,"","",0,""
227,1075,1498,"","","",0,""
228,1076,1500,"","","",0,""
229,1077,1501,"","","",0,""
230,1078,1506,1,"","",35,""
231,1079,1508,"","","",20,""
232,1080,1513,"","","",0,""
233,1081,1515,"","","",0,""
234,1082,1516,"","","",0,""
235,1083,1520,"","","",0,""
236,1084,1126,1,"","",0,""
237,1085,1402,1,"","",0,""
238,1086,1536,1,"","",10,""
239,1087,1537,1,"","",10,""
240,1088,1538,1,"","",10,""
241,1089,1541,1,"","",15,""
242,1090,1542,1,"","",15,""
243,1091,1543,1,"","",15,""
244,1092,1544,1,"","",15,""
245,1093,1545,1,"","",15,""
246,1094,1533,1,"","",4,""
247,1095,1555,"","","",0,""
248,1096,1556,"","","",0,""
249,1097,1557,"","","",0,""
250,1098,63,"","","",0,""
251,1099,1569,"","","",0,""
252,1100,1570,"","","",0,""
253,1101,1580,"","","",0,""
254,1102,22,1,"","",-8,""
255,1103,1585,1,"","",35,""
256,1104,1586,1,"","",0,""
257,1105,1589,1,"","",0,""
258,1106,1591,1,"","",10,""
259,1107,1593,1,"","",0,""
260,1108,1610,1,"","",0,""
261,1109,1316,1,"","",-7,""
262,1110,1592,1,"","",0,""
263,1111,1590,1,"","",0,""
264,1112,1588,1,"","",0,""
265,1113,1588,"","","",15,""
266,1114,1084,"","","",10,""
267,1115,1621,"","","",-8,""
268,1116,1096,"","","",0,""
269,1117,1094,"","","",0,""
270,1118,1088,"","","",0,""
271,1119,1625,"","","",30,""
272,1120,1629,"","","",0,""
273,1121,1587,1,"","",0,""
274,1122,1630,1,"","",0,""
275,1123,1631,"","","",0,""
276,1124,1452,1,"","",30,""
277,1125,1610,1,"","",-10,""
278,1126,98,1,"","",0,""
279,1127,1636,1,"","",0,""
280,1128,1641,"","","",0,""
281,1129,1643,"","","",0,""
282,1130,24,"","","",-10,""
283,1131,1655,1,"","",0,""
284,1132,1659,"","","",0,""
285,1133,1661,"","","",15,""
286,1134,1677,"","","",0,""
287,1135,1382,1,"","",15,""
288,1136,1679,1,"","",10,""
289,1137,1644,"","","",0,""
290,1138,1705,1,"","",10,""
291,1139,1710,"","","",20,""
292,1140,868,"","","",0,""
293,1141,1345,1,"","",10,""
294,1142,1724,"","","",0,""
295,1143,1725,"","","",0,""
296,1144,1728,1,"","",-3,""
297,1145,1737,"",1,"",0,""
298,1146,1741,1,"","",0,""
299,1147,1742,1,"","",0,""
300,1148,23,1,"","",-8,""
301,1149,1745,"","","",0,""
302,1150,1133,1,"","",0,""
303,1151,1617,1,"","",0,""
304,1152,1749,1,"","",0,""
305,1153,99,1,"","",0,""
306,1154,25,"","","",-10,""
307,1155,1784,"","","",-10,""
308,1156,1785,1,"","",-10,""
309,1157,1787,"","","",0,""
310,1158,1788,1,"","",0,""
