"rownum","BaseItemTypesKey","Variation_AOFiles","IsNonMasterDoodad","InheritsFrom","bool","IsCraftingBench","Tags","bool","rid","Category","i32","bool","rid","bool","rid","[string]","i32","i32","bool","bool"
10,7524,"[""Metadata/Terrain/Doodads/Beach/mudflat_ground_fog.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[15],1,"",42,0,"","",1,"",[],-16843010,-16843010,"",""
11,7525,"[""Metadata/Effects/Environment/act1/vfx/snowfall.ao""]",1,"Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[15,16,0]","","",42,0,"","",1,"",[],-16843010,-16843010,"",""
12,7526,"[""Metadata/Terrain/Doodads/Beach/mudflat_stub_v01_01.ao"",""Metadata/Terrain/Doodads/Beach/mudflat_stub_v01_02.ao"",""Metadata/Terrain/Doodads/Beach/mudflat_stub_v01_03.ao"",""Metadata/Terrain/Doodads/Beach/mudflat_stub_v01_04.ao"",""Metadata/Terrain/Doodads/Beach/mudflat_stub_v01_05.ao"",""Metadata/Terrain/Doodads/Beach/mudflat_stub_v01_06.ao"",""Metadata/Terrain/Doodads/Beach/mudflat_stub_v01_07.ao"",""Metadata/Terrain/Doodads/Beach/mudflat_stub_v01_08.ao"",""Metadata/Terrain/Doodads/Beach/mudflat_stub_v01_09.ao"",""Metadata/Terrain/Doodads/Beach/mudflat_stub_v01_010.ao"",""Metadata/Terrain/Doodads/Beach/mudflat_stub_v01_011.ao"",""Metadata/Terrain/Doodads/Beach/mudflat_stub_v01_012.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[12],1,"",28,0,"","",1,"",[],-16843010,-16843010,"",""
13,7527,"[""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords1.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords2.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords3.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords4.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords5.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords6.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords7.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords8.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords9.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords10.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords11.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords12.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords13.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords14.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords15.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords16.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords17.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords18.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords19.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords20.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords21.ao"",""Metadata/Terrain/Doodads/Beach/Lioneye/lioneye_swords22.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[24],1,"",100,0,"","",1,"",[],-16843010,-16843010,"",""
14,7528,"[""Metadata/Terrain/Doodads/Cave/glowworms_01.ao"",""Metadata/Terrain/Doodads/Cave/glowworms_02.ao"",""Metadata/Terrain/Doodads/Cave/glowworms_03.ao"",""Metadata/Terrain/Doodads/Cave/glowworms_04.ao"",""Metadata/Terrain/Doodads/Cave/glowworms_05.ao"",""Metadata/Terrain/Doodads/Cave/glowworms_06.ao"",""Metadata/Terrain/Doodads/Cave/glowworms_07.ao""]",1,"Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[15,0]","","",42,0,"","",1,"",[],-16843010,-16843010,"",""
15,7529,"[""Metadata/Terrain/Doodads/Cave/light_beam_01.ao"",""Metadata/Terrain/Doodads/Cave/light_beam_02.ao"",""Metadata/Terrain/Doodads/Cave/light_beam_03.ao"",""Metadata/Terrain/Doodads/Cave/light_beam_04.ao"",""Metadata/Effects/Environment/act2/vfx/lightbeams/lightbeam_11.ao"",""Metadata/Effects/Environment/act2/vfx/lightbeams/lightbeam_12.ao"",""Metadata/Effects/Environment/act2/vfx/lightbeams/lightbeam_13.ao"",""Metadata/Effects/Environment/act2/vfx/lightbeams/lightbeam_14.ao"",""Metadata/Effects/Environment/act2/vfx/lightbeams/lightbeam_15.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[15],1,"",42,0,"","",1,"",[],-16843010,-16843010,"",""
16,7530,"[""Metadata/Terrain/Doodads/Cave/cave_column_v01_01.ao"",""Metadata/Terrain/Doodads/Cave/cave_column_v01_02.ao"",""Metadata/Terrain/Doodads/Cave/cave_column_v01_03.ao"",""Metadata/Terrain/Doodads/Cave/cave_column_v01_04.ao"",""Metadata/Terrain/Doodads/Cave/cave_column_v01_05.ao"",""Metadata/Terrain/Doodads/Cave/cave_column_v01_06.ao"",""Metadata/Terrain/Doodads/Cave/cave_column_v01_07.ao"",""Metadata/Terrain/Doodads/Cave/cave_column_v01_08.ao"",""Metadata/Terrain/Doodads/Cave/cave_rocks_v01_05.ao"",""Metadata/Terrain/Doodads/Cave/cave_rocks_v01_06.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[26],1,"",21,0,"","",1,"",[],-16843010,-16843010,"",""
17,7531,"[""Metadata/Terrain/Doodads/Cave/cave_stalagmite_v01_01.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmite_v01_02.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmite_v01_03.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmite_v01_04.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmite_v01_05.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmite_v01_06.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmites_v01_01.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmites_v01_02.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmites_v01_03.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmites_v02_01.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmites_v02_02.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmites_v02_03.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmites_v02_04.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmites_v02_05.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmites_v02_06.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmites_v02_07.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmites_v02_08.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmites_v02_09.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmites_v02_10.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmites_v02_11.ao"",""Metadata/Terrain/Doodads/Cave/cave_stalagmites_v02_12.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[26],1,"",21,0,"","",1,"",[],-16843010,-16843010,"",""
18,7532,"[""Metadata/Terrain/Doodads/Cave/trash_pile_01.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_02.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_03.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_04.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_05.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_06.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_07.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_08.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_09.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_10.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_11.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_12.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_13.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_14.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_15.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_16.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_17.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_18.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_19.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_20.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_21.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_22.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_23.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_24.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_25.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_26.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_27.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_28.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_29.ao"",""Metadata/Terrain/Doodads/Cave/trash_pile_30.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[19],1,"",21,0,"","",1,"",[],-16843010,-16843010,"",""
19,7533,"[""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_01.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_02.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_03.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_04.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_05.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_06.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_07.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_08.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_09.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_10.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_11.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_12.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_13.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_14.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_15.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_16.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_17.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_18.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_19.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_20.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_21.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_22.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_23.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_24.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_25.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_26.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_27.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_28.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_29.ao"",""Metadata/Terrain/Doodads/Cave/StaticTreasure/statictreasure_pile_30.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[19],1,"",21,0,"","",1,"",[],-16843010,-16843010,"",""
20,7534,"[""Metadata/Terrain/Doodads/Church/church_fire_pit_v01_02.ao"",""Metadata/Terrain/Doodads/Church/church_fire_pit_v01_01.ao"",""Metadata/Terrain/Doodads/Church/church_fire_pit_v02_01.ao"",""Metadata/Terrain/Doodads/Church/church_fire_pit_v02_02.ao"",""Metadata/Terrain/Doodads/Church/churchwhite_fire_pit_v01_01.ao"",""Metadata/Terrain/Doodads/Church/churchwhite_fire_pit_v01_02.ao"",""Metadata/Terrain/Doodads/Church/churchwhite_fire_pit_v02_01.ao"",""Metadata/Terrain/Doodads/Church/churchwhite_fire_pit_v02_02.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[17],1,"",32,0,"","",1,"",[],-16843010,-16843010,"",""
21,7535,"[""Metadata/Terrain/Doodads/Church/church_dungeon_ruin_doodads_v01_01.ao"",""Metadata/Terrain/Doodads/Church/church_dungeon_ruin_doodads_v01_02.ao"",""Metadata/Terrain/Doodads/Church/church_dungeon_ruin_doodads_v01_03.ao"",""Metadata/Terrain/Doodads/Church/church_dungeon_ruin_doodads_v01_04.ao"",""Metadata/Terrain/Doodads/Church/church_dungeon_ruin_doodads_v01_05.ao"",""Metadata/Terrain/Doodads/Church/church_dungeon_ruin_doodads_v01_06.ao"",""Metadata/Terrain/Doodads/Church/church_dungeon_ruin_doodads_v01_07.ao"",""Metadata/Terrain/Doodads/Church/church_dungeon_ruin_doodads_v01_08.ao"",""Metadata/Terrain/Doodads/Church/church_dungeon_ruin_doodads_v01_09.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/church_dungeonwhite_ruin_doodads_v01_01.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/church_dungeonwhite_ruin_doodads_v01_02.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/church_dungeonwhite_ruin_doodads_v01_03.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/church_dungeonwhite_ruin_doodads_v01_04.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/church_dungeonwhite_ruin_doodads_v01_05.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/church_dungeonwhite_ruin_doodads_v01_06.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/church_dungeonwhite_ruin_doodads_v01_07.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/church_dungeonwhite_ruin_doodads_v01_08.ao"",""Metadata/Terrain/Doodads/LabyrinthSetDressing/church_dungeonwhite_ruin_doodads_v01_09.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[19],1,"",32,0,"","",1,"",[],-16843010,-16843010,"",""
22,7536,"[""Metadata/Terrain/Doodads/Church/church_longtable_v01_01.ao"",""Metadata/Terrain/Doodads/Church/church_longchair_v01_01.ao"",""Metadata/Terrain/Doodads/Church/churchwhite_longtable_v01_01.ao"",""Metadata/Terrain/Doodads/Church/churchwhite_longchair_v01_01.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",32,0,"","",1,"",[],-16843010,-16843010,"",""
23,7537,"[""Metadata/Terrain/Doodads/Church/church_tombstone_v01_01.ao"",""Metadata/Terrain/Doodads/Church/church_tombstone_v01_03.ao"",""Metadata/Terrain/Doodads/Church/church_tombstone_v01_02.ao"",""Metadata/Terrain/Doodads/Church/church_tombstone_v01_04.ao"",""Metadata/Terrain/Doodads/Forest/Gravestones/gravestone_v08_01.ao"",""Metadata/Terrain/Doodads/Forest/Gravestones/gravestone_v08_02.ao"",""Metadata/Terrain/Doodads/Forest/Gravestones/gravestone_v07_01.ao"",""Metadata/Terrain/Doodads/Forest/Gravestones/gravestone_v07_02.ao"",""Metadata/Terrain/Doodads/Forest/Gravestones/gravestone_v09_02.ao"",""Metadata/Terrain/Doodads/Forest/Gravestones/gravestone_v09_01.ao"",""Metadata/Terrain/Doodads/Forest/Gravestones/gravestone_v09_03.ao"",""Metadata/Terrain/Doodads/Church/churchwhite_tombstone_v01_01.ao"",""Metadata/Terrain/Doodads/Church/churchwhite_tombstone_v01_03.ao"",""Metadata/Terrain/Doodads/Church/churchwhite_tombstone_v01_02.ao"",""Metadata/Terrain/Doodads/Church/churchwhite_tombstone_v01_04.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",32,0,"","",1,"",[],-16843010,-16843010,"",""
24,7538,"[""Metadata/Terrain/Doodads/Encampment/barrels_v01_02.ao"",""Metadata/Terrain/Doodads/Encampment/barrels_v01_03.ao"",""Metadata/Terrain/Doodads/Encampment/barrels_v01_04.ao"",""Metadata/Terrain/Doodads/Encampment/barrels_v01_05.ao"",""Metadata/Terrain/Doodads/RuinedCity/AxisSupplies/axis_supply_barrel_v01_02.ao"",""Metadata/Terrain/Doodads/RuinedCity/AxisSupplies/axis_supply_barrel_v01_03.ao"",""Metadata/Terrain/Doodads/RuinedCity/AxisSupplies/axis_supply_barrel_v01_04.ao"",""Metadata/Terrain/Doodads/RuinedCity/Market_debris/barrels_01.ao"",""Metadata/Terrain/Doodads/RuinedCity/Market_debris/barrels_02.ao"",""Metadata/Terrain/Doodads/RuinedCity/Market_debris/barrels_03.ao"",""Metadata/Terrain/Doodads/RuinedCity/Market_debris/barrels_04.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[10],1,"",45,0,"","",1,"",[],-16843010,-16843010,"",""
25,7539,"[""Metadata/Terrain/Doodads/Encampment/barricade_v03_01.ao"",""Metadata/Terrain/Doodads/Encampment/barricade_v03_02.ao"",""Metadata/Terrain/Doodads/Encampment/barricade_v02_01.ao"",""Metadata/Terrain/Doodads/Encampment/barricade_v01_01.ao"",""Metadata/Terrain/Doodads/Encampment/barricade_v01_02.ao"",""Metadata/Terrain/Doodads/Encampment/barricade_v01_03.ao"",""Metadata/Terrain/Doodads/Encampment/barricade_v01_04.ao"",""Metadata/Terrain/Doodads/Encampment/spike_v01_04.ao"",""Metadata/Terrain/Doodads/Encampment/spike_v01_01.ao"",""Metadata/Terrain/Doodads/Encampment/spike_v01_02.ao"",""Metadata/Terrain/Doodads/Encampment/spike_v01_03.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[21],1,"",45,0,"","",1,"",[],-16843010,-16843010,"",""
26,7540,"[""Metadata/Terrain/Doodads/Encampment/basket_01.ao"",""Metadata/Terrain/Doodads/Encampment/basket_02.ao"",""Metadata/Terrain/Doodads/Encampment/basket_03.ao"",""Metadata/Terrain/Doodads/Encampment/basket_04.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[11],1,"",45,0,"","",1,"",[],-16843010,-16843010,"",""
27,7541,"[""Metadata/Terrain/Doodads/Encampment/buckets_v01_01.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[11],1,"",45,0,"","",1,"",[],-16843010,-16843010,"",""
