"rownum","Id","Name","Description","Icon","NextUpgradeOptions","i32","Tier","Radius","i32","SpendResourceAchievement","StatsKey","StatsKeys","StatsKeys2","bool"
10,"ArcingTower","Arc Tower","Damage: Medium\r\nCasts Arc\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconArcing",[],-1027797953,"IV",45,8,"",10437,"[10436,10438,10439,12156,12164,17529]","[24,2271,172,8661,12169,17528]",""
11,"BuffTower1","Empowering Tower Mk I","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff",[12],-1750551302,"I",35,15,"",10441,"[10440,10442,10443,10444,12164,17529]","[4523,216,10443,10444,12169,17528]",1
12,"BuffTower2","Empowering Tower Mk II","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff",[13],-2021019078,"II",45,15,"",10441,"[10440,10442,10443,10444,12164,17529]","[4523,216,10443,10444,12169,17528]",1
13,"BuffTower3","Empowering Tower Mk III","Improves the effectiveness of other Towers\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuff","[14,15]",1692746775,"III",55,15,"",10441,"[10440,10442,10443,10444,12164,17529]","[4523,216,10443,10444,12169,17528]",1
14,"BuffPlayersTower","Imbuing Tower","Improves the effectiveness of Players in range.\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconBuffPlayer",[],-720723365,"IV",55,16,"",10446,"[10445,10447,10448,12157,12164,17527]","[4523,10447,10448,12157,12169,17528]",1
15,"WeakenEnemiesTower","Smothering Tower","Weakens Enemies in range\r\nDoes not Damage Enemies","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconWeakining",[],1166693452,"IV",55,17,"",10450,"[10449,10451,10452,12158,12164,17529]","[4523,10451,10452,12158,12169,17528]",1
16,"StunningTower1","Seismic Tower Mk I","Damage: Low\r\nRepeats 3 times\r\nAlways Stuns\r\nDamages and Stuns nearby Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical",[17],-239063143,"I",45,9,"",10454,"[10453,10455,10456,10457,12164,17529]","[24,340,7736,10498,12169,17528]",""
17,"StunningTower2","Seismic Tower Mk II","Repeats 5 times","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical",[18],242248516,"II",45,9,"",10454,"[10453,10455,10456,10457,12164,17529]","[24,340,7736,10498,12169,17528]",""
18,"StunningTower3","Seismic Tower Mk III","Repeats 7 times","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPhysical","[19,20]",-854560930,"III",45,9,"",10454,"[10453,10455,10456,10457,12164,17529]","[24,340,7736,10498,12169,17528]",""
19,"TemporalTower","Temporal Tower","Persistently Slows Monsters \r\nDoes not Damage Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconTemporal",[],1524497081,"IV",45,10,"",10459,"[10458,10460,10461,12159,12164,17529]","[4523,10495,10496,12159,17528]",1
20,"PetrificationTower","Stone Gaze Tower","Periodically Petrifies Monsters\r\nDoes not Damage Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconPetrification",[],-241524287,"IV",45,11,"",10463,"[10462,10464,10465,12168,12164,17529]","[215,3334,10494,12170,12169,17528]",""
21,"MinionTower1","Summoning Tower Mk I","Summons 3 Minions\r\nMinion Damage: Low\r\nMinion Life: Low\r\nCan only summon Minions when previous Minions are dead\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion",[22],93106736,"I",30,12,"",10467,"[10466,10468,10469,10470,10467,12164,17529]","[487,616,159,10493,11648,12169,17528]",""
22,"MinionTower2","Summoning Tower Mk II","Summons 5 Minions","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion",[23],499014349,"II",30,12,"",10467,"[10466,10468,10469,10470,10467,12164,17529]","[487,616,159,10493,11648,12169,17528]",""
23,"MinionTower3","Summoning Tower Mk III","Summons 7 Minions","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMinion","[24,25]",1389469754,"III",30,12,"",10467,"[10466,10468,10469,10470,10467,12164,17529]","[487,616,159,10493,11648,12169,17528]",""
24,"FlyingMinionTower","Scout Tower","Summons 10 Flying Minions\r\nMinion Damage: High\r\nMinion Life: Low\r\nCan only summon Minions when previous Minions are dead\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFlyingMinion",[],1443410162,"IV",75,13,"",10472,"[10471,10473,10474,10472,12160,12164,13211,17529]","[487,616,159,11648,12166,12169,10493,17528]",""
25,"TankyMinionTower","Sentinel Tower","Summons 1 Durable Minion\r\nMinion Damage: Low\r\nMinion Life: High\r\nCan only summon Minions when previous Minions are dead\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconTankyMinion",[],467940328,"IV",45,14,"",10476,"[10475,10477,10478,10476,12161,12164,17529]","[487,616,159,11648,3113,12169,17528]",""
26,"FlameTower1","Fireball Tower Mk I","Damage: Medium\r\nCasts a Fireball\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire",[27],172162436,"I",45,0,"",10480,"[10479,10481,10482,10483,12164,17529]","[24,216,173,1776,12169,17528]",""
27,"FlameTower2","Fireball Tower Mk II","Casts 3 Fireballs","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire",[28],1399853640,"II",60,0,"",10480,"[10479,10481,10482,10483,12164,17529]","[24,216,173,1776,12169,17528]",""
28,"FlameTower3","Fireball Tower Mk III","Casts 5 Fireballs","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFire","[29,30]",155134479,"III",75,0,"",10480,"[10479,10481,10482,10483,12164,17529]","[24,216,173,1776,12169,17528]",""
29,"FlamethrowerTower","Flamethrower Tower","Damage: High\r\nCasts a stream of Fire\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFlamethrower",[],-1733718789,"IV",45,1,"",10485,"[10484,10486,10487,12162,12164,17529]","[24,10486,216,8659,12169,17528]",1
30,"MeteorTower","Meteor Tower","Damage: Very High\r\nRains Meteors from the sky\r\n\r\nIneffective against Blighted Monsters of the same type","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconMeteor",[],-741826316,"IV",100,2,"",10489,"[10488,10490,10491,12163,12164,17529]","[24,197,10497,1818,12169,17528]",""
