"rownum","MapsKey","MapWorldsTier","BetrayalTier","SynthesisTier","LegionTier","BlightTier","MetamorphosisTier","DeliriumTier","HarvestTier","HeistTier","i32"
90,416,9,9,10,8,9,5,5,5,6,10
91,417,10,11,13,11,15,8,8,13,4,12
92,418,10,3,13,12,12,9,9,9,3,12
93,419,10,10,14,13,12,3,3,5,14,3
94,420,10,11,8,3,4,4,4,4,16,15
95,421,10,8,11,14,13,3,3,2,2,4
96,422,10,6,12,11,13,7,7,10,4,4
97,423,10,11,11,10,10,3,3,3,3,15
98,424,10,10,7,3,1,1,1,2,2,3
99,425,10,3,1,4,4,2,2,2,13,13
100,426,10,8,8,14,13,2,2,3,3,3
101,427,11,8,6,6,9,16,16,16,15,2
102,428,11,11,6,11,11,8,8,4,13,2
103,429,11,12,13,11,15,4,4,2,2,15
104,430,11,7,6,6,10,3,3,3,14,4
105,431,11,10,7,7,7,14,14,12,12,2
106,432,11,10,11,13,15,3,3,2,2,1
107,433,11,9,8,7,9,3,3,2,14,7
108,434,11,11,10,8,7,9,9,9,9,3
109,435,11,11,10,5,2,3,3,3,3,14
110,436,11,10,6,8,8,4,4,9,15,16
111,437,0,0,0,0,0,0,0,0,0,8
112,438,12,12,15,13,14,4,4,4,4,2
113,439,12,15,13,15,14,16,16,2,16,15
114,440,12,12,6,7,6,13,13,13,9,9
115,441,12,12,9,9,9,5,5,5,5,15
116,442,12,11,12,14,12,4,4,3,12,4
117,443,12,12,9,9,7,2,2,2,3,15
118,444,12,15,14,14,14,12,12,8,3,3
119,445,12,12,6,8,7,15,15,15,16,16
120,446,12,13,14,7,6,3,3,3,3,8
121,447,13,13,14,15,11,5,5,4,2,14
122,448,13,7,7,8,6,12,12,3,3,10
123,449,13,11,13,12,11,4,4,4,1,13
124,450,13,12,12,11,12,14,14,8,8,6
125,451,13,14,12,13,14,15,15,3,4,15
126,452,13,13,14,13,11,14,14,9,9,5
127,453,13,12,11,9,6,3,3,3,3,4
128,454,13,15,11,15,12,15,15,4,2,5
129,455,13,13,15,12,14,11,11,11,11,14
130,456,14,13,13,12,14,12,12,14,4,14
131,457,14,13,12,15,13,15,15,15,9,14
132,458,14,14,15,14,15,14,14,4,10,7
133,459,14,13,13,11,13,14,14,11,11,4
134,460,14,10,14,13,12,4,4,6,5,3
135,461,14,13,11,11,12,11,11,5,3,12
136,462,14,14,11,15,11,15,15,15,15,5
137,463,15,15,15,12,14,15,15,15,15,15
138,464,15,14,11,14,13,5,5,5,5,3
139,465,15,14,12,13,11,14,14,3,14,2
140,466,15,13,12,13,11,5,5,16,4,3
141,467,15,14,12,12,13,16,16,14,14,5
142,468,0,0,0,0,0,0,0,0,0,9
143,469,0,0,0,0,0,0,0,0,0,14
144,470,0,0,0,0,0,0,0,0,0,6
145,471,16,16,16,16,16,16,16,16,16,16
146,472,16,16,16,16,16,16,16,16,16,16
147,473,16,16,16,16,16,16,16,16,16,16
148,474,16,16,16,16,16,16,16,16,16,16
149,475,17,17,17,17,17,17,17,17,17,17
150,476,16,16,16,16,16,16,16,16,16,16
151,477,5,5,5,5,5,5,5,5,5,5
152,478,10,10,10,10,10,10,10,10,10,10
153,479,15,15,15,15,15,15,15,15,15,15
154,480,0,0,0,0,0,0,0,16,16,16
