"rownum","Id","i32","string","rid","i32","rid","i32","[i32]","bool","string"
10,"Unique5",18654,"","",4,"",0,"[7602249,7143525,6357024,6553710,5046304,7471209,7274610,6619250,2097252,7274563,7929968,0,6881357,7471218,7471215,6422625,6619244,2097196,6357074,6619250,4784160,6619252,109,1496645632,0,0,0,1496973312,0,0,0,5570560,6881390,7667825,3211365,0,22833,0,0,0,22838,0,0,0,7209045,7405673,6619253,50,1496514560,0,0,0,1496842240,0,0,0,5570560,6881390,7667825,3342437,0,22836,0,0,0,22841,0,0,0,7209045,7405673,6619253,52,1496449024,0,0,0,1496776704,0,0,0,5570560,6881390,7667825,3473509,0,22835,0,0,0,22840,0,0,0,7209045,7405673,6619253,54,1496580096,0,0,0,1496907776,0,0,0,5570560,6881390,7667825,3604581,0,22837,0,0,0,22842,0,0,0,7209045,7405673,6619253,56,1496645632,0,0,0,1496973312,0,0]","","夳"
11,"Unique6",7505,"","",4,"",0,"[7602249,7143525,6357024,6553710,5046304,7471209,7274610,6619250,2097252,7274563,7929968,0,6881357,7471218,7471215,6422625,6619244,2097196,6357074,6619250,4784160,6619252,109,1496645632,0,0,0,1496973312,0,0,0,5570560,6881390,7667825,3211365,0,22833,0,0,0,22838,0,0,0,7209045,7405673,6619253,50,1496514560,0,0,0,1496842240,0,0,0,5570560,6881390,7667825,3342437,0,22836,0,0,0,22841,0,0,0,7209045,7405673,6619253,52,1496449024,0,0,0,1496776704,0,0,0,5570560,6881390,7667825,3473509,0,22835,0,0,0,22840,0,0,0,7209045,7405673,6619253,54,1496580096,0,0,0,1496907776,0,0,0,5570560,6881390,7667825,3604581,0,22837,0,0,0,22842,0,0,0,7209045,7405673,6619253,56,1496645632,0,0,0,1496973312,0,0]","","头"
12,"Unique7",6641,"","",4,"",0,"[7602249,7143525,6357024,6553710,5046304,7471209,7274610,6619250,2097252,7274563,7929968,0,6881357,7471218,7471215,6422625,6619244,2097196,6357074,6619250,4784160,6619252,109,1496645632,0,0,0,1496973312,0,0,0,5570560,6881390,7667825,3211365,0,22833,0,0,0,22838,0,0,0,7209045,7405673,6619253,50,1496514560,0,0,0,1496842240,0,0,0,5570560,6881390,7667825,3342437,0,22836,0,0,0,22841,0,0,0,7209045,7405673,6619253,52,1496449024,0,0,0,1496776704,0,0,0,5570560,6881390,7667825,3473509,0,22835,0,0,0,22840,0,0,0,7209045,7405673,6619253,54,1496580096,0,0,0,1496907776,0,0,0,5570560,6881390,7667825,3604581,0,22837,0,0,0,22842,0,0,0,7209045,7405673,6619253,56,1496645632,0,0,0,1496973312,0,0]","","夵"
13,"Unique8",5026,"","",4,"",0,"[7602249,7143525,6357024,6553710,5046304,7471209,7274610,6619250,2097252,7274563,7929968,0,6881357,7471218,7471215,6422625,6619244,2097196,6357074,6619250,4784160,6619252,109,1496645632,0,0,0,1496973312,0,0,0,5570560,6881390,7667825,3211365,0,22833,0,0,0,22838,0,0,0,7209045,7405673,6619253,50,1496514560,0,0,0,1496842240,0,0,0,5570560,6881390,7667825,3342437,0,22836,0,0,0,22841,0,0,0,7209045,7405673,6619253,52,1496449024,0,0,0,1496776704,0,0,0,5570560,6881390,7667825,3473509,0,22835,0,0,0,22840,0,0,0,7209045,7405673,6619253,54,1496580096,0,0,0,1496907776,0,0,0,5570560,6881390,7667825,3604581,0,22837,0,0,0,22842,0,0,0,7209045,7405673,6619253,56,1496645632,0,0,0,1496973312,0,0]","","夵"
14,"Unique9",17340,"","",4,"",0,"[7602249,7143525,6357024,6553710,5046304,7471209,7274610,6619250,2097252,7274563,7929968,0,6881357,7471218,7471215,6422625,6619244,2097196,6357074,6619250,4784160,6619252,109,1496645632,0,0,0,1496973312,0,0,0,5570560,6881390,7667825,3211365,0,22833,0,0,0,22838,0,0,0,7209045,7405673,6619253,50,1496514560,0,0,0,1496842240,0,0,0,5570560,6881390,7667825,3342437,0,22836,0,0,0,22841,0,0,0,7209045,7405673,6619253,52,1496449024,0,0,0,1496776704,0,0,0,5570560,6881390,7667825,3473509,0,22835,0,0,0,22840,0,0,0,7209045,7405673,6619253,54,1496580096,0,0,0,1496907776,0,0,0,5570560,6881390,7667825,3604581,0,22837,0,0,0,22842,0,0,0,7209045,7405673,6619253,56,1496645632,0,0,0,1496973312,0,0]","","夳"
15,"Unique10",31328,"","",4,"",0,"[7602249,7143525,6357024,6553710,5046304,7471209,7274610,6619250,2097252,7274563,7929968,0,6881357,7471218,7471215,6422625,6619244,2097196,6357074,6619250,4784160,6619252,109,1496645632,0,0,0,1496973312,0,0,0,5570560,6881390,7667825,3211365,0,22833,0,0,0,22838,0,0,0,7209045,7405673,6619253,50,1496514560,0,0,0,1496842240,0,0,0,5570560,6881390,7667825,3342437,0,22836,0,0,0,22841,0,0,0,7209045,7405673,6619253,52,1496449024,0,0,0,1496776704,0,0,0,5570560,6881390,7667825,3473509,0,22835,0,0,0,22840,0,0,0,7209045,7405673,6619253,54,1496580096,0,0,0,1496907776,0,0,0,5570560,6881390,7667825,3604581,0,22837,0,0,0,22842,0,0,0,7209045,7405673,6619253,56,1496645632,0,0,0,1496973312,0,0]","","头"
16,"CurrencyChaos5",10698,"Doubles sacrificed Currency","",1,2,5,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","失"
17,"CurrencyChaos10",32977,"Doubles sacrificed Currency","",1,2,10,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夲"
18,"CurrencyBlessed10",33537,"Doubles sacrificed Currency","",1,23,10,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","失"
19,"CurrencyBlessed20",12316,"Doubles sacrificed Currency","",1,23,20,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夲"
20,"CurrencyScouring15",44257,"Doubles sacrificed Currency","",1,12,15,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","失"
21,"CurrencyScouring30",34349,"Doubles sacrificed Currency","",1,12,30,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夲"
22,"CurrencyFusing10",64174,"Doubles sacrificed Currency","",1,20,10,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","失"
23,"CurrencyFusing20",59104,"Doubles sacrificed Currency","",1,20,20,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夲"
24,"CurrencyRegret20",62668,"Doubles sacrificed Currency","",1,8,20,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","失"
25,"CurrencyRegret40",19592,"Doubles sacrificed Currency","",1,8,40,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夲"
26,"CurrencyGemcutters5",33199,"Doubles sacrificed Currency","",1,18,5,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","失"
