"rownum","Id","PredictionText","i32","Name","FlavourText","QuestTracker_ClientStringsKeys","OGGFile","ProphecyChainKey","ProphecyChainPosition","IsEnabled","SealCost","PredictionText2"
68,"KillingGeofriWithRealmshaperAddsSpecificMod","You will defeat Archbishop Geofri while holding Realmshaper.",34307,"The Beginning and the End","The archbishop plays witness to his own cold death and cremation.","[2271,2129]","Audio/Dialogue/NPC/NavaliProphecy/N50i.ogg","",0,1,1,""
69,"KillingBoneQueenWithQueensDecreeAddsSpecificMod","You will defeat the Bone Queen while holding Queen's Decree.",38997,"The Misunderstood Queen","A queen of bone raises an army and flees among walls of flesh.","[2272,2129]","Audio/Dialogue/NPC/NavaliProphecy/N50j.ogg","",0,1,1,""
70,"UniqueMonsterKillTurnsAllNormalMonstersIntoMagic","All normal monsters in area become magic - NOTE: Currently very laggy, do not enable",61287,"SHOULD NOT APPEAR","You shouldn't be seeing this!",[],"","",0,"",999,""
71,"TheBlackStone1","You will use an Orb of Transmutation on an Onyx Amulet, applying elemental resistances.",3537,"The Black Stone I","The black stone senses resilience in you. It too grows resilient to outside influences.",[2174],"Audio/Dialogue/NPC/NavaliProphecy/N58a.ogg",12,0,"",4,""
72,"TheBlackStone2","You will use an Orb of Augmentation on the Onyx Amulet, applying life.",17456,"The Black Stone II","The black stone senses the joy of life in you. It feeds on this joy and grows more lively.",[2175],"Audio/Dialogue/NPC/NavaliProphecy/N58b.ogg",12,1,"",5,""
73,"TheBlackStone3","You will use a Regal Orb on the Onyx Amulet, applying critical strike chance.",14090,"The Black Stone III","The black stone senses eagerness in you. It longs for the excitement of combat, of bloodshed.",[2176],"Audio/Dialogue/NPC/NavaliProphecy/N58c.ogg",12,2,"",6,""
74,"TheBlackStone4","You will use an Exalted Orb on the Onyx Amulet, turning it into a powerful new item.",3571,"The Black Stone IV","The black stone learns from you. It is ready to shape each encounter in your favour.",[2177],"Audio/Dialogue/NPC/NavaliProphecy/N58d.ogg",12,3,"",7,""
75,"RareRuinedTitanDropsClayShaper","You will track down a powerful Ruined Titan who will drop a unique item when slain.",19253,"The Walking Mountain","Shaped by magic, the tool that breathes life into the titan's stone lies at its heart.",[],"Audio/Dialogue/NPC/NavaliProphecy/N51f.ogg","",0,1,2,""
76,"RareAxiomThunderGuardDropsStormPrison","You will track down a powerful Axiom Thunderguard who will drop a unique item when slain.",34183,"The Prison Guard","Clad in black, the guard holds the key to unleashing the storm.",[],"Audio/Dialogue/NPC/NavaliProphecy/N51g.ogg","",0,1,2,""
77,"RareMadGladiatorDropsDaressosPassion","You will track down a powerful Mad Gladiator who will drop a unique item when slain.",42649,"The Sword King's Passion","Once a challenger to the crown, he holds in his hands the Sword King's blade.",[],"Audio/Dialogue/NPC/NavaliProphecy/N51h.ogg","",0,1,2,""
78,"RareMurkRunnerDropsTheScreamingEagle","You will track down a powerful Murk Runner who will drop a unique item when slain.",21787,"The Eagle's Cry","A flightless fowl charges through rotten wooden ribs; its scream gives even the battle-hardened pause.",[],"Audio/Dialogue/NPC/NavaliProphecy/N51i.ogg","",0,1,2,""
79,"RareDrippingDeadDropsLifesprig","You will track down a powerful Dripping Dead who will drop a unique item when slain.",46978,"From Death Springs Life","Fetid waters carry the dead downstream, but walking in the mud, the dead one carries life.",[],"Audio/Dialogue/NPC/NavaliProphecy/N52a.ogg","",0,1,2,""
80,"RareBrittlePoacherDropsStormCloud","You will track down a powerful Brittle Poacher who will drop a unique item when slain.",21989,"Storm on the Horizon","The poacher's bowstring snaps like dry bone and crackles like thunder.",[],"Audio/Dialogue/NPC/NavaliProphecy/N52b.ogg","",0,1,2,""
81,"RareSeethingBrineDropsWanderlust","You will track down a powerful Seething Brine who will drop a unique item when slain.",28670,"A Firm Foothold","Water slicks the stone, a misstep chills the bone, the living pools hold the cure.",[],"Audio/Dialogue/NPC/NavaliProphecy/N52c.ogg","",0,1,2,""
82,"RareBeardedShamanDropsKaruiWard","You will track down a powerful Bearded Shaman who will drop a unique item when slain.",52282,"The Ward's Ward","The false shaman's death uncovers ancestral allurement locked in ancient stone.",[],"Audio/Dialogue/NPC/NavaliProphecy/N52d.ogg","",0,1,2,""
83,"RareDevourerDropsWideswing","You will track down a powerful Devourer who will drop a unique item when slain.",4512,"Fear's Wide Reach","The unseen enemy travels through unseen tunnels. Its reach is small, but its effect is large.",[],"Audio/Dialogue/NPC/NavaliProphecy/N52e.ogg","",0,1,2,""
84,"RareBeardedDevilDropsAxiomPerpetuum","You will track down a powerful Bearded Devil who will drop a unique item when slain.",22724,"The Prison Key","The gate is unlocked, but the key remains in the hands of a devil.",[],"Audio/Dialogue/NPC/NavaliProphecy/N52f.ogg","",0,1,2,""
85,"RareOaksDevotedDropsRothsReach","You will track down a powerful Oak's Devoted who will drop a unique item when slain.",41417,"Roth's Legacy","The devotee holds a relic of the pirate's past, looted and lost for an age.",[],"Audio/Dialogue/NPC/NavaliProphecy/N52g.ogg","",0,1,2,""
86,"RareAncientConstructDropsAtzirisFoible","You will track down a powerful Ancient Construct who will drop a unique item when slain.",14295,"The Soulless Beast","Powered by twin wings, the mechanical monster roams the ruins.",[],"Audio/Dialogue/NPC/NavaliProphecy/N64a.ogg","",0,1,2,""
87,"RareSinLordDropsStoneOfLazhwar","You will track down a powerful Sin Lord who will drop a unique item when slain.",37863,"The Sinner's Stone","A lord of sin roams hollow halls protected from the spells he sings.",[],"Audio/Dialogue/NPC/NavaliProphecy/N64b.ogg","",0,1,2,""
88,"RareDeathBishopDropsGeofrisBaptism","You will track down a powerful Death Bishop who will drop a unique item when slain.",16158,"Baptism by Death","The bishop's flock is long gone, yet still he wields his hefty crook.",[],"Audio/Dialogue/NPC/NavaliProphecy/N64c.ogg","",0,1,2,""
89,"RareBlackguardArcmageDropsReverberationRod","You will track down a powerful Blackguard Arcmage who will drop a unique item when slain.",29199,"The Lady in Black","Lightning's hum grows louder and louder in the hands of the lady in black.",[],"Audio/Dialogue/NPC/NavaliProphecy/N64d.ogg","",0,1,2,""
90,"RareDockhandWraithDropsRothsReach","You will track down a powerful Dockhand Wraith who will drop a unique item when slain.",8348,"Against the Tide","Taken by the fickle tides, the Captain's bow washes against the dock from which he set sail.",[],"Audio/Dialogue/NPC/NavaliProphecy/N64e.ogg","",0,1,2,""
91,"RareBlackguardEliteDropsFacebreaker","You will track down a powerful Blackguard Elite who will drop a unique item when slain.",53211,"The Brutal Enforcer","In a society that values violence, the violent rise through the ranks like oil through water.",[],"Audio/Dialogue/NPC/NavaliProphecy/N64f.ogg","",0,1,2,""
92,"RareFlameSentinelDropsGoldrim","You will track down a powerful Flame Sentinel who will drop a unique item when slain.",62071,"Graceful Flames","Crimson fabric flutters with fury and flame, but a gilded prize lies within.",[],"Audio/Dialogue/NPC/NavaliProphecy/N64g.ogg","",0,1,2,""
93,"RareDrownedDropsMoonbendersWing","You will track down a powerful Brine Vassal who will drop a unique item when slain.",62974,"Storm on the Reef","Lightning flashes overhead. Bloated bodies wash ashore. One stands, walks, and stretches its wing.",[],"Audio/Dialogue/NPC/NavaliProphecy/N65a.ogg","",0,1,2,""
94,"RarePockedLanternbearerDropsTwyzel","You will track down a powerful Pocked Lanternbearer who will drop a unique item when slain.",15757,"The Petrified","Lightless halls hewn in stone swell with the malformed, the twisted, the hardened and the dangerous.",[],"Audio/Dialogue/NPC/NavaliProphecy/N65b.ogg","",0,1,2,""
95,"RareVollsVanguardDropsDeathsHarp","You will track down a powerful Voll's Vanguard who will drop a unique item when slain.",62067,"The Vanguard","The Vanguard lead the funereal march, playing hymns of death with their bowstrings. ",[],"Audio/Dialogue/NPC/NavaliProphecy/N65c.ogg","",0,1,2,""
96,"RareUndyingEvangelistDropsTabulaRasa","You will track down a powerful Undying Evangelist who will drop a unique item when slain.",35220,"Cleanser of Sins","The Evangelist does not practise what he preaches, but death wipes clean the slate.",[],"Audio/Dialogue/NPC/NavaliProphecy/N65d.ogg","",0,1,2,""
97,"RareFightingBullDropsMeginordsGirdle","You will track down a powerful Fighting Bull who will drop a unique item when slain.",42523,"Strong as a Bull","Strength to rival the Karui King charges through the Sword King's dream.",[],"Audio/Dialogue/NPC/NavaliProphecy/N65e.ogg","",0,1,2,""
98,"RareSkulkingDwellerDropsWindsOfChange","You will track down a powerful Skulking Dweller who will drop a unique item when slain.",43998,"The Lost Undying","Trapped with his emperor when the crown was taken, he seeks to change his fate.",[],"Audio/Dialogue/NPC/NavaliProphecy/N65f.ogg","",0,1,2,""
99,"RareFrostPriestDropsTheWhisperingIce","You will track down a powerful Frost Preacher who will drop a unique item when slain.",55828,"A Whispered Prayer","A preacher whispers to the skies and the skies answer with a blanket of biting frost.",[],"Audio/Dialogue/NPC/NavaliProphecy/N65g.ogg","",0,1,2,""
100,"RareAncientArcherDropsDrillneck","You will track down a powerful Ancient Archer who will drop a unique item when slain.",34478,"The Last Watch","A loyal soldier in life, he stands watch, bow in hand, waiting to be sent to the Mother of death.",[],"Audio/Dialogue/NPC/NavaliProphecy/N65h.ogg","",0,1,2,""
101,"RareSuturedAberrationDropsMaligarosVirtuosity","You will track down a powerful Sutured Aberration who will drop a unique item when slain.",17245,"A Prodigious Hand","The dead one brought back to life by means other than corruption now holds the hands that revived it.",[],"Audio/Dialogue/NPC/NavaliProphecy/N73a.ogg","",0,1,2,""
102,"RareWanderingEyeDropsEyeOfChayula","You will track down a powerful Wandering Eye who will drop a unique item when slain.",13553,"The Watcher's Watcher","Unblinking, it watches. Unendingly, it is watched.",[],"Audio/Dialogue/NPC/NavaliProphecy/N66b.ogg","",0,1,2,""
103,"RareKaomsChosenDropsHezemanasBloodlust","You will track down a powerful Kaom's Chosen in a map who will drop a unique item when slain.",55477,"Blood of the Betrayed","Slain by their king, they live only in memory, but their lust for blood remains unsated.",[],"Audio/Dialogue/NPC/NavaliProphecy/N66c.ogg","",0,1,2,""
104,"RareUndyingIncineratorDropsSireOfShards","You will track down a powerful Solar Guard who will drop a unique item when slain.",231,"Heart of the Fire","Its one desire is to see the world burn. A shard of fury stokes the undying fire in its heart.",[],"Audio/Dialogue/NPC/NavaliProphecy/N66d.ogg","",0,1,2,""
105,"RarePockedMinerDropsInfractem","You will track down a powerful Pocked Mason who will drop a unique item when slain.",62287,"Notched Flesh","Stiff is the bow. Brittle is the flesh that holds it. Deep are the holes it leaves.",[],"Audio/Dialogue/NPC/NavaliProphecy/N66e.ogg","",0,1,2,""
106,"RareAssaultRibbonDropsTearOfPurity","You will track down a powerful Assault Ribbon who will drop a unique item when slain.",63273,"Custodians of Silence","The temple untouched for centuries, the guardians clean and pure, yet they too must meet the Mother.",[],"Audio/Dialogue/NPC/NavaliProphecy/N67a.ogg","",0,1,2,""
