"rownum","BaseMetadata","i32","[i32]","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool","i32","i32","i32","i32","i32","i32","i32","bool","i32","string","bool"
10,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",1,"[6103,0]",20,500,0,0,2600,3100,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
11,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",9,"[6103,0]",20,500,0,0,2400,2900,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
12,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",29,"[6103,0]",20,500,0,0,2300,2800,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
13,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",52,"[6103,0]",20,500,0,0,2200,2700,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
14,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",92,"[6103,0]",20,500,0,0,2100,2600,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
15,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",173,"[6103,0]",20,500,0,0,2000,1500,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
16,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",239,"[6103,0]",20,500,0,0,1500,2000,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
17,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",319,"[6103,0]",20,500,0,0,1250,1750,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
18,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",469,"[6103,0]",20,500,0,0,1000,1500,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
19,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",569,"[6103,0]",20,500,0,0,800,1300,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
20,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",1,[6102],20,500,0,0,2600,3100,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
21,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",9,[6102],20,500,0,0,2400,2900,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
22,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",29,[6102],20,500,0,0,2300,2800,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
23,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",52,[6102],20,500,0,0,2200,2700,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
24,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",92,[6102],20,500,0,0,2100,2600,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
25,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",173,[6102],20,500,0,0,2000,1500,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
26,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",239,[6102],20,500,0,0,1500,2000,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
27,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",319,[6102],20,500,0,0,1250,1750,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
28,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",469,[6102],20,500,0,0,1000,1500,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
29,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",569,[6102],20,500,0,0,800,1300,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
30,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",1,[6108],20,500,0,0,2600,3100,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
31,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",9,[6108],20,500,0,0,2400,2900,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
32,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",29,[6108],20,500,0,0,2300,2800,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
33,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",52,[6108],20,500,0,0,2200,2700,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
34,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",92,[6108],20,500,0,0,2100,2600,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
35,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",173,[6108],20,500,0,0,2000,1500,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
36,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",239,[6108],20,500,0,0,1500,2000,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
37,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",319,[6108],20,500,0,0,1250,1750,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
38,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",469,[6108],20,500,0,0,1000,1500,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
39,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",569,[6108],20,500,0,0,800,1300,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
40,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",1,[6107],20,500,0,0,2600,3100,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
41,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",9,[6107],20,500,0,0,2400,2900,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
42,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",29,[6107],20,500,0,0,2300,2800,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
43,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",52,[6107],20,500,0,0,2200,2700,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
44,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",92,[6107],20,500,0,0,2100,2600,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
45,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",173,[6107],20,500,0,0,2000,1500,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
46,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",239,[6107],20,500,0,0,1500,2000,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
47,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",319,[6107],20,500,0,0,1250,1750,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
48,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",469,[6107],20,500,0,0,1000,1500,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
49,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",569,[6107],20,500,0,0,800,1300,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
50,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",1,[6106],20,500,0,0,2600,3100,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
51,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",9,[6106],20,500,0,0,2400,2900,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
52,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",29,[6106],20,500,0,0,2300,2800,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
53,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",52,[6106],20,500,0,0,2200,2700,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
54,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",92,[6106],20,500,0,0,2100,2600,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
55,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",173,[6106],20,500,0,0,2000,1500,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
56,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",239,[6106],20,500,0,0,1500,2000,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
57,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",319,[6106],20,500,0,0,1250,1750,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
58,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",469,[6106],20,500,0,0,1000,1500,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
59,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",569,[6106],20,500,0,0,800,1300,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"",""
60,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",1,[6109],20,500,0,0,2600,3100,0,0,"","","",0,33554432,0,0,0,50331648,0,"",1,"",""
61,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",9,[6109],20,500,0,0,2400,2900,0,0,"","","",0,33554432,0,0,0,50331648,0,"",1,"",""
62,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",29,[6109],20,500,0,0,2300,2800,0,0,"","","",0,33554432,0,0,0,50331648,0,"",1,"",""
63,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",52,[6109],20,500,0,0,2200,2700,0,0,"","","",0,33554432,0,0,0,50331648,0,"",1,"",""
64,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",92,[6109],20,500,0,0,2100,2600,0,0,"","","",0,33554432,0,0,0,50331648,0,"",1,"",""
65,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",173,[6109],20,500,0,0,2000,1500,0,0,"","","",0,33554432,0,0,0,50331648,0,"",1,"",""
66,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",239,[6109],20,500,0,0,1500,2000,0,0,"","","",0,33554432,0,0,0,50331648,0,"",1,"",""
67,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",319,[6109],20,500,0,0,1250,1750,0,0,"","","",0,33554432,0,0,0,50331648,0,"",1,"",""
68,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",469,[6109],20,500,0,0,1000,1500,0,0,"","","",0,33554432,0,0,0,50331648,0,"",1,"",""
69,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",569,[6109],20,500,0,0,800,1300,0,0,"","","",0,33554432,0,0,0,50331648,0,"",1,"",""
70,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta1",1,[6124],20,1000,0,3,2760,5520,0,0,"",1,"",65536,33554432,83886080,335544320,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
71,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta1",9,[6124],20,1000,0,3,2400,4800,0,0,"",1,"",65536,33554432,83886080,419430400,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
72,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta1",29,[6124],20,1000,0,3,2040,4080,0,0,"",1,"",65536,33554432,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
73,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta1",52,[6124],20,1000,0,3,1680,3360,0,0,"",1,"",65536,33554432,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
74,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta1",92,[6124],20,1000,0,3,1300,2700,0,0,"",1,"",65536,33554432,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
75,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta1",173,[6124],20,1000,0,3,1100,2200,0,0,"",1,"",65536,33554432,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
76,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta1",239,[6124],20,1000,0,3,1000,1800,0,0,"",1,"",65536,33554432,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
77,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta2",1,[6125],5,1000,0,3,3700,7300,0,0,"",1,"",65536,16777216,83886080,335544320,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
78,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta2",9,[6125],5,1000,0,3,3200,6300,0,0,"",1,"",65536,16777216,83886080,419430400,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
79,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta2",29,[6125],5,1000,0,3,2700,5500,0,0,"",1,"",65536,16777216,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
80,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta2",52,[6125],5,1000,0,3,2300,4800,0,0,"",1,"",65536,16777216,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
81,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta2",92,[6125],5,1000,0,3,2000,4200,0,0,"",1,"",65536,16777216,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
82,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta2",173,[6125],5,1000,0,3,1800,3700,0,0,"",1,"",65536,16777216,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
83,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta2",239,[6125],5,1000,0,3,1700,3300,0,0,"",1,"",65536,16777216,83886080,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge );",""
84,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta3",1,[6153],1,0,0,0,0,0,0,0,"",1,"",65536,16777216,16777216,0,167772160,83886080,0,"",1,"",""
85,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta3",9,[6153],1,0,0,0,0,0,0,0,"",1,"",65536,16777216,16777216,0,251658240,83886080,0,"",1,"",""
86,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta3",29,[6153],1,0,0,0,0,0,0,0,"",1,"",65536,16777216,16777216,0,335544320,83886080,0,"",1,"",""
87,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta3",52,[6153],1,0,0,0,0,0,0,0,"",1,"",65536,16777216,16777216,0,419430400,83886080,0,"",1,"",""
