"rownum","MapPinsKey0","MapPinsKey1","i32","RestrictedAreaText","i32","i32","i32","i32","i32","i32","i32"
69,66,64,2387,"The entrance is now blocked.",1072,2387,317,0,0,978,0
70,73,74,2387,"",2387,2387,2387,0,0,978,0
71,73,75,2387,"",2387,2387,2387,0,0,978,0
72,75,76,2387,"",2387,2387,2387,0,0,978,0
73,75,77,2387,"",2387,2387,2387,0,0,978,0
74,77,78,1179,"You need to find the missing Karui eye to open the gate.",1182,2387,2387,0,0,1094,0
75,78,79,1176,"You must defeat Tukohama to unlock the exit.",1181,2387,2387,0,0,1186,0
76,79,80,2387,"",2387,2387,2387,0,0,1186,0
77,80,81,2387,"",2387,2387,2387,0,0,1186,0
78,81,82,2387,"",2387,2387,2387,0,0,1186,0
79,82,83,2387,"",2387,2387,2387,0,0,1186,0
80,83,84,2387,"",2387,2387,2387,0,0,1186,0
81,83,85,2387,"",2387,2387,2387,0,0,1186,0
82,85,86,2387,"",2387,2387,2387,0,0,1186,0
83,86,87,2387,"",2387,2387,2387,0,0,1186,0
84,87,88,1161,"You must light the Beacon to access the Brine King's Reef.",1154,2387,2387,0,0,1306,0
85,89,90,2387,"",2387,2387,2387,0,0,1306,0
86,90,91,2387,"",2387,2387,2387,0,0,1306,0
87,91,92,2387,"",2387,2387,2387,0,0,1306,0
88,91,94,2387,"",2387,2387,2387,0,0,1306,0
89,91,97,2387,"The bandits have blocked the way. You must find another way around.",1271,2387,1271,0,0,1444,0
90,92,93,2387,"",2387,2387,2387,0,0,1444,0
91,94,96,2387,"",2387,1288,1165,0,0,1444,0
92,94,95,2387,"",2387,2387,2387,0,0,1444,0
93,96,97,2387,"",2387,2387,2387,0,0,1444,0
94,97,98,2387,"",2387,2387,2387,0,0,1444,0
95,98,99,2387,"",2387,2387,2387,0,0,1444,0
96,98,100,2387,"",2387,2387,2387,0,0,1444,0
97,100,101,2387,"",2387,2387,2387,0,0,1444,0
98,101,102,2387,"",2387,2387,2387,0,0,1444,0
99,103,104,2387,"",2387,2387,2387,0,0,1444,0
100,104,105,2387,"",2387,2387,2387,0,0,1444,0
101,105,106,2387,"",2387,2387,2387,0,0,1444,0
102,105,111,2387,"",2387,2387,2387,0,0,1444,0
103,108,107,2387,"",2387,2387,2387,0,0,1444,0
104,106,108,2387,"",2387,2387,2387,0,0,1444,0
105,108,109,2387,"",2387,2387,2387,0,0,1444,0
106,109,110,2387,"",2387,2387,2387,0,0,1444,0
107,109,116,2387,"",2387,2387,2387,0,0,1444,0
108,111,112,2387,"",2387,2387,2387,0,0,1444,0
109,112,113,2387,"",2387,2387,2387,0,0,1444,0
110,113,115,2387,"",2387,2387,2387,0,0,1444,0
111,115,114,2387,"",2387,2387,2387,0,0,1444,0
112,114,116,2387,"",2387,2387,2387,0,0,1444,0
113,117,118,2387,"",2387,2387,2387,0,0,1444,0
114,118,119,2387,"",2387,2387,2387,0,0,1444,0
115,119,120,2387,"",2387,2387,2387,0,0,1444,0
116,120,121,1632,"You must find a way to clear the Sandstorm to access the Oasis.",1637,2387,2387,0,0,1574,0
117,120,122,2387,"",2387,2387,2387,0,0,1574,0
118,122,123,2387,"",2387,2387,2387,0,0,1574,0
119,122,124,2387,"",2387,2387,2387,0,0,1574,0
120,124,125,2387,"",2387,2387,2387,0,0,1574,0
121,125,126,2387,"",2387,2387,2387,0,0,1574,0
122,125,127,1612,"You must deliver the ingredients to Sin to access the Beast.",1375,2387,2387,0,0,1698,0
123,127,128,2387,"",2387,2387,2387,0,0,1698,0
124,129,130,2387,"",2387,2387,2387,0,0,1698,0
125,130,131,2387,"",2387,2387,2387,0,0,1698,0
126,131,132,2387,"",2387,2387,2387,0,0,1698,0
127,132,133,2387,"",2387,2387,2387,0,0,1698,0
128,131,134,2387,"Kitava's Horns block the way.",2387,1666,1667,0,0,1760,0
129,134,135,2387,"",2387,2387,2387,0,0,1760,0
130,131,136,2387,"",2387,2387,2387,0,0,1760,0
131,131,137,2387,"",2387,2387,2387,0,0,1760,0
132,131,138,2387,"",2387,2387,2387,0,0,1760,0
133,139,141,2387,"",2387,2387,2387,0,0,1760,0
134,139,142,2387,"",2387,2387,2387,0,0,1760,0
135,139,143,2387,"",2387,2387,2387,0,0,1760,0
