"rownum","rid","i32","[i32]","[rid]","rid","i32","bool","i32","bool","i32","bool","i32","bool","bool"
22,7777,0,[2],[],7540,10,1,5,"",-1778384896,"",52428800,"",""
23,7779,0,"[3,1]","[5864,8725]","",0,1,-30,"",-1778384896,"",52428800,"",""
24,7780,0,[3],"[5865,8725]","",0,1,-30,"",-1778384896,"",52428800,"",""
25,7780,1,[1],[],"",0,1,-30,"",-1778384896,"",52428800,"",""
26,7781,0,"[1,3]","[5866,8725]","",0,1,-30,"",-1778384896,"",52428800,"",""
27,7782,0,"[1,3]","[5867,8725]","",0,1,-30,"",-1778384896,"",52428800,"",""
28,7784,0,[2],[6300],"",10,1,-15,"",-1778384896,"",52428800,"",""
29,7785,0,[2],[3625],"",10,1,10,"",-1778384896,"",52428800,"",""
30,7786,0,[2],[],7540,10,1,5,"",-1778384896,"",52428800,"",""
31,7787,0,[3],"[5865,8725]","",0,1,-30,"",-1778384896,"",52428800,"",""
32,7787,1,[1],[],"",0,1,-30,"",-1778384896,"",52428800,"",""
33,7789,0,"[1,3]","[5867,8725]","",0,1,-30,"",-1778384896,"",52428800,"",""
34,7791,0,"[3,1]",[5868],"",0,1,-15,"",-1778384896,"",52428800,"",""
35,7793,0,[2],[3625],"",10,1,10,"",-1778384896,"",52428800,"",""
36,7795,0,[3],"[5865,8725]","",0,1,-30,"",-1778384896,"",52428800,"",""
37,7795,1,[1],[],"",0,1,-30,"",-1778384896,"",52428800,"",""
38,7796,0,"[1,3]","[5867,8725]","",0,1,-30,"",-1778384896,"",52428800,"",""
39,7797,0,"[3,1]",[5868],"",0,1,-15,"",-1778384896,"",52428800,"",""
40,7798,0,[2],[3625],"",0,1,10,"",-1778384896,"",52428800,"",""
41,7799,0,"[3,1]",[5869],"",0,1,-30,"",-1778384896,"",52428800,"",""
42,7800,0,[2],[3626],"",10,1,10,"",-1778384896,"",52428800,"",""
43,7730,0,[2],[8732],"",0,1,0,"",-1778384896,"",52428800,"",""
44,7734,0,[1],[6315],"",0,1,0,"",-1778384896,"",52428800,"",""
45,7736,0,[1],[6315],"",0,1,0,"",-1778384896,"",52428800,"",""
46,7738,0,[1],[6315],"",0,1,0,"",-1778384896,"",52428800,"",""
47,7740,0,[1],[6315],"",0,1,0,"",-1778384896,"",52428800,"",""
48,7742,1,[2],[519],"",0,1,0,"",-1778384896,"",52428800,"",""
49,7744,0,[1],[6315],"",0,1,0,"",-1778384896,"",52428800,"",""
50,7763,0,[1],[6315],"",0,1,0,"",-1778384896,"",52428800,"",""
51,7731,0,[1],[6315],"",0,1,0,"",-1778384896,"",52428800,"",""
52,7732,0,[1],[6315],"",0,1,0,"",-1778384896,"",52428800,"",""
53,7745,0,[2],[7539],"",0,1,15,"",-1778384896,"",52428800,"",""
54,7746,0,[2],[7539],"",0,1,15,"",-1778384896,"",52428800,"",""
55,7747,0,[2],[7539],"",0,1,15,"",-1778384896,"",52428800,"",""
56,7749,0,[2],[7537],"",0,1,15,"",-1778384896,"",52428800,"",""
57,7751,0,[2],[7537],"",0,1,15,"",-1778384896,"",52428800,"",""
58,7752,0,[2],[7537],"",0,1,15,"",-1778384896,"",52428800,"",""
59,7754,0,[2],[],"",0,1,0,"",-1778384896,"",52428800,"",""
60,7755,0,[2],[],"",0,1,0,"",-1778384896,"",52428800,"",""
61,7756,0,[2],[],"",0,1,0,"",-1778384896,"",52428800,"",""
62,7758,0,[2],[5899],"",5,1,-30,"",-1778384896,"",52428800,"",""
63,7759,0,[2],[5899],"",5,1,-30,"",-1778384896,"",52428800,"",""
64,7760,0,[2],[5899],"",5,1,-30,"",-1778384896,"",52428800,"",""
65,7809,0,[3],[],"",0,1,0,1,-1778384896,"",52428800,"",""
66,7812,0,[1],[],"",0,1,0,1,-1778384896,"",52428800,"",""
67,7813,0,[1],[],"",0,1,0,1,-1778384896,"",52428800,"",""
68,7816,0,[2],[5884],"",0,1,-30,"",-1778384896,"",52428800,"",""
69,7818,0,[2],[6310],"",0,1,-30,"",-1778384896,"",52428800,"",""
