"rownum","Id","BuffDefinitionsKey1","rid","StatValues","i32","[i32]","i32","i32","i32","Friendly_MonsterVarietiesKey","MiscObjectsKey","MiscAnimatedKey","BuffVisualsKey","Enemy_MonsterVarietiesKey","i32","i32","i32","BuffDefinitionsKey2","IsOnlySpawningNearPlayer"
35,"environment_uber_coldskills_storm","","",[],0,[],-55,-25,45000,"",77,609,434,4052,0,0,45000,"",1
36,"environment_lightningskills_storm","","",[],0,[],-35,-25,45000,"",79,611,436,4053,0,0,45000,"",1
37,"environment_uber_lightningskills_storm","","",[],0,[],-55,-25,45000,"",79,611,436,4054,0,0,45000,"",1
38,"environment_necromancyskills_storm","","",[],0,[],-15,-25,45000,"",75,607,431,4055,0,0,45000,"",1
39,"environment_uber_necromancyskills_storm","","",[],0,[],-35,-25,45000,"",75,607,431,4056,0,0,45000,"",1
40,"environment_physicalskills_storm","","",[],0,[],-35,-25,45000,"",76,608,432,4057,0,0,45000,"",1
41,"environment_uber_physicalskills_storm","","",[],0,[],-55,-25,45000,"",76,608,432,4058,0,0,45000,"",1
42,"environment_curses_storm","","",[],0,[],-55,-25,45000,"",74,606,430,4059,0,0,45000,"",1
43,"corrupted_drops_storm",436,"","[1,1]",0,[],0,0,5000,"",70,602,426,"",0,0,5000,"",""
44,"drop_as_sell_price_storm",437,"","[1,1,100]",0,[],0,0,8000,"",72,604,428,"",0,0,5000,"",""
45,"quality_drops_storm",438,"","[1,1]",0,[],0,0,8000,"",76,608,432,"",0,0,8000,"",""
46,"quality_drops_storm_normal",438,"","[1,1]",0,[],0,0,10000,"",76,608,432,"",0,0,10000,"",""
47,"gain_charges_storm","","",[],0,[],-55,0,45000,4045,76,608,432,"",0,0,45000,"",""
48,"identify_items_storm",439,"","[1,1]",0,[],0,0,8000,"",70,602,426,"",0,0,8000,"",""
49,"poison_clouds_storm","","",[],0,[],-35,-25,45000,"",69,603,425,4061,0,0,45000,"",1
50,"arcane_storm",440,"","[30,20,10]",36,"[1,2,10]",0,0,5000,"",74,606,430,"",0,0,15000,"",""
51,"status_immunity_storm",441,"","[100,100,100,100,20,3]",0,[],0,0,8000,"",76,608,432,"",0,0,20000,"",""
