"rownum","Id","Name","Description","ModsKey","ArtFile","BetrayalUpgradeSlotsKey","[i32]","ItemVisualIdentityKey0","ItemVisualIdentityKey1","rid","i32","rid"
31,"TwoHandAxe1","Silas' Flattener","Increased Area of Effect",[16193],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/SilasFlattener",4,[],9909,"","",1,16
32,"TwoHandMace1","Moknuma's Storm","Maim on Hit",[16210],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/MoknumasStorm",4,[],9910,"","",1,17
33,"Bow1","Gogori's Stinger","Far Shot",[16211],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/GogorisStinger",4,[],"",9911,"",1,13
34,"Bow2","Xunti's Zither","Point Blank",[16212],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/XuntisZither",4,[],"",9912,"",1,13
35,"Bow3","Rithkin's Burden","Gain Frenzy Charge on Hit",[16213],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/RithkinsBurden",4,[],"",9913,"",1,13
36,"OneHandSword1","Sen-Kin's Haunt","Critical Strike Chance and Multiplier",[16214],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/SenkinsHaunt",4,[],9914,"","",1,9
37,"OneHandSword2","Akanilim's Pattern","Attack Speed",[16181],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/AkanilimsPattern",4,[],9915,"","",1,9
38,"OneHandSword3","Korim's Decapitator","Attack Damage",[16215],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/KorimsDecapitator",4,[],9916,"","",1,9
39,"OneHandSword4","Shiaphet's Needle","Impale on Hit",[16216],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/ShiaphetsNeedle",4,[],9917,"","",1,9
40,"OneHandMace1","Raust's Judgement","Gain Endurance Charge on Hit",[16217],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/RaustsJudgement",4,[],9918,"","",1,12
41,"OneHandMace2","Elgan's Ritual","Attack Speed",[16181],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/ElgansRitual",4,[],9919,"","",1,12
42,"Sceptre1","Urdamel's Tyranny","Elemental Damage",[16218],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/UrdamelsTyranny",4,[],9920,"","",1,32
43,"Dagger1","Tau Poh's Deception","Gain Power Charge on Hit",[16219],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TauPohsDeceoption",4,[],9921,"","",1,7
44,"Dagger2","Bu's Blossom","Blind on Hit",[16220],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/BusBlossom",4,[],9922,"","",1,7
45,"Shield1","Tekiton's Mountain","Additional Block Chance",[16221],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TekitonsMountain",4,[],"",9923,"",1,26
46,"Shield2","Harimal's Feint","Fortify on Hit",[16222],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/HarimalsFeint",4,[],"",9924,"",1,26
47,"Claw1","Cantar's Pack","Life Leech",[16223],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/CantarsPack",4,[],9925,"","",1,6
48,"Gloves1","Moknuma's Conjuring","Arcane Surge on Hit",[16224],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/MoknumasConjuring",2,[],"","","",1,""
49,"Gloves2","Azal's Manipulation","Hinder on Hit",[16225],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/AzalsManipulation",2,[],"","","",1,""
