"rownum","Id","MonsterVarietiesKeys","AchievementItemsKeys","bool","[rid]","[rid]","[rid]","i32","i32","bool","bool","rid","[rid]","[string]","[rid]","rid","i32","[rid]","bool","[rid]","i32","bool"
43,"KillUulNetolWithCorruptedBloodX5",[4759],[],"",[8],[],[],1,1,1,"","",[],[],[],"",0,[],"",[],1,""
44,"KillGnarWhileEnraged",[3663],[],"",[],[12],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
45,"KillStonebeakWhileEnraged",[3674],[],"",[],[12],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
46,"KillBelcerPossessedByTwoPirates",[2021],[],"",[],"[18,19]",[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
47,"KillLitaniusWhileBothCursed",[1980],[],"",[21],[20],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
48,"KillBeastOfThePitsWhileIncapacitated",[2009],[],"",[],[25],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
49,"KillTulWith4Totems",[4753],[],"",[],[],[],1,1,"","","",[],[],[],"",0,[0],"",[],1,""
50,"KillFragmentOfWinterWith10Minions",[3787],[],"",[],[],[],1,1,1,"","",[],[],[],"",0,[1],"",[],1,""
51,"KillSanguineSirenWith3BloodRavens",[5225],[],"",[],[],[],1,1,"","","",[],[],[],"",0,[2],"",[],1,""
52,"KillShockAndHorrorAfter2BeamsWhileInBeam",[2034],[],"",[24],[],[],1,1,"","","",[14],[],[],"",0,[],"",[],1,""
53,"KillRektarsMinibossesBeforeHeArrives","[217,218,219,220,221,222,223,224]",[],"",[],[],[],1,1,"","","",[],[],[15],"",0,[],"",[],1,""
54,"KillHephaestusWhileEnraged",[4067],[],"",[],[30],[],1,1,"","","",[32],[],[],"",0,[],"",[],1,""
55,"KillMegaeraWithFireSkelliesX10",[2006],[],"",[],[],[],1,1,1,"","",[],[],[],"",0,[3],"",[],1,""
56,"KillOmnitectAfterGuards",[3838],[],"",[],[],[],1,1,"","","",[],[],[25],"",0,[],"",[],1,""
57,"KillGuardianOfTheVaultAfterKillingTreasureGolems",[2611],[],"",[],[],[],1,1,"","","",[],[],[60],"",0,[],"",[],1,""
58,"KillDoedreDefilerWhileScreeching",[5336],[],"",[],[31],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
59,"KillTitanTotemWith3Totems",[4590],[],"",[],[],[],1,1,"","","",[],[],[],8,-1,[],"",[],1,""
60,"KillXophWithHotdogsX10",[4750],[],"",[],[32],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
61,"KillWoadWithNoUnmovedStatues",[4782],[],"",[],[],[],1,1,"","","",[],[],[],"",0,[4],"",[],1,""
62,"KillCleansingLightWithNoUnmovedStatues",[4787],[],"",[],[],[],1,1,"","","",[],[],[],"",0,[5],"",[],1,""
63,"KillSyntheteNightmareWithVoidPitsX12",[6593],[],"",[],[],[],1,1,"","","",[],[],[],"",0,[6],"",[],1,""
64,"KillSyntheteNightmareWithPylonsX12",[6593],[],"",[],[],[],1,1,"","","",[],[],[],"",0,[7],"",[],1,""
65,"KillSyntheteNightmareWithoutVoidPitsOrPylonsX7",[6593],[],"",[],[],[],1,1,1,"","",[],[],[72],"",0,"[8,9]","",[],1,""
66,"KillHeraldOfThunderWithHeraldOfAshOverHalfHealth",[2130],[],"",[],[],[],1,1,"","","",[],[],[],"",0,[10],"",[],1,""
67,"KillVaalOmnitectAfterExperimentedHatchling",[6073],[],"",[],[],[],1,1,"","","",[],[],[],24,-1,[],"",[],1,""
68,"KillGuardianOfTheVaultAfterKillingTreasureGolemsCheck",[4094],[],"",[],[],[],1,1,"","","",[61],[],[],"",0,[],"",[0],1,""
69,"KillAhuatotliAllPyramidsActiveWithoutDamage",[6117],[],"",[],[],[],1,1,"","","",[36],[],[],"",0,[],"",[1],1,""
70,"KillKurgalWithoutDamageFromObelisks",[5498],[],"",[],[],[],1,1,"","","",[46],[],[],"",0,[],"",[2],1,""
71,"KillRigwaldLevel80",[4211],[],"",[],[],[],80,80,"","","",[],[],[],"",0,[],"",[],1,""
72,"KillAbyssLichLevel80","[5496,5497]",[],"",[],[],[],80,80,"","","",[],[],[],"",0,[],"",[],1,""
73,"KillMapBreachBossLevel80","[4750,4753,4756,4759,4762]",[],"",[],[],[],80,80,"","","",[],[],[],"",0,[],"",[],1,""
74,"KillArgusLevel75",[4066],[7931],"",[],[],[],75,75,"","","",[],[],[],"",0,[],"",[],1,""
75,"KillHarbingerFinalBossLevel75",[5416],[],"",[],[],[],75,75,"","","",[],[],[],"",0,[],"",[],1,""
76,"KillVaalOmnitectLevel75",[5829],[],"",[],[],[],75,75,"","","",[],[],[],"",0,[],"",[],1,""
77,"KillIzaroLevel75","[4131,4132,4133]",[7671],"",[],[],[],75,75,"","","",[],[],[],"",0,[],"",[],1,""
78,"KillVaalPyramidBossesInReverse1",[1196],[],"",[],[],[],1,1,"","","",[],[],[],21,0,[],"",[3],1,""
79,"KillVaalPyramidBossesInReverse2",[1239],[],"",[],[],[],1,1,"","","",[],[],[],21,1,[],"","[4,5]",1,""
80,"KillVaalPyramidBossesInReverse3",[1225],[],"",[],[],[],1,1,"","","",[],[],[],21,2,[],1,[],1,""
81,"KillPossessedBeyondBoss",[0],[],"",[],"[15,13]",[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
82,"KillVaalOmnitectWhileAffectedByTempestAndExposure",[5829],[],"","[25,26]",[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
83,"KillBartholTheCorruptorWhileAffectedByHereticalFlare",[1174],[],"",[27],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
84,"KillShavronneTheSickeningWhileSheHasFullEnergyShield",[5345],[],"",[],[33],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
85,"KillBazurWithoutTakingDamageFromLiantraAndAfterKilling8ThunderTomes",[4793],[],"",[],[],[],1,1,"","","",[76],[],[],"",0,[],"",[7],1,""
86,"KillBazurAfterKilling8TomesOfThunder",[4799],[],"",[],[],[],1,1,"","","",[],[],[77],"",0,[],"",[],1,""
87,"KillErythrophagiaWhileNotCursed",[3757],[],"",[22],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
88,"KillSebbertCrescentsPointWhileAffectedByDarkVortex",[4912],[],"",[28],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
89,"KillTheCleansingLightAtAwakeningLevel8",[4787],[],"",[],[],[],1,1,"","",10760,[],[],[],"",0,[],"",[],8,""
90,"KillMephodTheEarthScorcherAtAwakeningLevel8",[5217],[],"",[],[],[],1,1,"","",10760,[],[],[],"",0,[],"",[],8,""
91,"KillEaterOfSoulsAtAwakeningLevel8",[3776],[],"",[],[],[],1,1,"","",10760,[],[],[],"",0,[],"",[],8,""
92,"KillPortentiaTheFoulAtAwakeningLevel8",[4829],[],"",[],[],[],1,1,"","",10760,[],[],[],"",0,[],"",[],8,""
93,"KillBazurAtAwakeningLevel8",[4793],[],"",[],[],[],1,1,"","",10760,[],[],[],"",0,[],"",[],8,""
94,"KillTheCursedKingAtAwakeningLevel8",[4212],[],"",[],[],[],1,1,"","",10760,[],[],[],"",0,[],"",[],8,""
95,"KillBaronConditionally","[7184,7185]",[],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"","[8,9]",1,""
96,"KillSirusWithoutBeingAffectedByDeatomizationStorm",[7314],[],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[10],1,""
97,"KillSirusWithoutBeingAffectedByDesolationOfTheAwakener",[7314],[],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[11],1,""
98,"KillSirusWithoutBeingHitByCorridorBlastOrInterruptSkill",[7314],[],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"","[12,13]",1,""
99,"KillSirusWithoutBeingHitBySpinningNegationBeam",[7314],[],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[14],1,""
100,"KillVeritaniaConditionally","[7208,7209]",[],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"","[16,15]",1,""
101,"KillAlHezminConditionally","[7229,7230]",[],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[17],1,""
102,"KillDroxConditionally","[7256,7257]",[],"",[],[],[],1,1,1,"","",[],[],[],"",0,[],"",[18],1,""
103,"KillDeliriumMonstersNormal","[7397,7398,7399,7400,7401,7402]",[],1,[],[0],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
104,"KillDeliriumMonstersMagic","[7397,7398,7399,7400,7401,7402]",[],1,[],[1],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
105,"KillDeliriumMonstersRare","[7397,7398,7399,7400,7401,7402]",[],1,[],[2],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
106,"KillIncursionArchitectWhileInDeliriumMist","[5959,5960,5961,5962,5963,5964,5965,5966,5967,5968,5969,5970,5971,5972,5973,5974,5975,5976,5977,5978,5979,5980,5981,5982,5983]",[],"",[],[34],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
107,"KillBlightBossWhileInDeliriumMist","[6909,6917,6919,6925,6929,6939,6951,6972,6981,6990,6996,7007,7012,7025,7032,7038,7044,7051,7060,7069,7075,7087,7097,7109]",[],"",[],[34],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
108,"KillMetamorphBossWhileInDeliriumMist",[7177],[],"",[],[34],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
109,"KillPossessedExile","[2223,2224,2227,2228,2231,2233,2235,2236,2239,2241,2242,2245,2246,2247,2250,2251,2252,2253,2254,2255,2258,2260,2261,2262,2265,2267,2268,2270,2272,2273,2274,2275,2276,2279,2281,2282,2284,2285,2287,2288,2290,2291,2292,2293,2294,2295,2296,2297]",[],"",[],[13],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
110,"KillMapBossWhileInDeliriumMist",[0],[],"",[],"[7,34]",[],1,1,"",1,"",[],[],[],"",0,[],"",[],1,""
111,"KillKitavaInBelfryMapWithoutBeingAffectedByDevouringDarkness",[4992],[],"",[],[],[1175],1,1,1,"","",[],[],[],"",0,[],"",[19],1,""
112,"DefeatBrittleEmperorInWastelandMapWhileInHisConsecratedGround",[3513],[],"",[29],[],[],1,1,1,"","",[],[],[],"",0,[],"",[],1,""
113,"DefeatNightmareOmenInPrimordialPoolWithoutDamageFromBloodProjectilesAfter2Submerges",[3773],[],"",[],[],[1188],1,1,"","","",[],[],[],"",0,[],"","[20,21]",1,""
114,"KillShaperGuardianMaxDelirium","[4553,4544,4549,4556]",[],"",[],[],[],1,1,"","",11569,[],[],[],"",0,[],"",[],100,""
115,"KillVarheshInTerraceWithoutBecomingFearful",[5249],[],"",[],[],[1212],1,1,1,"","",[],[],[],"",0,[],"",[22],1,""
116,"KillLadyStormflayInGhettoWhileVulnerable",[2156],[],"",[23],[],[1209],1,1,1,"","",[],[],[],"",0,[],"",[],1,""
117,"DefeatPietyTheEmpyreanInShrineWhileAffectedByPietysRage",[2169],[],"",[9],[],[1213],1,1,1,"","",[],[],[],"",0,[],"",[],1,""
118,"Rampage300InSimulacrum",[0],[],"",[30],[],"[1602,1603,1604,1605,1606]",1,1,"","","",[],[],[],"",0,[],"",[],1,""
119,"KillRogueExile","[2235,2239,2241,2253,2254,2258,2260,2223,2227,2231,2287,2290,2291,2275,2279,2281,2267,2270,2272,2245,2246,2250,2233,2242,2261,2284,2273,2251,2265,2252,2274,2285,2244,2266,2292,2293,2294,2295,2296,2297]",[7711],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
120,"KillTormentedSpriit","[3308,3309,3310,3311,3312,3313,3314,3315,3316,3317,3318,3319,3320,3321,3322,3323,3324,3325,3326,3327,3328,3329,3330,3331,3333,3334,3335,3336,3337,3338,3339,3340]",[6971],1,[],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
121,"KillTormentedSpiritInMonster",[0],[7462],"",[],[13],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
122,"KillPossessedDeliriumBoss","[7389,7390,7391,7392]",[7158],"",[],[13],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
123,"KillBestiaryBoss","[5671,5626,5706,5679,5672,5627,5708,5680]",[7812],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
124,"KillUberAtziri",[3068],[7887],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
125,"KillChayulaInDomain",[4762],[7666],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
126,"KillPreethiEyePeckerWhileYouAndHerAreBleeding",[5301],[7016],"",[31],[],[],1,1,1,"","",[],[],[],"",0,[],"",[],1,""
127,"KillFallenQueenAfterBrokenPrinceAndHollowLady",[1225],[7017],"",[],[],[],1,1,1,"","",[],[],[],"",0,[],"",[25],1,""
128,"KillStalkerOfEndlessDunesWithoutBeingAffectedBySandstorm",[5285],[7018],"",[],[],[1222],1,1,"","","",[],[],[],"",0,[],"",[23],1,""
129,"KillSallazzangWithoutSuppressingFire",[1269],[7019],"",[],[],[1141],1,1,1,"","",[],[],[],"",0,[],"",[24],1,""
130,"KillIzaroLabOfFortune","[4131,4132,4133]",[],"",[],[],[],75,75,"","",12199,[],[],[],"",0,[],"",[],5,""
131,"KillIzaroLabOfOpportunity","[4131,4132,4133]",[],"",[],[],[],75,75,"","",12211,[],[],[],"",0,[],"",[],6,""
132,"KillIzaroLabOfPotential","[4131,4132,4133]",[],"",[],[],[],75,75,"","",12212,[],[],[],"",0,[],"",[],8,""
133,"KillPortentiaTheFoulAfter3TransformsAndWithoutBeingAffectedByEffluents",[4829],[7137],"",[],[],[1163],1,1,1,"","",[],[],[],"",0,[],"","[26,27]",1,""
134,"KillTerrorOfInfiniteDriftsWith10StacksQuicksand",[5433],[7138],"",[32],[],[1215],1,1,1,"","",[],[],[],"",0,[],"",[],1,""
135,"KillChimeraAfterSearching25Clouds",[4556],[7139],"",[],[],[1229],1,1,1,"","",[],[],[],"",0,[],"",[28],1,""
136,"KillShaperWithoutDamageFromNonMelee",[4628],[7140],"",[],[],[1233],1,1,"","","",[],[],[],"",0,[],"",[29],1,""
137,"KillOshabiWithoutBeingAffectedBySacredSuffering",[7575],[7191],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[30],1,""
138,"KillOshabiWithoutBeingHitByOrbOfThorns",[7575],[7192],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[31],1,""
139,"KillOshabiWithoutBeingHitByVineHammer",[7575],[7193],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[32],1,""
140,"KillOshabiWithoutBeingHitByVolatileOrchard",[7575],[7194],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[33],1,""
141,"KillIncursionOmnitect",[5829],[7731],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
142,"KillPossessedUniqueMonster",[0],[7740],"",[],"[13,3]",[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
143,"KillHallowedHuskAfter3BloodRainsAndWithoutStandingInProximityShield",[1380],[7418],"",[],[],[1223],1,1,1,"","",[],[],[],"",0,[],"","[34,35]",1,""
144,"KillVaalTempleBossesInReverse",[2893],[7419],"",[],[],[1234],1,1,1,"","",[],[],[],"",0,[],"",[36],1,""
145,"KillAulenGreychainWhileHimAndYouHaveImmortalCall",[2100],[7420],"",[33],[36],[1086],1,1,1,"","",[],[],[],"",0,[],"",[],1,""
146,"KillChayulaWithoutBeingHitByChaosCycloneProjectilesAndAfter3Cyclones",[4762],[7421],"",[],[],[],1,1,1,"","",[],[],[],"",0,[],"",[37],1,""
147,"KillMerveilWithSapphireRingEquipped",[146],[7201],"",[34],[],[17],1,1,1,"","",[],[],[],"",0,[],"",[],1,""
148,"KillVaalOversoulWithTopazRingEquipped",[143],[7202],"",[35],[],[36],1,1,"","","",[],[],[],"",0,[],"",[],1,""
149,"KillPietyWithSapphireRingAndTopazRingEquipped",[1149],[7203],"",[36],[],[51],1,1,"","","",[],[],[],"",0,[],"",[],1,""
150,"KillLeifTheSwiftHandedWhileBlinded",[2072],[7272],"",[37],[],[1200],1,1,1,"","",[],[],[],"",0,[],"",[],1,""
151,"KillHighTemplarWithoutBeingAffectedByColdBeam",[1370],[7273],"",[],[],[1202],1,1,"","","",[],[],[],"",0,[],"",[39],1,""
152,"KillOakTheMightyWhileTaunted",[2097],[7274],"",[38],[],[1193],1,1,1,"","",[],[],[],"",0,[],"",[],1,""
153,"KillJorusWhileHeIsChannellingScorchingRay",[4935],[7275],"",[],[37],[1167],1,1,1,"","",[],[],[],"",0,[],"",[],1,""
154,"KillAdmiralDarnawWithoutBeingHitByOceansWave",[7696],[7423],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[40],1,""
155,"KillUnbreakableMk1WithoutBeingAffectedByMagneticStorm",[7686],[7424],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[41],1,""
156,"KillNashtaTheUsurperWithoutDetonatingVolatileEmberstormsAndWhileAffectedByEmberstorm",[7689],[7425],"",[39],[],[],1,1,1,"","",[],[],[],"",0,[],"",[42],1,""
157,"KillVoxTwinsWithoutBecomingImmobilised","[7699,7700]",[7426],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"","[43,44]",1,""
158,"KillVoxTwinsWithoutTwinsSwappingPositions","[7699,7700]",[7427],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"","[45,44]",1,""
159,"KillVoxTwinsByKillingVixVoxFirst",[7700],[7428],"",[],[],[],1,1,1,"","",[],[],[],"",0,[],"",[44],1,""
160,"KillVoxTwinsByKillingVinnyVoxFirst",[7699],[7429],"",[],[],[],1,1,1,"","",[],[],[],"",0,[],"",[44],1,""
161,"KillWarband","[3905,3908,3910,3933,3936,3939,3959,3962,3964,3966,3972,3975,3984,3986,3989,3991,3993,3995]",[7542],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
162,"KillBeyondBoss",[0],[7547],"",[],[15],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
163,"KillHeistBossNoTwins","[7696,7686,7689,7691]",[7561],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
164,"KillHeistBossTwins","[7699,7700]","[7561,7562]","",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[44],1,""
165,"KillMavenBuffedBoss",[0],[7635],"",[],"[7,38]",[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
166,"KillAbaxoth",[3114],[7665],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
167,"KillShaper",[4628],[7886],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
168,"KillSirusAwakeningLevel8",[7314],[7669],"",[],[],[],1,1,"","",10760,[],[],[],"",0,[],"",[],8,""
169,"KillOshabi",[7575],[7889],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
170,"KillTheMaven",[7877],"[7675,7676]","",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
171,"KillCaptainClayborneWithoutDefeatingDrownedCrew",[7661],[7491],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[46],1,""
172,"KillOrmudFiendOfTheFloodWithoutBeingHitByWaterVortexOrCollapsingOrb",[7847],[7492],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[47],1,""
173,"KillLyciusMidnightsHowlWhileHeIsUsingWolfBarrage",[4216],[7493],"",[],[39],[],1,1,1,"","",[],[],[],"",0,[],"",[],1,""
174,"KillBramblefallBossesWithoutBeingHitBySlamScreechSpikes","[7598,7601,7604]",[7632],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"","[48,49]",1,""
175,"KillBurtokConjurerOfBonesWhileAffectedByBoneRoilAndWhileHeIsBleeding",[3063],[7633],"",[40],[35],[],1,1,1,"","",[],[],[],"",0,[],"",[],1,""
176,"KillDoedreTheDefilerWhileYouHave5StacksOfDoedresSufferingTormentWithering","[5336,5340]",[7634],"","[41,42,43]",[],[],1,1,1,"","",[],[],[],"",0,[],"",[],1,""
177,"KillFoundryMapBossesWithinThreeSecondsOfOneAnotherAndWithoutBeingHitByCorpseRain","[7870,7653]",[7631],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"","[50,51]",1,""
178,"DefeatTheMavenWithoutMoreThan16VolatilesEver",[7877],[7660],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[52],1,""
179,"DefeatTheMavenWithoutFailingMemoryGame",[7877],[7662],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[53],1,""
180,"DefeatTheMavenWithoutBeingHitByElasticBeams",[7877],[7663],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[54],1,""
181,"KillLegionGeneral","[6689,6703,6728,6750,6776]",[7730],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
182,"KillBaranTheCrusaderWith80QuantityInArea","[7184,7185]",[7789],"",[],[],[],1,1,"","",1041,[],[],[],"",0,[],"",[],80,""
183,"KillVeritaniaTheRedeemerWith80QuantityInArea","[7208,7209]",[7790],"",[],[],[],1,1,"","",1041,[],[],[],"",0,[],"",[],80,""
184,"KillAlHezminTheHunterWith80QuantityInArea","[7229,7230]",[7791],"",[],[],[],1,1,"","",1041,[],[],[],"",0,[],"",[],80,""
185,"KillDroxTheWarlordWith80QuantityInArea","[7256,7257]",[7792],"",[],[],[],1,1,"","",1041,[],[],[],"",0,[],"",[],80,""
186,"KillTrialmaster",[7908],[7906],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
187,"KillSanguineSirenWhileAffectedByTemporalChains",[5225],[7744],"",[45],[],[],1,1,1,"","",[],[],[],"",0,[],"",[],1,1
188,"KillPromenadeBossRanged",[2139],[],"",[],[],[],1,1,"","","",[],[],[],127,1,[],"",[],1,""
189,"KillPromenadeBossMelee",[2136],[],"",[],[],[],1,1,"","","",[],[],[],127,1,[],"",[],1,""
190,"KillPromenadeBossesWhileAffectedByConductivity","[2136,2139]",[7745],"",[46],[],[],1,1,"","","",[],[],[],"",0,[],"",[55],1,1
