"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","i32","i32","i32","[rid]","rid","i32","i32","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","i32","rid","rid","rid","rid","rid","rid","bool"
17,86,"","","","","","","","","","","","","",914,"","",4154,280,280,"","","",-669856137,48,100,[11128],2,4,931,8294,"","","","",281,"",281,281,280,280,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,8294,11067,75,4154,2647,2647,2647,281,"",""
18,87,"","","","","","","","","","","","","",915,"","",4155,"","",283,282,283,181619222,68,100,[11129],2,5,1024,8295,"","","","",281,"",282,283,281,281,8295,8295,8295,8295,8295,8295,8295,8295,8295,8295,8295,8295,8295,11068,0,4155,2648,2648,2648,283,"",1
19,88,"","","","","","","","","","","","","",916,"","",4156,"","",285,283,284,2059925248,0,0,[11130],2,6,0,8296,"","","","",282,"",283,285,282,282,8296,8296,8296,8296,8296,8296,8296,8296,8296,8296,8296,8296,8296,11069,0,4156,2649,2649,2649,284,"",""
20,89,"","","","","","","","","","","","","",917,"","",4157,"","",290,292,291,-1356244188,0,0,[11131],2,7,0,8297,"","","","",293,"",292,290,293,293,8297,8297,8297,8297,8297,8297,8297,8297,8297,8297,8297,8297,8297,11070,0,4157,2650,2650,2650,291,"",""
21,90,"","","","","","","","","","","","","",687,"","",4222,687,4222,4222,4222,4222,1018082169,1,47,[11125],3,1,700,"","",1196,1207,"",4222,"",4222,4222,4222,687,1207,1196,1207,1207,1207,1207,1196,1196,1196,1196,1196,1196,1196,11039,35,4222,687,687,687,4222,"",""
22,91,"","","","","","","","","","","","","",688,"","",4223,688,4223,4223,4223,4223,829889309,12,67,[11126],3,2,770,"","",1197,1208,"",4223,"",4223,4223,4223,688,1208,1197,1208,1208,1208,1208,1197,1197,1197,1197,1197,1197,1197,11040,45,4223,688,688,688,4223,"",""
23,92,"","","","","","","","","","","","","",689,"","",4224,689,4224,4224,4224,4224,2051179612,30,100,[11127],3,3,847,"","",1198,1209,"",4224,"",4224,4224,4224,689,1209,1198,1209,1209,1209,1209,1198,1198,1198,1198,1198,1198,1198,11041,60,4224,690,690,690,4224,"",""
24,93,"","","","","","","","","","","","","",700,692,691,4225,700,4225,4225,4225,4225,-743698363,48,100,[11128],3,4,931,"","",1199,1210,"",4225,"",4225,4225,4225,700,1210,1199,1210,1210,1210,1210,1199,1199,1199,1199,1199,1199,1199,11042,75,4225,692,691,"",4225,"",""
25,94,"","","","","","","","","","","","","",701,694,697,4226,701,4226,4226,4226,4226,-205989316,68,100,"[11129,11046]",3,5,1024,"","",1201,1212,"",4226,"",4226,4226,4226,701,1212,1201,1212,1212,1212,1212,1201,1201,1201,1201,1201,1201,1201,11043,0,4226,694,697,"",4226,"",1
26,95,"","","","","","","","","","","","","",702,695,698,4227,702,4227,4227,4227,4227,-1738015661,0,0,"[11130,11046]",3,6,0,"","",1202,1213,"",4227,"",4227,4227,4227,702,1213,1202,1213,1213,1213,1213,1202,1202,1202,1202,1202,1202,1202,11044,0,4227,695,698,"",4227,"",""
27,96,"","","","","","","","","","","","","",703,696,699,4228,703,4228,4228,4228,4228,1330507188,0,0,"[11131,11046]",3,7,0,"","",1206,1217,"",4228,"",4228,4228,4228,703,1217,1206,1217,1217,1217,1217,1206,1206,1206,1206,1206,1206,1206,11045,0,4228,696,699,"",4228,"",""
28,97,"","","","","","","","","","","","","",74,"","","","","","","","",535092733,12,67,"[11126,11133]",4,2,669,"","",7616,7622,"",74,"",74,74,74,74,7622,7616,7622,7622,7622,7622,7616,7616,7616,7616,7616,7616,7616,11033,45,74,74,74,74,74,74,""
29,98,"","","","","","","","","","","","","",75,"","","","","","","","",-267836319,30,100,"[11127,11133]",4,3,736,"","",7617,7623,"",75,"",75,75,75,75,7623,7617,7623,7623,7623,7623,7617,7617,7617,7617,7617,7617,7617,11034,60,75,75,75,75,75,75,""
30,99,"","","","","","","","","","","","","",77,"","","","","","","","",-880120152,48,100,"[11128,11133]",4,4,810,"","",7618,7624,"",77,"",77,77,77,77,7624,7618,7624,7624,7624,7624,7618,7618,7618,7618,7618,7618,7618,11035,75,77,77,77,77,77,77,""
31,100,"","","","","","","","","","","","","",78,"","","","","","","","",1066624914,68,100,"[11129,11133]",4,5,891,"","",7619,7625,"",78,"",78,78,78,78,7625,7619,7625,7625,7625,7625,7619,7619,7619,7619,7619,7619,7619,11036,0,78,78,78,78,78,78,1
32,101,"","","","","","","","","","","","","",80,"","","","","","","","",993214565,0,0,"[11130,11133]",4,6,0,"","",7620,7626,"",80,"",80,80,80,80,7626,7620,7626,7626,7626,7626,7620,7620,7620,7620,7620,7620,7620,11037,0,80,80,80,80,80,80,""
33,102,"","","","","","","","","","","","","",83,"","","","","","","","",-558420537,0,0,"[11131,11133]",4,7,0,"","",7621,7627,"",83,"",83,83,83,83,7627,7621,7627,7627,7627,7627,7621,7621,7621,7621,7621,7621,7621,11038,0,83,83,83,83,83,83,""
34,103,"","","","","","","","","","","","",1639,2829,"","",2829,"","","","","",-36091224,12,67,"[11126,11135]",5,2,669,1639,"","","",1651,2829,"",2829,2829,2829,2829,1639,1639,1651,1651,1651,1651,1639,1639,1639,1639,1639,1639,1639,10973,45,2829,3324,3324,3324,2829,"",""
35,104,"","","","","","","","","","","","",1641,2830,"","",2830,"","","","","",-1327428615,30,100,"[11127,11135]",5,3,736,1641,"","","",1653,2830,"",2830,2830,2830,2830,1641,1641,1653,1653,1653,1653,1641,1641,1641,1641,1641,1641,1641,10974,60,2830,3325,3325,3325,2830,"",""
36,105,"","","","","","","","","","","","",1643,2831,"","",2831,"","","","","",891153638,48,100,"[11128,11135]",5,4,810,1643,"","","",1655,2831,"",2831,2831,2831,2831,1643,1643,1655,1655,1655,1655,1643,1643,1643,1643,1643,1643,1643,10975,75,2831,3326,3326,3326,2831,"",""
37,106,"","","","","","","","","","","","",1645,2833,"","",2833,"","","","","",128783824,68,100,"[11129,11135]",5,5,891,1645,"","","",1657,2833,"",2833,2833,2833,2833,1645,1645,1657,1657,1657,1657,1645,1645,1645,1645,1645,1645,1645,10976,0,2833,3327,3327,3327,2833,"",1
38,107,"","","","","","","","","","","","",1646,2834,"","",2834,"","","","","",-452117587,0,0,"[11130,11135]",5,6,0,1646,"","","",1658,2834,"",2834,2834,2834,2834,1646,1646,1658,1658,1658,1658,1646,1646,1646,1646,1646,1646,1646,10977,0,2834,3328,3328,3328,2834,"",""
39,108,"","","","","","","","","","","","",1648,2835,"","",2835,"","","","","",1536872438,0,0,"[11131,11135]",5,7,0,1648,"","","",1670,2835,"",2835,2835,2835,2835,1648,1648,1670,1670,1670,1670,1648,1648,1648,1648,1648,1648,1648,10978,0,2835,3329,3329,3329,2835,"",""
40,109,"","","","","","","","","","","","","",861,"","",4216,861,4216,10619,4216,10619,-475311494,12,67,"[11126,11134]",6,2,669,"","",8547,8584,"",4216,"",4216,10619,4216,861,8584,8547,8584,8584,8584,8584,8547,8547,8547,8547,8547,8547,8547,10997,45,4216,861,861,861,10619,"",""
41,110,"","","","","","","","","","","","","",870,"","",4217,870,4217,10620,4217,10620,1008794806,30,100,"[11127,11134]",6,3,736,"","",8549,8586,"",4217,"",4217,10620,4217,870,8586,8549,8586,8586,8586,8586,8549,8549,8549,8549,8549,8549,8549,10998,60,4217,863,863,863,10620,"",""
42,111,"","","","","","","","","","","","","",871,"","",4218,871,4218,10621,4218,10621,-1179354155,48,100,"[11128,11134]",6,4,810,"","",8551,8588,"",4218,"",4218,10621,4218,871,8588,8551,8588,8588,8588,8588,8551,8551,8551,8551,8551,8551,8551,10999,75,4218,865,865,865,10621,"",""
43,112,"","","","","","","","","","","","","",872,"","",4219,872,4219,10622,4219,10622,747230036,68,100,"[11129,11134]",6,5,891,"","",8553,8590,"",4219,"",4219,10622,4219,872,8590,8553,8590,8590,8590,8590,8553,8553,8553,8553,8553,8553,8553,11000,0,4219,867,867,867,10622,"",1
44,113,"","","","","","","","","","","","","",873,"","",4220,873,4220,10623,4220,10623,-826006652,0,0,"[11130,11134]",6,6,0,"","",8554,8591,"",4220,"",4220,10623,4220,873,8591,8554,8591,8591,8591,8591,8554,8554,8554,8554,8554,8554,8554,11001,0,4220,868,868,868,10623,"",""
45,114,"","","","","","","","","","","","","",874,"","",4221,874,4221,10624,4221,10624,-1551618851,0,0,"[11131,11134]",6,7,0,"","",8555,8592,"",4221,"",4221,10624,4221,874,8592,8555,8592,8592,8592,8592,8555,8555,8555,8555,8555,8555,8555,11002,0,4221,869,869,869,10624,"",""
46,115,"","","","","","","","","","","","","",4067,"","",4084,"","","","","",697488794,12,67,[11126],7,2,669,"","",18286,18297,"",4084,"",4084,4084,4084,4084,18297,18286,18297,18297,18297,18297,18286,18286,18286,18286,18286,18286,18286,11005,45,4084,4067,4067,4067,4084,"",""
47,116,"","","","","","","","","","","","","",4068,"","",4085,"","","","","",-185991819,30,100,[11127],7,3,736,"","",18287,18298,"",4085,"",4085,4085,4085,4085,18298,18287,18298,18298,18298,18298,18287,18287,18287,18287,18287,18287,18287,11006,60,4085,4068,4068,4068,4085,"",""
48,117,"","","","","","","","","","","","","",4069,"","",4086,"","","","","",2034631909,48,100,[11128],7,4,810,"","",18288,18299,"",4086,"",4086,4086,4086,4086,18299,18288,18299,18299,18299,18299,18288,18288,18288,18288,18288,18288,18288,11007,75,4086,4069,4069,4069,4086,"",""
49,118,"","","","","","","","","","","","","",4070,"","",4087,"","","","","",-575837846,68,100,[11129],7,5,891,"","",18293,18300,"",4087,"",4087,4087,4087,4087,18300,18293,18300,18300,18300,18300,18293,18293,18293,18293,18293,18293,18293,11008,0,4087,4070,4070,4070,4087,"",1
50,119,"","","","","","","","","","","","","",4071,"","",4088,"","","","","",117284401,0,0,[11130],7,6,0,"","",18294,18301,"",4088,"",4088,4088,4088,4088,18301,18294,18301,18301,18301,18301,18294,18294,18294,18294,18294,18294,18294,11009,0,4088,4071,4071,4071,4088,"",""
51,120,"","","","","","","","","","","","","",4072,"","",4089,"","","","","",-779044208,0,0,[11131],7,7,0,"","",18295,18302,"",4089,"",4089,4089,4089,4089,18302,18295,18302,18302,18302,18302,18295,18295,18295,18295,18295,18295,18295,11010,0,4089,4072,4072,4072,4089,"",""
52,121,"","","","","","","","","","","","","",828,"","",4260,828,4260,10614,4260,10614,836789809,30,100,"[11127,11133]",8,3,640,"","",8532,8576,"",4260,"",4260,10614,4260,828,8576,8532,8576,8576,8576,8576,8532,8532,8532,8532,8532,8532,8532,11011,60,4260,829,829,829,10614,"",""
53,122,"","","","","","","","","","","","","",836,"","",4261,836,4261,10615,4261,10615,-1267169214,48,100,"[11128,11133]",8,4,704,"","",8534,8578,"",4261,"",4261,10615,4261,836,8578,8534,8578,8578,8578,8578,8534,8534,8534,8534,8534,8534,8534,11012,75,4261,831,831,831,10615,"",""
54,123,"","","","","","","","","","","","","",837,"","",4262,837,4262,10616,4262,10616,-1833058895,68,100,"[11129,11133]",8,5,775,"","",8536,8580,"",4262,"",4262,10616,4262,837,8580,8536,8580,8580,8580,8580,8536,8536,8536,8536,8536,8536,8536,11013,0,4262,832,832,832,10616,"",1
55,124,"","","","","","","","","","","","","",838,"","",4263,838,4263,10617,4263,10617,864068417,0,0,"[11130,11133]",8,6,0,"","",8537,8581,"",4263,"",4263,10617,4263,838,8581,8537,8581,8581,8581,8581,8537,8537,8537,8537,8537,8537,8537,11014,0,4263,834,834,834,10617,"",""
56,125,"","","","","","","","","","","","","",839,"","",4264,839,4264,10618,4264,10618,222024053,0,0,"[11131,11133]",8,7,0,"","",8538,8582,"",4264,"",4264,10618,4264,839,8582,8538,8582,8582,8582,8582,8538,8538,8538,8538,8538,8538,8538,11015,0,4264,835,835,835,10618,"",""
57,126,"","","","","","","","","","","","","",2,"","","","","","","","",-1583709973,30,100,"[11127,11135,6988]",9,3,640,"","",7605,7610,"",2,"",2,2,2,2,7610,7605,7610,7610,7610,7610,7605,7605,7605,7605,7605,7605,7605,11056,60,2,2,2,2,2,2,""
58,127,"","","","","","","","","","","","","",4,"","","","","","","","",292711936,48,100,"[11128,11135,6988]",9,4,704,"","",7606,7611,"",4,"",4,4,4,4,7611,7606,7611,7611,7611,7611,7606,7606,7606,7606,7606,7606,7606,11057,75,4,4,4,4,4,4,""
59,128,"","","","","","","","","","","","","",5,"","","","","","","","",-645724387,68,100,"[11129,11135,6988]",9,5,775,"","",7607,7612,"",5,"",5,5,5,5,7612,7607,7612,7612,7612,7612,7607,7607,7607,7607,7607,7607,7607,11058,0,5,5,5,5,5,5,1
60,129,"","","","","","","","","","","","","",7,"","","","","","","","",-193173256,0,0,"[11130,11135,6988]",9,6,0,"","",7608,7613,"",7,"",7,7,7,7,7613,7608,7613,7613,7613,7613,7608,7608,7608,7608,7608,7608,7608,11059,0,7,7,7,7,7,7,""
61,130,"","","","","","","","","","","","","",10,"","","","","","","","",-954409300,0,0,"[11131,11135,6988]",9,7,0,"","",7609,7614,"",10,"",10,10,10,10,7614,7609,7614,7614,7614,7614,7609,7609,7609,7609,7609,7609,7609,11060,0,10,10,10,10,10,10,""
62,131,"","","","","","","","","","","","",1743,2969,"","",2969,"","","","","",1046769873,30,100,"[11127,11134]",10,3,640,1743,"",1743,"",1755,2969,"",2969,2969,2969,2969,1743,1743,1755,1755,1755,1755,1743,1743,1743,1743,1743,1743,1743,10986,60,2969,3388,3388,3388,2969,"",""
63,132,"","","","","","","","","","","","",1745,2970,"","",2970,"","","","","",-383181272,48,100,"[11128,11134]",10,4,704,1745,"",1745,"",1757,2970,"",2970,2970,2970,2970,1745,1745,1757,1757,1757,1757,1745,1745,1745,1745,1745,1745,1745,10987,75,2970,3389,3389,3389,2970,"",""
64,133,"","","","","","","","","","","","",1747,2972,"","",2972,"","","","","",491155825,68,100,"[11129,11134]",10,5,775,1747,"",1747,"",1759,2972,"",2972,2972,2972,2972,1747,1747,1759,1759,1759,1759,1747,1747,1747,1747,1747,1747,1747,10988,0,2972,3391,3391,3391,2972,"",1
65,134,"","","","","","","","","","","","",1748,2973,"","",2973,"","","","","",-150361862,0,0,"[11130,11134]",10,6,0,1748,"",1748,"",1760,2973,"",2973,2973,2973,2973,1748,1748,1760,1760,1760,1760,1748,1748,1748,1748,1748,1748,1748,10989,0,2973,3392,3392,3392,2973,"",""
66,135,"","","","","","","","","","","","",1750,2974,"","",2974,"","","","","",1926779813,0,0,"[11131,11134]",10,7,0,1750,"",1750,"",1772,2974,"",2974,2974,2974,2974,1750,1750,1772,1772,1772,1772,1750,1750,1750,1750,1750,1750,1750,10990,0,2974,3393,3393,3393,2974,"",""
67,136,"","","","","","","","","","","","","",2609,1796,"","",1857,1857,1848,1848,1848,-557327777,30,100,[11127],11,3,640,3877,"","","","",1848,"",1848,1848,1857,1857,3877,3877,3877,3877,3877,3877,3877,3877,3877,3877,3877,3877,3877,11078,60,1827,1796,1827,1827,1848,"",""
68,137,"","","","","","","","","","","","","",2610,1797,"","",1858,1858,1849,1853,1849,-1074439089,48,100,[11128],11,4,704,3878,"","","","",1858,"",1853,1849,1858,1858,3878,3878,3878,3878,3878,3878,3878,3878,3878,3878,3878,3878,3878,11079,75,1828,1797,1828,1828,1849,"",""
69,138,"","","","","","","","","","","","","",2611,1798,"","",1859,1859,1850,1854,1850,1419643846,68,100,[11129],11,5,775,3879,"","","","",1859,"",1854,1850,1859,1859,3879,3879,3879,3879,3879,3879,3879,3879,3879,3879,3879,3879,3879,11080,0,1829,1798,1829,1829,1850,"",1
70,139,"","","","","","","","","","","","","",2612,1800,"","",1860,1860,1851,1855,1851,2044538361,0,0,[11130],11,6,0,3880,"","","","",1860,"",1855,1851,1860,1860,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,11081,0,1830,1800,1830,1830,1851,"",""
71,140,"","","","","","","","","","","","","",2613,1801,"","",1861,1861,1852,1856,1852,-444339820,0,0,[11131],11,7,0,3881,"","","","",1861,"",1856,1852,1861,1861,3881,3881,3881,3881,3881,3881,3881,3881,3881,3881,3881,3881,3881,11082,0,1832,1801,1832,1832,1852,"",""
72,141,"","","","","","","","","","","","","",803,"","",5337,803,5337,10610,5337,10610,-964777382,48,100,"[11128,11135,11179]",12,4,612,"","",8517,8568,"",5337,"",5337,10610,5337,803,8568,8517,8568,8568,8568,8568,8517,8517,8517,8517,8517,8517,8517,11048,75,5337,798,798,798,10610,"",""
73,142,"","","","","","","","","","","","","",804,"","",5338,804,5338,10611,5338,10611,1027011185,68,100,"[11129,11135,11179]",12,5,673,"","",8519,8570,"",5338,"",5338,10611,5338,804,8570,8519,8570,8570,8570,8570,8519,8519,8519,8519,8519,8519,8519,11049,0,5338,800,800,800,10611,"",1
74,143,"","","","","","","","","","","","","",805,"","",5339,805,5339,10612,5339,10612,-1839053998,0,0,"[11130,11135,11179]",12,6,0,"","",8520,8571,"",5339,"",5339,10612,5339,805,8571,8520,8571,8571,8571,8571,8520,8520,8520,8520,8520,8520,8520,11050,0,5339,801,801,801,10612,"",""
75,144,"","","","","","","","","","","","","",806,"","",5340,806,5340,10613,5340,10613,1845632009,0,0,"[11131,11135,11179]",12,7,0,"","",8521,8572,"",5340,"",5340,10613,5340,806,8572,8521,8572,8572,8572,8572,8521,8521,8521,8521,8521,8521,8521,11051,0,5340,802,802,802,10613,"",""
76,145,"","","","","","","","","","","","","",2749,2749,2761,3224,2761,6162,6162,5533,5013,-1618168670,48,100,[11128],13,4,612,3650,"","","","",6162,"",5533,6162,6162,2761,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,11026,75,3224,2749,2761,"",5013,"",""
77,146,"","","","","","","","","","","","","",2750,2750,2762,3225,2762,6163,6163,5534,5014,-2058874949,68,100,[11129],13,5,673,3651,"","","","",6163,"",5534,6163,6163,2762,3651,3651,3651,3651,3651,3651,3651,3651,3651,3651,3651,3651,3651,11027,0,3225,2750,2762,"",5014,"",1
78,147,"","","","","","","","","","","","","",2751,2751,2763,3226,2763,6164,6164,5535,5015,-697952158,0,0,[11130],13,6,0,3652,"","","","",6164,"",5535,6164,6164,2763,3652,3652,3652,3652,3652,3652,3652,3652,3652,3652,3652,3652,3652,11028,0,3226,2751,2763,"",5015,"",""
79,148,"","","","","","","","","","","","","",2760,2760,2764,3227,2764,6165,6165,5536,5016,-417900903,0,0,[11131],13,7,0,3653,"","","","",6165,"",5536,6165,6165,2764,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,11029,0,3227,2760,2764,"",5016,"",""
80,149,"","","","","","","","","","","","","",155,"","","","","","","","",-2072698540,48,100,"[11128,11134]",14,4,612,"","",7596,7600,"",155,"",155,155,155,155,7600,7596,7600,7600,7600,7600,7596,7596,7596,7596,7596,7596,7596,11083,75,155,155,155,155,155,155,""
81,150,"","","","","","","","","","","","","",156,"","","","","","","","",-19953861,68,100,"[11129,11134]",14,5,673,"","",7597,7601,"",156,"",156,156,156,156,7601,7597,7601,7601,7601,7601,7597,7597,7597,7597,7597,7597,7597,11084,0,156,156,156,156,156,156,1
82,151,"","","","","","","","","","","","","",158,"","","","","","","","",-1542366365,0,0,"[11130,11134]",14,6,0,"","",7598,7602,"",158,"",158,158,158,158,7602,7598,7602,7602,7602,7602,7598,7598,7598,7598,7598,7598,7598,11085,0,158,158,158,158,158,158,""
83,152,"","","","","","","","","","","","","",161,"","","","","","","","",473094408,0,0,"[11131,11134]",14,7,0,"","",7599,7603,"",161,"",161,161,161,161,7603,7599,7603,7603,7603,7603,7599,7599,7599,7599,7599,7599,7599,11086,0,161,161,161,161,161,161,""
84,153,"","","","","","","","","","","","","",2555,"","",18336,2547,1949,8488,19166,3205,-355385139,48,100,[11128],15,4,612,"",2440,"","","",3205,2444,19166,8488,1949,2547,2444,2444,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,2440,11022,75,18336,2551,2551,2551,3205,"",""
85,154,"","","","","","","","","","","","","",2556,"","",18337,2548,1950,8489,19167,3206,839378797,68,100,[11129],15,5,673,"",2441,"","","",3206,2445,19167,8489,1950,2548,2445,2445,2441,2441,2441,2441,2441,2441,2441,2441,2441,2441,2441,11023,0,18337,2552,2552,2552,3206,"",1
86,155,"","","","","","","","","","","","","",2557,"","",18338,2549,1951,8490,19168,3207,-1822562206,0,0,[11130],15,6,0,"",2442,"","","",3207,2446,19168,8490,1951,2549,2446,2446,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,2442,11024,0,18338,2553,2553,2553,3207,"",""
87,156,"","","","","","","","","","","","","",2558,"","",18339,2550,1953,8491,19169,3208,1492393166,0,0,[11131],15,7,0,"",2443,"","","",3208,2447,19169,8491,1953,2550,2447,2447,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,2443,11025,0,18339,2554,2554,2554,3208,"",""
88,157,"","","","","","","","","","","","","",2273,"","",4162,"","","","",2678,-760080401,68,100,[11129],16,5,586,"","",2365,2373,"",488,"",488,488,488,488,2373,2365,2373,2373,2373,2373,2365,2365,2365,2365,2365,2365,2365,10991,0,4162,2678,2678,2678,2678,"",1
89,158,"","","","","","","","","","","","","",2274,"","",4163,"","","","",2679,557934500,0,0,[11130],16,6,0,"","",2366,2374,"",490,"",490,490,490,490,2374,2366,2374,2374,2374,2374,2366,2366,2366,2366,2366,2366,2366,10992,0,4163,2679,2679,2679,2679,"",""
90,159,"","","","","","","","","","","","","",2275,"","",4164,"","","","",2680,-1973061961,0,0,[11131],16,7,0,"","",2368,2376,"",493,"",493,493,493,493,2376,2368,2376,2376,2376,2376,2368,2368,2368,2368,2368,2368,2368,10993,0,4164,2680,2680,2680,2680,"",""
91,160,"","","","","","","","","","","",3262,3808,3262,1789,1873,1869,1898,1898,1892,1895,1892,2086905859,68,100,[11129],17,5,586,"","",21604,"",21607,1898,"",1895,1892,1898,1898,3808,3262,21607,21607,21607,21607,21604,21604,21604,21604,21604,21604,21604,11061,0,1869,1789,1873,"",1892,"",1
92,161,"","","","","","","","","","","",3263,3809,3263,1790,1874,1870,1899,1899,1893,1896,1893,330229883,0,0,[11130],17,6,0,"","",21605,"",21608,1899,"",1896,1893,1899,1899,3809,3263,21608,21608,21608,21608,21605,21605,21605,21605,21605,21605,21605,11062,0,1870,1790,1874,"",1893,"",""
