"rownum","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","string","i32","bool","i32","i32"
56,58,1,0,1270,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
57,59,1,0,1286,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
58,60,1,0,1302,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
59,61,1,0,1318,0,0,0,56,0,3,0,0,0,0,1,0,2,"","ice_fissures",2,1,2,0
60,64,1,0,1362,0,0,0,56,0,4,0,0,0,0,1,0,2,"","",2,"",2,0
61,65,1,0,1378,0,0,0,56,0,5,0,0,0,0,1,0,7,"","",2,"",7,0
62,66,1,0,1394,0,0,0,56,0,4,0,0,0,0,1,0,2,"","",2,"",2,0
63,67,1,0,1410,0,0,0,56,0,5,0,0,0,0,1,0,2,"","",2,"",2,0
64,68,1,0,1426,0,0,0,56,0,4,0,0,0,0,1,0,2,"","",2,"",2,0
65,69,1,0,1442,0,0,0,56,0,3,0,0,0,0,1,0,7,"","placed_bomb",2,"",7,0
66,70,1,0,1484,0,0,0,56,0,4,0,0,0,0,1,0,7,"","grid_mine",2,1,7,0
67,71,1,0,1522,0,0,0,56,0,5,0,0,0,0,1,0,2,"","",2,"",2,0
68,72,1,0,1538,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
69,73,1,0,1554,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,1,7,0
70,74,1,0,1570,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,1,7,0
71,75,1,0,1586,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
72,76,1,0,1602,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,1,7,0
73,77,1,0,1618,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
74,78,1,0,1634,0,0,0,56,0,4,10,0,0,0,1,0,7,"","dominus_spawner",2,1,7,0
75,79,1,0,1684,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
76,80,1,0,1700,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
77,81,1,0,1716,0,0,0,56,0,4,0,0,0,0,1,0,7,"","standalone_shav_telemark",2,1,7,0
78,82,1,0,1784,0,0,0,56,0,4,0,0,0,180,1,0,2,"","turret_group1",2,1,2,0
79,83,1,0,1830,0,0,0,56,0,4,0,0,0,0,1,0,2,"","turret_group2",2,1,2,0
80,84,2,0,1876,0,0,0,56,0,4,0,0,0,0,1,0,7,"","cracks",2,1,7,0
81,85,1,0,1924,0,0,0,56,0,4,0,0,0,0,1,0,7,"","adus_pillar",2,1,7,0
82,86,3,0,1966,0,0,0,56,0,4,3,7,0,0,1,0,7,"","pods",2,1,7,0
83,87,1,0,2026,0,0,0,56,0,4,0,0,0,0,1,0,7,"","xnuke",2,1,7,0
84,88,1,0,2056,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
85,89,1,0,2072,0,0,0,56,0,4,0,0,0,0,2,10,7,"","",2,"",7,0
86,90,1,0,2088,0,0,0,56,0,4,0,0,0,0,2,10,7,"","",2,"",7,0
