"rownum","Id","Text","XBoxText","i32","PlaystationText"
134,"PassiveTreeApplyRefunds","Apply Refunds","",76675089,""
135,"PassiveTreeRefundMode","Refund Passives","",634281553,""
136,"PassiveTreeResetButton","Reset all Passives","",851652802,""
137,"PassiveTreeResetButtonWarning","This will reset all of your passive skills. We are unable to reset them again later if you make a mistake re-allocating them. Do you want to proceed?","",1755892621,""
138,"PassiveTreeResetMessageTitle","Full Passive Skill Reset","",-1213184895,""
139,"PassiveTreeResetMessageDescription","Your character has been granted a one-use full passive skill reset. If you allocate or refund any other passives before using this opportunity then it will be lost.","",-1097846459,""
140,"PassiveTreeResetApplyWarning","Allocating or refunding a passive skill will remove your ability to take advantage of the one-off full passive skill reset.","",-2104811063,""
141,"PassiveTreeStrengthRequired","{0} more Strength required","",869053623,""
142,"PassiveTreeDexterityRequired","{0} more Dexterity required","",-606705066,""
143,"PassiveTreeIntelligenceRequired","{0} more Intelligence required","",-1071740361,""
144,"PassiveTreeItemRequirements","Item Requirements:","",1450941909,""
145,"PassiveTreeChangeConfirmation","Do you want to apply your passive skill changes?","",1291024192,""
146,"PassiveTreeConfirmation","Do you want to proceed?","",1737871819,""
147,"PassiveNodeAllocate","Click to allocate","",1690177838,""
148,"PassiveNodeUnallocate","Click to unallocate","",-600198949,""
149,"PassiveNodeRequirementsNotMet","Requirements not met","",-1016603985,""
150,"PassiveNodeUnallocated","Unallocated","",1906264842,""
151,"PassiveTreeSaveBuild","Save Plan","",2108726996,""
152,"PassiveTreeSaveAllocated","Save Build","",-1265821129,""
153,"PassiveTreeModifyBuild","Modify Plan","",320097626,""
154,"PassiveTreeClearBuild","Clear Plan","",-126419763,""
155,"PassiveTreeErrorWrongClass","This build is intended for {0} characters.","",1874388753,""
156,"PassiveTreeErrorPassiveDoesNotExist","Cannot read from file.\nThe build file may be using an older version of the skill tree or may contain corrupted data.","",-889520967,""
157,"PassiveTreeBuildLoaded","Build Loaded: ","",-1591539845,""
158,"PassiveTreeBuildSaved","Build Saved: ","",1737272639,""
159,"Level","Level","",1564186719,""
160,"Experience","Experience","",1135644432,""
161,"StrengthDescription","2 Strength = +1 Life\r\n5 Strength = +1% Melee Physical Damage","",502591132,""
162,"DexterityDescription","1 Dexterity = +2 Accuracy\r\n5 Dexterity = +1% Evasion","",133325521,""
163,"IntelligenceDescription","2 Intelligence = +1 Mana\r\n5 Intelligence = +1% Energy Shield","",1789395335,""
164,"Strength","Strength","",1433993798,""
165,"Dexterity","Dexterity","",-2094509340,""
166,"Intelligence","Intelligence","",-5150471,""
167,"StrengthShort","Str","",-1020230084,""
168,"DexterityShort","Dex","",1681666402,""
169,"IntelligenceShort","Int","",1927062563,""
170,"CharacterPanelTitle","Character","",-1848670338,""
171,"ExperienceBarPopup1","Level {1} ({0}{2}%)","",-1308010044,""
172,"ExperienceBarPopup2","Current Exp: {0} / Next Level: {1}","",135563749,""
173,"ExperienceBarPopup3","Exp Per Hour: {0}","",-1844234656,""
174,"MapOverlayMonsterLevel","Monster Level: {0}","",1532933650,""
175,"MapOverlayLeague","{0} League","",-262660390,""
176,"MapOverlayRealm","{0} Realm","",1106390316,""
177,"Continue","Continue","",1508132616,""
178,"Goodbye","Goodbye","",1453395088,""
179,"Quality","Quality","",-1436181817,""
180,"ItemViewSocketsNotShown","[Sockets not shown]","",527743866,""
181,"ItemViewSkillGemReadyToLevel","This skill gem is ready to level up.","",-1390667991,""
182,"ItemLevelPopup","Item Level: {0}","",29425737,""
183,"WorldPanelTitle","World","",-54959225,""
184,"WorldPanelAct","Act {0}","",-1481531217,""
185,"WorldPanelPart","Part {0}","",396361781,""
186,"MapLegendTitle","Map Legend","",-569030625,""
187,"MapLegendCurrentLocation","Current Location","",868323728,""
188,"MapLegendTown","Town","",-1147308563,""
189,"MapLegendUnknownArea","Unknown Area","",95254404,""
190,"MapLegendKnownArea","Visited Area","",1315035060,""
191,"MapLegendKnownAreaWaypoint","Area with Inactive Waypoint","",-857873869,""
192,"MapLegendKnownAreaWaypointEnabled","Area with Active Waypoint","",645213164,""
193,"MapLegendQuestLocation","Quest Location","",-692669766,""
194,"MapLegendConnection","Connection","",451681003,""
195,"MapLegendCannotTravel","Blockage (Hover for Info)","Blockage",-1420683073,""
196,"MapLegendHideout","Hideout","",1680633138,""
197,"ChatErrorUnknownRealm","That realm does not exist.","",140865553,""
198,"ChatTimeoutMessage","Timeout while joining {0} chat.","",1739553442,""
199,"ChatTimeoutMessageChannel","Timeout while joining {0} chat channel {1}","",2127175811,""
200,"ChatTimeoutMessageTrade","trade","",-1802371188,""
201,"ChatTimeoutMessageGlobal","global","",-110638274,""
202,"ChatBoxChannelNameGlobal","Global","",-1513965727,""
203,"ChatBoxChannelNameLocal","Local","",-2069539438,""
204,"ChatBoxChannelNameTrade","Trade","",1912556515,""
205,"ChatBoxChannelNameParty","Party","",516553854,""
206,"ChatBoxChannelNameWhisper","Whisper","",-179491477,""
207,"ChatBoxChannelNameGuild","Guild","",-1652478600,""
208,"ChatBoxChannelNameTwitch","Twitch","",-694444492,""
209,"ChatBoxChannelNameServer","Server","",470669185,""
210,"ChatBoxGlobalCheckboxLabel","Global","",1160490904,""
211,"ChatBoxTradeCheckboxLabel","Trade","",-1180029831,""
212,"ChatBoxGuildCheckboxLabel","Guild","",-1647025540,""
213,"ChatBoxChannelPopupJoining","Joining {0} channel {1}...","",447716955,""
214,"ChatBoxChannelPopupJoiningWithLanguage","Joining {0} channel {2} {1}...","",-2088687901,""
215,"ChatBoxChannelPopupNotConnected","Not Connected","",1357317222,""
216,"ChatBoxChannelPopupConnectedTo","Connected to {0} channel {1}","",992628252,""
217,"ChatBoxChannelPopupConnectedToWithLanguage","Connected to {0} channel {2} {1}","",220747818,""
218,"WhisperHelp","Use \""@CharacterName\"" to whisper characters by name.","",1485310221,""
219,"WeaponClassDisplayNameOneHandedSword","One Handed Sword","",-1140764028,""
220,"WeaponClassDisplayNameTwoHandedSword","Two Handed Sword","",-727159551,""
221,"WeaponClassDisplayNameOneHandedMace","One Handed Mace","",850707106,""
222,"WeaponClassDisplayNameTwoHandedMace","Two Handed Mace","",2022499250,""
223,"WeaponClassDisplayNameSceptre","Sceptre","",-118054127,""
224,"WeaponClassDisplayNameWand","Wand","",-232273688,""
225,"WeaponClassDisplayNameOneHandedAxe","One Handed Axe","",251851927,""
226,"WeaponClassDisplayNameTwoHandedAxe","Two Handed Axe","",-567689056,""
227,"WeaponClassDisplayNameBow","Bow","",-2115312458,""
228,"WeaponClassDisplayNameDagger","Dagger","",1096774080,""
229,"WeaponClassDisplayNameStaff","Staff","",354333148,""
230,"WeaponClassDisplayNameClaw","Claw","",1775170174,""
231,"WeaponClassDisplayNameShield","Shield","",-1387436244,""
232,"WeaponClassDisplayNameUnarmed","Unarmed","",-821526449,""
233,"WeaponClassDisplayNameFishingRod","Fishing Rod","",1855601942,""
234,"WeaponClassDisplayNameRuneDagger","Rune Dagger","",826366632,""
235,"WeaponClassDisplayNameWarstaff","Warstaff","",306844186,""
236,"WeaponClassDisplayNameNotWeapon","NotWeapon","",-1413479344,""
237,"ItemDisplayMapTier","Map Tier","",1831694152,""
238,"ItemDisplayTalismanTier","Talisman Tier: {0}","",1389049833,""
239,"ItemDisplayMapQuantityIncrease","Item Quantity","",-1558031329,""
240,"ItemDisplaySkillGemLevel","{0}","",-475100215,""
241,"ItemDisplaySkillGemMaxLevel","{0} (Max)","",1544082856,""
242,"ItemDisplaySkillGemPlusLevelFromItem","+{0} Level from Item","",1835791182,""
243,"ItemDisplaySkillGemPlusLevelsFromItem","+{0} Levels from Item","",683113201,""
244,"ItemDisplaySkillGemPlusLevelFromSupport","+{0} Level from Support","",411784538,""
245,"ItemDisplaySkillGemPlusLevelsFromSupport","+{0} Levels from Support","",297852432,""
246,"ItemDisplaySkillGemPlusQualityFromItem","+{0}% Quality from Item","",1364163031,""
247,"ItemDisplaySkillGemPlusQualityFromSupport","+{0}% Quality from Support","",752704220,""
248,"ItemDisplaySkillGemExperience","{0}/{1}","",-1001082999,""
249,"ItemDisplaySkillGemManaMultiplier","Cost & Reservation Multiplier","",-1179095641,""
250,"ItemDisplaySkillGemManaReserved","Reservation","",1656068422,""
251,"ItemDisplaySkillGemManaCost","Cost","",-1484593968,""
252,"ItemDisplaySkillGemCastTime","Cast Time","",54696662,""
253,"ItemDisplaySkillGemCastTimeValue","{0} sec","",-2092655472,""
254,"ItemDisplaySkillGemCriticalStrikeChance","Critical Strike Chance","",-325237076,""
255,"ItemDisplaySkillGemCooldownTime","Cooldown Time","",-1451351256,""
256,"ItemDisplaySkillGemCooldownValue","{0} sec","",-996217433,""
257,"ItemDisplaySkillGemCooldownValueCount","{0} sec ({1} uses)","",821866276,""
258,"ItemDisplaySkillGemSoulsPerUse","Souls Per Use","",-966707720,""
259,"ItemDisplaySkillGemPreventSoulGainDuration","Soul Gain Prevention","",-1766563052,""
260,"ItemDisplaySkillGemSoulsCanStoreUse","Can Store {0} Use","",-1965495192,""
261,"ItemDisplaySkillGemSoulsCanStoreUses","Can Store {0} Uses","",-1763823994,""
262,"ItemDisplaySkillGemDamageEffectiveness","Effectiveness of Added Damage","",706244730,""
263,"ItemDisplayFlaskLifeRecovery1Second","Recovers {0} Life over {1} Second","",1613644445,""
264,"ItemDisplayFlaskLifeRecoveryNSeconds","Recovers {0} Life over {1} Seconds","",-711215168,""
265,"ItemDisplayFlaskManaRecovery1Second","Recovers {0} Mana over {1} Second","",-1490353233,""
266,"ItemDisplayFlaskManaRecoveryNSeconds","Recovers {0} Mana over {1} Seconds","",164984628,""
267,"ItemDisplayFlaskBuffDuration1Second","Lasts {0} Second","",554074271,""
268,"ItemDisplayFlaskBuffDurationNSeconds","Lasts {0} Seconds","",-366832398,""
269,"ItemDisplayChargesConsumptionOnUse1Charge","Consumes {0} of {1} Charge on use","",1336633687,""
270,"ItemDisplayChargesConsumptionOnUseNCharges","Consumes {0} of {1} Charges on use","",-1340720597,""
271,"ItemDisplayCharges1Charge","Currently has {0} Charge","",-461758261,""
272,"ItemDisplayChargesNCharges","Currently has {0} Charges","",239890451,""
273,"ItemDisplayWeaponPhysicalDamage","Physical Damage","",-1140231960,""
274,"ItemDisplayWeaponElementalDamage","Elemental Damage","",1854685400,""
275,"ItemDisplayWeaponChaosDamage","Chaos Damage","",-1855539579,""
276,"ItemDisplayWeaponCriticalStrikeChance","Critical Strike Chance","",-187841051,""
277,"ItemDisplayWeaponAttacksPerSecond","Attacks per Second","",428547462,""
278,"ItemDisplayShieldBlockChance","Chance to Block","",-1053562278,""
279,"ItemDisplayArmourArmour","Armour","",-428601825,""
280,"ItemDisplayArmourEvasionRating","Evasion Rating","",1203224446,""
281,"ItemDisplayArmourEnergyShield","Energy Shield","",-1418869478,""
282,"ItemDisplayStackSize","Stack Size","",260910150,""
283,"ItemDisplayStackSizeValue","{0}/{1}","",-1907141881,""
284,"ItemDisplayStackDescription","Shift click to unstack.","",1949148880,""
285,"ItemDisplayHasEffect","Has {0}","",1726370554,""
286,"ItemDisplayHasReskin","Has {0} Skin. You can reclaim this by shift-clicking this item.","Has {0} Skin. You can reclaim this by pressing <<xbox_button_rstick>> + <<xbox_button_b>>.",-178234142,""
287,"ItemDisplayImprintImprinted","Imprinted","",1136296550,""
288,"ItemDisplayImprintUnidentified","Unidentified","",1069912939,""
289,"ItemDisplayRequirementFromGem","(gem)","",-418451958,""
290,"ItemDisplayRequirementFromJewel","(jewel)","",-399204438,""
291,"ItemPopupCannotUseItem","You cannot use this item. Its stats will be ignored","",-1862642577,""
292,"ItemPopupCannotTradeOrModify","Cannot be traded or modified","",1915746310,""
293,"ItemPopupLockedToAccount","Account-bound","",-1723465316,""
294,"ItemPopupStolen","Contraband","",245848207,""
295,"ItemPopupUnidentified","Unidentified","",1390808194,""
296,"ItemPopupMirrored","Mirrored","",563664229,""
297,"ItemPopupCorrupted","Corrupted","",-1950446065,""
298,"ItemPopupDroppedInMaps","Map Drop","",-1079915471,""
299,"ItemPopupNextLevel","Next Level","",-1428477558,""
300,"LoadingScreenMessage","Loading...","",47644815,""
301,"GraphicsOptionsApplySettings","Apply Display Settings","",-229636207,""
302,"GraphicsOptionsApplySettingsPopup","Click to apply your display settings changes","",104966066,""
303,"GraphicsOptionsAdapterLabel","Display","",-440667767,""
304,"GraphicsOptionsDisplayModeLabel","Mode","",1320337203,""
305,"GraphicsOptionsDisplayModeWindowed","Windowed","",-2024356535,""
306,"GraphicsOptionsDisplayModeFullscreen","Fullscreen","",-1088895199,""
307,"GraphicsOptionsDisplayModeWindowedFullscreen","Windowed Fullscreen","",-1861760694,""
308,"GraphicsOptionsResolutionLabel","Resolution","",-1584673844,""
309,"GraphicsOptionsResolutionCustom","{0} (Custom)","",291157603,""
310,"GraphicsOptionsVSyncLabel","VSync","",-33233137,""
311,"GraphicsOptionsDynamicResolution","Dynamic Resolution","",160064564,""
312,"GraphicsOptionsTargetFps","Target Framerate","",-1350470082,""
313,"GraphicsOptionsTargetFpsTooltip","The rendering engine will lower your resolution or remove non-essential particles to maintain this target framerate. It's advised that you set it to the lowest framerate you're comfortable with while playing. Setting it to a value that's too high will cause unnecessary resolution drop.","",1217300196,""
314,"GraphicsOptionsWaterDetail","Water Detail Level","",-1860702593,""
315,"GraphicsOptionsWaterDetailDownscaled","Low","",-1013081660,""
316,"GraphicsOptionsWaterDetailFullres","High (Default)","",-800427939,""
317,"GraphicsOptionsScreenspaceEffects","Lighting","",-1510490525,""
318,"GraphicsOptionsScreenspaceEffectsOff","No Shadows (DirectX9 Only)","",-1373997333,""
319,"GraphicsOptionsScreenspaceEffectsSSS","Shadows (Default)","",1254670511,""
320,"GraphicsOptionsScreenspaceEffectsGI","Shadows + Global Illumination","",-43492962,""
321,"GraphicsOptionsSSSTooltip","This setting allows the rendering engine to calculate shadows from light sources using image that's already on your screen.","",1380291128,""
322,"GraphicsOptionsGITooltip","Global Illumination extends Point Light Shadows and allows the rendering engine to treat every bright pixel on your screen as an individual light source to produce advanced lighting effects such as ambient occlusion and indirect lighting. While it can significantly improve the look of the game, it can be demanding on GPU, especially on high screen resolutions. ","",-1655679058,""
323,"GraphicsOptionsScreenspaceResolution","Shadow","",-554505290,""
324,"GraphicsOptionsScreenspaceResolutionLow","Low (Default)","",-1449135746,""
325,"GraphicsOptionsScreenspaceResolutionMedium","High","",-1929714999,""
326,"GraphicsOptionsScreenspaceResolutionUltra","Ultra","",1338890893,""
327,"GraphicsOptionsScreenspaceResolutionTooltip","Shadow + GI Quality<size:3>{\n}<size:29>{\r\nThis setting controls the quality and performance cost for both non-sun shadows and Global Illumination. The cost for this setting is fixed, so when there is more action on the screen, it will not get slower.<size:3>{\n}\r\n<b>{Low (Default):} Shadows and GI both have a very low cost on this setting.<size:3>{\n}\r\n<b>{High (Recommended):} Shadows look good, but don't cost too much.<size:3>{\n}\r\n<b>{Ultra:} This setting is for very powerful graphics cards. If GI is enabled, this has a very high cost.}","",1348856953,""
328,"GraphicsOptionsShadowQualityLabel","Sun Shadow Quality","",1485656395,""
329,"GraphicsOptionsShadowQualityOff","Off","",-508814221,""
330,"GraphicsOptionsShadowQualityLow","Low","",254832493,""
331,"GraphicsOptionsShadowQualityHigh","High (Default)","",-1597184266,""
332,"GraphicsOptionsShadowQualityOLDVariance","OLD Variance Shadow Mapping","",694166723,""
333,"GraphicsOptionsShadowQualityOLDBasic","OLD Basic Shadow Mapping","",404532710,""
334,"GraphicsOptionsAntialiasingLabel","Antialiasing Quality","",-414212145,""
335,"GraphicsOptionsDX9SMAAOff","Off (Default)","",-1922890767,""
336,"GraphicsOptionsDX9SMAAMedium","SMAA Low","",533950820,""
337,"GraphicsOptionsDX9SMAAHigh","SMAA High","",565163958,""
338,"GraphicsOptionsDX11MSAAOff","Off (Default)","",-1786940309,""
339,"GraphicsOptionsDX11MSAA4","MSAA x4","",-448818137,""
340,"GraphicsOptionsDX11MSAA8","MSAA x8 (Very Slow)","",-1134583935,""
341,"GraphicsOptionsTextureQualityLabel","Texture Quality","",826609662,""
342,"GraphicsOptionsTextureQualityMedium","Medium","",-1121204237,""
343,"GraphicsOptionsTextureQualityHigh","High (Default)","",755683079,""
344,"GraphicsOptionsTextureFilteringLabel","Texture Filtering","",226546200,""
345,"GraphicsOptionsTextureFilteringTrilinear","Trilinear Filtering","",1345203949,""
346,"GraphicsOptionsTextureFilteringAnisotropic","{0}x Anisotropic Filtering","",88180192,""
347,"GraphicsOptionsBloomStrengthLabel","Bloom","",-1890687344,""
348,"GraphicsOptionsIncursionEffectLabel","Incursion/Ultimatum Effect","",-1136442826,""
349,"GraphicsOptionsScreenShakeLabel","Screen Shake","",-1044702112,""
350,"GraphicsOptionsCameraZRotationLabel","Camera Rotation Effects","",-693174610,""
351,"GraphicsOptionsCameraZRotationPopup","Enable lateral camera rotation effects and cinematic camera swings","",1821877696,""
352,"AudioOptionsDeviceLabel","Device","",1945070835,""
353,"AudioOptionsDeviceDefault","Default","",-316656627,""
354,"AudioOptionsDeviceNoDevices","No devices","",1481443269,""
355,"AudioOptionsEffectsVolumeLabel","Sound Effects Volume","",-1863920606,""
356,"AudioOptionsMusicVolumeLabel","Music Volume","",521601205,""
357,"AudioOptionsAmbientVolumeLabel","Ambient Sound Volume","",1621999692,""
358,"AudioOptionsDialogueVolumeLabel","Dialogue Volume","",1193424575,""
359,"AudioOptionsItemFilterAlertVolumeLabel","Item Filter Alert Volume","",1607638348,""
360,"AudioOptionsReverbLabel","Reverb Enabled","",965622437,""
361,"AudioOptionsMuteInBackgroundLabel","Mute when in background","",1699281040,""
362,"AudioOptionsMuteInBackgroundDescription","If you enable this then sound will be muted when the client window is not in focus.","",881782526,""
363,"AudioOptionsWarningNoSoundDriver","No sound driver detected","",-1078915857,""
364,"AudioOptionsWarningSoundDriverInitialisationFailed","Failed to initialise sound driver","",875787078,""
365,"OptionsCornerMapLabel","Show Corner Map","",6756786,""
366,"OptionsCornerMapPopup","Show a small map in the top-right corner of the screen.","",-876702610,""
367,"OptionsAutoCenterMapLabel","Auto-Center Map","",1951258456,""
368,"OptionsAutoCenterMapPopup","Pressing the Open / Close Map key when the map is off center will re-center it, rather than close it.","",-590839355,""
369,"OptionsMapTransparencyLabel","Landscape Transparency","",1808639177,""
370,"OptionsAlwaysHighlightLabel","Always Highlight","",-420254411,""
371,"OptionsAlwaysHighlightPopup","Items and objects such as chests and waypoints will always be highlighted.","",1844302011,""
372,"OptionsAlwaysShowSocketsLabel","Always Show Sockets","",1357197412,""
373,"OptionsKeyPickupLabel","Key Pickup","",417756953,""
374,"OptionsKeyPickupDisabled","Disabled","",-781724905,""
375,"OptionsKeyPickupUseHighlightKey","Use Highlight Key","",453685017,""
376,"OptionsKeyPickupUseBoundKey","Use Bound Key ({0})","",-2080042412,""
377,"OptionsShowFullDescriptionsLabel","Show Full Descriptions","",-1211549962,""
378,"OptionsShowFullDescriptionsPopup","When highlighting an item on the ground, its full description will be shown, rather than just its name.","",-337426287,""
379,"OptionsShowLifeManaLevelsLabel","Show Life/Mana Levels","",1159149270,""
380,"OptionsShowLifeManaLevelsPopup","Life and mana levels will show above the life and mana orbs at all times.","",-1814740831,""
381,"OptionsCorpseTargetingLabel","Corpse Targeting","",213943966,""
382,"OptionsCorpseTargetingAlways","Always Enabled","",-260292332,""
383,"OptionsCorpseTargetingWhenKeyHeld","When Key Held ({0})","",228787115,""
384,"OptionsJoinGlobalChatLabel","Show Global Chat","",585709761,""
