"rownum","WordsKey","ItemVisualIdentityKey","UniqueStashTypesKey","i32","i32","i32","i32","bool","bool","i32","i32","i32","i32","bool"
42,67,5296,14,8,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
43,68,5297,14,10,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
44,69,5298,14,12,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
45,70,5299,13,0,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
46,71,5300,13,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
47,72,5301,13,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
48,73,5302,13,6,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
49,74,5303,13,8,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
50,75,5304,13,10,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
51,76,5305,13,12,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
52,77,5306,13,14,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
53,78,5831,1,6,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
54,79,5832,1,7,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
55,80,5833,12,0,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
56,81,5834,12,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
57,82,5835,12,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
58,83,5836,12,6,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
59,84,5837,17,0,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
60,85,5838,17,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
61,86,5839,17,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
62,87,5840,17,6,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
63,88,5841,17,8,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
64,89,6119,7,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
65,90,6120,6,8,0,2,4,1,1,-16843010,-16843010,-16843010,-16843010,""
66,240,6121,6,10,0,1,4,1,1,-16843010,-16843010,-16843010,-16843010,""
67,91,6121,6,0,0,0,0,"","",66,0,-16843010,-16843010,""
68,92,6122,15,6,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
69,94,6124,17,10,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
70,95,6125,16,22,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
71,96,6126,5,0,0,1,3,1,1,-16843010,-16843010,-16843010,-16843010,""
72,106,6127,16,24,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
73,98,6128,17,12,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
74,99,6129,17,14,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
75,100,6130,8,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
76,101,6131,1,8,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
77,103,6132,13,16,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
78,104,6133,13,18,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
79,105,6134,14,14,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
80,107,6135,4,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
81,109,6137,14,16,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
82,110,6138,14,18,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
83,112,6140,8,6,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
84,113,6141,15,8,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
85,114,6142,9,6,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
86,116,6144,9,8,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
87,117,6145,7,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
88,118,6146,8,8,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
89,119,6147,5,1,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
90,121,6149,9,10,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
91,122,6150,14,20,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
92,123,6151,15,10,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
93,125,6153,15,12,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
94,126,6154,15,14,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
95,127,6155,9,12,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
96,129,6157,3,0,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
97,131,6158,17,16,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
98,130,6158,17,0,0,0,0,"","",97,0,-16843010,-16843010,""
99,132,6159,15,16,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
100,133,6160,10,0,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
101,134,6161,16,26,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
102,135,6162,17,18,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
103,136,6163,8,10,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
104,137,6164,15,18,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
105,138,6165,15,20,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
106,139,6166,3,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
107,140,6167,6,12,0,2,4,1,1,-16843010,-16843010,-16843010,-16843010,""
108,141,6168,17,20,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
109,142,6575,7,6,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
110,143,6576,9,14,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
111,144,6577,16,28,0,0,0,"","",-16843010,-16843010,-16843010,-16843010,""
112,145,6663,17,22,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
113,146,6664,4,3,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
114,149,6667,15,22,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
115,150,6668,2,5,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
116,151,6684,17,24,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
117,153,6696,8,12,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
118,155,6729,16,30,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
119,156,6730,3,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
120,157,6731,8,14,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
121,158,6732,16,32,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
122,160,6734,17,26,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
123,161,6735,15,24,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
124,162,6736,15,26,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
125,163,6737,14,22,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
126,164,6738,15,28,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
127,165,6739,14,24,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
128,166,6740,10,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
129,167,6741,15,30,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
130,168,6742,15,32,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
131,170,6745,13,20,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
132,171,6746,13,22,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
133,239,6749,13,24,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
134,175,6750,13,26,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
135,177,6752,16,34,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
136,180,6755,16,36,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
137,182,6759,6,14,0,1,4,1,1,-16843010,-16843010,-16843010,-16843010,""
138,183,6760,2,6,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
139,186,6763,16,38,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
140,187,6764,3,6,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
141,190,6767,3,8,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
142,192,6769,1,9,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
143,194,6771,2,7,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
144,195,6772,16,40,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
145,197,6773,15,34,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
146,198,6774,15,36,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
147,199,6775,5,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
148,200,6776,6,16,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
149,210,6781,2,8,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
150,211,6782,18,0,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
151,212,6787,7,8,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
152,214,6842,18,1,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
153,216,6844,1,10,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
154,217,6845,1,11,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
155,218,6846,1,12,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
156,219,6847,2,9,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
157,220,6848,2,10,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
158,221,6849,2,11,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
159,222,6850,12,8,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
160,224,6852,14,26,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
161,225,6853,8,16,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
162,227,6855,6,18,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
163,228,6856,1,13,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
164,229,6857,8,18,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
165,230,6858,2,12,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
166,231,6859,2,13,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
167,232,6860,0,0,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
168,234,6861,16,42,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
169,233,6862,15,38,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
170,235,5058,14,28,0,0,0,"","",-16843010,-16843010,-16843010,-16843010,""
171,236,6863,9,16,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
172,238,6875,15,40,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
173,256,6891,7,10,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
174,241,6876,15,42,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
175,243,6877,16,44,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
176,242,6879,16,46,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
177,245,6880,14,30,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
178,246,6881,14,32,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
179,248,6883,7,12,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
180,249,6884,8,20,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
181,258,6894,9,18,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
182,259,6895,0,1,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
183,260,6901,1,14,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
184,262,6911,15,44,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
185,263,6915,6,20,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
186,265,6917,3,10,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
187,266,6918,6,22,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
188,267,6919,15,46,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
189,269,6934,2,14,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
190,270,6935,15,48,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
191,271,6936,2,15,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
192,272,6939,7,14,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
193,273,6937,12,10,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
194,274,6938,14,34,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
195,275,6940,2,16,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
196,276,6941,2,17,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
197,277,6942,2,18,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
198,278,6943,2,19,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
199,279,6948,0,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
200,280,6949,0,3,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
201,282,6951,16,48,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
202,283,6944,12,12,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
203,286,6946,12,14,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
204,285,6947,15,50,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
205,298,6974,5,3,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
206,297,6975,8,22,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
207,299,6987,13,28,0,0,0,"","",-16843010,-16843010,-16843010,-16843010,""
208,301,6996,18,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
209,303,7000,15,52,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
210,304,7001,17,28,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
211,306,7003,17,30,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
212,310,7007,7,16,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
213,314,7011,10,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
214,316,7013,4,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
215,317,7014,16,50,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
216,319,6913,8,24,0,1,4,"","",-16843010,-16843010,-16843010,-16843010,""
217,320,7115,16,52,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
218,321,7027,13,30,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
219,322,7029,8,26,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
220,323,7031,10,6,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
221,324,7032,13,32,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
222,325,7033,14,36,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
223,327,7035,16,54,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
224,328,7037,2,20,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
225,330,7039,13,34,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
226,331,7040,11,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
227,332,7041,11,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
228,333,7045,10,8,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
229,334,7046,14,38,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
230,335,7047,12,16,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
231,336,7048,0,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
232,337,7049,13,36,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
233,339,7109,15,54,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
234,340,7110,16,56,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
235,341,7111,7,18,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
236,342,7113,15,56,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
237,343,7114,8,28,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
238,42,5271,11,6,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
239,344,7116,5,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
240,345,4878,12,18,0,0,0,"","",-16843010,-16843010,-16843010,-16843010,""
241,347,7128,11,8,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
242,348,7129,15,58,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
243,349,7135,11,10,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
244,350,7138,9,20,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
245,351,7139,6,24,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
246,355,7140,14,40,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
247,356,7142,6,26,0,1,3,1,1,-16843010,-16843010,-16843010,-16843010,""
248,357,7143,11,12,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
249,359,7145,0,5,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
250,360,7146,10,10,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
251,363,7147,18,3,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
252,364,7149,17,32,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
253,365,7148,17,34,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
254,367,7186,2,21,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
255,368,7187,4,5,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
256,369,7243,0,6,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
257,371,7245,6,28,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
258,373,7384,14,42,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
259,374,7385,14,44,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
260,375,7386,15,60,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
261,376,7387,5,5,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
262,377,6999,7,20,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
263,378,7389,13,38,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
264,379,7390,13,40,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
265,380,7391,13,42,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
266,381,7392,7,22,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
267,383,7394,6,30,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
268,384,7395,8,30,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
269,385,7726,11,14,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
270,387,7756,2,22,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
271,389,7729,17,36,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
272,390,7730,6,32,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
273,391,7731,17,38,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
274,395,4845,2,23,0,0,0,"","",-16843010,-16843010,-16843010,-16843010,""
275,397,7733,10,12,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
276,398,4863,1,15,0,0,0,"","",-16843010,-16843010,-16843010,-16843010,""
277,399,7744,10,14,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
278,401,7734,10,16,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
279,402,7746,12,20,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
280,404,7748,12,22,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
281,406,7750,2,24,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
282,407,7751,5,6,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
283,408,7752,1,16,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
284,409,7753,17,40,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
285,410,7754,12,24,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
286,411,7755,16,58,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
287,412,7758,11,16,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
288,413,8194,13,44,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
289,414,8199,12,26,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
290,415,8200,2,25,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
291,416,8201,2,26,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
292,417,8202,9,22,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
293,418,8203,1,17,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
294,419,8204,2,27,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
295,420,8205,2,28,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
296,422,8207,2,29,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
297,423,8208,15,62,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
298,424,8209,16,60,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
299,425,8210,8,32,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
300,426,8211,0,7,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
301,427,8222,15,64,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
302,428,8228,1,18,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
303,429,8235,16,62,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
304,430,8236,16,64,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
305,431,7735,10,18,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
306,432,8242,13,46,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
307,441,8249,2,30,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
308,442,8250,2,31,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
309,443,8251,12,28,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
310,444,8252,10,20,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
311,446,8253,15,66,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
312,447,8254,4,6,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
313,448,5307,1,19,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
314,449,8255,10,22,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
315,450,8261,7,24,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
316,451,8256,8,34,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
317,452,8337,13,48,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
318,453,8257,8,36,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
319,454,8258,8,38,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
320,455,8259,6,34,0,2,3,"","",-16843010,-16843010,-16843010,-16843010,""
321,456,8262,6,36,0,1,3,1,1,-16843010,-16843010,-16843010,-16843010,""
