"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","bool","rid","bool","rid","i32","i32","i32","rid","bool","[rid]","[rid]","[rid]","[rid]"
76,"curse_newpunishment","You are cursed. You will take increased damage while on low life and be debilitated when you hit enemies. Overkill damage from the hit which kills you will be reflected to nearby targets.","","","Punishment","[12445,12446,12447]","",6,"","","",1,18,69,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,1233256448,0,0,"","",[12616],[],"[12445,12446,12447,12616]",[720]
77,"CarlsTestCheat","You are testing the game with raw stats and blanket mods. You should never see this outside of Grinding Gear Games.","",1,"Balance","[123,133,116,119,30,31,83,568]",1,2,"","","","",18,80,1,"",15,"",1,1,"",0,"","","","","","","",4,1266548736,0,0,"","",[],[],"[123,133,116,119,30,31,83,568]",[]
78,"monster_aura_physical_thorns","Allies Reflect Physical Damage","","","Physical Reflection Aura",[564],1,3,"","","","",18,81,"","",1,"",1,1,"",0,"","","","","","","",4,1287520256,0,0,"","",[],[],[564],[]
79,"monster_aura_elemental_thorns","Allies Reflect Elemental Damage","","","Elemental Reflection Aura",[565],1,3,"","","","",18,82,"","",1,"",1,1,"",0,"","","","","","","",4,1301544960,0,0,"","",[],[],[565],[]
80,"monster_physical_thorns","Reflects Physical Damage","","","Physical Reflection",[564],1,3,"","","","",18,81,1,"",1,"",1,1,"",0,"","","","","","","",4,1313079296,0,0,"","",[],[],[564],[]
81,"monster_elemental_thorns","Reflects Elemental Damage","","","Elemental Reflection",[565],1,3,"","","","",18,82,1,"",1,"",1,1,"",0,"","","","","","","",4,1325006848,0,0,"","",[],[],[565],[]
82,"monster_aura_medium_physical_damage","Allies Deal Extra Physical Damage","","","Medium Physical Damage Aura",[26],1,3,"","","","",18,83,1,"",1,"",1,1,"",0,"","","","","","","",4,1340342272,0,0,"","",[],[],[26],[]
83,"monster_aura_large_physical_damage","Allies Deal Substantial Extra Physical Damage","","","Large Physical Damage Aura",[26],1,3,"","","","",18,84,1,"",1,"",1,1,"",0,"","","","","","","",4,1356988416,0,0,"","",[],[],[26],[]
84,"monster_aura_speed","Allies Move and Attack Faster","","","Speed Aura","[70,216,177]",1,3,"","","","",18,85,1,"",1,"",1,1,"",0,"","","","","","","",4,1369440256,0,0,"","",[],[],"[70,216,177]",[]
85,"monster_aura_life_regen","Allies Regenerate Life","","","Life Regen Aura",[451],1,3,"","","","",18,86,"","",1,"",1,1,"",0,"","","","","","","",4,1382285312,0,0,"","",[],[],[451],[]
86,"monster_aura_resists","Allies Resist Elemental Damage","","","Resists Aura",[141],1,3,"","","","",18,87,"","",1,"",1,1,"",0,"","","","","","","",4,1393295360,0,0,"","",[],[],[141],[]
87,"monster_aura_energy_shield","Allies have Energy Shield","","","Energy Shield Aura",[563],1,3,"","","","",18,88,"","",1,"",1,1,"",0,"","","","","","","",4,1405222912,0,0,"","",[],[],[563],[]
88,"monster_aura_energy_shield_bubble","Allies have Energy Shield","","","Energy Shield Aura",[563],1,3,"","","","",18,89,"","",1,"",1,1,"",0,"","","","","","","",4,1411907584,0,0,"","",[],[],[563],[]
89,"monster_aura_accuracy_and_crits","Allies have increased Accuracy and Critical Strike Chance","","","Accuracy and Crits Aura","[84,554]",1,3,"","","","",18,90,1,"",1,"",1,1,"",0,"","","","","","","",4,1430388736,0,0,"","",[],[],"[84,554]",[]
90,"monster_aura_pus_puke_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[452],1,3,"","","","",18,91,"","",2,"",1,1,"",0,"","","","","","","",4,1444675584,0,0,"","",[],[],[452],[]
91,"monster_aura_chaos_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[453],1,3,"","","","",18,91,"","",2,"",1,1,"",0,"","","","","","","",4,1450180608,0,0,"","",[],[],[453],[]
92,"monster_aura_physical_degen","Enemies take Physical Damage over time","","","Degeneration Aura",[2576],1,3,"","","","",18,350,"","",2,"",1,1,"",0,"","","","","","","",4,1461321728,0,0,"","",[],[],[2576],[]
93,"monster_aura_lightning_degen","Enemies take Lightning Damage over time","","","Degeneration Aura",[1988],1,3,"","","","",18,265,"","",2,"",1,1,"",0,"","","","","","","",4,1472724992,0,0,"","",[],[],[1988],[]
94,"monster_aura_elemental_damage","Allies deal increased Elemental Damage","","","Elemental Damage Aura",[486],1,3,"","","","",18,93,1,"",1,"",1,1,"",0,"","","","","","","",4,1487142912,0,0,"","",[],[],[486],[]
95,"monster_aura_essence_daemon_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[452],1,3,"","","","",18,94,"","",2,1,1,1,"",0,"","","","","","","",4,1493827584,0,0,"","",[],[],[452],[]
96,"monster_thorns_physical","Reflects Physical Damage",1,"","Reflection",[564],1,3,"","","","",18,95,1,"",1,"",1,1,"",0,"","","","","","","",4,1500774400,0,0,"","",[],[],[564],[]
97,"monster_thorns_elemental","Reflects Elemental Damage",1,"","Reflection",[565],1,3,"","","","",18,96,1,"",1,"",1,1,"",0,"","","","","","","",4,1506279424,0,0,"","",[],[],[565],[]
98,"monster_thorns_physical_large","Reflects Physical Damage",1,"","Reflection",[564],1,3,"","","","",18,97,1,"",1,"",1,1,"",0,"","","","","","","",4,1512439808,0,0,"","",[],[],[564],[]
99,"monster_thorns_elemental_large","Reflects Elemental Damage",1,"","Reflection",[565],1,3,"","","","",18,98,1,"",1,"",1,1,"",0,"","","","","","","",4,1518731264,0,0,"","",[],[],[565],[]
100,"monster_thorns_bloodline","",1,"","Reflection","[564,565]",1,3,"","","","",18,99,1,"",1,"",1,1,"",0,"","","","","","","",4,1525284864,0,0,"","",[],[],"[564,565]",[]
101,"monster_thorns_bloodline_large_model","",1,"","Reflection","[564,565]",1,3,"","","","",18,100,1,"",1,"",1,1,"",0,"","","","","","","",4,1534459904,0,0,"","",[],[],"[564,565]",[]
102,"dominating_blow_hit_buff","",1,"","",[],1,2,"","","",1,18,102,1,"",2,"","","","",0,"","DominatingBlowDebuff","","","","","",4,1542848512,0,0,"","",[],[],[],[]
103,"immortal_call","You are invulnerable to Physical Damage.","",1,"Immortal Call",[717],1,2,"","","","",18,103,1,"",1,"",1,1,"",0,"","","","","","","",4,1553334272,0,0,"","",[],[],[717],[]
104,"vaal_immortal_call","You cannot die. You cannot gain Vaal souls.","",1,"Vaal Immortal Call","[398,7828]",1,2,"","","","",18,103,1,"",1,"",1,1,"",0,1,"","","","","","",4,1567621120,0,0,"","",[],[],"[398,7828]",[]
105,"mortal_call","You take less Physical and Elemental Damage.","",1,"Immortal Call","[9425,9426,12695,9427,9428]",1,2,"","",9899,"",18,103,1,"",1,"",1,1,"",0,"","","","","","","",4,1582694400,0,0,"","",[],[],"[9425,9426,12695,9427,9428]",[]
106,"monty_haul","Drop testing","",1,"Treasure!","[151,153]",1,2,"","","",1,18,104,1,"",15,"",1,1,"",0,"","","","","","","",4,1594884096,0,0,"","",[],[],"[151,153]",[]
107,"lightning_shield","You have additional Block Chance with a Shield. Duration refreshed by blocking.","",1,"Tempest Shield","[19,2367]",1,2,"","","",1,18,105,1,"",1,"",1,1,"",0,"","","","","","","",4,1614151680,0,0,"","",[],[],"[19,2367]",[]
108,"fire_shield","","",1,"Molten Shell","[116,12308]",1,2,"","","","",18,106,1,"",1,"",1,1,"",0,"","","","","","","",4,1621884928,0,0,"","",[],[],"[116,12308]",[]
109,"molten_shell_damage_absorption","You have additional Armour, and a percentage of damage from hits will be taken from this buff before your Life or Energy Shield.","",1,"Molten Shell",[],1,2,1,"",9899,"",18,106,1,"",1,"",1,1,"",0,"","","","","","","",4,1645215744,0,0,"","",[9571],[],[9571],[9574]
110,"molten_shell_shield","",1,1,"","[116,12308]",1,2,"","","","",18,0,1,"",15,"",1,1,"",0,"","","","","","","",4,1653211136,0,0,"","",[],[],"[116,12308]",[]
111,"flask_utility_critical_strike_chance","You are lucky with critical strikes","","","Diamond Flask",[1423],1,3,"","","","",18,107,1,"",4,"",1,1,1,0,"","","","","","","",4,1668153344,0,0,"","",[],[],[1423],[]
112,"flask_utility_resist_fire","You have additional Fire Resistance and less Fire Damage taken","","","Ruby Flask","[144,8691]",1,3,"","","","",18,108,1,"",4,"",1,1,1,0,"","","","","","","",4,1684799488,0,0,"","",[],[],"[144,8691]",[]
113,"flask_utility_resist_cold","You have additional Cold Resistance and less Cold Damage taken","","","Sapphire Flask","[146,8692]",1,3,"","","","",18,109,1,"",4,"",1,1,1,0,"","","","","","","",4,1703018496,0,0,"","",[],[],"[146,8692]",[]
114,"flask_utility_resist_lightning","You have additional Lightning Resistance and less Lightning Damage taken","","","Topaz Flask","[148,8693]",1,3,"","","","",18,110,1,"",4,"",1,1,1,0,"","","","","","","",4,1722810368,0,0,"","",[],[],"[148,8693]",[]
115,"flask_utility_ironskin","You have additional Armour","","","Granite Flask",[116],1,3,"","","","",18,111,1,"",4,"",1,1,1,0,"","","","","","","",4,1734737920,0,0,"","",[],[],[116],[]
116,"flask_utility_sprint","You have increased Movement Speed","","","Quicksilver Flask",[177],1,3,"","","","",18,112,1,"",4,"",1,1,1,0,"","","","","","","",4,1746796544,0,0,"","",[],[],[177],[]
117,"flask_utility_resist_chaos","You have additional Chaos Resistance","","","Amethyst Flask",[150],1,3,"","","","",18,113,1,"",4,"",1,1,1,0,"","","","","","","",4,1759641600,0,0,"","",[],[],[150],[]
118,"flask_utility_phase","You have additional chance to Dodge Spells and Attacks and Phasing, allowing you to move through enemies","","","Quartz Flask","[1859,1938,1939]",1,3,"","","","",18,114,1,"",4,"",1,1,1,0,"","","","","","","",4,1782317056,0,0,"","",[],[],"[1859,1938,1939]",[]
119,"flask_utility_evasion","You have additional Evasion Rating","","","Jade Flask",[119],1,3,"","","","",18,115,1,"",4,"",1,1,1,0,"","","","","","","",4,1795817472,0,0,"","",[],[],[119],[]
