"rownum","Id","ChestsKey","rid","MinLevel","MaxLevel","Weight","i32"
39,"ChestsRoom26",518,"",20,100,40,1
40,"ChestsRoom27",519,"",20,100,40,1
41,"ChestsRoom28",520,"",20,100,40,1
42,"ChestsRoom29",521,"",20,100,40,1
43,"ChestsRoom30",522,"",20,100,40,1
44,"ChestsRoom31",523,"",1,100,1200,2
45,"ChestsRoom32",524,"",68,100,1200,2
46,"ChestsRoom33",525,"",1,100,1200,2
47,"ChestsRoom34",526,"",1,100,1200,2
48,"ChestsRoom35",527,"",1,100,1200,2
49,"ChestsRoom36",528,"",1,100,1200,2
50,"TrinketsRoom1",579,"",1,100,1200,0
51,"TrinketsRoom2",582,"",1,100,400,0
52,"TrinketsRoom3",595,"",60,100,60,0
53,"TrinketsRoom4",596,"",60,100,12,0
54,"TrinketsRoom5",597,"",55,100,35,0
55,"TrinketsRoom6",594,"",75,100,60,0
56,"TrinketsRoom7",598,"",1,100,175,0
57,"TrinketsRoom8",602,"",80,100,175,0
58,"TrinketsRoom9",599,"",68,100,60,0
59,"TrinketsRoom10",600,"",80,100,6,0
60,"TrinketsRoom11",601,"",1,100,50,0
61,"TrinketsRoom12",591,"",46,100,100,0
62,"TrinketsRoom13",592,"",23,100,150,0
63,"TrinketsRoom14",588,"",40,100,200,0
64,"TrinketsRoom15",593,"",68,100,1,0
65,"MapsRoom1",617,"",58,100,2400,0
66,"MapsRoom2",618,"",58,100,1200,2
67,"MapsRoom3",619,"",58,100,1200,1
68,"MapsRoom4",621,"",58,100,200,1
69,"MapsRoom5",622,"",75,100,200,1
70,"MapsRoom6",623,"",80,100,40,1
71,"MapsRoom7",624,"",58,100,200,1
72,"MapsRoom8",625,"",58,100,200,1
73,"MapsRoom9",626,"",58,100,200,1
74,"MapsRoom10",627,"",58,100,1200,1
75,"MapsRoom11",628,"",80,100,40,1
76,"GemsRoom1",629,"",1,100,2400,0
77,"GemsRoom2",630,"",1,100,1200,2
78,"GemsRoom3",631,"",1,100,1200,1
79,"GemsRoom4",633,"",68,100,40,1
80,"GemsRoom5",632,"",1,100,200,1
81,"GemsRoom6",634,"",1,100,200,1
82,"ArmourRoom1",562,"",1,100,1200,0
83,"ArmourRoom2",563,"",50,100,2,0
84,"ArmourRoom3",564,"",50,100,1,0
85,"ArmourRoom4",565,"",35,100,30,0
86,"ArmourRoom5",566,"",35,100,15,0
87,"ArmourRoom6",567,"",1,100,150,0
88,"ArmourRoom7",568,"",1,100,15,0
89,"ArmourRoom8",569,"",60,100,50,0
90,"ArmourRoom9",570,"",60,100,10,0
91,"ArmourRoom10",571,"",68,100,200,0
92,"ArmourRoom11",572,"",55,100,30,0
93,"ArmourRoom12",573,"",75,100,50,0
94,"ArmourRoom13",574,"",1,100,150,0
95,"ArmourRoom14",575,"",80,100,150,0
96,"ArmourRoom15",576,"",68,100,50,0
97,"ArmourRoom16",577,"",80,100,5,0
98,"ArmourRoom17",578,"",1,100,150,0
99,"ArmourRoom18",555,"",23,100,200,0
100,"WeaponsRoom1",537,"",1,100,1200,0
101,"WeaponsRoom2",538,"",50,100,2,0
102,"WeaponsRoom3",539,"",50,100,1,0
103,"WeaponsRoom4",531,"",23,100,200,0
104,"WeaponsRoom5",540,"",35,100,30,0
105,"WeaponsRoom6",541,"",35,100,15,0
106,"WeaponsRoom7",542,"",1,100,150,0
107,"WeaponsRoom8",543,"",1,100,15,0
108,"WeaponsRoom9",544,"",60,100,50,0
109,"WeaponsRoom10",545,"",60,100,10,0
110,"WeaponsRoom11",546,"",55,100,30,0
111,"WeaponsRoom12",547,"",75,100,50,0
112,"WeaponsRoom13",548,"",1,100,150,0
113,"WeaponsRoom14",549,"",80,100,150,0
114,"WeaponsRoom15",550,"",68,100,50,0
115,"WeaponsRoom16",551,"",80,100,5,0
116,"WeaponsRoom17",552,"",1,100,150,0
117,"StrongboxRoom1",268,"",1,100,2400,0
118,"StrongboxRoom2",251,"",1,100,2400,0
119,"StrongboxRoom3",250,"",1,100,2400,0
120,"StrongboxRoom4",252,"",1,100,2400,0
121,"StrongboxRoom5",261,"",1,100,1200,0
122,"StrongboxRoom6",264,"",1,100,1200,0
123,"StrongboxRoom7",263,"",20,100,1200,0
124,"StrongboxRoom8",266,"",1,100,600,0
125,"StrongboxRoom9",247,"",26,100,600,0
126,"StrongboxRoom10",253,"",68,100,200,0
127,"StrongboxRoom11",270,"",55,100,200,0
128,"StrongboxRoom12","",1,20,100,12,0
129,"StrongboxRoom13","",2,20,100,18,0
130,"StrongboxRoom14","",3,60,100,12,0
131,"StrongboxRoom15","",15,30,100,30,0
132,"StrongboxRoom16","",16,35,100,30,0
133,"StrongboxRoom17","",17,40,100,30,0
134,"StrongboxRoom18","",18,56,100,9,0
135,"StrongboxRoom19","",19,56,100,9,0
136,"StrongboxRoom20","",20,56,100,9,0
137,"StrongboxRoom21","",21,56,100,3,0
138,"StrongboxRoom22","",26,40,100,18,0
