"rownum","BetrayalDialogueCueKey","i32","i32","i32","i32","i32","[i32]","rid","i32","rid","[rid]","rid","bool","[i32]","[rid]","bool","[i32]","rid","[rid]"
88,4,0,0,0,9,5,[],"",100,"",[],"","",[],"[18,19,20,21,22]","",[],2371,[]
89,4,0,0,0,6,0,[],"",300,"",[],"","",[],[5],"",[],2372,[]
90,4,0,0,0,6,1,[],"",300,"",[],"","",[],[11],"",[],2373,[]
91,4,0,0,0,6,2,[],"",300,"",[],"","",[],[6],"",[],2374,[]
92,4,0,0,0,6,3,[],"",300,"",[],"","",[],[12],"",[],2375,[]
93,4,0,0,0,6,4,[],7,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2376,[]
94,4,0,0,0,6,5,[],5,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2377,[]
95,4,0,0,0,6,6,[],8,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2378,[]
96,4,0,0,0,6,7,[],13,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2379,[]
97,4,0,0,0,6,8,[],14,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2380,[]
98,4,0,0,0,6,9,[],"",100,"",[],"","",[],"[5,11,6,12,16,17]","",[],2381,[]
99,4,0,0,0,10,0,[],"",100,"",[],"","",[],[2],"",[],2382,[]
100,4,0,0,0,10,1,[],"",100,"",[],"","",[7],[2],"",[],2383,[]
101,4,0,0,0,10,2,[],"",100,"",[2],"","",[],[2],"",[],2384,[]
102,4,0,0,0,10,3,[1],"",300,"",[],"","",[],[2],"",[],2385,[]
103,4,0,0,0,7,0,[],"",100,"",[],"","",[],[],"",[],2386,[]
104,4,0,0,0,7,1,[],7,1000,"",[],"","",[],[],1,[],2387,[]
105,4,0,0,0,7,2,[],3,1000,"",[],"","",[],[],1,[],2388,[]
106,4,0,0,0,7,3,[],6,1000,"",[],"","",[],[],1,[],2389,[]
107,4,0,0,0,7,4,[],16,1000,"",[],"","",[],[],1,[],2390,[]
108,4,0,0,0,7,5,[],17,1000,"",[],"","",[],[],1,[],2391,[]
109,4,0,0,0,7,6,[],"",100,"",[],"","",[],[],"",[],2392,[]
110,4,0,0,0,11,0,[],"",100,"",[],"","",[],[],"",[],2393,[]
111,4,0,0,0,11,1,[1],"",300,"",[],"","",[],[],"",[],2394,[]
112,4,0,0,0,11,2,[3],"",300,"",[],"","",[],[],"",[],2395,[]
113,4,0,0,0,12,0,[],"",100,"",[1],"","",[],[],"",[],2396,[]
114,4,0,0,0,12,1,[],"",100,"",[2],"","",[],[],"",[],2397,[]
115,4,0,0,0,12,2,[],"",100,"",[0],"","",[],[],"",[],2398,[]
116,4,0,0,0,14,0,[],"",100,"",[],"","",[],[],"",[],2399,[]
117,4,0,0,0,0,15,[9],"",100,"",[],"",1,[],[],"",[],2400,[]
118,4,0,0,0,4,3,[],"",100,"",[],"",1,[],[],"",[],2401,[]
119,4,0,0,0,5,11,[],"",100,"",[],"",1,[],[],"",[],2402,[]
120,4,0,0,0,9,6,[],"",100,"",[],"",1,[],"[3,7,4,10,9,8,18,19,20,21,22,13,14,15]","",[],2403,[]
121,4,0,0,0,11,3,[],"",100,"",[],"",1,[],[],"",[],2404,[]
122,1,0,0,0,0,0,[],"",10,"",[],"","",[],[],1,[9],2411,[]
123,1,0,0,0,0,1,[],"",100,1,[],"","",[],[],"",[],2412,[]
124,1,0,0,0,0,2,[],"",100,2,[],"","",[],[],"",[],2413,[]
125,1,0,0,0,0,3,[],"",100,4,[],"","",[],[],"",[],2414,[]
126,1,0,0,0,0,4,[],"",100,3,[],"","",[],[],"",[],2415,[]
127,1,0,0,0,0,5,[1],"",300,"",[],"","",[],[],"",[],2416,[]
128,1,0,0,0,0,6,[3],"",300,"",[],"","",[],[],"",[],2417,[]
129,1,0,0,0,0,7,[5],"",300,"",[],"","",[],[],"",[],2418,[]
130,1,0,0,0,0,8,[6],"",300,"",[],"","",[],[],"",[],2419,[]
131,1,0,0,0,0,9,"[2,4]","",300,"",[],"","",[],[],"",[],2420,[]
132,1,0,0,0,0,10,[],"",100,"",[],32,"",[],[],"",[],2421,[]
133,1,0,0,0,0,11,[],"",100,"",[],31,"",[],[],"",[],2422,[]
134,1,0,0,0,0,12,[],"",100,"",[],8,"",[],[],"",[],2423,[]
135,1,0,0,0,0,13,[],"",100,"",[],6,"",[],[],"",[],2424,[]
136,1,0,0,0,0,14,[],"",100,"",[],4,"",[],[],"",[],2425,[]
137,1,0,0,0,13,0,[],"",10,"",[],"","",[],[],1,[],2426,[]
138,1,0,0,0,1,0,[],"",100,1,"[1,2]","","",[],[],"",[],2427,[]
139,1,0,0,0,1,1,[],"",100,2,"[1,2]","","",[],[],"",[],2428,[]
140,1,0,0,0,1,2,[],"",100,4,"[1,2]","","",[],[],"",[],2429,[]
141,1,0,0,0,1,3,[],"",100,3,"[1,2]","","",[],[],"",[],2430,[]
142,1,0,0,0,1,4,[],"",100,"","[1,2]","","",[],[],"",[],2431,[]
143,1,0,0,0,1,5,[],"",100,"","[1,2]","","",[],[],"",[],2432,[]
144,1,0,0,0,1,6,[],7,1000,"","[1,2]","","",[],[],1,[],2433,[]
145,1,0,0,0,1,7,[],2,1000,"","[1,2]","","",[],[],1,[],2434,[]
146,1,0,0,0,1,8,[],13,1000,"","[1,2]","","",[],[],1,[],2435,[]
147,1,0,0,0,1,9,[],14,1000,"","[1,2]","","",[],[],1,[],2436,[]
148,1,0,0,0,1,10,[],17,1000,"","[1,2]","","",[],[],1,[],2437,[]
149,1,0,0,0,1,11,[],"",100,"","[1,2]","","",[],[],"",[],2438,[]
150,1,0,0,0,1,12,[],"",100,1,[0],"","",[],[],"",[],2439,[]
151,1,0,0,0,1,13,[],"",100,2,[0],"","",[],[],"",[],2440,[]
152,1,0,0,0,1,14,[],"",100,4,[0],"","",[],[],"",[],2441,[]
153,1,0,0,0,1,15,[],"",100,3,[0],"","",[],[],"",[],2442,[]
154,1,0,0,0,1,16,[],2,1000,"",[0],"","",[],[],1,[],2443,[]
155,1,0,0,0,1,17,[],3,1000,"",[0],"","",[],[],1,[],2444,[]
156,1,0,0,0,1,18,[],10,1000,"",[0],"","",[],[],1,[],2445,[]
157,1,0,0,0,1,19,[],11,1000,"",[0],"","",[],[],1,[],2446,[]
158,1,0,0,0,1,20,[],16,1000,"",[0],"","",[],[],1,[],2447,[]
159,1,0,0,0,1,21,[],"",100,"",[0],"","",[],[],"",[],2448,[]
160,1,0,0,0,2,0,[],"",100,1,[0],"","",[],[],"",[],2449,[]
161,1,0,0,0,2,1,[],"",100,2,[0],"","",[],[],"",[],2450,[]
162,1,0,0,0,2,2,[],"",100,4,[0],"","",[],[],"",[],2451,[]
163,1,0,0,0,2,3,[],"",100,3,[0],"","",[],[],"",[],2452,[]
164,1,0,0,0,2,4,[],2,1000,"",[0],"","",[],[],1,[],2453,[]
165,1,0,0,0,2,5,[],10,1000,"",[0],"","",[],[],1,[],2454,[]
166,1,0,0,0,2,6,[],11,1000,"",[0],"","",[],[],1,[],2455,[]
167,1,0,0,0,2,7,[],16,1000,"",[0],"","",[],[],1,[],2456,[]
168,1,0,0,0,2,8,[],"",1000,"",[0],"","",[],[],"",[],2457,[]
169,1,0,0,0,1,22,[7],"",100,1,[],"","",[],[],"",[],2458,[]
170,1,0,0,0,1,23,[7],"",100,2,[],"","",[],[],"",[],2459,[]
171,1,0,0,0,1,24,[7],"",100,4,[],"","",[],[],"",[],2460,[]
172,1,0,0,0,1,25,[7],"",100,3,[],"","",[],[],"",[],2461,[]
173,1,0,0,0,1,26,[7],3,1000,"",[],"","",[],[],1,[],2462,[]
174,1,0,0,0,1,27,[7],5,1000,"",[],"","",[],[],1,[],2463,[]
175,1,0,0,0,1,28,[7],10,1000,"",[],"","",[],[],1,[],2464,[]
176,1,0,0,0,1,29,[7],11,1000,"",[],"","",[],[],1,[],2465,[]
177,1,0,0,0,1,30,[7],17,1000,"",[],"","",[],[],1,[],2466,[]
178,1,0,0,0,1,31,[7],"",100,"",[],"","",[],[],"",[],2467,[]
179,1,0,0,0,3,0,[],"",100,1,[],"","",[],[],"",[],2468,[]
180,1,0,0,0,3,1,[],"",100,2,[],"","",[],[],"",[],2469,[]
181,1,0,0,0,3,2,[],"",100,4,[],"","",[],[],"",[],2470,[]
182,1,0,0,0,3,3,[],"",100,3,[],"","",[],[],"",[],2471,[]
183,1,0,0,0,4,0,[],"",100,"",[0],"","",[],[],"",[],2472,[]
184,1,0,0,0,4,1,[],"",100,2,[],"","",[],[],"",[],2473,[]
185,1,0,0,0,4,2,[],"",100,4,[],"","",[],[],"",[],2474,[]
186,1,0,0,0,5,0,[],"",100,1,[],"","",[],[],"",[],2475,[]
187,1,0,0,0,5,1,[],"",100,2,[],"","",[],[],"",[],2476,[]
188,1,0,0,0,5,2,[],"",100,4,[],"","",[],[],"",[],2477,[]
189,1,0,0,0,5,3,[],"",100,3,[],"","",[],[],"",[],2478,[]
190,1,0,0,0,5,4,[1],"",300,"",[],"","",[],[],"",[],2479,[]
191,1,0,0,0,5,5,[3],"",300,"",[],"","",[],[],"",[],2480,[]
192,1,0,0,0,5,6,[5],"",300,"",[],"","",[],[],"",[],2481,[]
193,1,0,0,0,5,7,[6],"",300,"",[],"","",[],[],"",[],2482,[]
194,1,0,0,0,5,8,"[2,4]","",300,"",[],"","",[],[],"",[],2483,[]
195,1,0,0,0,5,9,[],"",100,"","[1,2]","","",[],[],"",[],2484,[]
196,1,0,0,0,5,10,[],"",100,"",[0],"","",[],[],"",[],2485,[]
197,1,0,0,0,8,0,[8],"",1000,"",[],"","",[],"[3,7,4,10,9,8,18,19,20,21,22,13,14,15]","",[],2492,[]
198,1,0,0,0,8,1,[],"",300,"",[],"","",[],[3],"",[],2486,[]
199,1,0,0,0,8,2,[],"",300,"",[],"","",[],"[7,13,14,15]","",[],2487,[]
200,1,0,0,0,8,3,[],"",300,"",[],"","",[],[4],"",[],2488,[]
201,1,0,0,0,8,4,[],"",300,"",[],"","",[],[10],"",[],2489,[]
202,1,0,0,0,8,5,[],"",300,"",[],"","",[],"[9,8]","",[],2490,[]
203,1,0,0,0,8,6,[],"",300,"",[],"","",[],"[18,19,20,21,22]","",[],2491,[]
204,1,0,0,0,9,0,[],"",100,"",[],"","",[],"[3,13,14,15]","",[],2493,[]
205,1,0,0,0,9,1,[],"",100,"",[],"","",[],[7],"",[],2494,[]
206,1,0,0,0,9,2,[],"",100,"",[],"","",[],[4],"",[],2495,[]
207,1,0,0,0,9,3,[],"",100,"",[],"","",[],[10],"",[],2496,[]
208,1,0,0,0,9,4,[],"",100,"",[],"","",[],"[9,8]","",[],2497,[]
209,1,0,0,0,9,5,[],"",100,"",[],"","",[],"[18,19,20,21,22]","",[],2498,[]
210,1,0,0,0,6,0,[],"",300,"",[],"","",[],[5],"",[],2499,[]
211,1,0,0,0,6,1,[],"",300,"",[],"","",[],[11],"",[],2500,[]
212,1,0,0,0,6,2,[],"",300,"",[],"","",[],[6],"",[],2501,[]
213,1,0,0,0,6,3,[],"",300,"",[],"","",[],[12],"",[],2502,[]
214,1,0,0,0,6,4,[],2,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2503,[]
215,1,0,0,0,6,5,[],3,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2504,[]
216,1,0,0,0,6,6,[],10,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2505,[]
217,1,0,0,0,6,7,[],11,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2506,[]
218,1,0,0,0,6,8,[],16,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2507,[]
219,1,0,0,0,6,9,[],"",100,"",[],"","",[],"[5,11,6,12,16,17]","",[],2508,[]
220,1,0,0,0,10,0,[],"",100,"",[],"","",[],[2],"",[],2509,[]
221,1,0,0,0,10,1,[],"",100,"",[],"","",[7],[2],"",[],2510,[]
222,1,0,0,0,10,2,[],"",100,"",[2],"","",[],[2],"",[],2511,[]
223,1,0,0,0,10,3,[1],"",300,"",[],"","",[],[2],"",[],2512,[]
224,1,0,0,0,7,0,[],"",100,"",[],"","",[],[],"",[],2513,[]
225,1,0,0,0,7,1,[],2,1000,"",[],"","",[],[],1,[],2514,[]
226,1,0,0,0,7,2,[],3,1000,"",[],"","",[],[],1,[],2515,[]
227,1,0,0,0,7,3,[],9,1000,"",[],"","",[],[],1,[],2516,[]
228,1,0,0,0,7,4,[],11,1000,"",[],"","",[],[],1,[],2517,[]
229,1,0,0,0,7,5,[],13,1000,"",[],"","",[],[],1,[],2518,[]
230,1,0,0,0,7,6,[],"",100,"",[],"","",[],[],"",[],2519,[]
231,1,0,0,0,11,0,[],"",100,"",[],"","",[],[],"",[],2520,[]
232,1,0,0,0,11,1,[1],"",300,"",[],"","",[],[],"",[],2521,[]
233,1,0,0,0,11,2,[3],"",300,"",[],"","",[],[],"",[],2522,[]
234,1,0,0,0,12,0,[],"",100,"",[1],"","",[],[],"",[],2523,[]
235,1,0,0,0,12,1,[],"",100,"",[2],"","",[],[],"",[],2524,[]
236,1,0,0,0,12,2,[],"",100,"",[0],"","",[],[],"",[],2525,[]
237,1,0,0,0,14,0,[],"",100,"",[],"","",[],[],"",[],2526,[]
238,1,0,0,0,0,15,[9],"",100,1,[],"",1,[],[],"",[],2527,[]
239,1,0,0,0,0,16,[6],"",100,"",[],"",1,[],[],"",[],2528,[]
240,1,0,0,0,4,3,[],"",100,"",[],"",1,[],[],"",[],2529,[]
241,1,0,0,0,5,11,[],"",100,"",[],"",1,[],[],"",[],2530,[]
242,1,0,0,0,11,3,[],"",100,"",[],"",1,[],[],"",[],2531,[]
243,10,0,0,0,0,0,[],"",10,"",[],"","",[],[],1,[9],2538,[]
244,10,0,0,0,0,1,[],"",100,1,[],"","",[],[],"",[],2539,[]
245,10,0,0,0,0,2,[],"",100,2,[],"","",[],[],"",[],2540,[]
246,10,0,0,0,0,3,[],"",100,4,[],"","",[],[],"",[],2541,[]
247,10,0,0,0,0,4,[],"",100,3,[],"","",[],[],"",[],2542,[]
248,10,0,0,0,0,5,[1],"",300,"",[],"","",[],[],"",[],2543,[]
249,10,0,0,0,0,6,[3],"",300,"",[],"","",[],[],"",[],2544,[]
250,10,0,0,0,0,7,[3],"",300,"",[],"","",[],[],"",[],2545,[]
251,10,0,0,0,0,8,[3],"",300,"",[],"","",[],[],"",[],2546,[]
252,10,0,0,0,0,9,[5],"",300,"",[],"","",[],[],"",[],2547,[]
253,10,0,0,0,0,10,[6],"",300,"",[],"","",[],[],"",[],2548,[]
254,10,0,0,0,0,11,[6],"",300,"",[],"","",[],[],"",[],2549,[]
255,10,0,0,0,0,12,[2],"",300,"",[],"","",[],[],"",[],2550,[]
256,10,0,0,0,0,13,[],"",100,"",[],25,"",[],[],"",[],2551,[]
257,10,0,0,0,0,14,[],"",100,"",[],22,"",[],[],"",[],2552,[]
258,10,0,0,0,0,15,[],"",100,"",[],23,"",[],[],"",[],2553,[]
259,10,0,0,0,0,16,[],"",100,"",[],21,"",[],[],"",[],2554,[]
260,10,0,0,0,0,17,[],"",100,"",[],7,"",[],[],"",[],2555,[]
261,10,0,0,0,13,0,[],"",10,"",[],"","",[],[],1,[],2556,[]
262,10,0,0,0,1,0,[],"",100,1,"[1,2]","","",[],[],"",[],2557,[]
263,10,0,0,0,1,1,[],"",100,2,"[1,2]","","",[],[],"",[],2558,[]
264,10,0,0,0,1,2,[],"",100,4,"[1,2]","","",[],[],"",[],2559,[]
265,10,0,0,0,1,3,[],"",100,3,"[1,2]","","",[],[],"",[],2560,[]
266,10,0,0,0,1,4,[],"",100,"","[1,2]","","",[],[],"",[],2561,[]
267,10,0,0,0,1,5,[],"",100,"","[1,2]","","",[],[],"",[],2562,[]
268,10,0,0,0,1,6,[],4,1000,"","[1,2]","","",[],[],1,[],2563,[]
269,10,0,0,0,1,7,[],9,1000,"","[1,2]","","",[],[],1,[],2564,[]
270,10,0,0,0,1,8,[],6,1000,"","[1,2]","","",[],[],1,[],2565,[]
271,10,0,0,0,1,9,[],14,1000,"","[1,2]","","",[],[],1,[],2566,[]
272,10,0,0,0,1,10,[],15,1000,"","[1,2]","","",[],[],1,[],2567,[]
273,10,0,0,0,1,11,[],"",100,"","[1,2]","","",[],[],"",[],2568,[]
274,10,0,0,0,1,12,[],"",100,1,[0],"","",[],[],"",[],2569,[]
275,10,0,0,0,1,13,[],"",100,2,[0],"","",[],[],"",[],2570,[]
276,10,0,0,0,1,14,[],"",100,4,[0],"","",[],[],"",[],2571,[]
277,10,0,0,0,1,15,[],"",100,3,[0],"","",[],[],"",[],2572,[]
278,10,0,0,0,1,16,[],1,1000,"",[0],"","",[],[],1,[],2573,[]
279,10,0,0,0,1,17,[],7,1000,"",[0],"","",[],[],1,[],2574,[]
280,10,0,0,0,1,18,[],4,1000,"",[0],"","",[],[],1,[],2575,[]
281,10,0,0,0,1,19,[],12,1000,"",[0],"","",[],[],1,[],2576,[]
282,10,0,0,0,1,20,[],14,1000,"",[0],"","",[],[],1,[],2577,[]
283,10,0,0,0,1,21,[],"",100,"",[0],"","",[],[],"",[],2578,[]
284,10,0,0,0,2,0,[],"",100,1,[0],"","",[],[],"",[],2579,[]
285,10,0,0,0,2,1,[],"",100,2,[0],"","",[],[],"",[],2580,[]
286,10,0,0,0,2,2,[],"",100,4,[0],"","",[],[],"",[],2581,[]
287,10,0,0,0,2,3,[],"",100,3,[0],"","",[],[],"",[],2582,[]
288,10,0,0,0,2,4,[],1,1000,"",[0],"","",[],[],1,[],2583,[]
289,10,0,0,0,2,5,[],2,1000,"",[0],"","",[],[],1,[],2584,[]
290,10,0,0,0,2,6,[],3,1000,"",[0],"","",[],[],1,[],2585,[]
291,10,0,0,0,2,7,[],15,1000,"",[0],"","",[],[],1,[],2586,[]
292,10,0,0,0,2,8,[],16,1000,"",[0],"","",[],[],1,[],2587,[]
293,10,0,0,0,2,9,[],"",100,"",[0],"","",[],[],"",[],2588,[]
294,10,0,0,0,1,22,[7],"",100,1,[],"","",[],[],"",[],2589,[]
295,10,0,0,0,1,23,[7],"",100,2,[],"","",[],[],"",[],2590,[]
296,10,0,0,0,1,24,[7],"",100,4,[],"","",[],[],"",[],2591,[]
297,10,0,0,0,1,25,[7],"",100,3,[],"","",[],[],"",[],2592,[]
298,10,0,0,0,1,26,[7],"",100,"",[],"","",[],[],"",[],2593,[]
299,10,0,0,0,1,27,[7],2,1000,"",[],"","",[],[],1,[],2594,[]
300,10,0,0,0,1,28,[7],8,1000,"",[],"","",[],[],1,[],2595,[]
301,10,0,0,0,1,29,[7],11,1000,"",[],"","",[],[],1,[],2596,[]
302,10,0,0,0,1,30,[7],14,1000,"",[],"","",[],[],1,[],2597,[]
303,10,0,0,0,1,31,[7],16,1000,"",[],"","",[],[],1,[],2598,[]
304,10,0,0,0,3,0,[],"",100,1,[],"","",[],[],"",[],2599,[]
305,10,0,0,0,3,1,[],"",100,2,[],"","",[],[],"",[],2600,[]
306,10,0,0,0,3,2,[],"",100,4,[],"","",[],[],"",[],2601,[]
307,10,0,0,0,3,3,[],"",100,3,[],"","",[],[],"",[],2602,[]
308,10,0,0,0,4,0,[],"",100,"",[0],"","",[],[],"",[],2603,[]
309,10,0,0,0,4,1,[],"",100,2,[],"","",[],[],"",[],2604,[]
310,10,0,0,0,4,2,[],"",100,4,[],"","",[],[],"",[],2605,[]
311,10,0,0,0,5,0,[],"",100,1,[],"","",[],[],"",[],2606,[]
312,10,0,0,0,5,1,[],"",100,2,[],"","",[],[],"",[],2607,[]
313,10,0,0,0,5,2,[],"",100,4,[],"","",[],[],"",[],2608,[]
314,10,0,0,0,5,3,[],"",100,3,[],"","",[],[],"",[],2609,[]
315,10,0,0,0,5,4,[1],"",300,"",[],"","",[],[],"",[],2610,[]
316,10,0,0,0,5,5,[3],"",300,"",[],"","",[],[],"",[],2611,[]
317,10,0,0,0,5,6,[5],"",300,"",[],"","",[],[],"",[],2612,[]
318,10,0,0,0,5,7,[6],"",300,"",[],"","",[],[],"",[],2613,[]
