"rownum","Id","MonsterVarietiesKey","Buff_BuffDefinitionsKey","Buff_StatValues","OTFile"
32,"ToggleStatuesMerciless_Cold2","",542,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot"
33,"ToggleStatuesMerciless_Lightning2","",544,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot"
34,"ToggleStatuesEndgame_Fire","",539,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot"
35,"ToggleStatuesEndgame_Cold","",541,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot"
36,"ToggleStatuesEndgame_Lightning","",543,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot"
37,"ToggleStatuesEndgame_Fire2","",540,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot"
38,"ToggleStatuesEndgame_Cold2","",542,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot"
39,"ToggleStatuesEndgame_Lightning2","",544,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot"
40,"PowerPylonsCruel_Vulnerability",4331,"",[],""
41,"PowerPylonsCruel_TempChains",4329,"",[],""
42,"PowerPylonsCruel_EleWeakness",4333,"",[],""
43,"PowerPylonsCruel_Vulnerability2","",649,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot"
44,"PowerPylonsCruel_TempChains2","",649,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot"
45,"PowerPylonsCruel_EleWeakness2","",649,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot"
46,"PowerPylonsMerciless_Vulnerability",4330,"",[],""
47,"PowerPylonsMerciless_TempChains",4328,"",[],""
48,"PowerPylonsMerciless_EleWeakness",4332,"",[],""
49,"PowerPylonsMerciless_Vulnerability2","",649,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot"
50,"PowerPylonsMerciless_TempChains2","",649,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot"
51,"PowerPylonsMerciless_EleWeakness2","",649,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot"
52,"PowerPylonsEndgame_Vulnerability",4330,"",[],""
53,"PowerPylonsEndgame_TempChains",4328,"",[],""
54,"PowerPylonsEndgame_EleWeakness",4332,"",[],""
55,"PowerPylonsEndgame_Vulnerability2","",649,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot"
56,"PowerPylonsEndgame_TempChains2","",649,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot"
57,"PowerPylonsEndgame_EleWeakness2","",649,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot"
58,"ElementalNormal_Fire",933,613,[20],""
59,"ElementalNormal_Cold",934,615,[20],""
60,"ElementalNormal_Lightning",935,617,[20],""
61,"ElementalNormal_Fire2",936,614,"[20,500,667]",""
62,"ElementalNormal_Cold2",937,616,"[20,500,667]",""
63,"ElementalNormal_Lightning2",938,618,"[20,500,667]",""
64,"ElementalCruel_Fire",933,613,[30],""
65,"ElementalCruel_Cold",934,615,[30],""
66,"ElementalCruel_Lightning",935,617,[30],""
67,"ElementalCruel_Fire2",936,614,"[30,500,667]",""
68,"ElementalCruel_Cold2",937,616,"[30,500,667]",""
69,"ElementalCruel_Lightning2",938,618,"[30,500,667]",""
70,"ElementalMerciless_Fire",933,613,[40],""
71,"ElementalMerciless_Cold",934,615,[40],""
72,"ElementalMerciless_Lightning",935,617,[40],""
73,"ElementalMerciless_Fire2",936,614,"[40,500,667]",""
74,"ElementalMerciless_Cold2",937,616,"[40,500,667]",""
75,"ElementalMerciless_Lightning2",938,618,"[40,500,667]",""
76,"ElementalEndgame_Fire",933,613,[60],""
77,"ElementalEndgame_Cold",934,615,[60],""
78,"ElementalEndgame_Lightning",935,617,[60],""
79,"ElementalEndgame_Fire2",936,614,"[60,500,667]",""
80,"ElementalEndgame_Cold2",937,616,"[60,500,667]",""
81,"ElementalEndgame_Lightning2",938,618,"[60,500,667]",""
82,"PortalSummon1_Fire",4342,"",[],""
83,"PortalSummon1_Cold",4343,"",[],""
84,"PortalSummon1_Lightning",4344,"",[],""
85,"PortalSummon2_Fire",4345,649,"[500,667]",""
86,"PortalSummon2_Cold",4346,649,"[500,667]",""
87,"PortalSummon2_Lightning",4347,649,"[500,667]",""
88,"GargoylesNormal_Fire",4336,632,[-20],""
89,"GargoylesNormal_Cold",4335,630,"[20,20]",""
90,"GargoylesNormal_Lightning",4334,628,[12],""
91,"GargoylesNormal_Fire2",4339,633,"[-20,500,667]",""
92,"GargoylesNormal_Cold2",4338,631,"[20,20,500,667]",""
93,"GargoylesNormal_Lightning2",4337,629,"[12,500,667]",""
94,"GargoylesCruel_Fire",4336,632,[-20],""
95,"GargoylesCruel_Cold",4335,630,"[20,20]",""
96,"GargoylesCruel_Lightning",4334,628,[20],""
97,"GargoylesCruel_Fire2",4339,633,"[-20,500,667]",""
98,"GargoylesCruel_Cold2",4338,631,"[20,20,500,667]",""
99,"GargoylesCruel_Lightning2",4337,629,"[20,500,667]",""
100,"GargoylesMerciless_Fire",4336,632,[-20],""
101,"GargoylesMerciless_Cold",4335,630,"[20,20]",""
102,"GargoylesMerciless_Lightning",4334,628,[20],""
103,"GargoylesMerciless_Fire2",4339,633,"[-20,500,667]",""
104,"GargoylesMerciless_Cold2",4338,631,"[20,20,500,667]",""
105,"GargoylesMerciless_LIghtning2",4337,629,"[20,500,667]",""
106,"GargoylesEndgame_Fire",4336,632,[-25],""
107,"GargoylesEndgame_Cold",4335,630,"[30,30]",""
108,"GargoylesEndgame_Lightning",4334,628,[20],""
109,"GargoylesEndgame_Fire2",4339,633,"[-25,500,667]",""
110,"GargoylesEndgame_Cold2",4338,631,"[30,30,500,667]",""
111,"GargoylesEndgame_Lightning2",4337,629,"[20,500,667]",""
112,"ChronoStatues1_1",4348,"",[],""
113,"ChronoStatues1_2",4349,"",[],""
114,"ChronoStatues1_3",4350,"",[],""
115,"ChronoStatues2_1",4351,649,"[500,667]",""
116,"ChronoStatues2_2",4352,649,"[500,667]",""
117,"ChronoStatues2_3",4353,649,"[500,667]",""
118,"Pedestals1_1",4354,638,[10],""
119,"Pedestals1_2",4355,636,[25],""
120,"Pedestals1_3",4356,634,[10],""
121,"Pedestals2_1","",639,"[20,500,400,800,466,600,1134]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot"
122,"Pedestals2_2","",637,"[50,500,400,800,466,600,1134]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot"
123,"Pedestals2_3","",635,"[20,500,400,800,466,600,1134]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot"
