"rownum","Id","rid","[i32]","[string]","string","string"
49,"ShrineFire",252,[],[],"orb_finish",""
50,"ShrineLightning",254,[],[],"orb_finish",""
51,"ShrineArc",256,[],[],"orb_finish",""
52,"ShrineCold",253,[],[],"orb_finish",""
53,"ShrineSmoke",306,[],[],"orb_finish",""
54,"ShrineMassive",315,[],[],"orb_finish",""
55,"ShrineShield",250,[],[],"orb_finish",""
56,"ShrineResistance",303,[],[],"orb_finish",""
57,"ShrineGodMode",317,[],[],"orb_finish",""
58,"ShrineEchoing",316,[],[],"orb_finish",""
59,"ShrineCurse",304,[],[],"orb_finish",""
60,"ShrineSkeletons",255,[],[],"orb_finish",""
61,"ShrineResonating",2995,[],[],"orb_finish",""
62,"Blind",117,[],[],"orb_finish",""
63,"BlindOrbSand",3039,[],[],"orb_finish",""
64,"CorruptedBloodNonPlayer",3495,[],[],"orb_finish",""
65,"CorruptedBloodPlayer",3496,[],[],"orb_finish",""
66,"Stun",415,[],[],"orb_finish",""
67,"Debilitate",4366,[],[],"",""
68,"DebilitateCelestial",4431,[],[],"",""
69,"Maleditction",4367,[],[],"",""
70,"TormentTouched",475,[],[],"orb_finish",""
71,"PietysRage",574,[],[],"orb_finish",""
72,"Bonespire",788,[],[],"orb_finish",""
73,"AtlasAdjudicatorCharges",3734,[],[],"orb_finish",""
74,"SeaWitchScreechOrb",327,[],[],"orb_finish",""
75,"RighteousFireOrb",100,[],[],"orb_finish",""
76,"ViperStrikeOrb",26,[],[],"orb_finish",""
77,"Deathmark",3458,[],[],"",""
78,"WintertideBrandOrb",4194,[],[],"orb_finish",""
79,"HackyInvisibleSymbol",2236,[],[],"",""
80,"CurseEnfeebleNew",4588,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
81,"CursePunishmentNew",4589,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
82,"CurseFlammabilityNew",4590,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
83,"CurseFrostbiteNew",4591,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
84,"CurseConductivityNew",4592,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
85,"CurseElementalWeaknessNew",4593,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
86,"CurseVulnerabilityNew",4594,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
87,"CurseDespairNew",4595,"[10,30]","[""stage2"",""stage3""]","fadeout","hexproof"
88,"SteelOrb",4706,[],[],"end_01",""
89,"HeistConversionOrb",4760,[],[],"",""
90,"SteelOrbTemple",4797,[],[],"end_01",""
91,"FanatacismCharge",4985,[],[],"orb_finish",""
92,"BloodScytheCharge",5263,[],[],"orb_finish",""
93,"UltimatumFrostInfection",5291,[],[],"end_float_01",""
94,"UltimatumPhysBuff",5338,[],[],"orb_finish",""
95,"UltimatumEleBuff",5339,[],[],"orb_finish",""
