"rownum","string","i32","i32","i32","rid","rid","rid","rid","rid","rid","rid","rid","bool","string","[i32]"
12,"⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,12,"","","","","",127,"","",1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
13,"⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,13,"","","",128,"","","","",1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
14,"愀⼀䔀昀昀攀挀琀猀⼀匀瀀攀氀氀猀⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,0,"",30,29,32,31,35,33,34,1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
15,"愀⼀䔀昀昀攀挀琀猀⼀匀瀀攀氀氀猀⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,1,"",142,141,144,143,147,145,146,1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
16,"tadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk",0,0,0,"",24,"",25,"",28,26,27,1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
17,"tadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk",0,0,1,"",0,"",1,"",4,2,3,1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
18,"愀搀愀琀愀⼀䔀昀昀攀挀琀猀⼀匀瀀攀氀氀猀⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,0,"",24,"",25,"",28,26,27,1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
19,"愀搀愀琀愀⼀䔀昀昀攀挀琀猀⼀匀瀀攀氀氀猀⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,1,"",0,"",1,"",4,2,3,1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
20,"erups/fire_surge.epk",0,0,0,"",36,36,37,38,41,39,40,1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
21,"昀攀挀琀猀⼀匀瀀攀氀氀猀⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,0,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
22,"昀攀挀琀猀⼀匀瀀攀氀氀猀⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,1,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
23,"昀攀挀琀猀⼀匀瀀攀氀氀猀⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,2,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
24,"昀攀挀琀猀⼀匀瀀攀氀氀猀⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,3,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
25,"昀攀挀琀猀⼀匀瀀攀氀氀猀⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,4,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
26,"椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,0,"",49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
27,"it_fx/elemental_powerups/fire_surge.epk",0,0,0,"",77,76,71,70,75,72,73,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
28,"fx/elemental_powerups/fire_surge.epk",0,0,0,"",103,103,104,104,105,105,105,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
29,"etadata/Effects/Microtransactions/Spells/molten_strike/celestial/Celestial_surge.epk",0,0,0,"",63,62,65,64,69,66,67,"","Metadata/Effects/Spells/fortify/surge/fortify_surge.epk","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
30,"adata/Effects/Microtransactions/Spells/molten_strike/celestial/Celestial_surge.epk",0,0,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
31,"挀琀猀⼀䴀椀挀爀漀琀爀愀渀猀愀挀琀椀漀渀猀⼀匀瀀攀氀氀猀⼀洀漀氀琀攀渀开猀琀爀椀欀攀⼀挀攀氀攀猀琀椀愀氀⼀䌀攀氀攀猀琀椀愀氀开猀甀爀最攀⸀攀瀀欀",0,0,0,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
32,"⼀猀甀爀最攀⼀昀漀爀琀椀昀礀开猀甀爀最攀⸀攀瀀欀",0,0,0,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
33,"⼀猀甀爀最攀⼀昀漀爀琀椀昀礀开猀甀爀最攀⸀攀瀀欀",0,0,1,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
34,"pells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk",0,0,0,362,49,48,51,50,52,53,54,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
35,"pells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk",0,0,1,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
36,"pells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk",0,0,2,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
37,"pells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk",0,0,3,1869,10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
38,"pells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk",0,0,4,"",10,11,12,13,16,14,15,1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
39,"pells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk",0,0,5,4259,10,11,12,13,16,14,15,1,"Metadata/Effects/Microtransactions/Spells/molten_strike/celestial/Celestial_surge.epk","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
40,"pells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk",0,0,6,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
41,"etadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_surge_automaton.epk",0,0,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/smite_weapon_surge.epk","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
42,"etadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_surge_automaton.epk",0,0,1,"",6,5,8,7,9,9,9,1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
43,"/surge/fortify_surge.epk",0,0,0,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
44,"rups/fire_surge.epk",0,0,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/holy_phys_weapon_surge.epk","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
45,"rups/fire_surge.epk",0,0,1,"",129,129,130,130,133,131,132,"","Metadata/Effects/Microtransactions/Spells/dominating_blow/celestial/holy_celestial_weapon_surge.epk","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
46,"rge.epk",0,0,0,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
47,"栀⼀眀攀愀瀀漀渀猀甀爀最攀⼀椀挀攀开猀甀爀最攀开愀甀琀漀洀愀琀漀渀⸀攀瀀欀",0,0,0,"",46,47,46,47,46,46,47,1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
48,"攀猀⸀攀瀀欀",0,0,0,"",85,84,79,78,83,80,81,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_surge_frostblades.epk","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
49,"攀猀⸀攀瀀欀",0,0,1,"",122,121,116,115,120,117,118,"","Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_surge_automaton.epk","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
50,"开戀氀漀眀⼀挀攀氀攀猀琀椀愀氀⼀栀漀氀礀开挀攀氀攀猀琀椀愀氀开眀攀愀瀀漀渀开猀甀爀最攀⸀攀瀀欀",0,0,0,"",56,55,58,57,59,60,61,"","Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
51,"攀琀愀搀愀琀愀⼀䔀昀昀攀挀琀猀⼀䴀椀挀爀漀琀爀愀渀猀愀挀琀椀漀渀猀⼀匀瀀攀氀氀猀⼀愀甀琀漀洀愀琀漀渀开椀挀攀挀爀愀猀栀⼀眀攀愀瀀漀渀猀甀爀最攀⼀椀挀攀开猀甀爀最攀开愀甀琀漀洀愀琀漀渀⸀攀瀀欀",0,0,0,"",87,86,89,88,92,91,90,"","Metadata/Effects/Spells/smite/weaponfx/holy_fire_weapon_surge.epk","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
52,"攀琀愀搀愀琀愀⼀䔀昀昀攀挀琀猀⼀䴀椀挀爀漀琀爀愀渀猀愀挀琀椀漀渀猀⼀匀瀀攀氀氀猀⼀愀甀琀漀洀愀琀漀渀开椀挀攀挀爀愀猀栀⼀眀攀愀瀀漀渀猀甀爀最攀⼀椀挀攀开猀甀爀最攀开愀甀琀漀洀愀琀漀渀⸀攀瀀欀",0,0,2,"",139,138,137,136,140,134,135,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
53,"ponsurge/ice_surge_automaton.epk",0,0,0,"","","","","","","","",1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
54,"猀甀爀最攀⼀椀挀攀开猀甀爀最攀开愀甀琀漀洀愀琀漀渀⸀攀瀀欀",0,0,0,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
55,"猀甀爀最攀⼀椀挀攀开猀甀爀最攀开愀甀琀漀洀愀琀漀渀⸀攀瀀欀",0,0,1,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
56,"猀甀爀最攀⼀椀挀攀开猀甀爀最攀开愀甀琀漀洀愀琀漀渀⸀攀瀀欀",0,0,2,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
57,"猀甀爀最攀⼀椀挀攀开猀甀爀最攀开愀甀琀漀洀愀琀漀渀⸀攀瀀欀",0,0,3,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
58,"猀甀爀最攀⼀椀挀攀开猀甀爀最攀开愀甀琀漀洀愀琀漀渀⸀攀瀀欀",0,0,4,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
59,"愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,0,"",94,93,96,95,"","","","","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
60,"surge/ice_surge_automaton.epk",0,0,0,"",10,11,12,13,16,14,15,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
61,"琀愀⼀䔀昀昀攀挀琀猀⼀匀瀀攀氀氀猀⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,0,"",97,"",98,"","","","",1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
62,"琀愀⼀䔀昀昀攀挀琀猀⼀匀瀀攀氀氀猀⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,5,"",97,"",109,"","","","",1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
63,"etadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk",0,0,0,"","","","","","","","",1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
64,"etadata/Effects/Spells/weapon_hit_fx/elemental_powerups/fire_surge.epk",0,0,25,"",99,99,100,100,101,102,102,1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
65,"e/ice_surge_automaton.epk",0,0,0,"",106,106,107,107,107,107,107,"","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
66,"⼀椀挀攀开猀甀爀最攀开愀甀琀漀洀愀琀漀渀⸀攀瀀欀",0,0,0,"","","","","","","","","","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
67,"愀⼀䔀昀昀攀挀琀猀⼀䴀椀挀爀漀琀爀愀渀猀愀挀琀椀漀渀猀⼀匀瀀攀氀氀猀⼀洀漀氀琀攀渀开猀琀爀椀欀攀⼀挀攀氀攀猀琀椀愀氀⼀䌀攀氀攀猀琀椀愀氀开猀甀爀最攀⸀攀瀀欀",0,0,0,"","","","","","","","","","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
68,"琀愀搀愀琀愀⼀䔀昀昀攀挀琀猀⼀匀瀀攀氀氀猀⼀眀攀愀瀀漀渀开栀椀琀开昀砀⼀攀氀攀洀攀渀琀愀氀开瀀漀眀攀爀甀瀀猀⼀昀椀爀攀开猀甀爀最攀⸀攀瀀欀",0,0,0,"","","","","","","","","","","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
69,"漀眀⼀挀攀氀攀猀琀椀愀氀⼀栀漀氀礀开挀攀氀攀猀琀椀愀氀开眀攀愀瀀漀渀开猀甀爀最攀⸀攀瀀欀",0,0,1,"","","","","",127,"","",1,"","[0,6619213,6357108,6357092,6357108,4522031,6684774,6488165]"
