"rownum","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","i32","i32","i32","bool","i32","i32","i32","bool","string","i32","bool","bool","i32"
29,30,2,50,120,0,0,4170,270,62,0,0,180,0,0,55,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
30,31,2,50,120,0,0,4170,270,62,0,0,270,0,0,55,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
31,32,1,25,50,0,0,4172,0,0,0,0,0,0,80,0,0,"","",0,0,0,"",0,0,3,"","",4,1,"",0
32,33,6,25,75,-30,0,4164,0,0,12,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,"",0
33,34,2,90,60,10,0,4192,0,-20,-20,0,0,0,0,0,0,"","",0,0,0,"",0,0,1,1,"",2,1,"",0
34,35,1,60,100,0,0,5296,0,-15,0,0,0,543,0,20,0,1,"",0,0,0,"",0,0,1,"","",2,1,"",0
35,36,8,50,100,20,90,4171,45,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",3,1,"",0
36,37,1,50,100,0,0,"",0,0,0,0,0,0,0,0,0,1,"",0,0,0,"",0,0,1,"","Metadata/Monsters/LeagueDelve/CityBosses/Objects/DelveProtoVaalCityBossBomber",2,1,"",0
37,39,3,35,70,0,30,6404,30,0,0,0,-60,0,0,0,0,"","",0,0,0,"",0,0,1,"","",4,1,"",0
38,40,1,60,100,0,0,6396,0,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,1,"","",4,1,"",0
39,41,1,36,52,-15,15,6779,0,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,1,0
40,42,1,36,52,15,-15,6780,0,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,1,0
41,43,1,30,20,20,-90,6781,0,-30,0,0,0,500,0,0,0,"","",0,0,0,"",0,0,3,"","",2,"","",0
42,44,1,30,20,-20,90,6782,0,-45,0,0,0,500,0,0,0,"","",0,0,0,"",0,0,3,"","",2,"","",0
43,45,1,30,20,20,-90,6783,0,-60,0,0,0,500,0,0,0,"","",0,0,0,"",0,0,3,"","",2,"","",0
44,46,1,30,20,-20,90,6784,0,-75,0,0,0,500,0,0,0,"","",0,0,0,"",0,0,3,"","",2,"","",0
45,47,1,100,30,0,0,6787,0,-20,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,"",0
46,48,4,30,100,0,0,7110,25,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,1,"","",2,1,"",0
47,49,8,100,60,0,-45,6911,45,0,0,0,0,0,0,0,0,"",1,0,0,0,"",0,0,1,"","",2,1,"",0
48,50,5,50,100,0,0,7178,35,0,0,0,-90,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,"",0
49,51,5,50,100,0,0,4193,35,0,0,0,-90,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,"",0
50,52,5,50,100,0,0,4196,35,0,0,0,-90,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,"",0
51,53,1,20,50,0,90,7321,0,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,1,"",3,1,"",0
52,54,1,20,50,0,-90,7322,0,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,1,"",3,1,"",0
53,55,1,30,100,0,0,4196,0,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,"",0
54,56,5,40,25,0,0,4194,72,-20,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,1,"","",4,1,"",0
55,57,6,40,25,0,0,4195,60,-20,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,1,"","",4,1,"",0
56,58,5,69,75,0,0,7563,72,-25,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,1,"","",2,1,"",0
57,59,1,42,50,0,0,7563,0,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,"",0
58,60,1,50,50,0,-90,4197,0,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,1,"","",3,1,"",0
59,61,1,50,50,0,90,4197,0,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,1,"","",3,1,"",0
60,62,1,15,120,0,0,7619,0,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,2,"","",3,1,1,0
61,63,1,20,200,0,0,4173,0,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,1,"","",3,1,"",0
62,64,1,40,70,0,0,4174,0,0,0,0,0,0,0,10,0,"","",0,0,0,"",0,0,1,"","",3,1,"",0
63,65,4,15,60,0,-90,7687,0,-30,0,-20,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,1,0
64,66,4,15,60,0,90,7688,0,-40,0,-20,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,1,0
65,67,1,30,150,0,0,7697,0,35,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,1,0
66,68,1,20,70,0,0,7620,0,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,2,"","",3,1,"",0
67,69,2,20,70,0,0,7620,180,0,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,2,"","",3,1,"",0
68,70,1,200,20,30,-90,7637,0,-10,0,0,0,1500,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,1,0
69,71,1,200,20,-30,90,7638,0,-10,0,0,0,1500,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,1,0
70,72,1,200,17,27,-90,7637,0,-20,0,0,0,1500,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,1,1
71,73,1,200,17,-27,90,7638,0,-20,0,0,0,1500,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,1,1
72,74,1,200,20,30,-90,7637,0,-30,0,0,0,1500,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,1,2
73,75,1,200,20,-30,90,7638,0,-30,0,0,0,1500,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,1,2
74,76,1,200,22,32,-90,7637,0,-40,0,0,0,1500,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,1,3
75,77,1,200,22,-32,90,7638,0,-40,0,0,0,1500,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,1,3
76,78,1,200,20,30,-90,7637,0,-50,0,0,0,1500,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,1,4
77,79,1,200,20,-30,90,7638,0,-50,0,0,0,1500,0,0,0,"","",0,0,0,"",0,0,3,"","",2,1,1,4
78,80,1,40,100,30,180,7883,0,-50,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,2,"","",4,1,"",0
79,81,1,40,100,20,180,7884,0,-50,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,2,"","",4,1,"",0
80,82,1,40,100,10,180,7885,0,-50,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,2,"","",4,1,"",0
81,83,1,40,100,-10,0,7886,0,50,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,2,"","",4,1,"",0
82,84,1,40,100,-20,0,7887,0,50,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,2,"","",4,1,"",0
83,85,1,40,100,-30,0,7888,0,50,0,0,0,0,0,0,0,"","",0,0,0,"",0,0,2,"","",4,1,"",0
