"rownum","ChestsKey","Weight","[rid]","HeistChestTypesKey"
212,1428,125,"[0,7,8]",2
213,1429,125,"[1,6]",2
214,1430,125,"[2,4]",2
215,1431,125,"[3,5]",2
216,1432,125,"[0,7,8]",2
217,1433,125,"[1,6]",2
218,1434,125,"[2,4]",2
219,1435,125,"[3,5]",2
220,1436,125,"[0,7,8]",2
221,1437,125,"[1,6]",2
222,1438,125,"[2,4]",2
223,1439,125,"[3,5]",2
224,1440,125,"[0,7,8]",2
225,1441,125,"[1,6]",2
226,1442,125,"[2,4]",2
227,1443,125,"[3,5]",2
228,1444,125,"[0,7,8]",2
229,1445,125,"[1,6]",2
230,1446,125,"[2,4]",2
231,1447,125,"[3,5]",2
232,1448,125,"[0,7,8]",2
233,1449,125,"[1,6]",2
234,1450,125,"[2,4]",2
235,1451,125,"[3,5]",2
236,1452,125,"[0,7,8]",2
237,1453,125,"[1,6]",2
238,1454,125,"[2,4]",2
239,1455,125,"[3,5]",2
240,1456,125,"[0,7,8]",2
241,1457,125,"[1,6]",2
242,1458,125,"[2,4]",2
243,1459,125,"[3,5]",2
244,1460,125,"[0,7,8]",2
245,1461,125,"[1,6]",2
246,1462,125,"[2,4]",2
247,1463,125,"[3,5]",2
248,1464,125,"[0,7,8]",2
249,1465,125,"[1,6]",2
250,1466,125,"[2,4]",2
251,1467,125,"[3,5]",2
252,1468,125,"[0,7,8]",2
253,1469,125,"[1,6]",2
254,1470,125,"[2,4]",2
255,1471,125,"[3,5]",2
256,1674,0,"[0,1,2,3,4,5,6,7,8]",3
