"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","i32","SoundEffectsKey","NormalPurchase_BaseItemTypesKeys","NormalPurchase_Costs","MagicPurchase_BaseItemTypesKeys","MagicPurchase_Costs","TagsKeys","ModDomainsKey","IsDropDisabled","ItemVisualIdentityKey","i32","[rid]","[i32]","[i32]","[i32]","[i32]","row","rid","bool","[rid]","rid","[rid]","i32","i32","bool","rid","rid","rid"
12,"Metadata/Items/Currency/CurrencyConvertToNormal",30,1,1,"Orb of Scouring","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[7],[4],[],[],[],27,"",13,2131686967,[148],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
13,"Metadata/Items/Currency/CurrencyAddModToRare",30,1,1,"Exalted Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[14],[5],[],[],[],27,"",15,-1068542423,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
14,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",30,1,1,"Regal Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[2],[16],[],[],[],27,"",16,-658682019,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
15,"Metadata/Items/Currency/CurrencyAddModToMagic",30,1,1,"Orb of Augmentation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[10],[4],[],[],[],27,"",17,-172267806,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
16,"Metadata/Items/Currency/CurrencyPortal",30,1,1,"Portal Scroll","Metadata/Items/Currency/StackableCurrency",2,"",[],1,27,[1],[3],[],[],[],27,"",18,1328218349,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
17,"Metadata/Items/Currency/CurrencyFlaskQuality",30,1,1,"Glassblower's Bauble","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[0],[8],[],[],[348],27,"",19,-579550017,[7246],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
18,"Metadata/Items/Currency/CurrencyGemQuality",30,1,1,"Gemcutter's Prism","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[17],[20],[],[],[348],27,"",20,128553707,[7734],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
19,"Metadata/Items/Currency/CurrencyRerollSocketColours",30,1,1,"Chromatic Orb","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[21],[3],[],[],[],27,"",29,471734571,[7732],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
20,"Metadata/Items/Currency/CurrencyRerollSocketLinks",30,1,1,"Orb of Fusing","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[21],[4],[],[],[],27,"",30,-954468979,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
21,"Metadata/Items/Currency/CurrencyRerollSocketNumbers",30,1,1,"Jeweller's Orb","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[11],[2],[],[],[],27,"",31,-577668719,[7733],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
22,"Metadata/Items/Currency/CurrencyModValues",30,1,1,"Divine Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[13],[4],[],[],[],27,"",32,-2147189507,[7252],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
23,"Metadata/Items/Currency/CurrencyRerollImplicit",30,1,1,"Blessed Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[14],[1],[],[],[],27,"",33,764311090,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
24,"Metadata/Items/Currency/CurrencyMapQuality",30,1,1,"Cartographer's Chisel","Metadata/Items/Currency/StackableCurrency",52,"",[],1,34,[],[],[],[],[348],27,"",5,-601787753,[7485],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
25,"Metadata/Items/Currency/CurrencyIdentificationShard",30,1,1,"Scroll Fragment","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],[],[],[],[231],27,1,25,1594034883,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
26,"Metadata/Items/Currency/CurrencyUpgradeToMagicShard",30,1,1,"Transmutation Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],[],[],[],[231],27,1,26,1280989466,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
27,"Metadata/Items/Currency/CurrencyRerollMagicShard",30,1,1,"Alteration Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],[],[],[],[231],27,1,27,216495198,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
28,"Metadata/Items/Currency/CurrencyUpgradeToRareShard",30,1,1,"Alchemy Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],[],[],[],[231],27,1,28,-1225932478,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
29,"Metadata/Items/Currency/CurrencyRhoaFeather",30,1,1,"Albino Rhoa Feather","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],[],[],[],[],27,1,34,2003183108,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
30,"Metadata/Items/Currency/CurrencyImprintOrb",30,1,1,"Eternal Orb","Metadata/Items/Currency/StackableCurrency",40,"",[],1,34,[],[],[],[],[],27,1,35,1639118317,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
31,"Metadata/Items/Currency/CurrencyImprint",30,1,1,"Imprint","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],27,1,36,-1778209926,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
32,"Metadata/Items/Currency/CurrencyCorrupt",30,1,1,"Vaal Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],[],[],[],[],27,"",37,118945160,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
33,"Metadata/Items/Currency/CurrencyLabyrinthEnchant",30,1,1,"Enchant","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],27,1,39,1105850261,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
34,"Metadata/Items/Currency/CurrencyIncursionCorrupt1",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],27,1,40,-373756366,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
35,"Metadata/Items/Currency/CurrencyIncursionCorrupt2",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],27,1,41,770737543,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
36,"Metadata/Items/Currency/CurrencyIncursionCorruptGem",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],27,1,42,-350425493,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
37,"Metadata/Items/Currency/CurrencyPerandusCoin",30,1,1,"Perandus Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],[],[],[],[],27,"",43,869188640,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
38,"Metadata/Items/Currency/CurrencySilverCoin",30,1,1,"Silver Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],[],[],[],[],27,"",44,-1627937231,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
39,"Metadata/Items/Currency/CurrencyItemisedProphecy",30,1,1,"Prophecy","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],27,"",45,1684876054,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
40,"Metadata/Items/Currency/CurrencyItemiseCapturedMonster",30,1,1,"Bestiary Orb","Metadata/Items/Currency/StackableCurrency",15,"",[],1,34,[2],[1],[],[],[],27,"",46,-642231840,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
41,"Metadata/Items/Currency/CurrencyItemisedCapturedMonster",30,1,1,"Imprinted Bestiary Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],27,"",47,1322399661,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
42,"Metadata/Items/Currency/CurrencyRerollSkillQualityType",30,1,1,"Prime Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],27,"",48,952467265,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
43,"Metadata/Items/Currency/CurrencyRerollSupportQualityType",30,1,1,"Secondary Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],27,"",49,-758415450,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
44,"Metadata/Items/Currency/CurrencyHeistWeaponEnchant",30,1,1,"Tempering Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],27,"",50,1432765449,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
45,"Metadata/Items/Currency/CurrencyHeistArmourEnchant",30,1,1,"Tailoring Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[],27,"",51,1575994632,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
46,"Metadata/Items/Currency/CurrencyAfflictionOrbCurrency",30,1,1,"Fine Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",52,-1948343582,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
47,"Metadata/Items/Currency/CurrencyAfflictionOrbUniques",30,1,1,"Singular Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",53,-1964846163,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
48,"Metadata/Items/Currency/CurrencyAfflictionOrbGems",30,1,1,"Thaumaturge's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",54,-1933705530,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
49,"Metadata/Items/Currency/CurrencyAfflictionOrbWeapons",30,1,1,"Blacksmith's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",55,-109051957,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
50,"Metadata/Items/Currency/CurrencyAfflictionOrbArmour",30,1,1,"Armoursmith's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",56,-1263630474,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
51,"Metadata/Items/Currency/CurrencyAfflictionOrbMaps",30,1,1,"Cartographer's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",57,1368969315,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
52,"Metadata/Items/Currency/CurrencyAfflictionOrbTrinkets",30,1,1,"Jeweller's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",58,-913101815,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
53,"Metadata/Items/Currency/CurrencyAfflictionOrbAbyss",30,1,1,"Abyssal Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",59,-1371001890,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
54,"Metadata/Items/Currency/CurrencyAfflictionOrbPerandus",30,1,1,"Decadent Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",60,358205216,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
55,"Metadata/Items/Currency/CurrencyAfflictionOrbHarbinger",30,1,1,"Foreboding Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",61,2026013751,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
56,"Metadata/Items/Currency/CurrencyAfflictionOrbBreach",30,1,1,"Obscured Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",62,1664903587,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
57,"Metadata/Items/Currency/CurrencyAfflictionOrbEssences",30,1,1,"Whispering Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",63,-306946215,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
58,"Metadata/Items/Currency/CurrencyAfflictionOrbFragments",30,1,1,"Fragmented Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",64,-768400989,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
59,"Metadata/Items/Currency/CurrencyAfflictionOrbScarabs",30,1,1,"Skittering Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",65,243322328,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
60,"Metadata/Items/Currency/CurrencyAfflictionOrbFossils",30,1,1,"Fossilised Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",66,2076808891,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
61,"Metadata/Items/Currency/CurrencyAfflictionOrbProphecies",30,1,1,"Portentous Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",67,1150272452,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
62,"Metadata/Items/Currency/CurrencyAfflictionOrbDivinationCards",30,1,1,"Diviner's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",68,1404182465,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
63,"Metadata/Items/Currency/CurrencyAfflictionOrbGeneric",30,1,1,"Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,1,69,-117882756,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
64,"Metadata/Items/Currency/CurrencyAfflictionOrbTalismans",30,1,1,"Primal Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",70,-1736338822,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
65,"Metadata/Items/Currency/CurrencyAfflictionOrbLabyrinth",30,1,1,"Imperial Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",71,-404905148,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
66,"Metadata/Items/Currency/CurrencyAfflictionOrbIncubators",30,1,1,"Timeless Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",72,1738859609,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
67,"Metadata/Items/Currency/CurrencyAfflictionOrbBlight",30,1,1,"Blighted Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",73,-1728487329,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
68,"Metadata/Items/Currency/CurrencyAfflictionOrbMetamorphosis",30,1,1,"Amorphous Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[673],27,"",74,2005344760,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
69,"Metadata/Items/Currency/CurrencyEssenceHatred1",30,1,1,"Whispering Essence of Hatred","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[302],27,"",9183,-1010710615,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
70,"Metadata/Items/Currency/CurrencyEssenceHatred2",30,1,1,"Muttering Essence of Hatred","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[],[],[],[],[302],27,"",9184,1794042691,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
71,"Metadata/Items/Currency/CurrencyEssenceHatred3",30,1,1,"Weeping Essence of Hatred","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[],[],[],[],[302],27,"",9185,-1926556014,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
72,"Metadata/Items/Currency/CurrencyEssenceHatred4",30,1,1,"Wailing Essence of Hatred","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[],[],[],[],[302],27,"",9186,1130285480,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
73,"Metadata/Items/Currency/CurrencyEssenceHatred5",30,1,1,"Screaming Essence of Hatred","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[],[],[],[],[302],27,"",9187,2062300730,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
74,"Metadata/Items/Currency/CurrencyEssenceHatred6",30,1,1,"Shrieking Essence of Hatred","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[],[],[],[],[302],27,"",9188,-2071586625,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
75,"Metadata/Items/Currency/CurrencyEssenceHatred7",30,1,1,"Deafening Essence of Hatred","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[],[],[],[],[302],27,"",9189,1769493148,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
76,"Metadata/Items/Currency/CurrencyEssenceWoe1",30,1,1,"Whispering Essence of Woe","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[302],27,"",9190,-777397213,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
77,"Metadata/Items/Currency/CurrencyEssenceWoe2",30,1,1,"Muttering Essence of Woe","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[],[],[],[],[302],27,"",9191,1672586153,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
78,"Metadata/Items/Currency/CurrencyEssenceWoe3",30,1,1,"Weeping Essence of Woe","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[],[],[],[],[302],27,"",9192,1828846209,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
79,"Metadata/Items/Currency/CurrencyEssenceWoe4",30,1,1,"Wailing Essence of Woe","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[],[],[],[],[302],27,"",9193,-1245983058,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
80,"Metadata/Items/Currency/CurrencyEssenceWoe5",30,1,1,"Screaming Essence of Woe","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[],[],[],[],[302],27,"",9194,-182539987,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
81,"Metadata/Items/Currency/CurrencyEssenceWoe6",30,1,1,"Shrieking Essence of Woe","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[],[],[],[],[302],27,"",9195,910335598,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
82,"Metadata/Items/Currency/CurrencyEssenceWoe7",30,1,1,"Deafening Essence of Woe","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[],[],[],[],[302],27,"",9196,1591416724,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
83,"Metadata/Items/Currency/CurrencyEssenceGreed1",30,1,1,"Whispering Essence of Greed","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[302],27,"",9197,1724552963,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
84,"Metadata/Items/Currency/CurrencyEssenceGreed2",30,1,1,"Muttering Essence of Greed","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[],[],[],[],[302],27,"",9198,-1337235593,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
85,"Metadata/Items/Currency/CurrencyEssenceGreed3",30,1,1,"Weeping Essence of Greed","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[],[],[],[],[302],27,"",9199,1334812465,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
86,"Metadata/Items/Currency/CurrencyEssenceGreed4",30,1,1,"Wailing Essence of Greed","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[],[],[],[],[302],27,"",9200,-669856137,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
87,"Metadata/Items/Currency/CurrencyEssenceGreed5",30,1,1,"Screaming Essence of Greed","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[],[],[],[],[302],27,"",9201,181619222,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
88,"Metadata/Items/Currency/CurrencyEssenceGreed6",30,1,1,"Shrieking Essence of Greed","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[],[],[],[],[302],27,"",9202,2059925248,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
89,"Metadata/Items/Currency/CurrencyEssenceGreed7",30,1,1,"Deafening Essence of Greed","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[],[],[],[],[302],27,"",9203,-1356244188,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
90,"Metadata/Items/Currency/CurrencyEssenceContempt1",30,1,1,"Whispering Essence of Contempt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],[],[],[],[302],27,"",9204,1018082169,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
91,"Metadata/Items/Currency/CurrencyEssenceContempt2",30,1,1,"Muttering Essence of Contempt","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[],[],[],[],[302],27,"",9205,829889309,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
92,"Metadata/Items/Currency/CurrencyEssenceContempt3",30,1,1,"Weeping Essence of Contempt","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[],[],[],[],[302],27,"",9206,2051179612,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
93,"Metadata/Items/Currency/CurrencyEssenceContempt4",30,1,1,"Wailing Essence of Contempt","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[],[],[],[],[302],27,"",9207,-743698363,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
94,"Metadata/Items/Currency/CurrencyEssenceContempt5",30,1,1,"Screaming Essence of Contempt","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[],[],[],[],[302],27,"",9208,-205989316,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
95,"Metadata/Items/Currency/CurrencyEssenceContempt6",30,1,1,"Shrieking Essence of Contempt","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[],[],[],[],[302],27,"",9209,-1738015661,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
96,"Metadata/Items/Currency/CurrencyEssenceContempt7",30,1,1,"Deafening Essence of Contempt","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[],[],[],[],[302],27,"",9210,1330507188,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
97,"Metadata/Items/Currency/CurrencyEssenceSorrow1",30,1,1,"Muttering Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[],[],[],[],[302],27,"",9211,535092733,[],[],[],[],[],264,"","",[],"",[],-16843010,-16843010,"","","",""
