"rownum","Id","DisplayedName","Description","string","Icon_DDSFile","ActiveSkillTargetTypes","ActiveSkillTypes","WeaponRestriction_ItemClassesKeys","WebsiteDescription","WebsiteImage","bool","string","bool","SkillTotemId","IsManuallyCasted","Input_StatKeys","Output_StatKeys","MinionActiveSkillTypes","bool","bool","[rid]","i32","rid","bool","AIFile","i32","i32","i32","i32","bool","bool"
10,"enduring_cry","Enduring Cry","Performs a warcry, taunting all nearby enemies to attack the user and granting endurance charges. Gives a brief burst of life regeneration, as well as a buff which grants resistances and physical damage reduction based on your endurance charges.","EnduringCry","Art/2DArt/SkillIcons/WarCryEnduring.dds",[4],"[5,8,9,63,90]",[],"In battle, it's often someone's job to stand in the front line, and take most of the punishment. Few relish this task, but those who do know the secret of the Enduring Cry. This battle shout taunts all nearby enemies, compelling them to attack the offender, while simultaneously boosting his ability to absorb punishment in direct proportion to the number of nearby foes.","http://s3.amazonaws.com/pathofexile/image/skills/strength/enduring_cry.jpg","","EnduringCry","",20,1,"[9700,5535,4522,4385]","[9699,4548,4548,3351]",[],1,1,[12355],8,"","","",0,0,14588,0,"",""
11,"enduring_cry_repeatable","","","EnduringCry","",[4],"[5,8,9,22,63]",[],"","",1,"","",20,1,[],[],[],1,1,[],8,"","","",0,0,14662,0,"",""
12,"inspiring_cry","Rallying Cry","Performs a warcry, granting increased damage and mana regeneration to the user and nearby allies if there are nearby enemies. The damage increase is proportional to the number of surrounding enemies. Taunts all nearby enemies to attack the user. Shares a cooldown with other Warcry skills.","InspiringCry","Art/2DArt/SkillIcons/InspiringCry.dds",[4],"[5,8,9,63,90]",[],"","",1,"RallyingCry","",20,1,"[9700,5535,4524,4366]","[9699,4548,4548,215]",[],1,1,[],8,"","","",0,0,15586,0,"",""
13,"abyssal_cry","Abyssal Cry","Performs a warcry, Hindering nearby enemies and causing them to explode when killed. The Hinder effect is proportional to the number of surrounding enemies. Taunts all nearby enemies to attack the user. Shares a cooldown with other Warcry skills.","AbyssalCry","Art/2DArt/SkillIcons/AbyssalCry.dds",[4],"[8,9,42,7,63,90]",[],"","",1,"AbyssalCry","",20,1,"[9700,4083,4367]","[9699,24,215]",[],1,1,[],8,"","","",9,0,16356,0,"",""
14,"leap_slam","Leap Slam","Jump into the air, damaging and knocking back enemies with your weapon where you land. Enemies you would land on are pushed out of the way. Requires an Axe, Mace, Sceptre, Sword or Staff. Cannot be supported by Multistrike.","LeapSlam","Art/2DArt/SkillIcons/iconleapslam.dds","[1,2]","[1,8,20,34,79,92]","[9,10,11,12,32,14,15,16,17,57]","Long ago, the marauders of Oriath perfected a devastating battle technique - the ferocious Leap Slam. With a guttural cry, the leaper hurtles forward and smashes the ground at the feet of the enemy. The force from this blow deals substantial damage in a circle around the targeted spot, and will even knock back and stun. The Leap Slam is useful not only as an offensive technique, but also because it can serve, in a pinch, to escape from danger. The Marauders of Oriath were famous for attacking their foes from above, leaping down from high ledges to crush their enemies' skulls.","http://s3.amazonaws.com/pathofexile/image/skills/strength/leap_slam.jpg","","LeapSlam","",20,1,"[4227,4024,4200]","[70,24,434]",[],1,1,[],8,6,"","",13,0,18694,0,"",""
15,"leap_slam_behind","Leap Slam","","LeapSlam","Art/2DArt/SkillIcons/iconleapslam.dds",[9],"[1,8,20,34,79,92]","[9,10,11,12,32,14,15,16,17,57]","","",1,"","",20,1,[],[],[],1,1,[],8,0,"","",13,0,19126,0,"",""
16,"double_strike","Double Strike","Performs two fast strikes with a melee weapon.","DoubleStrike","Art/2DArt/SkillIcons/icondoubleswing.dds","[1,2]","[1,21,24,20,28]","[6,7,9,10,11,12,32,14,15,16,17,57,56]","Originally perfected by the renowned Duelist Fammal during his reign in the arenas of Oriath, the deadly Double Strike brings fame and renown to those who master it. A Double Strike performs two regular melee attacks in the blink of an eye, dealing twice as much damage in a single span of time. Foes caught unawares will find themselves cut to ribbons or stunned into submission beneath a flurry of blows.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/double_strike.jpg","","DoubleStrike","",20,1,"[4000,4222,4258,7986]","[24,70,554,7987]",[],1,1,[],8,"","","",13,0,20938,0,"",""
17,"vaal_double_strike_two","Vaal Double Strike","Performs two fast strikes with a melee weapon, each of which summons a double of you for a duration to continuously attack monsters in this fashion.","VaalDoubleStrikeTwo","Art/2DArt/SkillIcons/icondoubleswing.dds","[1,2]","[1,21,20,9,38,28]","[6,7,9,10,11,12,32,14,15,16,17,57,56]","","",1,"VaalDoubleStrikeTwo","",20,1,"[4000,4222,4258,7986]","[24,70,554,7987]",[],1,1,[],8,"","","",13,0,21944,0,"",""
18,"vaal_double_strike","Vaal Double Strike","Performs two fast strikes with a melee weapon, and summons your double for a duration to continuously attack monsters in this fashion.","VaalDoubleStrike","Art/2DArt/SkillIcons/icondoubleswing.dds","[1,2]","[1,21,20,9,38,28]","[6,7,9,10,11,12,32,14,15,16,17,57,56]","","",1,"","",20,1,"[4000,4222,4258,7986]","[24,70,554,7987]",[],1,1,[],8,"","","",13,0,22868,0,"",""
19,"elemental_hit","Elemental Hit","Each attack with this skill will choose an element at random, and will only be able to deal damage of that element. If the attack hits an enemy, it will also deal damage in an area around them, with the radius being larger if that enemy is suffering from an ailment of the chosen element. It will avoid choosing the same element twice in a row.","ElementalHit","Art/2DArt/SkillIcons/iconelementalhit.dds","[1,2]","[1,3,57,15,14,16,21,24,20,29,30,31,41,58,8,32]",[],"Cold steel tends to solve most problems, but sometimes it's not quite enough. With Elemental Hit, a player infuses their weapon with the heat of a furnace, the electricity of a Summer tempest, or the icy chill of the Winter night. The specific element is randomly chosen, but the result is the same: tons of extra damage dealt, often killing the target with a single blow.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/elemental_hit.jpg","","ElementalHit","",20,1,"[4295,4230,4045,8415,8416,8417]","[1879,70,24,8426,8427,8428]",[],1,1,[],8,3,"","",13,0,25110,0,"",""
20,"immortal_call","Immortal Call","Discharges Endurance Charges, making the character invulnerable to physical damage for a short time, proportional to how many endurance charges were expended.","ImmortalCall","Art/2DArt/SkillIcons/immortalcall.dds",[4],"[2,5,9,15,32,28,64,90]",[],"Even with the added toughness granted from Endurance Charges, a combatant sometimes finds themselves facing impossible odds. This rare event makes flight a good option and sometimes it even merits the power of the Immortal Call. The legendary war cry channels all current Endurance into an invisible shield that shelters the player from all physical harm for a brief duration. Consuming more charges will extend the duration of the Immortal shield, giving plenty of time for escape or victory.","http://s3.amazonaws.com/pathofexile/image/skills/strength/immortal_call.jpg","","ImmortalCall","",20,1,[4348],[215],[],1,1,[],8,"","","",0,0,27016,0,"",""
21,"mortal_call","Immortal Call","Take less Physical and Elemental Damage for a short time. Consumes up to 5 Endurance Charges to lengthen the buff and further lessen Physical Damage taken. Shares a cooldown with other Guard skills.","ImmortalCall","Art/2DArt/SkillIcons/immortalcall.dds",[4],"[2,5,9,15,32,64,78,90]",[],"","",1,"MortalCall","",20,1,"[4348,9428,9914]","[215,9429,361]",[],1,1,[],8,"","","",0,0,27598,0,"",""
22,"vaal_immortal_call","Vaal Immortal Call","Discharges Endurance Charges, making the character unable to die or gain Vaal souls for a short time, proportional to how many endurance charges were expended.","ImmortalCall","Art/2DArt/SkillIcons/immortalcall.dds",[4],"[2,5,9,15,38,86,90]",[],"","",1,"","",20,1,"[4348,9914]","[215,360]",[],1,1,[],8,"","","",0,0,28096,0,"",""
23,"dual_strike","Dual Strike","Attacks with both weapons, dealing the damage of both in one strike. Dual wield only. Does not work with wands.","DualStrike","Art/2DArt/SkillIcons/icondualswing.dds","[1,2]","[1,4,21,24,20,44]","[6,7,9,10,11,12,32,16,56]","Double Strike was not the only attack Fammal mastered during his years in the arenas. He also perfected the technique of the Dual Strike, and used it to decimate countless opponents. Those who follow in his footsteps seek to duplicate the art, and at high levels of skill, a few manage. Dual Strike lashes out at a single target with tremendous force, slicing or smashing it with both weapons simultaneously. When executed by a master swordsman, just one Dual Strike is often enough to end the battle.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/dual_strike.jpg","","DualStrike","",20,1,"[4001,4223,4259,5413,12006,12009,12012,12015,12018]","[24,70,554,5442,12007,12010,12013,12016,12019]",[],1,1,[],8,"","","",13,0,30100,0,"",""
24,"blade_flurry","Whirling Blades","Dive through enemies, dealing weapon damage. Only works with daggers, claws and one handed swords. Cannot be supported by Multistrike.","BladeFlurry","Art/2DArt/SkillIcons/iconbladeflurry.dds","[1,2,9,23]","[1,20,34,79]","[7,9,10,6,56]","","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/blade_flurry.jpg","","WhirlingBlades","",20,1,"[4408,4070]","[70,24]",[],1,1,[],8,0,"","",13,0,31114,0,"",""
25,"frenzy","Frenzy","Performs an attack that gives the character a frenzy charge if it hits. Frenzy charges increase your attack speed.","Frenzy","Art/2DArt/SkillIcons/iconfrenzy.dds","[1,2]","[1,41,58,3,57,15,14,16,21,24,20,32]",[],"The bread and butter of any effective combat skill set, Frenzy is used by many and feared by all. With Frenzy active, every successful attack dealt accelerates the next attack, transforming the player into an offensive dervish. Once the Frenzy is at full intensity, it can be maintained indefinitely as long as the player strikes a new target in time. Several skills consume Frenzy charges when they are activated, enabling new ways to decimate foes.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/frenzy.jpg","","Frenzy","",20,1,"[4043,4293]","[24,1659]",[],1,1,[],8,3,"","",13,0,32826,0,"",""
26,"caustic_arrow","Caustic Arrow","Fires an arrow which deals chaos damage in an area on impact, and spreads caustic ground. Enemies standing on the caustic ground take chaos damage over time.","CausticArrow","Art/2DArt/SkillIcons/poisonarrow.dds","[1,2]","[1,41,58,3,57,8,9,14,16,15,35,42,32]",[13],"Borrowing a bit of toxic chemistry from the secretive Oriath Necromancers guild, a skilled archer infuses their arrowhead with a wicked venom. Once enchanted, the arrow will explode violently when it impacts a target, showering both foes and the surrounding area with a cloud of choking death. Anything living caught in the cloud will suffocate quickly, suffering heavy chaos damage until they move far away.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/poison_arrow.jpg","","PoisonArrow","",20,1,"[4058,4257,4216,8398,8397,8464,8466,8468]","[24,215,434,8362,8396,6124,1982,8469]",[],1,1,[],8,7,"","",13,0,34848,0,"",""
27,"backstab","Backstab","A dagger skill that deals a critical strike and additional damage to an enemy if the attack is made from behind the enemy. Has high mana cost and cooldown","Backstab","Art/2DArt/SkillIcons/backstab.dds","[1,2]","[1,21,24,20]","[7,56]","","",1,"","",20,1,[],[],[],1,1,[],8,"","","",13,0,35534,0,"",""
28,"detonate_dead_old_monster","","","DetonateDead","Art/2DArt/SkillIcons/iconcorpseexplosion.dds","[6,20]","[2,7,8,14,15,16,22,32,29,72]",[],"To a skilled practitioner of the occult, the corpses of slain foes are a tool to bend to their dark purpose. While most seek to animate the very souls of fallen enemies, a crafty handful have discovered an even more potent use. Infusing the enzymes and acids of the target's body with magical energy, the caster creates a volatile mixture that detonates violently when a final word is spoken. The explosion blasts outwards in every direction, showering nearby enemies with flame and toxic liquid. At higher levels of skill, the detonation will damage and stun foes in a wide area.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/detonate_dead_new.jpg",1,"DetonateDead","",20,1,"[4057,4213]","[24,434]",[],1,1,[],8,"","","",9,0,37356,0,"",""
29,"detonate_dead","Detonate Dead","Targets a corpse, and deals spell damage to enemies around the corpse, as well as causing the corpse to explode, dealing fire damage. The explosion is not affected by modifiers to spell damage and cannot be reflected.","DetonateDeadNew","Art/2DArt/SkillIcons/iconcorpseexplosion.dds","[6,20]","[2,7,8,14,15,16,22,32,29,56,66,70,72]",[],"To a skilled practitioner of the occult, the corpses of slain foes are a tool to bend to their dark purpose. While most seek to animate the very souls of fallen enemies, a crafty handful have discovered an even more potent use. Infusing the enzymes and acids of the target's body with magical energy, the caster creates a volatile mixture that detonates violently when a final word is spoken. The explosion blasts outwards in every direction, showering nearby enemies with flame and toxic liquid. At higher levels of skill, the detonation will damage and stun foes in a wide area.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/detonate_dead_new.jpg","","DetonateDead","",20,1,"[4057,4213]","[24,434]",[],1,1,[],8,3,"","Metadata/Monsters/Totems/DetonateDeadTotem.ais",13,0,38252,0,"",""
30,"repeating_vaal_detonate_dead","Vaal Detonate Dead","Targets a corpse, and deals spell damage to enemies around the corpse, as well as causing the corpse to explode, dealing fire damage. The explosion is not affected by modifiers to spell damage and cannot be reflected. This will continue to target other corpses in the area, with an increasing delay between each one, until it runs out of corpses or has destroyed 22 corpses.","RepeatingVaalDetonateDead","Art/2DArt/SkillIcons/iconcorpseexplosion.dds",[1],"[2,7,8,14,15,16,38,29,72]",[],"","",1,"","",20,1,"[4057,4213]","[24,434]",[],1,1,[],8,"","","",13,0,39470,0,"",""
31,"vaal_detonate_dead","Vaal Detonate Dead","Explodes an unused corpse, dealing fire damage to nearby enemies. Nearby corpses will also explode in a chain reaction. The explosions are not affected by modifiers to spell damage.","DetonateDead","Art/2DArt/SkillIcons/iconcorpseexplosion.dds","[6,20]","[2,7,8,14,15,16,38,29,72]",[],"","",1,"","",20,1,"[4057,4213]","[24,434]",[],1,1,[],8,"","","",9,0,40192,0,"",""
32,"snipe","Snipe","Fires an arrow at a target which deals high damage and always hits. The attack is slow and interruptable. It discharges frenzy charges by increasing the attack speed.","Snipe","Art/2DArt/SkillIcons/iconsnipe.dds","[1,2]","[1,41,58,3,57,15,14,16]",[13],"","",1,"","",20,1,[],[],[],1,1,[],8,"","","",13,0,40828,0,"",""
33,"flicker_strike","Flicker Strike","Teleports the character to a nearby monster and attacks with a melee weapon. If no specific monster is targeted, one is picked at random. Grants a buff that increases movement speed for a duration. The cooldown can be bypassed by expending a Frenzy Charge.","FlickerStrike","Art/2DArt/SkillIcons/iconblinkstrike.dds","[1,2]","[1,20,21,24,34,9,90]","[6,7,9,10,11,12,32,14,15,16,17,57,56]","They should have known the rule: never corner a Duelist. He was surrounded by four hulking brutes, each one uglier than the one before. They had come for the fine mail tunic he wore, but he had given them nothing but insults and injury. As the Duelist fought, his speed grew more frenetic, until he was a blur of whirling steel. After a time though, superior numbers took their toll, and the attackers began to find openings. With blood oozing from a dozen wounds, the Duelist gathered himself for one final assault. He waited until just the right moment, right as his foes rushed in for the kill.__BREAK__ __BREAK__ There was a flash, and in the blink of an eye, he suddenly appeared behind the first assailant, plunging his sword to the hilt in the exposed neck. Then he was beheading the second in one quick swipe. Then the third fell with a shriek, his bowels spilling onto the cobblestones. The fourth turned to run, and found himself facing the Duelist, who met his momentum with a stab through the heart. Spent, panting on the ground, the victor wiped his blade clean, and recorded four more kills with Flicker Strike.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/flicker_strike.jpg","","FlickerStrike","",20,1,"[4239,4023,4283]","[3351,24,3499]",[],1,1,[],8,0,"","",13,0,44482,0,"",""
34,"throw_skill","Throw","Throws a projectile version of the character's current weapon.","","Art/2DArt/SkillIcons/iconthrow.dds","[1,2]","[1,41,3,57]","[7,56]","","",1,"","",20,1,[],[],[],1,1,[],8,"","","",13,0,44986,0,"",""
35,"blood_rage","Blood Rage","Adds a buff that deals Physical Damage over time, while increasing Attack Speed and Life Leech. Killing an enemy while this buff is active refreshes the buff duration, and can grant a Frenzy Charge.","BloodRage","Art/2DArt/SkillIcons/bloodrage.dds",[4],"[2,5,9,15,32,64,28,90]",[],"Centuries ago, ravaging bands of Marauders swept across Oriath, and nearly toppled the monarchy in the capital. Before they met the order's Templars on the battlefield, they chewed the sacred root, and entered the 'Blood Rage'. Under the influence of the Rage, the Marauders knew no fear or pain, and every blow they struck on their enemies rejuvenated their depleted life. The root also drove the Marauders half-crazy with blood lust, causing them to attack with blinding speed as long as there was flesh nearby to hack. The only consequence of the Blood Rage state was a gradual loss of the Marauder's blood, but the magical invigoration from attacking was usually enough to compensate.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/blood_rage.jpg","","BloodRage","",20,1,"[4489,4490]","[8481,1355]",[],1,1,[],8,"","","",0,0,47366,0,"",""
36,"split_arrow","Split Arrow","Fires multiple arrows at different targets.","SplitArrow","Art/2DArt/SkillIcons/iconsplitarrow.dds","[1,2]","[1,41,58,3,57,15,14,16,32,28]",[13],"The Ranger paused. She was surrounded. The enemy from the front was merely a diversion, the real threats now flanked her from the left and right. They closed silently in the shadows, believing themselves unseen. Seconds ticked slowly by as she waited, wanting them to be complacent, wanting them to believe her vulnerable. As they drew nearer, her bowstring hand slid gently back, the arrow cocked and waiting. Then, in a blur, her weapon came up, the missile rocketing forth, a streak of hissing death. There was a brief pause, and then if by magic, all three foes fell as one, apparently struck by copies of the same arrow. Lowering her bow, the Ranger smirked, and silently thanked her teacher for the hours spent mastering Split Arrow.","http://s3.amazonaws.com/pathofexile/image/skills/dexterity/split_arrow.jpg","","SplitArrow","",20,1,"[4260,4017,4268,6309,6311]","[554,24,173,8673,6230]",[],1,1,[],8,3,"","",13,0,49472,0,"",""
37,"cold_snap","Cold Snap","Ice crystals protrude from the ground at target location. Monsters in this area take damage and become frozen. The cooldown can be bypassed by expending a Power Charge.","ColdSnap","Art/2DArt/SkillIcons/iconcoldsnap.dds","[1,2,22]","[2,7,8,14,15,16,22,32,30,56,72]",[],"Damage isn't everything. Weavers of Magic often find themselves facing a difficult dilemma in combat: fight or flight. When the latter option is decided, nothing does a better job of ensuring safety than Cold Snap. With a snap of the fingers, the caster summons a clump of freezing ice crystals from the ground. These frosty shards stab upward at the targeted location, impaling and freezing anything they strike. Though the damage from Cold Snap is low, it is a powerful when employed against other players in combat.","http://s3.amazonaws.com/pathofexile/image/skills/intelligence/cold_snap_new.jpg","","ColdSnap",1,20,1,"[4240,4062,4217,3453]","[3351,24,434,3878]",[],1,1,[],8,"","","",12,0,51548,0,"",""
38,"vaal_cold_snap","Vaal Cold Snap","A sequence of ice crystals erupts from the ground around the caster, damaging enemies and leaving the ground chilled.","VaalColdSnap","Art/2DArt/SkillIcons/iconcoldsnap.dds",[4],"[2,7,8,14,15,16,9,38,30,68,72]",[],"","",1,"",1,20,1,"[4240,4062,4217]","[3351,24,434]",[],1,1,[],8,"","","",12,0,52214,0,"",""
39,"new_cold_snap","Cold Snap","Creates a sudden burst of cold in a targeted area, damaging enemies. This also creates an expanding area which is filled with chilled ground, and deals cold damage over time to enemies. Enemies that die while in the area have a chance to grant Frenzy Charges. The cooldown can be bypassed by expending a Frenzy Charge.","NewColdSnap","Art/2DArt/SkillIcons/iconcoldsnap.dds","[1,2,22]","[2,7,8,14,15,16,22,32,30,56,9,68,72,90]",[],"Damage isn't everything. Weavers of Magic often find themselves facing a difficult dilemma in combat: fight or flight. When the latter option is decided, nothing does a better job of ensuring safety than Cold Snap. With a snap of the fingers, the caster summons a clump of freezing ice crystals from the ground. These frosty shards stab upward at the targeted location, impaling and freezing anything they strike. Though the damage from Cold Snap is low, it is a powerful when employed against other players in combat.","http://s3.amazonaws.com/pathofexile/image/skills/intelligence/cold_snap_new.jpg",1,"NewColdSnap",1,20,1,"[4240,4062,4217,8031]","[3351,24,434,8032]",[],1,1,[],8,3,"","",12,0,53298,0,"",""
40,"new_vaal_cold_snap","Vaal Cold Snap","Creates a sudden burst of cold around you, damaging enemies. This also creates a chilling area around you which expands and deals cold damage over time to surrounding enemies in addition to chilling them. Enemies that die while in the area grant Frenzy Charges, and you will passively gain Frenzy Charges while there are enemies in the area.","NewColdSnap","Art/2DArt/SkillIcons/iconcoldsnap.dds",[4],"[2,7,8,14,15,16,9,38,30,68,72]",[],"","",1,"NewColdSnap",1,20,1,"[4240,4062,4217,8031]","[3351,24,434,8032]",[],1,1,[],8,3,"","",12,0,54392,0,"",""
41,"ice_nova","Ice Nova","A chilling circle of ice expands from the caster. If the caster targets near their Frostbolt projectiles, it will expand from a number of those projectiles instead. If this skill would repeat when cast this way, it will instead expand again from the same projectiles after a short delay.","IceNova","Art/2DArt/SkillIcons/iconfrostnova.dds","[1,22]","[2,7,8,14,15,16,22,32,30,70,72,84]",[],"Reaching deep within, the caster of the mighty Ice Nova assaults surrounding enemies with a shivering blast of pure rime. The shock wave from this nova is often enough to slay outright, and those who survive the blast will be frozen, their very blood chilled solid. With precise use, a master weaver of frost can annihilate his enemies without suffering a scratch.","http://s3.amazonaws.com/pathofexile/image/skills/intelligence/ice_nova_new.jpg","","IceNova","",20,1,"[4280,4035,4202,8750]","[455,24,434,8749]",[],1,1,[],8,3,"","",12,0,56376,0,"",""
42,"vaal_ice_nova","Vaal Ice Nova","A chilling circle of ice expands from the caster, repeating from every enemy it hits. If the caster targets near one of their Frostbolt projectiles, it will expand from the projectile instead.","IceNova","Art/2DArt/SkillIcons/iconfrostnova.dds","[1,22]","[2,7,8,14,15,16,38,30,72,84]",[],"","",1,"","",20,1,"[4280,4035,4202,8750]","[455,24,434,8749]",[],1,1,[],8,3,"","",12,0,57192,0,"",""
