"rownum","Id","Image"
85,"HeistHardcore","Art/2DArt/UIImages/Common/LeagueHeistHC"
86,"HeistStandardSSF","Art/2DArt/UIImages/Common/LeagueHeistSSF"
87,"HeistHardcoreSSF","Art/2DArt/UIImages/Common/LeagueHeistHCSSF"
88,"RitualStandard","Art/2DArt/UIImages/Common/LeagueRitual"
89,"RitualHardcore","Art/2DArt/UIImages/Common/LeagueRitualHC"
90,"RitualStandardSSF","Art/2DArt/UIImages/Common/LeagueRitualSSF"
91,"RitualHardcoreSSF","Art/2DArt/UIImages/Common/LeagueRitualHCSSF"
92,"UltimatumStandard","Art/2DArt/UIImages/Common/LeagueUltimatum"
93,"UltimatumHardcore","Art/2DArt/UIImages/Common/LeagueUltimatumHC"
94,"UltimatumStandardSSF","Art/2DArt/UIImages/Common/LeagueUltimatumSSF"
95,"UltimatumHardcoreSSF","Art/2DArt/UIImages/Common/LeagueUltimatumHCSSF"
