"rownum","Id","DaggerEPKFile","BowEPKFile","OneHandedMaceEPKFile","OneHandedSwordEPKFile","string","TwoHandedSwordEPKFile","TwoHandedStaffEPKFile","i32","TwoHandedMaceEPKFile","OneHandedAxeEPKFile","TwoHandedAxeEPKFile","ClawEPKFile","PETFile","string"
10,"Weapon_Yellow","","","","","","","",35881,"","","","","",""
11,"Weapon_Stone","","","","","","","",32699,"","","","","",""
12,"Weapon_Radiant","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/Dagger_Claw_Wand/sunpower_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/Bow/sunpower_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/1h Mace_1h Axe/sunpower_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/1h Sword/sunpower_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/2h Sword/sunpower_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/Staff/sunpower_epk.epk",18246,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/2h Mace/sunpower_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/1h Mace_1h Axe/sunpower_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/2h Mace/sunpower_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/Dagger_Claw_Wand/sunpower_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/sunpower_strike.pet","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/shield.epk"
13,"Weapon_Verdant","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/Dagger_Wand/dryad_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/Bow/dryad_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/1h Mace_1h Axe/dryad_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/1h Sword/dryad_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/2h Sword/dryad_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/Staff/dryad_epk.epk",58781,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/2h Mace/dryad_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/1h Mace_1h Axe/dryad_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/2h Mace/dryad_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/Claw/dryad_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/dryad_strike.pet","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/shield.epk"
14,"Weapon_Vampiric","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/1h Sword_Dagger_Wand/vampires_hunger_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/Bow/vampires_hunger_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/1h Mace_1h Axe/vampires_hunger_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/1h Sword_Dagger_Wand/vampires_hunger_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/2h Sword/vampires_hunger_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/Staff/vampires_hunger_epk.epk",18162,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/2h Mace/vampires_hunger_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/1h Mace_1h Axe/vampires_hunger_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/2h Mace/vampires_hunger_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/1h Sword_Dagger_Wand/vampires_hunger_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/vampire_strike.pet","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/shield.epk"
15,"Weapon_Heart","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/humanheart/humanheartdagger.epk","","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/humanheart/humanheart1hsword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/humanheart/humanheart2hsword.epk","",52769,"","","","","",""
16,"Weapon_Ivory","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/1h_wand_dagger.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/2h_staff.epk",27367,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/2h_staff.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/1h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/1h_wand_dagger.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/shield.epk"
17,"Weapon_Regal","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/1h_daggerwand/1h_wanddagger.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/1h_sword/1h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/2h_staff/2h_staff.epk",19609,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/2h_mace/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/1h_axe/1h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/2h_axe/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/1h_daggerwand/1h_wanddagger.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/shield.epk"
18,"Weapon_Divine","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/1h_daggerwand/1h_daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/1h_sword/1h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/2h_staff/2h_staff.epk",2975,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/2h_mace/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/1h_axe/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/2h_axe/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/1h_daggerwand/1h_daggerwand.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/shield.epk"
19,"Weapon_Exalted","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/1h_daggerwand/1h_daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/1h_sword/1h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/2h_staff/2h_staff.epk",22618,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/2h_mace/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/1h_axe/1h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/2h_axe/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/1h_daggerwand/1h_daggerwand.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/shield.epk"
20,"Weapon_Eternal","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/1h_daggerwand/1h_daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/1h_sword/1h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/2h_staff/2h_staff.epk",47390,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/2h_mace/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/1h_axe/1h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/2h_axe/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/1h_daggerwand/1h_daggerwand.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/shield.epk"
21,"Weapon_Arctic","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/dagger_wand/1h_wanddagger.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/bow/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/2h_staff/2h_staff.epk",33818,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/2h_mace/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/1h_axe/1h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/2h_axe/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/dagger_wand/1h_wanddagger.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/shield.epk"
22,"Weapon_Infernal","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/dagger_wand/dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/2h_staff/2h_staff.epk",3739,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/2h_mace/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/1h_axe/1h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/2h_axe/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/dagger_wand/dagger_wand.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/shield.epk"
23,"Weapon_Lightning","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/claw_dagger_wand/claw_dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/bow/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/2h_staff/2h_staff.epk",40760,"Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/2h_mace/2h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/1h_axe/1h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/2h_axe/2h_axe.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/claw_dagger_wand/claw_dagger_wand.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/shield.epk"
