"rownum","BaseItemTypesKey","GrantedEffectsKey","Str","Dex","Int","GemTagsKeys","VaalVariant_BaseItemTypesKey","IsVaalVariant","Description","Consumed_ModsKey","GrantedEffectsKey2","MinionGlobalSkillLevelStat","SupportSkillName","bool","bool","AwakenedVariant","RegularVariant"
26,4597,293,0,100,0,"[10,25,13,5,7,36,6]","","","","","","","",1,1,"",""
27,4600,299,0,60,40,"[10,25,4,14,0]",4801,"","","","","","",1,1,"",""
28,4801,7310,0,60,40,"[10,25,24,4,14,0]","",1,"","",299,"","",1,1,"",""
29,4601,6631,0,60,40,"[10,25,4,14,0]","","","","","","","",1,1,"",""
30,4602,6640,0,60,40,"[10,25,4,5,14,33]","","","","","","","",1,1,"",""
31,4603,317,0,100,0,"[10,25,13,5,6]","","","","","","","",1,1,"",""
32,4608,318,0,100,0,"[10,25,13,5,33,6]","","","","","","","",1,1,"",""
33,4609,466,100,0,0,"[0,33,9,16]","","","Supports any skill that hits enemies.",12183,"","","",1,1,434,""
34,4610,467,0,100,0,"[13,10,16]","","","Supports attack skills.",12278,"","","",1,1,"",""
35,4611,468,0,100,0,"[10,16,5]","","","Supports projectile skills.",12222,"","","",1,1,451,""
36,4612,470,0,100,0,"[10,16,5]","","","Supports projectile skills.",12210,"","","",1,1,"",""
37,4614,471,0,100,0,"[10,16,5]","","","Supports projectile skills.",12198,"","","",1,1,"",""
38,4615,472,0,100,0,"[1,10,16]","","","Supports any skill that hits enemies.",12187,"","","",1,1,444,""
39,4616,473,40,60,0,"[13,10,16]","","","Supports attack skills.",12189,"","","",1,1,"",""
40,4617,474,0,0,100,"[11,16,14]","","","Supports any skill with an area of effect.",12206,"","","",1,1,462,""
41,4618,475,0,0,100,"[2,11,16]","","","Supports any skill that hits enemies.",12286,"","","",1,1,456,""
42,4598,7254,0,40,60,"[11,25,4,14,1,15]",4804,"","","","","","",1,1,"",""
43,4804,7260,0,40,60,"[11,25,24,4,14,15,1]","",1,"","",7254,"","",1,1,"",""
44,4599,498,0,0,100,"[11,25,4,8]","","","","","",10298,"",1,1,"",""
45,4604,510,0,100,0,"[10,25,13,5,14,15,3,6]","","","","","","","",1,1,"",""
46,4619,520,0,0,100,"[11,25,4,14]","","","","","","","",1,1,"",""
47,4620,521,0,100,0,"[10,25,4,15,33]","","","","","","","",1,1,"",""
48,4622,525,0,0,100,"[11,25,4,15,0]","","","","","","","",1,1,"",""
49,4623,526,40,0,60,"[11,25,4,14,0]",4821,"","","","","","",1,1,"",""
50,4821,7321,40,0,60,"[11,25,24,4,14,0,15]","",1,"","",526,"","",1,1,"",""
51,4624,568,0,0,100,"[11,25,4,15,0]","","","","","","","",1,1,"",""
52,4625,569,0,0,100,"[11,25,4,14,0,1,2,38]","","","","","","","",1,1,"",""
53,4626,574,33,33,34,"[29,25,4]",4822,"","","","","","",1,1,"",""
54,4822,575,33,33,34,"[29,25,24,4]","",1,"","",574,"","",1,1,"",""
55,4627,576,60,0,40,"[9,16]","","","Supports any skill. Minions, Totems, Traps and Mines cannot gain Inspiration Charges.",12188,"","","",1,1,"",""
56,4628,581,0,0,100,"[11,16]","","","Supports any skill that hits enemies.",12223,"","","",1,1,"",""
57,4629,582,0,0,100,"[11,16]","","","Supports any skill that hits enemies.",12212,"","","",1,1,"",""
58,4630,583,100,0,0,"[9,16]","","","Supports any skill that hits enemies.",12207,"","","",1,1,"",""
59,4631,584,100,0,0,"[9,16]","","","Supports any skill that hits enemies, causing those hits to leech life based on damage dealt.",12195,"","","",1,1,"",""
60,4632,586,0,100,0,"[10,16]","","","Supports attack skills that hit enemies, causing those hits to leech mana based on damage dealt.",12186,"","","",1,1,"",""
61,4633,587,0,0,100,"[3,11,16]","","","Supports any skill that hits enemies.",12287,"","","",1,1,455,""
62,4635,588,0,60,40,"[10,25,13,7,36]","","","","","","","",1,1,"",""
63,4636,589,0,100,0,"[10,25,13,7,36,22,15]","","","","","","","",1,1,"",""
64,4637,731,0,0,100,"[11,25,4,5,15,2]",4792,"","","","","","",1,1,"",""
65,4792,2759,0,0,100,"[11,25,24,4,5,15,2]","",1,"","",731,"","",1,1,"",""
66,4707,4679,0,0,0,"[16,26]","","","","","","","",1,1,"",""
67,4638,748,100,0,0,"[9,16]","","","Supports any skill that hits enemies, making it easier to stun enemies with those skills.",12201,"","","",1,1,"",""
68,4639,749,0,0,100,"[11,25,4,5,1]","","","","","","","",1,1,"",""
69,4640,763,0,100,0,"[10,16,5]","","","Supports projectile skills.",12277,"","","",1,1,"",""
70,4641,764,0,60,40,"[10,16,20]","","","Supports spells, or attacks that use bows or wands. Instead of using that skill, you will throw a trap that will use the skill for you when an enemy walks near it. Traps cannot use channelling skills.",12216,"","","",1,1,"",""
71,4642,765,0,0,100,"[11,25,4,8]","","","","","",10297,"",1,1,"",""
72,4643,7312,100,0,0,"[9,25,13,14,7,36,0,15]","","","","","","","",1,1,"",""
73,4644,773,100,0,0,"[9,25,13,7,36,1]",4809,"","","","","","",1,1,"",""
74,4809,779,100,0,0,"[9,25,24,13,7,36,15,14,1]","",1,"","",773,"","",1,1,"",""
75,4645,788,0,0,100,"[11,25,4,15,1]","","","","","","","",1,1,"",""
76,4646,796,0,0,100,"[11,25,4,5,1]","","","","","","","",1,1,"",""
77,4647,810,0,0,100,"[11,25,4,14,2,38]","","","","","","","",1,1,"",""
78,4648,3887,0,0,100,"[11,25,4,14,2,38]","","","","","","","",1,1,"",""
79,4649,845,0,100,0,"[10,25,13,15,7,36,3]","","","","","","","",1,1,"",""
80,4650,4217,0,100,0,"[10,25,4,15,22,33,35]","","","","","","","",1,1,"",""
81,4651,4217,0,100,0,"[10,25,4,15,22,33,35]","","","","","","","",1,1,"",""
82,4652,852,100,0,0,"[7,33,9,16,13]","","","Supports melee attack skills.",12279,"","","",1,1,441,""
83,4653,853,100,0,0,"[9,16]","","","Supports any skill that can kill enemies.",12224,"","","",1,1,"",""
84,4654,855,0,0,100,"[11,16]","","","Supports any skill that can kill enemies.",12225,"","","",1,1,"",""
85,4655,856,0,0,100,"[11,16,4]","","","Supports non-instant spell skills.",12218,"","","",1,1,"",""
86,4656,857,0,100,0,"[10,25,13,5,14,15,0,6]","","","","","","","",1,1,"",""
87,4657,878,0,60,40,"[10,25,4,14,15,17,42]","","","","","","","",1,1,"",""
88,4658,896,0,0,100,"[11,25,4,14,15,17,42]","","","","","","","",1,1,"",""
89,4659,902,60,40,0,"[9,25,4,15,17,43]","","","","","","","",1,1,"",""
90,4660,907,60,0,40,"[9,25,4,14,15,17,33,42]","","","","","","","",1,1,"",""
91,4661,4115,60,0,40,"[9,25,4,14,15,17,33,42]","","","","","","","",1,1,"",""
92,4662,910,0,0,100,"[11,25,4,14,15,17,42]","","","","","","","",1,1,"",""
93,4663,920,0,40,60,"[11,25,4,15,17,43]","","","","","","","",1,1,"",""
94,4664,927,0,100,0,"[10,25,4,15,17,43]","","","","","","","",1,1,"",""
95,4665,7134,0,40,60,"[11,25,4,14,15,3,17,42]","","","","","","","",1,1,"",""
96,4666,957,0,0,100,"[11,25,4,14,15,22,2,35]","","","","","","","",1,1,"",""
97,4795,958,0,0,100,"[11,25,24,4,14,15,2,22,35]","",1,"","",957,"","",1,1,"",""
98,4667,987,0,0,100,"[11,25,4,8,15]",4810,"","","","",10299,"",1,1,"",""
99,4810,988,0,0,100,"[11,25,24,4,8,15]","",1,"","",987,10299,"",1,1,"",""
100,4672,1019,100,0,0,"[9,25,13,7,36]","","","","","","","",1,1,"",""
101,4807,1020,100,0,0,"[9,25,24,13,7,36]","",1,"","","","","",1,1,"",""
102,4673,1030,60,0,40,"[9,25,13,8,15,7,36]","","","","","","","",1,1,"",""
103,4674,7273,0,100,0,"[10,25,13,14,5,6]",4803,"","","","","","",1,1,"",""
104,4803,7275,0,100,0,"[10,25,24,13,14,5,6]","",1,"","",7273,"","",1,1,"",""
105,4675,1041,0,0,100,"[11,16,14]","","","Supports any skill with an area of effect, regardless of whether that skill deals damage.",12284,"","","",1,1,"",""
106,4676,1042,0,0,100,"[11,16,8]","","","Supports skills which create Minions.",12211,"","","",1,1,464,""
107,4677,1043,100,0,0,"[9,16,15]","","","Supports any skill with a duration.",12226,"","","",1,1,"",""
108,4678,1044,60,0,40,"[1,0,9,16]","","","Supports any skill that hits enemies.",12220,"","","",1,1,"",""
109,4679,1045,0,0,100,"[0,11,16]","","","Supports any skill that hits enemies.",12227,"","","",1,1,"",""
110,4680,1047,0,0,100,"[22,11,16,8]","","","Supports skills which create Minions.",12209,"","","",1,1,"",""
111,4681,1048,0,0,100,"[11,16,8]","","","Supports skills which create Minions.",12208,"","","",1,1,"",""
112,4682,1049,60,0,40,"[13,9,16]","","","Supports attack skills.",12205,"","","",1,1,438,""
113,4683,3831,100,0,0,"[13,33,9,16,7]","","","Supports melee attack skills, causing them to deal more damage against bleeding enemies, but preventing those skills from inflicting bleeding on enemies in any way.",12228,"","","",1,1,"",""
114,4684,1050,100,0,0,"[13,9,16]","","","Supports attack skills.",12229,"","","",1,1,"",""
115,4685,1051,0,0,100,"[11,25,4,14,15,0]","","","","","","","",1,1,"",""
116,4686,1181,0,60,40,"[10,25,13,5,7,36,2]",4806,"","","","","","",1,1,"",""
117,4806,7264,0,60,40,"[10,25,24,13,7,36,15,2,5]","",1,"","",1181,"","",1,1,"",""
118,4687,1232,40,0,60,"[11,25,4,2,18,15]","","","","","","","",1,1,"",""
119,4688,1236,100,0,0,"[9,25,4,14,15,0,33,34]",4794,"","","","","","",1,1,"",""
120,4794,1237,100,0,0,"[9,25,24,4,14,15,0,33,34]","",1,"","",1236,"","",1,1,"",""
121,4689,1250,0,0,100,"[11,25,13,5]",4797,"","","","","","",1,1,"",""
122,4797,1251,0,0,100,"[11,25,24,13,5]","",1,"","",1250,"","",1,1,"",""
123,4690,4712,0,60,40,"[25,13,14,5,6]","","","","","","","",1,1,"",""
124,4691,1521,0,60,40,"[10,25,13,5,15,7,36,33,6]","","","","","","","",1,1,"",""
125,4692,1534,0,100,0,"[10,25,13,14,5,2,6]","","","","","","","",1,1,"",""
126,4694,1541,0,100,0,"[12,10,25,4,14]",4818,"","","","","","",1,1,"",""
127,4818,1546,0,100,0,"[12,10,25,24,4,14,15]","",1,"","",1541,"","",1,1,"",""
128,4695,1551,40,0,60,"[12,11,25,4,14]","","","","","","","",1,1,"",""
129,4696,1553,75,0,0,"[12,9,25,4,14]","","","","","","","",1,1,"",""
130,4697,1559,0,0,100,"[12,11,25,4,14]",4817,"","","","","","",1,1,"",""
131,4817,1560,0,0,100,"[12,11,25,24,4,14,15]","",1,"","",1559,"","",1,1,"",""
132,4698,1564,0,100,0,"[12,10,25,4,14]",4816,"","","","","","",1,1,"",""
133,4816,1568,0,100,0,"[12,10,25,24,4,14,15]","",1,"","",1564,"","",1,1,"",""
134,4699,1571,100,0,0,"[12,9,25,4,14,33]","","","","","","","",1,1,"",""
135,4700,1574,60,0,40,"[12,9,25,4,14,0]","","","","","","","",1,1,"",""
136,4701,1581,0,60,40,"[12,10,25,4,14,1]","","","","","","","",1,1,"",""
137,4702,1590,0,0,100,"[12,11,25,4,14,2]","","","","","","","",1,1,"",""
138,4703,1599,0,100,0,"[10,25,13,5,0,15,6]",4793,"","","","","","",1,1,"",""
139,4793,2765,0,100,0,"[10,25,24,13,5,14,0,6,15]","",1,"","",1599,"","",1,1,"",""
140,4704,1603,0,0,100,"[1,0,2,11,16,14]","","","Supports any skill that hits enemies, or could otherwise apply elemental ailments.",12282,"","","",1,1,"",""
141,4705,1604,100,0,0,"[12,9,16]","","","Supports any skill with a reservation.",12190,"","","",1,1,"",""
142,4706,1609,0,0,75,"[12,11,25,4,14]",4815,"","","","","","",1,1,"",""
143,4815,1610,0,0,75,"[12,11,25,24,4,14,15]","",1,"","",1609,"","",1,1,"",""
144,4708,1611,0,100,0,"[10,16]","","","Supports any skill that hits enemies. If enemies are left below 10% of maximum life after being hit by these skills, they will be killed.",12230,"","","",1,1,"",""
145,4709,1612,0,100,0,"[5,13,10,16]","","","Supports projectile skills.",12231,"","","",1,1,"",""
146,4710,1613,100,0,0,"[5,33,9,16]","","","Supports attack skills that fire projectiles, making the increase to physical melee damage from strength also increase their physical projectile damage.",12232,"","","",1,1,"",""
147,4711,1614,100,0,0,"[4,9,16]","","","Supports spell skills, making the increase to physical melee damage from strength also increase their spell damage.",12217,"","","",1,1,"",""
148,4712,1615,100,0,0,"[13,9,16]","","","Supports attack skills, providing a bonus to all damage dealt by those skills while your life is full.",12233,"","","",1,1,"",""
149,4713,1616,60,0,40,"[9,16,4,19]","","","Supports spell skills that are not triggered. Instead of casting that spell, you will summon a totem that casts the spell for you.",12221,"","","",1,1,"",""
150,4714,1625,0,40,60,"[11,16,21]","","","Supports spells, or attacks that use bows or wands. Instead of using that skill, you will throw a mine that will use the skill for you when you detonate it. Mines cannot use channelling skills.",12199,"","","",1,1,"",""
151,4854,1628,33,33,34,"[29,21,25,4]","","","","","","","",1,1,"",""
152,4715,1629,100,0,0,"[19,9,25,4,14,33,38]","","","","","","","",1,1,"",""
153,4716,1638,100,0,0,"[19,12,9,25,4,14]","","","","","","","",1,1,"",""
154,4717,8062,0,40,60,"[21,11,25,4,5,1,12,14]","","","","","","","",1,1,"",""
155,4718,1643,0,40,60,"[20,11,25,4,15]","","","","","","","",1,1,"",""
156,4719,1644,0,100,0,"[20,10,25,4,15,33]","","","","","","","",1,1,"",""
157,4720,1653,0,60,40,"[10,16]","","","Supports any skill that hits enemies.",12219,"","","",1,1,"",""
158,4721,1654,0,60,40,"[20,10,25,4,15,14,0]","","","","","","","",1,1,"",""
159,4819,1655,0,60,40,"[20,10,25,24,4,15,14,0]","",1,"","","","","",1,1,"",""
160,4722,1711,100,0,0,"[19,9,25,4,14]","","","","","","","",1,1,"",""
161,4723,1712,100,0,0,"[19,9,25,4]","","","","","","","",1,1,"",""
162,4724,1755,0,60,40,"[10,25,4,5,33,15]","","","","","","","",1,1,"",""
163,4728,1788,0,100,0,"[10,16]","","","Supports any skill that hits enemies.",12213,"","","",1,1,"",""
164,4606,1789,0,100,0,"[10,25,13,5,14,1,6]","","","","","","","",1,1,"",""
165,4605,1800,0,40,60,"[11,25,4,5,15,14,1]","","","","","","","",1,1,"",""
166,4693,1822,0,0,100,"[11,25,4,18,2]",4791,"","","","","","",1,1,"",""
167,4791,2758,0,0,100,"[11,25,24,4,18,2,15]","",1,"","",1822,"","",1,1,"",""
168,4725,1845,0,60,40,"[10,25,4,15,1]","","","","","","","",1,1,"",""
169,4726,1845,0,60,40,"[10,25,4,15,1]","","","","","","","",1,1,"",""
170,4727,1856,60,0,40,"[19,9,25,4,5,0,30,33]","","","","","","","",1,1,"",""
171,4729,1896,60,40,0,"[6,5,9,16,19]","","","Supports any bow or wand attack skill, causing it to summon a ballista totem that uses the skill for you.",12234,"","","",1,1,"",""
172,4730,1898,100,0,0,"[0,9,16]","","","Supports any skill that hits enemies, making those hits penetrate enemy fire resistance.",12235,"","","",1,1,439,""
173,4731,1899,0,100,0,"[1,10,16]","","","Supports any skill that hits enemies, making those hits penetrate enemy cold resistance.",12184,"","","",1,1,448,""
174,4732,1900,0,0,100,"[2,11,16]","","","Supports any skill that hits enemies, making those hits penetrate enemy lightning resistance.",12236,"","","",1,1,463,""
175,4733,1901,0,0,100,"[11,16]","","","Supports any skill that hits enemies, making those hits penetrate enemy elemental resistances.",12355,"","","",1,1,"",""
176,4734,1902,0,100,0,"[10,16,18,5]","","","Supports projectile skills, and any other skills that chain.",12237,"","","",1,1,447,""
177,4735,1904,0,100,0,"[10,16,5]","","","","","","","",1,1,"",""
178,4736,1905,0,100,0,"[10,16,5]","","","Supports projectile skills, making their projectiles fork into two projectiles the first time they hit an enemy and don't pierce it.",12191,"","","",1,1,450,""
179,4737,1906,0,100,0,"[10,16,5]","","","Supports projectile skills.","","","","",1,1,"",""
180,4738,1907,40,0,60,"[11,25,4,14,15,0,17,42]","","","","","","","",1,1,"",""
181,4739,1919,0,40,60,"[11,25,4,14,15,1,17,42]","","","","","","","",1,1,"",""
182,4740,1926,0,0,100,"[11,25,4,14,15,2,17,42]","","","","","","","",1,1,"",""
183,4917,7852,40,0,60,"[14,11,25,4,2,30,15,33]","","","","","","","",1,1,"",""
184,4741,7272,0,0,100,"[11,25,4,0,30,14]","","","","","","","",1,1,"",""
185,4742,2019,40,60,0,"[10,25,13,14,22,30,33,7]",4798,"","","","","","",1,1,"",""
186,4798,2027,40,60,0,"[10,25,24,13,14,15,7,22,30,33]","",1,"","",2019,"","",1,1,"",""
187,4743,2068,60,40,0,"[13,7,9,16]","","","Supports melee attack skills, making them repeat twice when used, targeting a random enemy each time. Cannot support Vaal skills, totem skills, channelling skills, or triggered skills.",12197,"","","",1,1,443,""
188,4744,2069,0,0,100,"[4,11,16]","","","Supports spell skills, making them repeat when cast. Cannot support Vaal skills, totem skills, channelling skills, triggered skills, instant skills, or skills with a reservation.",12238,"","","",1,1,466,""
189,4745,2071,100,0,0,"[9,16,7,13,36,14]","","","Supports melee strike skills, causing their melee strike to deal splash damage around each target hit.",12196,"","","",1,1,442,""
190,4746,2072,0,0,100,"[11,16]","","","Supports any skill that hits enemies.",12239,"","","",1,1,"",""
191,4747,2073,60,0,40,"[9,25,4,19,0]","","","","","","","",1,1,"",""
192,4748,2083,60,0,40,"[0,9,16]","","","Supports any skill that hits enemies, or can deal burning damage directly.",12240,"","","",1,1,437,""
193,4749,2084,40,0,60,"[11,16,8]","","","Supports skills which create Minions.",12241,"","","",1,1,"",""
194,4750,2092,0,0,100,"[11,16,42,26]","","","Must support both a skill that hits enemies, and a hex curse skill to work. The hex will be applied when enemies are hit by the other skill. Cannot support totems, traps, or mines. Minions cannot apply hexes this way.",12242,2093,"","",1,1,460,""
195,4751,2123,0,60,40,"[10,25,13,14,7]",4813,"","","","","","",1,1,"",""
196,4813,2124,0,60,40,"[10,25,24,13,14,7]","",1,"","",2123,"","",1,1,"",""
197,4752,2195,0,60,40,"[26,10,16,4]","","","Must support both an attack skill and a spell skill to work. The attack skill will trigger a spell when it critically strikes an enemy. Cannot support totems, traps, or mines. Vaal skills, channelling skills, and skills with a reservation cannot be triggered.",12202,2196,"","",1,1,446,""
198,4753,2197,60,0,40,"[9,16,7,13,4,26]","","","Must support both a melee attack skill and a spell skill to work. The attack skill will trigger a spell when it kills an enemy. Cannot support totems, traps, or mines. Vaal skills, channelling skills, and skills with a reservation cannot be triggered.",12243,2198,"","",1,1,"",""
199,4754,2199,0,60,40,"[10,16,20]","","","Supports traps skills, making them throw extra traps in a line.",12244,"","","",1,1,"",""
200,4755,2200,100,0,0,"[29,9,16]","","","Supports any skill gem. Once this gem reaches level 2 or above, will raise the level of supported gems. Cannot support skills that don't come from gems.",12245,"","","",1,1,"",""
201,4756,2214,0,40,60,"[20,11,25,4,5,2]",4827,"","","","","","",1,1,"",""
202,4827,2215,0,40,60,"[20,11,25,24,4,5,15,2]","",1,"","",2214,"","",1,1,"",""
203,4757,2255,0,60,40,"[21,10,25,4,14,15,22,35,37]","","","","","","","",1,1,"",""
204,4758,2275,100,0,0,"[9,16,7,13]","","","Supports melee attack skills.",12214,"","","",1,1,"",""
205,4759,2300,60,0,40,"[9,25,4,8,33]","","","","","","","",1,1,"",""
206,4579,5049,40,60,0,"[10,25,13,5,33]","","","","","","","",1,1,"",""
207,4760,2302,40,60,0,"[10,25,13,5]",4805,"","","","","","",1,1,"",""
208,4805,2308,40,60,0,"[10,25,24,13,5]","",1,"","",2302,"","",1,1,"",""
209,4761,2373,0,100,0,"[10,16,5]","","","Supports projectile skills.",12246,"","","",1,1,"",""
210,4762,2374,100,0,0,"[9,16,15]","","","Supports any skill that has a duration.",12247,"","","",1,1,"",""
211,4763,2376,0,60,40,"[10,16,4,26]","","","Each supported spell skill will be triggered when you die. Cannot support skills used by totems, traps, or mines. Vaal skills, channelling skills, and skills with a reservation cannot be triggered.",12285,"","","",1,1,"",""
212,4764,2377,60,0,40,"[9,16,4,26]","","","Each supported spell skill will track damage you take, and be triggered when the total damage taken reaches a threshold. Cannot support skills used by totems, traps, or mines. Vaal skills, channelling skills, and skills with a reservation cannot be triggered.",12248,"","","",1,1,"",""
213,4765,2378,0,40,60,"[11,16,4,26]","","","Each supported spell skill will have a chance to be triggered when you are stunned. Cannot support skills used by totems, traps, or mines. Vaal skills, channelling skills, and skills with a reservation cannot be triggered.",12203,"","","",1,1,"",""
214,4766,2385,0,60,40,"[10,25,15,8,4,33]","","","","","","","",1,1,"",""
215,4767,2443,0,100,0,"[29,10,16]","","","Supports any skill gem. Once this gem reaches level 2 or above, will raise the quality of supported gems. Cannot support skills that don't come from gems.",12249,"","","",1,1,"",""
216,4768,2444,60,0,40,"[12,9,25,4,14,0]",4769,"","","","","","",1,1,"",""
217,4769,6812,60,0,40,"[12,9,25,24,4,14,15,0]","",1,"","",2444,"","",1,1,"",""
218,4770,2447,0,60,40,"[12,10,25,4,14,1]",4771,"","","","","","",1,1,"",""
219,4771,6813,0,60,40,"[12,10,25,24,4,14,15,1]","",1,"","",2447,"","",1,1,"",""
220,4772,2450,0,0,100,"[12,11,25,4,14,2]",4773,"","","","","","",1,1,"",""
221,4773,6814,0,0,100,"[12,11,25,24,4,14,15,2]","",1,"","",2450,"","",1,1,"",""
222,4774,2453,0,0,100,"[11,25,4,14,15,2]",4811,"","","","","","",1,1,"",""
223,4811,2463,0,0,100,"[11,25,24,4,14,15,2]","",1,"","",2453,"","",1,1,"",""
224,4775,2525,0,0,100,"[11,25,4,14,0,30]",4824,"","","","","","",1,1,"",""
225,4824,2526,0,0,100,"[11,25,24,4,14,0,30]","",1,"","",2525,"","",1,1,"",""
226,4776,2573,0,100,0,"[10,25,13,5,6]","","","","","","","",1,1,"",""
227,4777,1952,0,0,100,"[11,25,4,5,14,2]","","","","","","","",1,1,"",""
228,4778,2594,0,60,40,"[21,10,25,4,14,15]","","","","","","","",1,1,"",""
229,4779,2595,0,0,100,"[11,25,4,18,14,0]","","","","","","","",1,1,"",""
230,4780,2596,0,100,0,"[5,13,33,3,10,16]","","","Supports projectile attack skills.",12250,"","","",1,1,454,""
231,4781,2597,0,0,100,"[11,25,4,8,15,0]","","","","","","","",1,1,"",""
232,4782,2629,0,0,100,"[11,25,4,14,0]","","","","","","","",1,1,"",""
233,4783,2650,0,0,100,"[29,11,16]","","","Supports any skill gem. Once this gem reaches level 2 or above, will apply a mana multiplier to supported gems. Cannot support skills that don't come from gems.",12251,"","","",1,1,"",""
234,4784,2657,0,60,40,"[10,25,4,14,15,3]","","","","","","","",1,1,"",""
235,4785,2689,0,0,100,"[8,11,25,4,15]","","","","","","","",1,1,"",""
236,4786,2698,0,0,100,"[8,11,25,4,15]","","","","","","","",1,1,"",""
237,4787,4708,0,0,100,"[8,11,25,4,15,3]","","","","","","","",1,1,"",""
238,4788,2703,0,0,100,"[11,25,4,14,1,33]","","","","","","","",1,1,"",""
239,4812,2993,0,60,40,"[10,16,15]","","","Supports any skill that hits enemies.",12288,"","","",1,1,"",""
240,4814,2994,100,0,0,"[9,25,13,5,14,7,36,0]","","","","","","","",1,1,"",""
241,4789,3019,0,0,100,"[8,11,25,4,15]","","","","","","","",1,1,"",""
242,4823,3023,60,40,0,"[9,25,13,7,36]","","","","","","","",1,1,"",""
243,4825,8060,0,40,60,"[21,11,25,4,5,0,14,12,38]","","","","","","","",1,1,"",""
244,4826,3123,0,100,0,"[10,25,13,5,6]","","","","","","","",1,1,"",""
245,4828,3156,60,0,40,"[9,16,12]","","","Supports aura skills that affect you and allies, increasing the aura's effect on allies, but preventing it from affecting you at all. Cannot support curse auras, or other auras that only affect enemies. Cannot support skills used by totems.",12280,"","","",1,1,440,""
246,4829,3157,100,0,0,"[9,25,4,14,15,31]","","","","","","","",1,1,"",""
247,4830,3158,60,0,40,"[9,25,4,14,0,31,15]","","","","","","","",1,1,"",""
248,4831,3159,0,60,40,"[10,25,4,14,1,31]","","","","","","","",1,1,"",""
249,4832,3160,0,0,100,"[11,25,4,14,15,2,31]","","","","","","","",1,1,"",""
250,4833,3161,0,100,0,"[10,25,4,31,8,3,33]","","","","","","","",1,1,"",""
251,4834,3162,60,0,40,"[9,25,4,31,8,15,33]","","","","","","","",1,1,"",""
252,4835,3169,0,100,0,"[10,25,4,15,17,43]","","","","","","","",1,1,"",""
253,4836,3366,0,0,100,"[11,25,4,14,2,30]","","","","","","","",1,1,"",""
254,4837,3366,0,0,100,"[11,25,4,14,2,30]","","","","","","","",1,1,"",""
255,4838,3415,0,0,100,"[11,25,4,14,2]","","","","","","","",1,1,"",""
256,4839,3461,0,0,100,"[11,25,4,14,2]","","","","","","","",1,1,"",""
257,4842,3647,0,0,100,"[11,25,13,5,14]","","","","","","","",1,1,"",""
258,4843,2145,100,0,0,"[9,25,13,14,2,40,7]","","","","","","","",1,1,"",""
259,4841,3657,0,100,0,"[10,25,13,8,15,22,35,6]","","","","","","","",1,1,"",""
260,4840,3658,0,100,0,"[10,25,13,8,15,22,35,6]","","","","","","","",1,1,"",""
