"rownum","Id","Name","Category","i32","bool","[rid]","[rid]","bool","bool","bool","i32","i32","bool","bool","bool","bool","bool","bool","bool","rid"
62,"UNUSED2","","",6,"",[],[],"","","",2387,1114,"","","","","","","",""
63,"UNUSED3","","",6,"",[],[],"","","",2387,1114,"","","","","","","",""
64,"UNUSED4","","",6,"",[],[],"","","",2387,1114,"","","","","","","",""
65,"HeistContract","Contract","",6,"",[],[],"","","",2387,1114,"",1,"","","","","",""
66,"HeistEquipmentWeapon","Heist Gear","",6,"",[],[],"","","",2387,1114,"","","","","","",1,""
67,"HeistEquipmentTool","Heist Tool","",6,"",[],[],"","","",2387,1114,"","","","","","",1,""
68,"HeistEquipmentUtility","Heist Cloak","",6,"",[],[],"","","",2387,1114,"","","","","","",1,""
69,"HeistEquipmentReward","Heist Brooch","",6,"",[],[],"","","",2387,1114,"","","","","","",1,""
70,"HeistBlueprint","Blueprint","",6,"",[],[],"","","",2387,1114,"",1,"","","","","",""
71,"Trinket","Trinkets","Jewellery",6,"",[],[],"","","",2387,1114,"",1,1,"","","","",""
72,"HeistObjective","Heist Target","",6,"",[],[],"","","",2387,1114,1,"","","","","","",""
