"rownum","Id","QuestStates","[i32]","AchievementItemsKeys","[rid]"
65,"QuestCompleteGarukhan",[1567],[],[1028],[292]
66,"QuestCompleteStormBlade",[1573],[],[],[289]
67,"QuestCompleteCalendarOfFortune",[1623],[],[7705],[289]
68,"QuestCompleteShakari",[1630],[],"[1028,0]",[292]
69,"QuestCompleteUnholyTrio",[1550],[],"[4217,0]",[292]
70,"QuestCompleteLovePotion",[1672],[],[6962],[303]
71,"QuestCompleteTeardrop",[1678],[],[7455],[302]
72,"QuestCompleteKitavaA10",[60],[],"[4218,0]",[319]
73,"PantheonUpgradeAbberath",[1403],[],[],[319]
74,"PantheonUpgradeGruthkul",[1406],[],[],[319]
75,"PantheonUpgradeYugul",[1407],[],[],[319]
76,"PantheonUpgradeTukohama",[1402],[],[],[319]
77,"PantheonUpgradeRalakesh",[1405],[],[],[319]
78,"PantheonUpgradeGarukhan",[1409],[],[],[319]
79,"PantheonUpgradeRyslatha",[1404],[],[],[319]
80,"PantheonUpgradeShakari",[1408],[],[],[319]
81,"PantheonUpgradeBrineKingFull","[1390,1391,1392]",[],[],[319]
82,"PantheonUpgradeArakaaliFull","[1393,1394,1395]",[],[],[319]
83,"PantheonUpgradeSolarisFull","[1396,1397,1398]",[],[],[319]
84,"PantheonUpgradeLunarisFull","[1399,1400,1401]",[],[],[319]
85,"DefeatAllGods","[1165,1176,1194,1201,1274,1295,1387,1427,1439,1567,1630]",[],[4229],[319]
86,"FullyUpgradePantheon","[1390,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400,1401,1403,1406,1407,1408,1402,1405,1409,1404]",[],[4230],[319]
87,"CompleteAllOptionalQuests","[228,116,48,88,247,459,491,533,753,1066,1091,1188,1252,1194,1201,1311,1317,1380,1387,1439,1444,1453,1462,1565,1573,1623,1630,1672,1678,1683]",[],[1020],[]
88,"CaptureAnyBeast",[],[112],[],"[178,176,180]"
89,"CompleteAllZanaQuests",[],[319],[],"[310,114,136]"
90,"QuestCompleteDelveTutorial",[],[18],[],"[335,336,337,338]"
91,"QuestCompleteSynthesisTutorial1",[2078],[],[],"[377,378,379,380]"
92,"QuestCompleteSynthesisTutorial2",[2082],[],[],"[377,378,379,380]"
93,"QuestCompleteSynthesisTutorial3",[2084],[],[],"[377,378,379,380]"
94,"QuestCompleteSynthesisChangeover",[2089],[],[],"[377,378,379,380]"
95,"DefeatCatarina",[],[536],[],"[341,343]"
96,"CraftingUnlockMovementSpeed1",[],[146],[],[396]
97,"CraftingUnlockSpellDamage1",[],[161],[],[396]
98,"CraftingUnlockAttackCastSpeed1",[],[168],[],[396]
99,"CraftingUnlockSocketNumbers1",[],[245],[],[396]
100,"CraftingUnlockAccuracy1",[],[183],[],[396]
101,"CraftingUnlockSpellDamage3",[],[163],[],[396]
102,"CraftingUnlockPhysicalDamage3",[],[160],[],[396]
103,"CraftingUnlockDefences2",[],[188],[],[396]
104,"CraftingUnlockEnergyShieldRecharge1",[],[198],[],[396]
105,"CraftingUnlockMinions2",[],[229],[],[396]
106,"UnlockedMapDevice",[],[350],[],"[415,414,416,417]"
107,"KillAtziri",[185],[],[1585],[]
108,"KillUberAtziri",[978],[],[],[]
109,"CompleteEpilogueQuest1",[],[350],[],"[414,416]"
110,"CompleteEpilogueQuest2",[],[294],[],"[414,416]"
111,"CompleteEpilogueQuest3",[],"[275,276,277,278]",[],"[310,136]"
112,"CompleteEpilogueQuest4",[],[332],[],"[310,136]"
113,"CompleteEpilogueQuest5",[],[335],[],"[310,136]"
114,"CompleteEpilogueQuest6",[],[333],[],"[310,136]"
115,"CompleteEpilogueQuest7",[],[334],[],"[310,136]"
116,"CompleteEpilogueQuest8",[],[347],[],"[310,136]"
117,"DefeatBaranTheCrusader",[],[320],[],"[310,136]"
118,"DefeatVeritaniaTheRedeemer",[],[321],[],"[310,136]"
119,"DefeatAlHezminTheHunter",[],[322],[],"[310,136]"
120,"DefeatDroxTheWarlord",[],[323],[],"[310,136]"
121,"DefeatSirusTheAwakener",[],[347],[],"[310,136]"
122,"DefeatOshabi",[2183],[],[7186],"[310,136]"
123,"ContractStolenLockpicks",[],[800],[7399],"[462,460,479]"
124,"ContractKarstsRevenge",[],[801],[7400],"[462,460,479]"
125,"ContractCreditWhereCreditsDue",[],[802],[7401],"[462,460,479]"
126,"ContractFindingOpal",[],[803],[7402],"[462,460,479]"
127,"ContractOpalsJewels",[],[804],[7403],"[462,460,479]"
128,"ContractEnochsWhereabouts",[],[805],[7404],"[462,460,479]"
129,"ContractEnochsRemains",[],[806],[7405],"[462,460,479]"
130,"ContractGroceryList",[],[807],[7406],"[462,460,479]"
131,"ContractTheVinderiBomb",[],[808],[7407],"[462,460,479]"
132,"ContractTheNamelessPlay",[],[809],[7408],"[462,460,479]"
133,"ContractTheFinestCostumes",[],[810],[7409],"[462,460,479]"
134,"ContractTheWeddingDress",[],[811],[7410],"[462,460,479]"
135,"ContractDisengagement",[],[812],[7411],"[462,460,479]"
136,"ContractRationalTools",[],[813],[7412],"[462,460,479]"
137,"ContractAMundaneSample",[],[814],[7413],"[462,460,479]"
138,"ContractTheTwins",[],[832],[7417],"[462,460,479]"
139,"ContractBreakingTheUnbreakable",[],[819],[7414],"[462,460,479]"
140,"ContractHeartOfGlory",[],[822],[7415],"[462,460,479]"
141,"ContractDeathToNarnaw",[],[828],[7416],"[462,460,479]"
142,"MavenHaewarkHamlet",[],[983],[7612],"[310,136]"
143,"MavenTirnsEnd",[],[988],[7613],"[310,136]"
144,"MavenLexProxima",[],[993],[7614],"[310,136]"
145,"MavenLexEjoris",[],[998],[7615],"[310,136]"
146,"MavenNewVastir",[],[1003],[7616],"[310,136]"
147,"MavenGlennachCairns",[],[1008],[7617],"[310,136]"
148,"MavenValdosRest",[],[1013],[7618],"[310,136]"
149,"MavenLiraArthain",[],[1018],[7619],"[310,136]"
150,"TheMaven",[],[885],"[7676,0]","[310,136]"
