"rownum","MonsterVarietiesKey","[i32]","[i32]","Name"
294,1072,"[2098,0]","[20,10]","Compulsor Octavia Sparkfist"
295,1097,[],[],"Draconarius Wilhelm Flamebrand"
296,1099,"[1089,0]","[20,10]","Imperator Stantinus Bitterblade "
297,1111,"[1089,0,0]","[20,10,50]","Praetorian Guard"
298,1186,[718],[50],"Miscreation"
299,1221,[718],[50],"Whipping Miscreation"
300,1237,"[482,0]","[50,50]","Tentacle Miscreation"
301,1266,[],[],"Paradisae Venenum"
302,1349,[718],[50],"Voidbearer"
303,1378,[],[],"Dominus, Ascendant"
304,3447,[718],[50],"Infested Vulture"
305,3452,[],[],"The Hundred Foot Shadow"
306,3459,[718],[50],"Voll's Fallen"
307,3472,"[1089,0,0]","[20,10,50]","Voll's Fallen"
308,3481,[718],[50],"Impure Archer"
309,3497,[718],[25],"Maelström"
310,3443,[718],[50],"Mindless Scavenger"
311,3483,[718],[50],"Voll's Vanguard"
312,3489,[718],[50],"Nightwane"
313,3511,"[1089,0]","[20,10]","Voll, Emperor of Purity"
314,3519,"[484,0]","[80,75]","Dust Scrabbler"
315,3531,[718],[25],"Knitted Horror"
316,3551,[718],[50],"Shrieker"
317,3562,[718],[50],"Pocked Miner"
318,3564,[718],[50],"Pikerivet"
319,3572,[718],[50],"Pocked Miner"
320,3574,[718],[50],"Pocked Lanternbearer"
321,3588,[718],[0],"Pocked Goliath"
322,3553,[],[],"Voidscream"
323,3560,[718],[50],"Pocked Miner"
324,3581,[718],[50],"Tunneler"
325,3584,[],[],"Hammerstorm"
326,3552,[718],[50],"Shrieker"
327,3563,[718],[50],"Pocked Plunderer"
328,3573,[718],[50],"Pocked Plunderer"
329,3576,[718],[50],"Pocked Illuminator"
330,3577,[718],[25],"The Burning Man"
331,3583,[718],[50],"Burrower"
332,3590,[718],[0],"Pocked Behemoth"
333,1357,[718],[25],"Living Fury"
334,3621,[718],[50],"Fury Hound"
335,3627,[718],[125],"Inua Totem"
336,3632,[],[],"Torchoak Grove"
337,3643,[],[],"Rakango"
338,3645,[],[],"Triskeriaki"
339,3812,[718],[75],"Volcanic Golem"
340,3612,[718],[50],"Hyrri's Sister"
341,3614,[718],[50],"Kaom's Chosen"
342,3615,[718],[50],"Kaom's Chosen"
343,3616,[718],[50],"Lavianga's Acolyte"
344,3631,[718],[50],"Vakali Totem"
345,3653,[],[],"King Kaom"
346,3816,[718],[75],"Volcanic Golem"
347,1044,[718],[50],"Rotten Gladiator"
348,1046,[718],[50],"Rotten Gladiator"
349,3660,[718],[50],"Pitbull Demon"
350,3662,[],[],"Steelchaw"
351,3670,[718],[50],"Rooster Fiend"
352,3671,[718],[50],"Rooster Demon"
353,3673,[],[],"Eyepecker"
354,3682,[],[],"Barkhul"
355,3693,[718],[50],"Mad Gladiator"
356,3697,"[1089,0,0]","[30,15,50]","Mad Gladiator"
357,3698,[],[],"Fighting Bull"
358,3711,[],[],"Daresso, King of Swords"
359,3780,[718],[75],"Icy Manifestation"
360,4028,[],[],"Rudiarius Felix"
361,4030,"[1089,0]","[30,15]","Mevion"
362,4032,"[1089,0]","[20,10]","Dimachaeri Cassius"
363,515,[718],[50],"Bonewarped Archer"
364,516,[718],[50],"Bonewarped Archer"
365,616,[718],[50],"Bonewarped Warrior"
366,618,[718],[50],"Bonewarped Warrior"
367,3721,[718],[50],"Wandering Eye"
368,3731,[718],[100],"Eye Hatchery"
369,3737,[718],[50],"Gut Flayer"
370,3741,[718],[50],"Gut Spiker"
371,3743,[718],[50],"Noisome Ophidian"
372,4019,[718],[25],"Stygian Revenant"
373,4021,[],[],"The Bone Queen"
374,1152,[],[],"Piety, the Abomination"
375,1599,[718],[50],"Aggravated Wound"
376,1613,[718],[50],"Aggravated Wound"
377,3747,"[953,0]","[60,5000]","Maligaro, The Inquisitor"
378,3754,[],[],"Doedre Darktongue"
379,3762,[],[],"Shavronne of Umbra"
380,3769,[],[],"Malachai, The Nightmare"
381,3873,[718],[50],"Primordial Creation"
382,3874,[718],[50],"Primordial Creation"
383,213,[718],[50],"Alpine Devil"
384,252,[718],[50],"Alpine Shaman"
385,304,[718],[50],"Mountain Hellion"
386,306,[718],[50],"Mountain Hellion Alpha"
387,4807,[],[],"Vendigo"
388,4809,[],[],"The White Death"
389,4810,"[1089,0,0]","[20,10,50]","Blackguard Jaeger"
390,4811,[718],[50],"Blackguard Jaeger"
391,4812,[718],[50],"Risen Jaeger"
392,4566,[],[],"Overseer Krow"
393,4860,[718],[50],"Indoctrinated Slave"
394,4862,[718],[50],"Truth Extractor"
395,4892,[718],[50],"Oriath Enforcer"
396,4893,"[1089,0,0]","[20,10,50]","Oriath Enforcer"
397,5156,[],[],"Karui Rebel"
398,5157,[],[],"Karui Rebel"
399,4564,[718],[50],"Slave Driver"
400,4576,"[1089,0]","[30,15]","Justicar Casticus"
401,4586,[718],[50],"Slave Catcher"
402,4534,[718],[50],"Purge Hound"
403,4581,[718],[50],"Blackguard Stalker"
404,4582,[718],[50],"Blackguard Stalker"
405,4659,[],[],"Flame Mother"
406,4660,[],[],"The Matriarch"
407,4673,"[1089,0,0]","[20,10,50]","Temple Ward"
408,4674,[718],[50],"Temple Guardian"
409,5169,[718],[50],"Frightened Citizen"
410,5170,[718],[50],"Frightened Citizen"
411,5172,[718],[50],"Frightened Citizen"
412,5173,[718],[50],"Frightened Citizen"
413,5174,[718],[50],"Frightened Citizen"
414,5175,[718],[50],"Frightened Citizen"
415,1176,[718],[50],"Crimson Scholar"
416,4587,[718],[50],"Deranged Slaver"
417,4588,[718],[50],"Depraved Slaver"
418,4664,[718],[50],"The Risen Matriarch"
419,4675,"[1089,0,0]","[20,10,50]","Heretical Ward"
420,4676,"[1089,0,0]","[20,10,50]","Heretical Ward"
421,4677,[718],[50],"Heretical Guardian"
422,4890,[718],[50],"Heretical Adjudicator"
423,5006,[],[],"Utula, Stone and Steel"
424,5177,[718],[50],"Kitava Zealot"
425,5178,[718],[50],"Kitava Zealot"
426,5179,[718],[50],"Kitava Zealot"
427,4573,[718],[50],"Temple Justicar"
428,4888,[718],[50],"Temple Adjudicator"
429,1170,[],[],"Cato, Scholar of Light"
430,4574,[718],[50],"Twisted Justicar"
431,4575,[718],[50],"Depraved Justicar"
432,4672,[718],[50],"Sanguine Sister"
433,1169,[718],[50],"Temple Scholar"
434,4670,[718],[50],"Blessed Sister"
435,4785,[],[],"Innocence, God-Emperor of Eternity"
436,4874,[718],[50],"Prayer Guard"
437,543,[718],[50],"Desecrated Saint"
438,570,[718],[50],"Brittle Cleric"
439,571,[718],[50],"Brittle Cleric"
440,626,[],[],"Awoken Giant"
441,5244,[718],[75],"Restless Pauper"
442,5245,[718],[75],"Restless Pauper"
443,5246,[718],[75],"Restless Pauper"
444,5271,[],[],"Bone Husk"
445,5375,[],[],"Bone Stalker"
446,542,[718],[50],"Gleaming Saint"
447,580,[718],[50],"Risen Saint"
448,2684,[718],[100],"Living Memorial"
449,2685,[718],[100],"Living Memorial"
450,2686,[718],[100],"Living Memorial"
451,2687,[718],[100],"Living Memorial"
452,5229,[718],[50],"Vengeful Soul"
453,5230,[718],[50],"Vengeful Soul"
454,5231,[718],[50],"Vengeful Soul"
455,5232,[718],[50],"Vengeful Soul"
456,5233,[718],[50],"Desperate Soul"
457,5234,[718],[50],"Desperate Soul"
458,5235,[718],[50],"Desperate Soul"
459,5236,[718],[50],"Desperate Soul"
460,4814,[],[],"Kitava's Herald"
461,5222,[718],[50],"Wailing Widow"
462,4832,[718],[50],"Noble Dead"
463,4839,[718],[50],"Noble Dead"
464,4840,[718],[50],"Noble Dead"
465,4841,[718],[50],"Noble Dead"
466,4842,[718],[50],"Rhys of Abram"
467,4849,[718],[50],"Noble Dead"
468,4853,[718],[50],"Noble Dead"
469,4854,[718],[50],"Noble Dead"
470,4855,[718],[50],"Noble Dead"
471,428,[718],[100],"Crustacean Sniper"
472,3617,[718],[50],"Tukohama's Scout"
473,3618,[718],[50],"Tukohama's Warrior"
474,3619,[718],[50],"Tukohama's Warrior"
475,3620,[718],[50],"Tukohama's Vanguard"
476,3622,[718],[50],"War Hound"
477,3625,[],[],"Raihara, Tukohama's Loyal"
478,431,[718],[100],"Crustacean Sniper"
479,469,[718],[100],"Invading Crustacean"
480,920,[718],[50],"Clearwater Strider"
481,926,[483],[80],"Riptide"
482,3867,[718],[50],"Savage Crab"
483,5159,[718],[25],"The Dishonoured Queen"
484,5163,[718],[50],"Forgotten Warrior"
485,5165,[718],[50],"Forgotten Warrior"
486,5167,[718],[50],"Forgotten Warrior"
487,5017,[],[],"Tukohama, Karui God of War"
488,493,[718],[50],"Timeless Hunter"
489,575,[718],[50],"Timeless Wanderer"
490,1406,"[485,0]","[30,50]","Infested Serpent"
491,3526,"[484,0]","[80,75]","Infested Skitterer"
492,4869,[],[],"Fleetfreak"
493,554,[718],[50],"Brittle Arsonist"
494,649,[718],[50],"Flame Guardian"
495,1363,[718],[25],"Ash Prophet"
496,4825,[718],[25],"Rattling Condemned"
497,385,[718],[25],"Thunder Whisperer"
498,504,[718],[50],"Thunder Thrall"
499,661,"[484,0]","[50,50]","Thunder Guardian"
500,1741,[718],[50],"Shavronne's Gemling"
501,4791,[],[],"Reassembled Brutus"
502,201,[718],[50],"Goatman Stomper"
503,249,[718],[50],"Goatman Fire-raiser"
504,308,[718],[50],"Enslaved Hellion"
505,310,[718],[50],"Enslaved Hellion"
506,420,[718],[100],"Gravel Eater"
507,5215,[],[],"Abberath, the Cloven One"
508,77,[718],[50],"Stag Acolyte"
509,81,[718],[50],"Stag Acolyte"
510,82,[718],[50],"Bear Acolyte"
511,85,[718],[50],"Bear Acolyte"
512,86,"[1089,0,0]","[20,10,50]","Boar Acolyte"
513,89,"[1089,0,0]","[20,10,50]","Boar Acolyte"
514,816,[718],[50],"Brooding Tarantula"
515,820,[718],[50],"Enraptured Arachnid"
516,821,[718],[50],"Enraptured Arachnid"
517,947,[718],[50],"Alira's Dearest"
518,3438,[718],[50],"Pale Blackguard"
519,4088,[],[],"Defiled Proclamation"
520,98,[],[],"The Animal Pack"
521,333,[718],[100],"Infested Ape"
522,334,[718],[100],"Infested Ape"
523,344,[718],[25],"Host Chieftain"
524,345,[718],[25],"Host Chieftain"
525,736,"[485,0]","[30,50]","Host Cobra"
526,737,"[485,0]","[30,50]","Host Cobra"
527,1253,[718],[50],"Infested Maw"
528,1254,[718],[50],"Infested Maw"
529,418,[718],[50],"Infested Rhoa"
530,419,[718],[50],"Infested Rhoa"
531,1312,[485],[50],"Ryslatha, the Puppet Mistress"
532,4468,[],[],"Parasite"
533,4469,[],[],"Ravenous Parasite"
534,346,[],[],"Hollowskull, the Willing Host"
535,470,[718],[100],"Infested Crustacean"
536,3857,[718],[50],"Infested Crab"
537,3863,[718],[50],"Infested Crab"
538,176,"[484,0]","[50,50]","Spectral Corsair"
539,465,[718],[50],"Singing Siren"
540,474,[718],[100],"Shield Crab"
541,2723,[718],[50],"Cavern Drifter"
542,3853,[718],[100],"Infested Crawler"
543,3866,[718],[50],"Infested Crawler"
544,5210,[],[],"Brinecrack"
545,496,[718],[50],"Brittle Poacher"
546,499,[718],[50],"Weathered Watchman"
547,576,[718],[50],"Sandworn Watchman"
548,917,"[483,0]","[80,50]","Sand Strider"
549,3860,[718],[75],"Infested Crawler"
550,4086,[718],[50],"Animated Reef"
551,4488,[718],[50],"Brine Vassal"
552,4489,[718],[50],"Swarthy Mollusc"
553,4800,[],[],"Tsoagoth, The Brine King"
554,103,[],[],"Enraptured Beast"
555,104,[],[],"Enraptured Beast"
556,375,[718],[25],"Rubble Golem"
557,507,[718],[50],"Disbanded Dead"
558,508,[718],[50],"Disbanded Dead"
559,510,[718],[50],"Disbanded Dead"
560,512,[718],[50],"Disbanded Dead"
561,594,"[1089,0,0]","[20,10,50]","Brittle Bandit"
562,595,"[1089,0,0]","[20,10,50]","Brittle Bandit"
563,597,"[1089,0,0]","[20,10,50]","Brittle Bandit"
564,599,"[1089,0,0]","[20,10,50]","Brittle Bandit"
565,3444,[718],[50],"Scavenging Vulture"
566,4470,[],[],"Ravenous Parasite"
567,577,[718],[50],"Ash Harvester"
568,3266,[],[],"Fire Trap"
569,3271,[],[],"Blast Rain Trap"
570,391,[718],[25],"Bringer of Souls"
571,495,[718],[50],"Brittle Born-again"
572,578,[718],[50],"Brittle Born-again"
573,1015,[718],[50],"Devout Dead"
574,1017,[718],[50],"Devout Dead"
575,1019,[718],[50],"Devout Dead"
576,1454,[718],[50],"Idolised Saint"
577,1455,[718],[50],"Idolised Saint"
578,1456,[718],[50],"Idolised Saint"
579,3540,[],[],"Bundle of Woe"
580,177,[718],[50],"Spectral Mage"
581,582,[718],[50],"Vault Guardian"
582,800,[718],[50],"Crypt Ambusher"
583,3341,[718],[50],"Wraith"
584,1205,[718],[50],"Augmented Dead"
585,946,[718],[50],"Plague Retch"
586,1630,[718],[50],"Undying Subject"
587,1682,[718],[50],"Undying Subject"
588,1631,[718],[50],"Undying Inductor"
589,1683,[718],[50],"Undying Inductor"
590,3725,[718],[100],"Wide-eyed Assemblage"
591,3738,[718],[50],"Arranged Anatomy"
592,4944,[],[],"Maligaro, the Artist"
593,4949,[],[],"Black Death, Pain Unending"
594,4951,[],[],"Fidelitas, Loyalty Undying"
595,4961,[718],[50],"Hybrid Arachnid"
596,4962,[718],[50],"Scalding Arachnid"
597,109,[],[],"The Great White Bones"
598,390,[],[],"The Bone Sculptor"
599,2780,[718],[100],"Tunnelfiend"
600,2782,[718],[100],"Tunnelfiend"
601,2783,[718],[100],"Infested Tunnelfiend"
602,2785,[718],[100],"Infested Tunnelfiend"
603,2787,[718],[100],"Infested Tunnelfiend"
604,2792,[718],[100],"Infested Tunnelfiend"
605,78,[718],[50],"Ralakesh's Horn"
606,83,[718],[50],"Ralakesh's Claw"
607,87,"[1089,0,0]","[20,10,50]","Ralakesh's Tusk"
608,4967,"[1089,0]","[20,10]","Greust, Lord of the Forest"
609,4974,[],[],"Oak, Skullbreaker"
610,4977,"[2098,0]","[20,10]","Alira Darktongue"
611,4980,[],[],"Kraityn, Scarbearer"
612,22,[718],[50],"Treacherous Deserter"
613,50,"[1089,0,0]","[20,10,50]","Heartless Deserter"
614,723,"[485,0]","[30,50]","Host Adder"
615,724,"[485,0]","[30,50]","Host Adder"
616,794,[718],[50],"Ink Spinner"
617,2321,[6946],[1],"Tunnelworm"
618,2328,"[718,0]","[25,1]","Devourer"
619,2793,[718],[100],"Woods Ursa"
620,2795,[718],[100],"Woods Ursa"
621,2796,[718],[100],"Infested Ursa"
622,2798,[718],[100],"Infested Ursa"
623,2800,[718],[100],"Infested Ursa"
624,2802,[718],[100],"Infested Ursa"
625,3611,[],[],"The Dreadstone"
626,5237,[],[],"Gruthkul, Mother of Despair"
