"rownum","rid","rid","rid","[rid]","[i32]","rid","rid","[rid]","[i32]","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","rid","i32","i32","i32","i32","i32","i32","i32"
17,2347,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,872415232,2,33554432,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,872415232,2,201326592,0,0,0,0,872415232,2,0,0,0,0,134217728,0,0,0,872415232,872415232,872415232,2,0,0,872415232,2,0
18,2347,1,598,[],[],8175,40,[173],[4],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1140850688,2,33554432,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1140850688,2,503316480,2,822083584,0,0,1140850688,2,0,0,0,0,134217728,0,0,0,1140850688,1140850688,1140850688,2,0,0,1140850688,2,0
19,2352,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1140850688,2,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1140850688,2,201326592,0,0,0,0,1140850688,2,0,0,0,0,134217728,0,0,0,1140850688,1140850688,1140850688,2,0,0,1140850688,2,0
20,2352,2,1785,[],[],8240,51,"[173,2513]","[4,10]","",-33554432,-16843010,-16843010,-16843010,33488638,0,1811939328,2,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,2080374784,2,2080374784,2,1358954496,0,0,-1811939328,2,-838860800,16777215,0,0,134217728,0,0,0,2483027968,2483027968,-1811939328,2,0,0,-1811939328,2,0
21,2352,3,1785,[],[],8242,51,"[3223,5782]","[20,-40]","",-33554432,-16843010,-16843010,-16843010,33488638,0,-1140850688,2,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-872415232,2,-872415232,2,1375731712,0,0,-469762048,2,-838860800,16777215,0,0,134217728,0,0,0,3825205248,3825205248,-469762048,2,0,0,-469762048,2,0
22,2352,4,1785,[],[],8181,51,"[173,2513]","[0,5]","",-33554432,-16843010,-16843010,-16843010,33488638,0,201326592,3,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,469762048,3,469762048,3,855638016,0,0,805306368,3,0,0,0,0,134217728,0,0,0,805306368,805306368,805306368,3,0,0,805306368,3,0
23,2387,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,805306368,3,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,805306368,3,201326592,0,0,0,0,805306368,3,0,0,0,0,134217728,0,0,0,805306368,805306368,805306368,3,0,0,805306368,3,0
24,2387,2,1785,[],[],8240,51,"[173,2513]","[4,10]","",-33554432,-16843010,-16843010,-16843010,33488638,0,1342177280,3,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1610612736,3,2080374784,2,1358954496,0,0,1610612736,3,-838860800,16777215,0,0,134217728,0,0,0,1610612736,1610612736,1610612736,3,0,0,1610612736,3,0
25,2387,3,1785,[],[],8242,51,"[3223,5782]","[20,-40]","",-33554432,-16843010,-16843010,-16843010,33488638,0,-2147483648,3,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-1879048192,3,-872415232,2,1375731712,0,0,-1879048192,3,-838860800,16777215,0,0,134217728,0,0,0,2415919104,2415919104,-1879048192,3,0,0,-1879048192,3,0
26,2387,4,1785,[],[],8181,51,"[173,2513]","[0,5]","",-33554432,-16843010,-16843010,-16843010,33488638,0,-1342177280,3,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-1073741824,3,469762048,3,855638016,0,0,-1073741824,3,0,0,0,0,134217728,0,0,0,3221225472,3221225472,-1073741824,3,0,0,-1073741824,3,0
27,2410,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,-1073741824,3,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-1073741824,3,201326592,0,0,0,0,-1073741824,3,0,0,0,0,134217728,0,0,0,3221225472,3221225472,-1073741824,3,0,0,-1073741824,3,0
28,2410,3,1866,[214],[8],8205,51,"[175,634,6184]","[50,-60,2]","",-33554432,-16843010,-16843010,-16843010,16711422,0,268435456,4,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,268435456,4,268435456,4,1040187392,0,0,704643072,4,0,0,0,0,134217728,0,0,0,704643072,704643072,704643072,4,0,0,704643072,4,0
29,2350,0,378,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,704643072,4,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,704643072,4,704643072,4,0,0,0,1140850688,4,0,0,0,0,134217728,0,0,0,1140850688,1140850688,1140850688,4,0,0,1140850688,4,0
30,2350,1,2639,[],[],8200,24,[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1140850688,4,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1140850688,4,1140850688,4,956301312,0,0,1543503872,4,0,0,0,0,134217728,0,0,0,1543503872,1543503872,1543503872,4,0,0,1543503872,4,0
31,2350,2,1008,[],[],8202,32,[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1543503872,4,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1543503872,4,1543503872,4,973078528,0,0,-2046820352,4,0,0,0,0,134217728,0,0,0,2248146944,2248146944,-2046820352,4,0,0,-2046820352,4,0
32,2350,3,1133,[],[],8196,32,"[1826,612,357]","[20,50,-2400]","",-33554432,-16843010,-16843010,-16843010,16711422,0,-1040187392,4,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-1040187392,4,-1040187392,4,922746880,0,0,-637534208,4,0,0,0,0,134217728,0,0,0,3657433088,3657433088,-637534208,4,0,0,-637534208,4,0
33,2350,4,1133,[2163],[3],8248,32,[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,-301989888,4,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-301989888,4,-301989888,4,0,0,0,201326592,5,-671088640,16777215,0,0,134217728,0,0,0,201326592,201326592,201326592,5,0,0,201326592,5,0
34,983,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,5,83886080,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,201326592,5,201326592,0,0,0,0,201326592,5,0,0,0,0,134217728,0,0,0,201326592,201326592,201326592,5,0,0,201326592,5,0
35,985,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,5,83886080,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,201326592,5,201326592,0,0,0,0,201326592,5,0,0,0,0,134217728,0,0,0,201326592,201326592,201326592,5,0,0,201326592,5,0
36,987,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,5,83886080,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,201326592,5,201326592,0,0,0,0,201326592,5,0,0,0,0,134217728,0,0,0,201326592,201326592,201326592,5,0,0,201326592,5,0
37,392,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,201326592,5,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,201326592,5,201326592,5,0,0,0,671088640,5,0,0,0,0,134217728,0,0,0,671088640,671088640,671088640,5,0,0,671088640,5,0
38,392,1,326,[1234],[20],6222,"",[],[],"",-33554432,-16843010,-16843010,-16843010,33488638,0,939524096,5,0,-33554432,-16843010,-16843010,-16843010,150929150,0,1342177280,0,0,0,1207959552,5,536870912,1,0,0,0,1207959552,5,503316480,0,0,0,134217728,0,0,0,1207959552,1207959552,1207959552,5,0,0,1207959552,5,0
39,392,2,183,[],[],8212,"",[70],[-20],"",-33554432,-16843010,-16843010,-16843010,50265854,0,1543503872,5,0,-33554432,-16843010,-16843010,-16843010,150929150,0,2080374784,5,0,0,-503316480,6,-503316480,6,0,0,0,33554432,7,0,0,0,0,134217728,0,0,0,33554432,33554432,33554432,7,0,0,33554432,7,0
40,392,3,183,[],[],8213,"",[70],[-40],"",-33554432,-16843010,-16843010,-16843010,33488638,0,369098752,7,0,-33554432,-16843010,-16843010,-16843010,150929150,0,637534208,7,0,0,-872415232,7,-503316480,6,0,0,0,-872415232,7,0,0,0,0,134217728,0,0,0,3422552064,3422552064,-872415232,7,0,0,-872415232,7,0
41,400,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,-872415232,7,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-872415232,7,201326592,5,0,0,0,-872415232,7,0,0,0,0,134217728,0,0,0,3422552064,3422552064,-872415232,7,0,0,-872415232,7,0
42,400,1,326,[1234],[20],6222,"",[],[],"",-33554432,-16843010,-16843010,-16843010,33488638,0,-603979776,7,0,-33554432,-16843010,-16843010,-16843010,150929150,0,1342177280,0,0,0,-335544320,7,536870912,1,0,0,0,-335544320,7,503316480,0,0,0,134217728,0,0,0,3959422976,3959422976,-335544320,7,0,0,-335544320,7,0
43,400,2,183,[],[],8212,"",[70],[-20],"",-33554432,-16843010,-16843010,-16843010,50265854,0,-67108864,7,0,-33554432,-16843010,-16843010,-16843010,150929150,0,2080374784,5,0,0,469762048,8,-503316480,6,0,0,0,469762048,8,0,0,0,0,134217728,0,0,0,469762048,469762048,469762048,8,0,0,469762048,8,0
44,400,3,183,[],[],8213,"",[70],[-40],"",-33554432,-16843010,-16843010,-16843010,33488638,0,738197504,8,0,-33554432,-16843010,-16843010,-16843010,150929150,0,637534208,7,0,0,1006632960,8,-503316480,6,0,0,0,1006632960,8,0,0,0,0,134217728,0,0,0,1006632960,1006632960,1006632960,8,0,0,1006632960,8,0
45,980,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1006632960,8,83886080,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1006632960,8,201326592,0,0,0,0,1006632960,8,0,0,0,0,134217728,0,0,0,1006632960,1006632960,1006632960,8,0,0,1006632960,8,0
46,981,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1006632960,8,83886080,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1006632960,8,201326592,0,0,0,0,1006632960,8,0,0,0,0,134217728,0,0,0,1006632960,1006632960,1006632960,8,0,0,1006632960,8,0
47,982,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1006632960,8,83886080,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1006632960,8,201326592,0,0,0,0,1006632960,8,0,0,0,0,134217728,0,0,0,1006632960,1006632960,1006632960,8,0,0,1006632960,8,0
48,898,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1006632960,8,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1006632960,8,201326592,0,0,0,0,1006632960,8,0,0,0,0,134217728,0,0,0,1006632960,1006632960,1006632960,8,0,0,1006632960,8,0
49,898,1,7954,[],[],8148,"",[434],[100],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1342177280,8,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1342177280,8,1342177280,8,0,0,0,1845493760,8,167772160,0,0,0,134217728,0,0,0,1845493760,1845493760,1845493760,8,0,0,1845493760,8,0
50,898,2,7954,[],[],8150,"","[434,70]","[100,-30]","",-33554432,-16843010,-16843010,-16843010,33488638,0,-1778384896,8,0,-33554432,-16843010,-16843010,-16843010,150929150,0,-1509949440,8,0,0,1577058304,9,1577058304,9,0,0,0,2113929216,9,0,0,0,0,134217728,0,0,0,2113929216,2113929216,2113929216,9,0,0,2113929216,9,0
51,405,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,2113929216,9,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,16777216,0,2113929216,9,201326592,5,0,0,0,-1912602624,9,0,0,0,0,134217728,0,0,0,2382364672,2382364672,-1912602624,9,0,0,-1912602624,9,0
52,405,3,7953,[],[],8314,114,[],[],"",1694498816,22,0,0,0,0,-1912602624,9,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,16777216,0,-1912602624,9,-1644167168,9,1593835520,0,0,-1107296256,9,0,0,0,0,134217728,0,0,0,3187671040,3187671040,-1107296256,9,0,0,-1107296256,9,0
53,405,4,7953,[],[],8210,23,[],[],"",-33554432,-16843010,-16843010,-16843010,33488638,0,-1107296256,9,0,-33554432,-16843010,-16843010,-16843010,150929150,0,-838860800,9,16777216,0,-1912602624,10,-1644167168,10,1124073472,0,0,-1140850688,10,0,0,0,0,134217728,0,0,0,3154116608,3154116608,-1140850688,10,0,0,-1140850688,10,0
54,745,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,-1140850688,10,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-1140850688,10,201326592,0,0,0,0,-1140850688,10,0,0,0,0,134217728,0,0,0,3154116608,3154116608,-1140850688,10,0,0,-1140850688,10,0
55,468,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,-1140850688,10,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-1140850688,10,201326592,0,0,0,0,-1140850688,10,0,0,0,0,134217728,0,0,0,3154116608,3154116608,-1140850688,10,0,0,-1140850688,10,0
56,765,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,-1140850688,10,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-1140850688,10,201326592,0,0,0,0,-1140850688,10,0,0,0,0,134217728,0,0,0,3154116608,3154116608,-1140850688,10,0,0,-1140850688,10,0
57,915,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,-1140850688,10,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-1140850688,10,201326592,0,0,0,0,-1140850688,10,0,0,0,0,134217728,0,0,0,3154116608,3154116608,-1140850688,10,0,0,-1140850688,10,0
58,915,1,7954,[],[],8148,"",[434],[100],"",-33554432,-16843010,-16843010,-16843010,16711422,0,-872415232,10,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-872415232,10,1342177280,8,0,0,0,-872415232,10,0,0,0,0,134217728,0,0,0,3422552064,3422552064,-872415232,10,0,0,-872415232,10,0
59,915,2,7954,[],[],8150,"","[434,70]","[100,-30]","",-33554432,-16843010,-16843010,-16843010,33488638,0,-335544320,10,0,-33554432,-16843010,-16843010,-16843010,150929150,0,-1509949440,8,0,0,-67108864,10,1577058304,9,0,0,0,-67108864,10,0,0,0,0,134217728,0,0,0,4227858432,4227858432,-67108864,10,0,0,-67108864,10,0
60,915,3,4638,[],[],8315,20,[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,-67108864,10,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-67108864,10,-67108864,10,1610612736,0,0,436207616,11,-671088640,16777215,0,0,134217728,0,0,0,436207616,436207616,436207616,11,0,0,436207616,11,0
61,915,4,4638,[],[],8313,20,[318],[50],"",704643072,18,0,0,16777216,0,771751936,11,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1040187392,11,1040187392,11,1577058304,0,0,1476395008,11,0,0,0,0,134217728,0,0,0,1476395008,1476395008,1476395008,11,0,0,1476395008,11,0
62,568,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1476395008,11,100663296,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1476395008,11,201326592,0,0,0,0,1476395008,11,0,0,0,0,134217728,0,0,0,1476395008,1476395008,1476395008,11,0,0,1476395008,11,0
63,568,2,326,[],[],8252,114,[],[],"",-637534208,27,0,0,0,0,1476395008,11,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1476395008,11,1476395008,11,1660944384,0,0,1979711488,11,0,0,0,0,134217728,0,0,0,1979711488,1979711488,1979711488,11,0,0,1979711488,11,0
64,458,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1979711488,11,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1979711488,11,201326592,0,0,0,0,1979711488,11,335544320,0,0,0,134217728,0,0,0,1979711488,1979711488,1979711488,11,0,0,1979711488,11,0
65,458,1,5697,[],[],8316,"",[],[],"",1711276032,22,0,0,0,0,1979711488,11,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1979711488,11,1979711488,11,1627389952,0,0,-1946157056,11,0,0,0,0,134217728,0,0,0,2348810240,2348810240,-1946157056,11,0,0,-1946157056,11,0
66,458,3,7966,[],[],8208,22,[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,-1946157056,11,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-1946157056,11,-1946157056,11,1090519040,0,0,-1677721600,11,0,0,0,0,134217728,0,0,0,2617245696,2617245696,-1677721600,11,0,0,-1677721600,11,0
67,458,4,2651,[],[],8204,23,[],[],"",1392508928,11,0,0,0,0,-1677721600,11,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-1677721600,11,-1677721600,11,1644167168,0,0,-1207959552,11,503316480,0,0,0,134217728,0,0,0,3087007744,3087007744,-1207959552,11,0,0,-1207959552,11,0
68,573,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,-1207959552,11,100663296,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-1207959552,11,201326592,0,0,0,0,-1207959552,11,0,0,0,0,134217728,0,0,0,3087007744,3087007744,-1207959552,11,0,0,-1207959552,11,0
69,573,2,326,[],[],8252,114,[],[],"",-637534208,27,0,0,0,0,-1207959552,11,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-1207959552,11,1476395008,11,1660944384,0,0,-1207959552,11,1174405120,0,0,0,134217728,0,0,0,3087007744,3087007744,-1207959552,11,0,0,-1207959552,11,0
70,492,0,326,[],[],8156,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,-1207959552,11,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-1207959552,11,-1207959552,11,0,0,0,-905969664,11,0,0,0,0,134217728,0,0,0,3388997632,3388997632,-905969664,11,0,0,-905969664,11,0
71,492,1,326,[],[],8183,1,[],[],"",-1140850688,5,0,0,0,0,-905969664,11,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-905969664,11,-905969664,11,939524096,0,0,-301989888,11,0,0,0,0,134217728,0,0,0,3992977408,3992977408,-301989888,11,0,0,-301989888,11,0
72,492,3,326,[],[],8187,1,[1215],[200],"",-1140850688,5,0,0,0,0,-33554432,11,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,-33554432,11,-33554432,11,872415232,0,0,570425344,12,0,0,0,0,134217728,0,0,0,570425344,570425344,570425344,12,0,0,570425344,12,0
73,2385,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,570425344,12,33554432,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,570425344,12,201326592,0,0,0,0,570425344,12,0,0,0,0,134217728,0,0,0,570425344,570425344,570425344,12,0,0,570425344,12,0
74,2385,1,598,[],[],8175,40,[173],[4],"",-33554432,-16843010,-16843010,-16843010,16711422,0,838860800,12,33554432,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,838860800,12,503316480,2,822083584,0,0,838860800,12,1174405120,0,0,0,134217728,0,0,0,838860800,838860800,838860800,12,0,0,838860800,12,0
75,2348,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,838860800,12,33554432,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,838860800,12,201326592,0,0,0,0,838860800,12,0,0,0,0,134217728,0,0,0,838860800,838860800,838860800,12,0,0,838860800,12,0
76,2348,1,598,[],[],8175,40,[173],[4],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1107296256,12,33554432,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1107296256,12,503316480,2,822083584,0,0,1107296256,12,1174405120,0,0,0,134217728,0,0,0,1107296256,1107296256,1107296256,12,0,0,1107296256,12,0
77,2411,0,326,[],[],8220,"",[],[],"",-33554432,-16843010,-16843010,-16843010,16711422,0,1107296256,12,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,1107296256,12,201326592,0,0,0,0,1107296256,12,0,0,0,0,134217728,0,0,0,1107296256,1107296256,1107296256,12,0,0,1107296256,12,0
78,2411,2,1866,[],[],8205,21,"[175,6184,195]","[50,12,1]","",-33554432,-16843010,-16843010,-16843010,16711422,0,2113929216,12,0,-33554432,-16843010,-16843010,-16843010,150929150,0,134217728,0,0,0,2113929216,12,268435456,4,1040187392,0,0,2113929216,12,671088640,0,0,0,134217728,0,0,0,2113929216,2113929216,2113929216,12,0,0,2113929216,12,0
