"rownum","BetrayalJobsKey","BetrayalTargetsKey","BetrayalRanksKey","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Description2","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)"
11,4,16,3,"Experimenting with Veiled Chaos Orbs","Mène des expérimentations avec des Orbes du chaos cryptés","Experimentiert mit Verhüllten Chaossphären","秘匿の混沌のオーブの実験","실험한 장막의 카오스 오브","Testando Orbes do Caos Ocultos","Экспериментирует со сферами скрытого хаоса","Experimentar con orbes exaltados encriptados","ทดลองกับ Veiled Chaos Orb","調查超越聖甲蟲","Gambling with Boots Properties","Joue avec les Propriétés des Bottes","Experimentiert mit Stiefel-Eigenschaften","靴の特性のギャンブル","장화 속성 도박","Apostando com Propriedades de Botas","Спекулирует на свойствах сапог","Apostar sobre las propiedades de las botas","เสี่ยงโชคกับคุณสมบัติของรองเท้า","用鞋子屬性博弈"
12,3,10,1,"Looting Breach Scarabs","Ramasse des Scarabées de Brèche","Erbeutet Riss-Skarabäen","ブリーチスカラベの略奪","획득한 균열 갑충석","Pilhando Escaravelhos das Fendas","Собирает скарабеев Разлома","Robar escarabajos de fisura","ปล้นสคารับบรีช","強奪裂痕聖甲蟲","Looting Breach Scarabs","Ramasse des Scarabées de Brèche","Erbeutet Riss-Skarabäen","ブリーチスカラベの略奪","획득한 균열 갑충석","Recolhendo Escaravelhos de Fendas","Собирает скарабеев Разлома","Robar escarabajos de fisura","ปล้นสคารับบรีช","強奪裂痕聖甲蟲"
13,3,10,2,"Looting Breach Scarabs","Ramasse des Scarabées de Brèche","Erbeutet Riss-Skarabäen","ブリーチスカラベの略奪","획득한 균열 갑충석","Pilhando Escaravelhos das Fendas","Собирает скарабеев Разлома","Robar escarabajos de fisura","ปล้นสคารับบรีช","強奪裂痕聖甲蟲","Looting Breach Scarabs","Ramasse des Scarabées de Brèche","Erbeutet Riss-Skarabäen","ブリーチスカラベの略奪","획득한 균열 갑충석","Recolhendo Escaravelhos de Fendas","Собирает скарабеев Разлома","Robar escarabajos de fisura","ปล้นสคารับบรีช","強奪裂痕聖甲蟲"
14,3,10,3,"Looting Breach Scarabs","Ramasse des Scarabées de Brèche","Erbeutet Riss-Skarabäen","ブリーチスカラベの略奪","획득한 균열 갑충석","Pilhando Escaravelhos das Fendas","Собирает скарабеев Разлома","Robar escarabajos de fisura","ปล้นสคารับบรีช","強奪裂痕聖甲蟲","Looting Breach Scarabs","Ramasse des Scarabées de Brèche","Erbeutet Riss-Skarabäen","ブリーチスカラベの略奪","획득한 균열 갑충석","Recolhendo Escaravelhos de Fendas","Собирает скарабеев Разлома","Robar escarabajos de fisura","ปล้นสคารับบรีช","強奪裂痕聖甲蟲"
15,1,10,1,"Enriching Breachstones","Améliore les Pierres de Brèche","Reichert Riss-Steine an","ブリーチストーンの濃縮","강화한 균열석","Enriquecendo Pedras das Fendas","Обогащает камни Разлома","Enriquecer piedras de fisura","เสริมพลังแก่ศิลาบรีช","刷裂痕（回家吧，瘋子！）","Smuggling Jewels (Trapped Chests!)","Fait de la contrebande de Joyaux (Coffres piégés !)","Schmuggelt Juwelen (Truhen mit Fallen!)","ジュエルの密輸（トラップチェスト！）","밀수한 주얼 (덫 상자!)","Contrabandeando Jóias (Baús Trancados!)","Тайно провозит самоцветы (ловушки в сундуках!)","Traficar con joyas (¡Cofres atrapados!)","ลอบขนจิวเวล\r\n(หีบติดกับดัก!)","走私珠寶（陷阱寶箱！）"
16,1,10,2,"Enriching Breachstones","Améliore les Pierres de Brèche","Reichert Riss-Steine an","ブリーチストーンの濃縮","강화한 균열석","Enriquecendo Pedras das Fendas","Обогащает камни Разлома","Enriquecer piedras de fisura","เสริมพลังแก่ศิลาบรีช","刷裂痕（回家吧，瘋子！）","Smuggling Jewels (Trapped Chests!)","Fait de la contrebande de Joyaux (Coffres piégés !)","Schmuggelt Juwelen (Truhen mit Fallen!)","ジュエルの密輸（トラップチェスト！）","밀수한 주얼 (덫 상자!)","Contrabandeando Jóias (Baús Trancados!)","Тайно провозит самоцветы (ловушки в сундуках!)","Traficar con joyas (¡Cofres atrapados!)","ลอบขนจิวเวล\r\n(หีบติดกับดัก!)","走私珠寶（陷阱寶箱！）"
17,1,10,3,"Enriching Breachstones","Améliore les Pierres de Brèche","Reichert Riss-Steine an","ブリーチストーンの濃縮","강화한 균열석","Enriquecendo Pedras das Fendas","Обогащает камни Разлома","Enriquecer piedras de fisura","เสริมพลังแก่ศิลาบรีช","刷裂痕（回家吧，瘋子！）","Smuggling Jewels (Trapped Chests!)","Fait de la contrebande de Joyaux (Coffres piégés !)","Schmuggelt Juwelen (Truhen mit Fallen!)","ジュエルの密輸（トラップチェスト！）","밀수한 주얼 (덫 상자!)","Contrabandeando Jóias (Baús Trancados!)","Тайно провозит самоцветы (ловушки в сундуках!)","Traficar con joyas (¡Cofres atrapados!)","ลอบขนจิวเวล\r\n(หีบติดกับดัก!)","走私珠寶（陷阱寶箱！）"
18,2,10,1,"Mapping Breaches (Go home, freak!)","Cartographie des Brèches (Retourne d'où tu viens, erreur de la nature !)","Vermisst Risse (Geh nach Hause, Freak!)","ブリーチのマッピング（奇人、帰れ！）","균열 지도 탐험 (돌아가라, 이 괴물!)","Mapeando Fendas (Vai pra casa, coisa estranha!)","Картографирует Разломы (вали домой, ненормальное!)","Mapear fisuras (¡Vete a casa, bicho raro!)","ทำแผนที่เกี่ยวกับบรีช\r\n(กลับบ้านไปไอ้ตัวประหลาด!)","傳送裂痕裂片","Transporting Jewels","Transporte des Joyaux","Transportiert Juwelen","ジュエルの輸送","수송 중인 주얼","Transportando Joias","Перевозит самоцветы","Transportar joyas","ขนส่งจิวเวล","護送珠寶"
19,2,10,2,"Mapping Breaches (Go home, freak!)","Cartographie des Brèches (Retourne d'où tu viens, erreur de la nature !)","Vermisst Risse (Geh nach Hause, Freak!)","ブリーチのマッピング（奇人、帰れ！）","균열 지도 탐험 (돌아가라, 이 괴물!)","Mapeando Fendas (Vai pra casa, coisa estranha!)","Картографирует Разломы (вали домой, ненормальное!)","Mapear fisuras (¡Vete a casa, bicho raro!)","ทำแผนที่เกี่ยวกับบรีช\r\n(กลับบ้านไปไอ้ตัวประหลาด!)","傳送裂痕裂片","Transporting Jewels","Transporte des Joyaux","Transportiert Juwelen","ジュエルの輸送","수송 중인 주얼","Transportando Joias","Перевозит самоцветы","Transportar joyas","ขนส่งจิวเวล","護送珠寶"
20,2,10,3,"Mapping Breaches (Go home, freak!)","Cartographie des Brèches (Retourne d'où tu viens, erreur de la nature !)","Vermisst Risse (Geh nach Hause, Freak!)","ブリーチのマッピング（奇人、帰れ！）","균열 지도 탐험 (돌아가라, 이 괴물!)","Mapeando Fendas (Vai pra casa, coisa estranha!)","Картографирует Разломы (вали домой, ненормальное!)","Mapear fisuras (¡Vete a casa, bicho raro!)","ทำแผนที่เกี่ยวกับบรีช\r\n(กลับบ้านไปไอ้ตัวประหลาด!)","傳送裂痕裂片","Transporting Jewels","Transporte des Joyaux","Transportiert Juwelen","ジュエルの輸送","수송 중인 주얼","Transportando Joias","Перевозит самоцветы","Transportar joyas","ขนส่งจิวเวล","護送珠寶"
21,4,10,1,"Experimenting with Tainted Socket Currency","Mène des expérimentations avec des Objets monétaires de châsse impurs","Experimentiert mit korrosiver Fassungswährung","汚染されたソケットカレンシーの実験","실험한 더럽혀진 홈 화폐","Testando Moeda de Encaixe Maculada","Экспериментирует с порочной валютой для гнёзд","Experimentar con objetos monetarios engarzados contaminados","ทดลองกับเงินตรารูที่แปดเปื้อน","充實裂痕石","Gambling with Jewel Properties","Joue avec les Propriétés des Joyaux","Experimentiert mit Juwelen-Eigenschaften","ジュエルのプロパティをギャンブル","주얼 속성 도박","Apostando com Propriedades de Joias","Спекулирует на свойствах самоцветов","Apostar sobre las propiedades de las joyas","เสี่ยงโชคกับคุณสมบัติของจิวเวล","賭珠寶詞綴"
22,4,10,2,"Experimenting with Tainted Socket Currency","Mène des expérimentations avec des Objets monétaires de châsse impurs","Experimentiert mit korrosiver Fassungswährung","汚染されたソケットカレンシーの実験","실험한 더럽혀진 홈 화폐","Testando Moeda de Encaixe Maculada","Экспериментирует с порочной валютой для гнёзд","Experimentar con objetos monetarios engarzados contaminados","ทดลองกับเงินตรารูที่แปดเปื้อน","充實裂痕石","Gambling with Jewel Properties","Joue avec les Propriétés des Joyaux","Experimentiert mit Juwelen-Eigenschaften","ジュエルのプロパティをギャンブル","주얼 속성 도박","Apostando com Propriedades de Joias","Спекулирует на свойствах самоцветов","Apostar sobre las propiedades de las joyas","เสี่ยงโชคกับคุณสมบัติของจิวเวล","賭珠寶詞綴"
23,4,10,3,"Experimenting with Tainted Socket Currency","Mène des expérimentations avec des Objets monétaires de châsse impurs","Experimentiert mit korrosiver Fassungswährung","汚染されたソケットカレンシーの実験","실험한 더럽혀진 홈 화폐","Testando Moeda de Encaixe Maculada","Экспериментирует с порочной валютой для гнёзд","Experimentar con objetos monetarios engarzados contaminados","ทดลองกับเงินตรารูที่แปดเปื้อน","充實裂痕石","Gambling with Jewel Properties","Joue avec les Propriétés des Joyaux","Experimentiert mit Juwelen-Eigenschaften","ジュエルのプロパティをギャンブル","주얼 속성 도박","Apostando com Propriedades de Joias","Спекулирует на свойствах самоцветов","Apostar sobre las propiedades de las joyas","เสี่ยงโชคกับคุณสมบัติของจิวเวล","賭珠寶詞綴"
24,3,15,1,"Pillaging Delirium Scarabs","Pille des Scarabées du Délire","Plündert Delirium-Skarabäen","デリリウムスカラベの略奪","약탈한 환영 갑충석","Saqueando Escaravelhos do Delírio","Силой забирает скарабеев Делириума","Saquear escarabajos de delirio","ช่วงชิงสคารับเดลิเรียม","掠奪硫酸聖甲蟲","Looting Delve Scarabs","Ramasse des Scarabées de Delve","Sichert Delve-Skarabäen","デルブスカラベの略奪","획득한 탐광 갑충석","Coletando Escaravelhos da Delve","Собирает скарабеев Спуска","Sustraer escarabajos de la mina","ปล้นสคารับเหมืองลึก","保護稀有裝備"
25,3,15,2,"Pillaging Delirium Scarabs","Pille des Scarabées du Délire","Plündert Delirium-Skarabäen","デリリウムスカラベの略奪","약탈한 환영 갑충석","Saqueando Escaravelhos do Delírio","Силой забирает скарабеев Делириума","Saquear escarabajos de delirio","ช่วงชิงสคารับเดลิเรียม","掠奪硫酸聖甲蟲","Looting Delve Scarabs","Ramasse des Scarabées de Delve","Sichert Delve-Skarabäen","デルブスカラベの略奪","획득한 탐광 갑충석","Coletando Escaravelhos da Delve","Собирает скарабеев Спуска","Sustraer escarabajos de la mina","ปล้นสคารับเหมืองลึก","保護稀有裝備"
26,3,15,3,"Pillaging Delirium Scarabs","Pille des Scarabées du Délire","Plündert Delirium-Skarabäen","デリリウムスカラベの略奪","약탈한 환영 갑충석","Saqueando Escaravelhos do Delírio","Силой забирает скарабеев Делириума","Saquear escarabajos de delirio","ช่วงชิงสคารับเดลิเรียม","掠奪硫酸聖甲蟲","Looting Delve Scarabs","Ramasse des Scarabées de Delve","Sichert Delve-Skarabäen","デルブスカラベの略奪","획득한 탐광 갑충석","Coletando Escaravelhos da Delve","Собирает скарабеев Спуска","Sustraer escarabajos de la mina","ปล้นสคารับเหมืองลึก","保護稀有裝備"
27,1,15,1,"Hoarding Jewels (Trapped Chests!)","Entasse des Joyaux (Coffres piégés !)","Hortet Juwelen (Truhen mit Fallen!)","ジュエルの貯め込み（トラップチェスト！）","비축한 주얼 (덫 상자!)","Amontoando Joias (Baús com Armadilha!)","Припрятывает самоцветы (ловушки в сундуках!)","Acaparar joyas (¡cofres atrapados!)","กักตุนจิวเวล\r\n(หีบติดกับดัก!)","囤積珠寶（陷阱寶箱！）","Smuggling Rings (Trapped Chests!)","Fait de la contrebande de Bagues (Coffres piégés !)","Schmuggelt Ringe (Truhen mit Fallen!)","指輪の密輸（トラップチェスト！）","밀수한 반지 (덫 상자!)","Contrabandeando Anéis (Baús Trancados!)","Тайно провозит кольца (ловушки в сундуках!)","Traficar con anillos (¡Cofres atrapados!)","ลอบขนแหวน\r\n(หีบติดกับดัก!)","走私戒指（陷阱寶箱！）"
28,1,15,2,"Hoarding Jewels (Trapped Chests!)","Entasse des Joyaux (Coffres piégés !)","Hortet Juwelen (Truhen mit Fallen!)","ジュエルの貯め込み（トラップチェスト！）","비축한 주얼 (덫 상자!)","Amontoando Joias (Baús com Armadilha!)","Припрятывает самоцветы (ловушки в сундуках!)","Acaparar joyas (¡cofres atrapados!)","กักตุนจิวเวล\r\n(หีบติดกับดัก!)","囤積珠寶（陷阱寶箱！）","Smuggling Rings (Trapped Chests!)","Fait de la contrebande de Bagues (Coffres piégés !)","Schmuggelt Ringe (Truhen mit Fallen!)","指輪の密輸（トラップチェスト！）","밀수한 반지 (덫 상자!)","Contrabandeando Anéis (Baús Trancados!)","Тайно провозит кольца (ловушки в сундуках!)","Traficar con anillos (¡Cofres atrapados!)","ลอบขนแหวน\r\n(หีบติดกับดัก!)","走私戒指（陷阱寶箱！）"
29,1,15,3,"Hoarding Jewels (Trapped Chests!)","Entasse des Joyaux (Coffres piégés !)","Hortet Juwelen (Truhen mit Fallen!)","ジュエルの貯め込み（トラップチェスト！）","비축한 주얼 (덫 상자!)","Amontoando Joias (Baús com Armadilha!)","Припрятывает самоцветы (ловушки в сундуках!)","Acaparar joyas (¡cofres atrapados!)","กักตุนจิวเวล\r\n(หีบติดกับดัก!)","囤積珠寶（陷阱寶箱！）","Smuggling Rings (Trapped Chests!)","Fait de la contrebande de Bagues (Coffres piégés !)","Schmuggelt Ringe (Truhen mit Fallen!)","指輪の密輸（トラップチェスト！）","밀수한 반지 (덫 상자!)","Contrabandeando Anéis (Baús Trancados!)","Тайно провозит кольца (ловушки в сундуках!)","Traficar con anillos (¡Cofres atrapados!)","ลอบขนแหวน\r\n(หีบติดกับดัก!)","走私戒指（陷阱寶箱！）"
30,2,15,1,"Pillaging Abyss Scarabs","Pille des Scarabées d'Abysse","Plündert Abgrund-Skarabäen","アビススカラベの略奪","약탈한 심연 갑충석","Saqueando Escaravelhos do Abismo","Силой забирает скарабеев Бездны","Saquear escarabajos de abismo","ช่วงชิงสคารับอะบิส","掠奪深淵聖甲蟲","Transporting Rings","Transporte des Bagues","Transportiert Ringe","指輪の輸送","수송 중인 반지","Transportando Anéis","Перевозит кольца","Transportar anillos","ขนส่งแหวน","護送戒指"
31,2,15,2,"Pillaging Abyss Scarabs","Pille des Scarabées d'Abysse","Plündert Abgrund-Skarabäen","アビススカラベの略奪","약탈한 심연 갑충석","Saqueando Escaravelhos do Abismo","Силой забирает скарабеев Бездны","Saquear escarabajos de abismo","ช่วงชิงสคารับอะบิส","掠奪深淵聖甲蟲","Transporting Rings","Transporte des Bagues","Transportiert Ringe","指輪の輸送","수송 중인 반지","Transportando Anéis","Перевозит кольца","Transportar anillos","ขนส่งแหวน","護送戒指"
32,2,15,3,"Pillaging Abyss Scarabs","Pille des Scarabées d'Abysse","Plündert Abgrund-Skarabäen","アビススカラベの略奪","약탈한 심연 갑충석","Saqueando Escaravelhos do Abismo","Силой забирает скарабеев Бездны","Saquear escarabajos de abismo","ช่วงชิงสคารับอะบิส","掠奪深淵聖甲蟲","Transporting Rings","Transporte des Bagues","Transportiert Ringe","指輪の輸送","수송 중인 반지","Transportando Anéis","Перевозит кольца","Transportar anillos","ขนส่งแหวน","護送戒指"
33,4,15,1,"Experimenting with Jewels","Mène des expérimentations sur des Joyaux","Experimentiert mit Juwelen","ジュエルの実験","실험한 주얼","Testando Joias","Экспериментирует с самоцветами","Experimentar con joyas","ทดลองกับจิวเวล","珠寶實驗","Gambling with Ring Properties","Joue avec les Propriétés des Bagues","Experimentiert mit Ring-Eigenschaften","指輪の特性のギャンブル","반지 속성 도박","Arriscando com Propriedades de Anéis","Спекулирует на свойствах колец","Apostar sobre las propiedades de los anillos","เสี่ยงโชคกับคุณสมบัติของแหวน","用戒指屬性博弈"
34,4,15,2,"Experimenting with Jewels","Mène des expérimentations sur des Joyaux","Experimentiert mit Juwelen","ジュエルの実験","실험한 주얼","Testando Joias","Экспериментирует с самоцветами","Experimentar con joyas","ทดลองกับจิวเวล","珠寶實驗","Gambling with Ring Properties","Joue avec les Propriétés des Bagues","Experimentiert mit Ring-Eigenschaften","指輪の特性のギャンブル","반지 속성 도박","Arriscando com Propriedades de Anéis","Спекулирует на свойствах колец","Apostar sobre las propiedades de los anillos","เสี่ยงโชคกับคุณสมบัติของแหวน","用戒指屬性博弈"
35,4,15,3,"Experimenting with Jewels","Mène des expérimentations sur des Joyaux","Experimentiert mit Juwelen","ジュエルの実験","실험한 주얼","Testando Joias","Экспериментирует с самоцветами","Experimentar con joyas","ทดลองกับจิวเวล","珠寶實驗","Gambling with Ring Properties","Joue avec les Propriétés des Bagues","Experimentiert mit Ring-Eigenschaften","指輪の特性のギャンブル","반지 속성 도박","Arriscando com Propriedades de Anéis","Спекулирует на свойствах колец","Apostar sobre las propiedades de los anillos","เสี่ยงโชคกับคุณสมบัติของแหวน","用戒指屬性博弈"
36,3,2,1,"\""Reappropriating\"" Beyond Scarabs","Reprend « ses » Scarabées d'Ailleurs","\""Zweckentfremdet\"" Jenseits-Skarabäen","ビヨンドスカラベの「再分配」","\""교정한\"" 이계 갑충석","\""Reatribuindo\"" Escaravelhos do Além","\""Заимствует\"" скарабеев Иномирья","\""Reapropiarse\"" de escarabajos del más allá","\""ยึด\"" สคารับต่างมิติ","「重新占有」泰坦聖甲蟲","\""Reappropriating\"" Titanic Scarabs","Reprend « ses » Scarabées titanesques","\""Zweckentfremdet\"" Titanische Skarabäen","タイタンのスカラベの「再分配」","\""교정한\"" 거대한 갑충석","\""Reapropriando\"" Escaravelhos Titânicos","\""Заимствует\"" титанических скарабеев","\""Reapropiarse\"" de escarabajos titánicos","\""ยึด\"" สคารับมหึมา","「重新占有」泰坦聖甲蟲"
37,3,2,2,"\""Reappropriating\"" Beyond Scarabs","Reprend « ses » Scarabées d'Ailleurs","\""Zweckentfremdet\"" Jenseits-Skarabäen","ビヨンドスカラベの「再分配」","\""교정한\"" 이계 갑충석","\""Reatribuindo\"" Escaravelhos do Além","\""Заимствует\"" скарабеев Иномирья","\""Reapropiarse\"" de escarabajos del más allá","\""ยึด\"" สคารับต่างมิติ","「重新占有」泰坦聖甲蟲","\""Reappropriating\"" Titanic Scarabs","Reprend « ses » Scarabées titanesques","\""Zweckentfremdet\"" Titanische Skarabäen","タイタンのスカラベの「再分配」","\""교정한\"" 거대한 갑충석","\""Reapropriando\"" Escaravelhos Titânicos","\""Заимствует\"" титанических скарабеев","\""Reapropiarse\"" de escarabajos titánicos","\""ยึด\"" สคารับมหึมา","「重新占有」泰坦聖甲蟲"
38,3,2,3,"\""Reappropriating\"" Beyond Scarabs","Reprend « ses » Scarabées d'Ailleurs","\""Zweckentfremdet\"" Jenseits-Skarabäen","ビヨンドスカラベの「再分配」","\""교정한\"" 이계 갑충석","\""Reatribuindo\"" Escaravelhos do Além","\""Заимствует\"" скарабеев Иномирья","\""Reapropiarse\"" de escarabajos del más allá","\""ยึด\"" สคารับต่างมิติ","「重新占有」泰坦聖甲蟲","\""Reappropriating\"" Titanic Scarabs","Reprend « ses » Scarabées titanesques","\""Zweckentfremdet\"" Titanische Skarabäen","タイタンのスカラベの「再分配」","\""교정한\"" 거대한 갑충석","\""Reapropriando\"" Escaravelhos Titânicos","\""Заимствует\"" титанических скарабеев","\""Reapropiarse\"" de escarabajos titánicos","\""ยึด\"" สคารับมหึมา","「重新占有」泰坦聖甲蟲"
