"rownum","string_0","MapStatConditionsKeys","StatsKeys","AchievementItemsKeys","MapTierAchievementsKeys","bool_72","WorldAreasKeys","[string]_89"
155,"FinalTier14PlusExpeditionMemoryLineMap","[78,79,91]",[],[],[],1,[0],[]
156,"FinalTier14PlusHarvestMemoryLineMap","[78,79,92]",[],[9037],[],1,[0],[]
157,"FinalTier14PlusHeistMemoryLineMap","[78,79,93]",[],[],[],1,[0],[]
158,"FinalTier14PlusIncursionMemoryLineMap","[78,79,94]",[],[9040],[],1,[0],[]
159,"FinalTier14PlusLegionMemoryLineMap","[78,79,95]",[],[],[],1,[0],[]
160,"FinalTier14PlusMetamorphMemoryLineMap","[78,79,96]",[],[],[],1,[0],[]
161,"FinalTier14PlusRitualMemoryLineMap","[78,79,97]",[],[],[],1,[0],[]
162,"FinalTier14PlusTormentMemoryLineMap","[78,79,98]",[],[9043],[],1,[0],[]
163,"FinalTier14PlusHarbingerMemoryLineMap","[78,79,99]",[],[9045],[],1,[0],[]
164,"Tier16AbyssMemoryLineMap","[21,81,78,101]",[],[9667],[],1,[0],[]
165,"Tier16AmbushMemoryLineMap","[21,82,78,101]",[],[9668],[],1,[0],[]
166,"Tier16AnarchyMemoryLineMap","[21,83,78,101]",[],[9104],[],1,[0],[]
167,"Tier16BestiaryMemoryLineMap","[21,84,78,101]",[],[9669],[],1,[0],[]
168,"Tier16BetrayalMemoryLineMap","[21,85,78,101]",[],[9104],[],1,[0],[]
169,"Tier16BlightMemoryLineMap","[21,86,78,101]",[],[9104],[],1,[0],[]
170,"Tier16BreachMemoryLineMap","[21,87,78,101]",[],[9670],[],1,[0],[]
171,"Tier16DeliriumMemoryLineMap","[21,88,78,101]",[],[9104],[],1,[0],[]
172,"Tier16DominationMemoryLineMap","[21,89,78,101]",[],[9671],[],1,[0],[]
173,"Tier16EssenceMemoryLineMap","[21,90,78,101]",[],[9672],[],1,[0],[]
174,"Tier16ExpeditionMemoryLineMap","[21,91,78,101]",[],[9104],[],1,[0],[]
175,"Tier16HarvestMemoryLineMap","[21,92,78,101]",[],[9674],[],1,[0],[]
176,"Tier16HeistMemoryLineMap","[21,93,78,101]",[],[9104],[],1,[0],[]
177,"Tier16IncursionMemoryLineMap","[21,94,78,101]",[],[9675],[],1,[0],[]
178,"Tier16LegionMemoryLineMap","[21,95,78,101]",[],[9104],[],1,[0],[]
179,"Tier16MetamorphMemoryLineMap","[21,96,78,101]",[],[9104],[],1,[0],[]
180,"Tier16RitualMemoryLineMap","[21,97,78,101]",[],[9104],[],1,[0],[]
181,"Tier16TormentMemoryLineMap","[21,98,78,101]",[],[9676],[],1,[0],[]
182,"Tier16HarbingerMemoryLineMap","[21,99,78,101]",[],[9673],[],1,[0],[]
183,"MavenWitnessT14Plus8ModMaps","[8,1,75]",[],[9235],[],1,[0],"[""'""]"
184,"MemoryAtlas100QuantityT14Plus","[80,101,75]",[],[9229],[],1,[0],[]
185,"Tier15Beachhead","[20,21]",[],[10157],[],"","[1256,1255,1091,1090,1089,1257]",[]
186,"WrithingInvitation70Quantity",[103],[],[10248],[],1,[1298],[]
187,"ScreamingInvitation70Quantity",[103],[],[10249],[],1,[1297],[]
188,"PolaricInvitation80Quantity",[102],[],[9243],[],1,[1296],[]
189,"IncandescentInvitation80Quantity",[102],[],[9696],[],1,[1297],[]
190,"MapPackSizeGrind",[],[1021],[9436],[],1,[0],[]
191,"SextantStrongboxes","[21,102,104,105]",[],[9443],[],1,[0],[]
192,"SextantBosses","[21,102,106,107]",[],[9442],[],1,[0],[]
193,"SextantPacks","[21,102,108,109]",[],[9444],[],1,[0],[]
194,"SextantGhostShrines1","[21,102,110,113]",[],[9445],[],1,[0],[]
195,"SextantGhostShrines2","[21,102,110,114]",[],[9445],[],1,[0],[]
196,"SextantGhostShrines3","[21,102,111,113]",[],[9445],[],1,[0],[]
197,"SextantGhostShrines4","[21,102,111,114]",[],[9445],[],1,[0],[]
198,"SextantGhostShrines5","[21,102,112,113]",[],[9445],[],1,[0],[]
199,"SextantGhostShrines6","[21,102,112,114]",[],[9445],[],1,[0],[]
200,"MapScarabTiers",[],[18398],[10031],[],1,[0],[]
201,"AtlasKiracMap",[118],[],[9440],[],1,[0],[]
202,"AtlasNikoMap",[116],[],[9438],[],1,[0],[]
203,"AtlasAlvaMap",[115],[],[9437],[],1,[0],[]
204,"AtlasEinharMap",[117],[],[9439],[],1,[0],[]
205,"Tier16Beachhead",[21],[],"[9581,10157]",[],1,[1258],[]
206,"RedTierAtlasMemoryMaps80Quant","[80,18,102]",[],[9717],[],1,[0],[]
207,"MapSextantMods",[],[5826],[9677],[],1,[0],[]
208,"MapScarabs",[],[18730],[10473],[],1,[0],[]
209,"RedTierUnidRareMap","[18,4,1]",[],[9722],[],1,[0],[]
210,"SextantMapBosses","[21,102,119,106,107]",[],[9992],[],1,[0],[]
211,"SextantMapPacks","[21,102,120,121,109]",[],[9993],[],1,[0],[]
212,"SextantTakeMoreDamage","[21,102,122,123,124,125]",[],[9994],[],1,[0],[]
213,"SextantPackSize","[21,102,126,127,128]",[],[9995],[],1,[0],[]
214,"MemoryMapQuant",[80],[1036],[9997],[],1,[0],[]
215,"80QuantBlightMapT14Plus","[61,75,102]",[],[9926],[],1,[0],[]
216,"T16BlightRavagedMap5Mods","[7,62,21]",[],[9927],[],1,[0],[]
217,"RedTier50QuantMaps","[18,129]",[],[10038],[],1,[0],[]
218,"T16plusDivinationScarab1","[133,130]",[],[10171],[],1,[0],[]
219,"T16plusDivinationScarab2","[133,131]",[],[10171],[],1,[0],[]
220,"T16plusDivinationScarab3","[133,132]",[],[10171],[],1,[0],[]
221,"MapScarabsComplete","[134,19]",[],[10196],[],1,[0],[]
222,"MemoryMapMods",[80],[4488],[10231],[],1,[0],[]
223,"CompleteT17Map",[22],[],[10825],[],1,[0],[]
224,"Tier17ItemQuantity",[22],[1036],[10246],[],1,[0],[]
225,"CompleteT17mapPacksize","[22,135]",[],[10247],[],1,[0],[]
226,"CompleteAbominationT17",[22],[],"[10279,10525]",[],1,[1276],[]
227,"CompleteCitadelT17",[22],[],"[10279,10525]",[],1,[1274],[]
228,"CompleteFortressT17",[22],[],"[10279,10525]",[],1,[1275],[]
229,"CompleteSanctuaryT17",[22],[],"[10279,10525]",[],1,[1273],[]
230,"CompleteZigguratT17",[22],[],"[10279,10525]",[],1,[1277],[]
231,"CompleteAbominationT17250Q","[22,100]",[],[10512],[],1,[1276],[]
232,"CompleteCitadelT17250Q","[22,100]",[],[10510],[],1,[1274],[]
233,"CompleteFortressT17250Q","[22,100]",[],[10511],[],1,[1275],[]
234,"CompleteSanctuaryT17250Q","[22,100]",[],[10509],[],1,[1273],[]
235,"CompleteZigguratT17250Q","[22,100]",[],[10513],[],1,[1277],[]
236,"BestiaryT16At80Q","[102,133,136]",[],[10212],[],1,[0],[]
237,"InfluenceT16At80Q","[102,133,137]",[],[10213],[],1,[0],[]
238,"HarbingerT16At80Q","[102,133,138]",[],[10214],[],1,[0],[]
239,"AbyssT16At80Q","[102,133,139]",[],[10215],[],1,[0],[]
240,"EssenceT16At80Q","[102,133,140]",[],[10216],[],1,[0],[]
241,"DominationT16At80Q","[102,133,141]",[],[10217],[],1,[0],[]
242,"IncursionT16At80Q","[102,133,142]",[],[10218],[],1,[0],[]
243,"BetrayalT16At80Q","[102,133,143]",[],[10219],[],1,[0],[]
244,"BlightT16At80Q","[102,133,144]",[],[10220],[],1,[0],[]
245,"BreachT16At80Q","[102,133,145]",[],[10221],[],1,[0],[]
246,"LegionT16At80Q","[102,133,146]",[],[10222],[],1,[0],[]
247,"MapT16At80Q","[102,133,147]",[],[10223],[],1,[0],[]
248,"BeyondT16At80Q","[102,133,148]",[],[10224],[],1,[0],[]
249,"AmbushT16At80Q","[102,133,149]",[],[10225],[],1,[0],[]
250,"UltimatumT16At80Q","[102,133,150]",[],[10226],[],1,[0],[]
251,"ExpeditionT16At80Q","[102,133,151]",[],[10227],[],1,[0],[]
252,"DeliriumT16At80Q","[102,133,152]",[],[10228],[],1,[0],[]
253,"MiscT16At80Q","[102,133,153]",[],[10229],[],1,[0],[]
254,"ItemisedPacks81plus","[75,1]",[20254],[10294],[],1,[0],[]
255,"HornedScarabRedTier","[19,154]",[],[4223],[],1,[0],[]
256,"T14PlusBlightedMap","[61,75,161]",[],[10683],[],1,[0],[]
257,"T14PlusBlightRavagedMap","[75,62]",[],[10683],[],1,[0],[]
258,"RedPurpleMap1DivinationScarab","[155,19,1]",[],[10443],[],1,[0],[]
259,"T16Plus80Quant4ScarabMap","[156,133,102]",[],[10488],[],1,[0],[]
260,"RedTierAboveQuantity",[19],[1036],[10539],[],1,[0],[]
261,"MavenInvitationQuantity",[],[1036],[10507],[],1,[1757],[]
262,"HungerInvitationQuantity",[],[1036],[10507],[],1,[1295],[]
263,"BlackStarInvitationQuantity",[],[1036],[10507],[],1,[1296],[]
264,"SearingExarchInvitationQuantity",[],[1036],[10507],[],1,[1297],[]
265,"EaterofWorldsInvitationQuantity",[],[1036],[10507],[],1,[1298],[]
266,"AbyssScarabMaps","[75,102]",[20205],[10722],[],1,[0],[]
267,"AmbushScarabMaps","[75,102]",[20200],[10723],[],1,[0],[]
268,"AnarchyScarabMaps","[75,102]",[20207],[10724],[],1,[0],[]
269,"BestiaryScarabMaps","[75,102]",[20194],[10725],[],1,[0],[]
270,"BetrayalScarabMaps","[75,102]",[20214],[10726],[],1,[0],[]
271,"BeyondScarabMaps","[75,102]",[20210],[10727],[],1,[0],[]
272,"BlightScarabMaps","[75,102]",[20204],[10728],[],1,[0],[]
273,"BreachScarabMaps","[75,102]",[20195],[10729],[],1,[0],[]
274,"CartographyScarabMaps","[75,102]",[20196],[10730],[],1,[0],[]
275,"DeliriumScarabMaps","[75,102]",[20209],[10731],[],1,[0],[]
276,"DelveScarabMaps","[75,102]",[20203],[10732],[],1,[0],[]
277,"DivinationScarabMaps","[75,102]",[20198],[10733],[],1,[0],[]
278,"DominationScarabMaps","[75,102]",[20213],[10734],[],1,[0],[]
279,"EssenceScarabMaps","[75,102]",[20216],[10735],[],1,[0],[]
280,"ExpeditionScarabMaps","[75,102]",[20217],[10736],[],1,[0],[]
281,"HarbingerScarabMaps","[75,102]",[20201],[10737],[],1,[0],[]
282,"HarvestScarabMaps","[75,102]",[20212],[10738],[],1,[0],[]
283,"IncursionScarabMaps","[75,102]",[20218],[10739],[],1,[0],[]
284,"InfluenceScarabMaps","[75,102]",[20206],[10740],[],1,[0],[]
285,"LegionScarabMaps","[75,102]",[20202],[10741],[],1,[0],[]
286,"MiscScarabMaps","[75,102]",[20208],[10742],[],1,[0],[]
287,"RitualScarabMaps","[75,102]",[20211],[10743],[],1,[0],[]
288,"SettlersScarabMaps","[75,102]",[20917],[10744],[],1,[0],[]
289,"TitanicScarabMaps","[75,102]",[20197],[10745],[],1,[0],[]
290,"TormentScarabMaps","[75,102]",[20199],[10746],[],1,[0],[]
291,"UltimatumScarabMaps","[75,102]",[20215],[10747],[],1,[0],[]
292,"TheatreMap",[1],[],[10777],[],1,[1280],[]
293,"ChamberMap",[1],[],[10776],[],1,[1279],[]
294,"CourtyardWastingMap",[1],[],[10775],[],1,[1278],[]
295,"ZanaInfluenceMap","[157,1]",[],[10774],[],1,[0],[]
296,"MavenInvitationModifiers",[],[4488],[10811],[],1,[1757],[]
297,"HungerInvitationModifiers",[],[4488],[10811],[],1,[1295],[]
298,"BlackStarInvitationModifiers",[],[4488],[10811],[],1,[1296],[]
299,"SearingExarchInvitationModifiers",[],[4488],[10811],[],1,[1297],[]
300,"EaterofWorldsInvitationModifiers",[],[4488],[10811],[],1,[1298],[]
301,"ElderGuardianMap80Q","[159,102]",[],[10829],[],1,[0],[]
302,"Phoenix80Q",[102],[],[10829],[],1,"[1059,1250]",[]
303,"Hydra80Q",[102],[],[10829],[],1,"[1058,1249]",[]
304,"Minotaur80Q",[102],[],[10829],[],1,"[1060,1251]",[]
305,"Chimera80Q",[102],[],[10829],[],1,"[1057,1248]",[]
306,"TheatreMap80Q",[102],[],[10829],[],1,[1280],[]
307,"ChamberMap80Q",[102],[],[10829],[],1,[1279],[]
308,"CourtyardWastingMap80Q",[102],[],[10829],[],1,[1278],[]
309,"T14MapTiers",[75],[9978],[10830],[],1,[0],[]
310,"ElderGuardianMap40Q","[159,160]",[],[10855],[],1,[0],[]
311,"Phoenix40Q",[160],[],[10855],[],1,"[1059,1250]",[]
312,"Hydra40Q",[160],[],[10855],[],1,"[1058,1249]",[]
313,"Minotaur40Q",[160],[],[10855],[],1,"[1060,1251]",[]
314,"Chimera40Q",[160],[],[10855],[],1,"[1057,1248]",[]
315,"TheatreMap40Q",[160],[],[10855],[],1,[1280],[]
316,"ChamberMap40Q",[160],[],[10855],[],1,[1279],[]
317,"CourtyardWastingMap40Q",[160],[],[10855],[],1,[1278],[]
318,"Abomination70Q","[22,103]",[],[10882],[],1,[1276],[]
319,"Citadel70Q","[22,103]",[],[10883],[],1,[1274],[]
320,"Fortress70Q","[22,103]",[],[10884],[],1,[1275],[]
321,"Sanctuary70Q","[22,103]",[],[10885],[],1,[1273],[]
322,"Ziggurat70Q","[22,103]",[],[10886],[],1,[1277],[]
323,"UniqueMap",[2],[],[10721],[],1,[0],[]
324,"HornedScarabMaps","[75,102]",[20219],[10887],[],1,[0],[]
325,"AnyTier14PlusRareMap","[75,1]",[],[10845],[],1,[0],[]
