"rownum","Id","MonsterTypesKey","i32","ObjectSize","MinimumAttackDistance","MaximumAttackDistance","ACTFiles","AOFiles","BaseMonsterTypeIndex","ModsKeys","i32","string","string","ModelSizeMultiplier","i32","i32","i32","i32","i32","TagsKeys","ExperienceMultiplier","[i32]","i32","i32","i32","CriticalStrikeChance","i32","GrantedEffectsKeys","AISFile","ModsKeys2","Stance","rid","Name","DamageMultiplier","LifeMultiplier","AttackSpeed","Weapon1_ItemVisualIdentityKeys","Weapon2_ItemVisualIdentityKeys","Back_ItemVisualIdentityKey","MainHand_ItemClassesKey","OffHand_ItemClassesKey","Helmet_ItemVisualIdentityKey","i32","KillSpecificMonsterCount_AchievementItemsKeys","Special_ModsKeys","KillRare_AchievementItemsKeys","bool","i32","i32","i32","i32","i32","i32","HASH16","bool","string","KillWhileOnslaughtIsActive_AchievementItemsKey","MonsterSegmentsKey","MonsterArmoursKey","KillWhileTalismanIsActive_AchievementItemsKey","Part1_ModsKeys","Part2_ModsKeys","Endgame_ModsKeys","rid","i32","i32","[rid]","[rid]","i32","SinkAnimation_AOFile","bool","[rid]","bool","bool","bool","i32","i32","f32","i32","EPKFile","i32","MonsterConditionalEffectPacksKey","bool","bool","i32","bool","i32","i32","i32","i32","i32","i32","AddonMonsterTypeIndex","i32","i32","i32","i32","i32","bool","BossHealthBar","bool"
10,"Metadata/Monsters/Bandits/BanditBowPoisonArrow",286,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,0,"[750,769,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,639,11096]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Alira's Deadeye",144,108,1995,[8453],[7374],7770,13,"","",0,[],[],[646],1,1,6,100,0,0,100,-4949,"","","",0,"","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
11,"Metadata/Monsters/Bandits/BanditCaster",286,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,100,"[750,769,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11096,639]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Shadow Archer",144,108,1995,[8453],[7374],7770,13,"","",0,[],[],[643],1,1,6,100,0,0,100,30870,"","","",0,1,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
12,"Metadata/Monsters/Bandits/BanditCasterSpawnerMap",658,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/GuardBanditBowMap",[],1,"","",100,3,6,4,1,100,"[750,769,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11096,639]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Shadow Archer",60,96,1995,[8453],[7374],7770,13,"","",0,[],[],[],"",1,6,100,0,0,100,-28830,"","","",0,1,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",0,0,0,96,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
13,"Metadata/Monsters/Bandits/BanditBowBossBlackwood",292,25,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandit_Invasion_Ranged.ao""]","Metadata/Monsters/Bandits/BanditBowUnique","[4000,7834,13723]",1,"","",130,3,6,4,1,0,"[750,806,786,71,48,768,796,31,29,765,822,32,118,802]",200,[],105,105,700,500,0,"[4346,1987,3006,1848,391]","Metadata/Monsters/Bandits/BanditBowBossBlackwood.ais","[6190,6196]","",1,"Targa, Beast Poacher",120,200,1995,[8453],[7374],7770,13,"","",0,[],[8448],[],"",1,6,100,0,0,100,-11991,"","","",3,"","",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,200,"",0,"",1,1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
14,"Metadata/Monsters/Bandits/BanditBowBossBlackwoodClone",292,25,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandit_Invasion_Ranged.ao""]","Metadata/Monsters/Bandits/BanditBowBossBlackwoodClone",[4000],1,"","",130,3,6,4,1,0,"[750,806,786,71,48,829,796,31,29,765,822,32,118,802]",200,[],105,105,700,500,0,[391],"Metadata/Monsters/Bandits/BanditBowBossBlackwoodClone.ais","[6190,6196]","",1,"Targa, Beast Poacher",120,200,1995,[8453],[7374],7770,13,"","",0,[],[8448],[],"",1,6,100,0,0,100,15964,"","","",3,"","",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,200,"",0,"",1,1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
15,"Metadata/Monsters/Bandits/BanditGuardMeleeChaos",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/GuardBanditRun","[6292,20602]",1,"","",100,3,6,1,1,0,"[750,819,806,777,774,71,48,796,764,31,29,765,118,801]",100,[3],105,105,700,500,0,"[382,11095]","Metadata/Monsters/Bandits/BanditMelee.ais","[6190,6196]","",1,"Alira's Blood Hand",90,115,1350,"[7358,7338]","[9465,9466]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,14395,"","","",0,"","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,115,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
16,"Metadata/Monsters/Bandits/BanditGuardMeleePuncture",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRun",[20602],1,"","",100,3,6,1,1,100,"[750,819,806,777,774,71,48,796,764,31,29,765,118,801]",100,[3],105,105,700,500,0,"[382,1828,11095]","Metadata/Monsters/Bandits/BanditMeleePuncture.ais","[6190,6196]","",1,"Kraityn's Stalwart",90,115,1350,"[7358,7338]","[7485,7486]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,-22872,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,115,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
17,"Metadata/Monsters/Bandits/BanditGuardMeleePunctureSpawner",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRun","[6630,20602]",1,"","",100,3,6,1,1,100,"[750,819,806,777,774,71,48,796,764,31,29,765,118,801]",100,[3],105,105,700,500,0,"[382,1828,11095]","Metadata/Monsters/Bandits/BanditMeleePuncture.ais","[6190,6196]","",1,"Kraityn's Stalwart",90,115,1350,"[7358,7338]","[7485,7486]","",9,26,"",0,[],[36720],[],"",1,6,100,0,0,100,-28630,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,115,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
18,"Metadata/Monsters/Bandits/BanditGuardMeleePunctureSpawnerMap",656,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRunMap",[20602],1,"","",100,3,6,1,1,100,"[750,819,806,777,774,71,48,796,764,31,765,118,801]",100,[3],105,105,700,500,0,"[382,1828,11095]","Metadata/Monsters/Bandits/BanditMeleePuncture.ais","[6190,6196]","",1,"Guard Stalwart",80,100,1350,"[7358,7338]","[7485,7486]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,-27904,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,100,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
19,"Metadata/Monsters/Bandits/BanditGuardMeleeWarlordsMark",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRun",[20602],1,"","",100,3,6,1,1,100,"[750,819,771,806,777,774,71,48,796,764,31,29,765,118,801]",100,[3],105,105,700,500,0,"[382,1105,11095]","Metadata/Monsters/Bandits/BanditMelee.ais","[6190,6196]","",1,"Oak's Fist",90,115,1350,"[7358,7338]","[7485,7486]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,-14607,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,115,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
20,"Metadata/Monsters/Bandits/BanditGuardMeleeWarlordsMarkSpawner",655,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRun","[6630,20602]",1,"","",100,3,6,1,1,100,"[750,819,771,806,777,774,71,48,796,764,31,29,765,118,801]",100,[3],105,105,700,500,0,"[382,1105,11095]","Metadata/Monsters/Bandits/BanditMelee.ais","[6190,6196]","",1,"Oak's Fist",90,115,1350,"[7358,7338]","[7485,7486]","",9,26,"",0,[],[36720],[],"",1,6,100,0,0,100,2988,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,115,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
21,"Metadata/Monsters/Bandits/BanditGuardMeleeWarlordsMarkSpawnerMap",656,19,3,6,11,"[""Metadata/Monsters/Bandits/Bandits.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditRunMap",[20602],1,"","",100,3,6,1,1,100,"[750,819,771,806,777,774,71,48,796,764,31,765,118,801]",100,[3],105,105,700,500,0,"[382,1105,11095]","Metadata/Monsters/Bandits/BanditMelee.ais","[6190,6196]","",1,"Guard Stalwart",80,100,1350,"[7358,7338]","[7485,7486]","",9,26,"",0,[],[],[],"",1,6,100,0,0,100,31991,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,100,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
22,"Metadata/Monsters/Bandits/BanditGuardBow",657,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBow",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11096,4957]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Oak's Guardian",72,108,1995,[8453],[7374],7770,13,"","",0,[],[],[],"",1,6,100,0,0,100,-10253,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
23,"Metadata/Monsters/Bandits/BanditGuardBow2",286,19,3,6,40,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/BanditBow",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11096]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Treacherous Deserter",144,108,1995,[8453],[7374],7770,13,"","",0,[],[],[],"",1,6,100,0,0,100,3170,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
24,"Metadata/Monsters/Bandits/BanditGuardBowSpawner",657,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBow",[6630],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11096,4957]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Oak's Guardian",72,108,1995,[8453],[7374],7770,13,"","",0,[],[36720],[],"",1,6,100,0,0,100,9355,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
25,"Metadata/Monsters/Bandits/BanditGuardBowSpawnerMap",658,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBowMap",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11096,4957]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Guard Archer",60,96,1995,[8453],[7374],7770,13,"","",0,[],[],[],"",1,6,100,0,0,100,-2642,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,96,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
26,"Metadata/Monsters/Bandits/BanditGuardBowBurningArrow",657,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBow",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11096,1924]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Kraityn's High Guard",72,108,1995,[8453],[7374],7770,13,"","",0,[],[],[],"",1,6,100,0,0,100,7362,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
27,"Metadata/Monsters/Bandits/BanditGuardBowBurningArrowSpawner",657,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBow",[6630],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,11096,1924]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Kraityn's High Guard",72,108,1995,[8453],[7374],7770,13,"","",0,[],[36720],[],"",1,6,100,0,0,100,5228,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
28,"Metadata/Monsters/Bandits/BanditGuardBowExplosiveArrow",657,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBow",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,1038,11096]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Kraityn's High Guard",72,108,1995,[8453],[7374],7770,13,"","",0,[],[],[],"",1,6,100,0,0,100,15700,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
29,"Metadata/Monsters/Bandits/BanditGuardBowExplosiveArrowSpawner",657,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBow",[6630],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,1038,11096]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Kraityn's High Guard",72,108,1995,[8453],[7374],7770,13,"","",0,[],[36720],[],"",1,6,100,0,0,100,-16047,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
30,"Metadata/Monsters/Bandits/BanditGuardBowExplosiveArrowSpawnerMap",658,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/Bandits.ao""]","Metadata/Monsters/Bandits/GuardBanditBowMap",[],1,"","",100,3,6,4,1,100,"[750,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,1038,11096]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Guard Archer",60,96,1995,[8453],[7374],7770,13,"","",0,[],[],[],"",1,6,100,0,0,100,-10030,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,96,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
31,"Metadata/Monsters/Bandits/BanditGuardBowPoison",657,19,3,6,36,"[""Metadata/Monsters/Bandits/BanditBow.act""]","[""Metadata/Monsters/Bandits/BanditCorrupted.ao""]","Metadata/Monsters/Bandits/GuardBanditBow",[],1,"","",100,3,6,4,1,100,"[750,769,806,786,71,48,796,31,29,765,822,32,118,801]",120,[3],105,105,700,500,0,"[382,639,11096]","Metadata/Monsters/Bandits/BanditBow.ais","[6190,6196]","",1,"Alira's Souleye",72,108,1995,[8453],[7374],7770,13,"","",0,[],[],[],"",1,6,100,0,0,100,-32564,"","","",0,2,"",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-5,5,0,108,"",0,"","",1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
32,"Metadata/Monsters/BanditLeaderInt/BanditLeaderAlira",484,30,2,6,35,"[""Metadata/Monsters/BanditLeaderInt/BanditLeaderInt.act""]","[""Metadata/Monsters/BanditLeaderInt/BanditLeaderInt.ao""]","Metadata/Monsters/BanditLeaderInt/BanditLeaderInt","[20607,22889,3918]",1,"","",100,3,6,8,2,0,"[750,34,766,783,71,48,807,796,803,30,29,765,32,118]",120,[],105,105,700,500,0,"[390,8711]","Metadata/Monsters/BanditLeaderInt/BanditLeaderInt.ais",[],"Relaxed",1,"Alira Darktongue",144,540,1245,[9461],[7501],"",8,26,"",0,[],[],[],"",1,6,100,0,0,100,-12674,"","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,540,"",0,"",1,1,3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
