"rownum","Id","ExorciseIcon","Name","i32","IllustratuionIcon","TextAudioLong","Achievements","TextAudioShort","rid"
11,"Quiver","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconQuiver","Quiver",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationQuiver",17056,10306,17108,20
12,"OneHandMace","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconOneHandMace","One-Handed Mace",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationOneHandMace",17062,10305,17114,12
13,"Sceptre","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconMace","Sceptre",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationSceptre",17062,10305,17114,32
14,"TwoHandMace","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconTwoHandMace","Two-Handed Mace",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationTwoHandMace",17062,10305,17114,17
15,"OneHandAxe","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconOneHandAxe","One-Handed Axe",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationOneHandAxe",17064,10296,17116,11
16,"TwoHandAxe","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconAxe","Two-Handed Axe",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationTwoHandAxe",17064,10296,17116,16
17,"OneHandSword","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconOneHandSword","One-Handed Sword",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationOneHandSword",17060,10310,17112,9
18,"TwoHandSword","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconTwoHandSword","Two-Handed Sword",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationTwoHandSword",17060,10310,17112,15
19,"Staff","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconStaff","Staff",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationStaff",17066,10309,17118,14
20,"Warstaff","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconWarStaff","Warstaff",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationWarStaff",17066,10309,17118,57
21,"Claw","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconClaw","Claw",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationClaw",17068,10301,17120,6
22,"Wand","Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/NecropolisExorciseItemIconWand","Wand",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationWand",17069,10311,17121,8
23,"PerandusUnique","","Perandus",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationPerandus",17071,"",17071,""
24,"PhreciaUnique","","Phrecia",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationPhrecia",17073,"",17073,""
25,"VerusoUnique","","Veruso",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationVeruso",17075,"",17075,""
26,"NevaliusUnique","","Nevalius",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationNavalius",17077,"",17077,""
27,"GrattusUnique","","Grattus",1,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationGrattus",17079,"",17079,""
28,"Talisman","","Talisman",2,"Art/2DArt/UIImages/InGame/Necropolis/GraveyardCrafting/GraveCraftIllustrationAmulet",17040,10295,17092,""
