"rownum","DisplayLevel","Damage","Evasion","Accuracy","Life","Experience","AllyLife","i32","Difficulty","Damage2","i32","f32","f32","i32","i32","Armour"
90,"91",1149.5,10160,701,24667,13639,4395,169987,3,1004.47,26535,1149.5,1149.5,28188,15072,24667
91,"92",1205.5,10486,728,26168,13627,4624,183326,3,1058.04,28343,1205.5,1205.5,30117,15557,26168
92,"93",1264.11,10821,755,27756,13598,4864,197690,3,1114.41,30270,1264.11,1264.11,32175,16055,27756
93,"94",1325.45,11165,784,29438,13549,5116,213156,3,1173.71,32326,1325.45,1325.45,34370,16568,29438
94,"95",1389.64,11519,814,31220,13483,5381,229806,3,1236.1,34517,1389.64,1389.64,36711,17096,31220
95,"96",1456.8199,11883,845,33105,13396,5659,247731,3,1301.73,36853,1456.8199,1456.8199,39207,17638,33105
96,"97",1527.12,12258,877,35101,13293,5951,267026,3,1370.76,39343,1527.12,1527.12,41870,18195,35101
97,"98",1600.6801,12643,910,37214,13170,6257,287795,3,1443.38,41997,1600.6801,1600.6801,44708,18769,37214
98,"99",1677.64,13038,945,39450,13029,6578,310148,3,1519.76,44826,1677.64,1677.64,47735,19358,39450
99,"100",1758.17,13445,980,41817,0,6916,334204,3,1600.09,47841,1758.17,1758.17,50962,19964,41817
