"rownum","Id","ArmFiles","TdtFiles","bool_40","[string]_41","[i32]_57","row_73","WorldAreasKey","bool_97","i32_98"
17,"SynthesisReward","[""Metadata/Terrain/Leagues/Synthesis/Rooms/reward.arm""]","[""Metadata/Terrain/Leagues/Synthesis/Tiles/Synthesis_RewardPlatform.tdt""]","",[],[0],"","","",51
18,"LegionMonolith","[""Metadata/Terrain/Leagues/Legion/legion_monolith.arm""]",[],"",[],[8],"","","",51
19,"BlightEncounter","[""Metadata/Terrain/Leagues/Blight/blight_encounter.arm""]",[],"",[],[4],"","","",51
20,"HarvestEncounter","[""Metadata/Terrain/Leagues/Harvest/harvest_encounter.arm""]",[],"","[""link""]",[0],"",1317,"",51
21,"HarvestEncounterMemoryLine","[""Metadata/Terrain/Leagues/Harvest/harvest_encounter.arm""]",[],"","[""link""]",[0],"",1318,"",51
22,"UltimatumEncounter","[""Metadata/Terrain/Leagues/Ultimatum/wager_encounter.arm""]","[""Metadata/Terrain/Leagues/Ultimatum/UltimatumArena/Tiles/ultimatum_altar.tdt""]","",[],[0],"","","",51
23,"ExpeditionEncounter","[""Metadata/Terrain/Leagues/Expedition/encounter.arm""]",[],"",[],[0],"","","",51
24,"ExpeditionBossSideArea","[""Metadata/Terrain/Leagues/Expedition/ExpeditionBossEntrance.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/SubterraneanChamber_01.tdt""]","",[],"[0,3]","","","",51
25,"ExpeditionSideArea","[""Metadata/Terrain/Leagues/Expedition/ExpeditionChamberEntrance.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/SubterraneanChamber_02.tdt""]","",[],[8],"","","",51
26,"ExpeditionSideAreaCave","[""Metadata/Terrain/Leagues/Expedition/ExpeditionCaveEntrance.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/SubterraneanChamber_03.tdt""]","",[],[8],"","","",51
27,"ExpeditionBossMedved","[""Metadata/Terrain/Leagues/Expedition/ExpeditionBossEncounter.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/SubterraneanChamber_Medved.tdt""]","",[],"[0,3]","","","",51
28,"ExpeditionBossVorana","[""Metadata/Terrain/Leagues/Expedition/ExpeditionBossEncounter.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/SubterraneanChamber_Vorana.tdt""]","",[],"[0,3]","","","",51
29,"TangleQuest","[""Metadata/Terrain/EndGame/MapAtlasPrimordial/tangle_quest.arm""]",[],"",[],[0],"","","",51
30,"CleansingFireQuest","[""Metadata/Terrain/EndGame/MapAtlasPrimordial/cleansing_fire_quest.arm""]",[],"",[],[0],"","","",51
31,"Excursion","[""Metadata/Terrain/Leagues/Incursion/Rooms/treasure_hunter_excursion.arm""]",[],"",[],[0],"","","",51
32,"Sanctum","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1840,"",51
33,"Sanctum_1_1","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_1.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1841,"",51
34,"Sanctum_1_2","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_1.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1842,"",51
35,"Sanctum_1_3","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_1.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1843,"",51
36,"Sanctum_2_1","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_2.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1847,"",51
37,"Sanctum_2_2","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_2.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1848,"",51
38,"Sanctum_2_3","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_2.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1849,"",51
39,"Sanctum_3_1","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_3.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1853,"",51
40,"Sanctum_3_2","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_3.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1854,"",51
41,"Sanctum_3_3","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_3.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1855,"",51
42,"Sanctum_4_1","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_4.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1859,"",51
43,"Sanctum_4_2","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_4.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1860,"",51
44,"Sanctum_4_3","[""Metadata/Terrain/Leagues/Sanctum/sanctum_encounter_4.arm""]","[""Metadata/Terrain/Missions/Tiles/Oriath_generic_nolight_01_02.tdt""]","","[""link""]",[0],"",1861,"",51
45,"Crucible","[""Metadata/Terrain/Leagues/Crucible/crucible_encounter.arm""]",[],"",[],[0],"","","",51
46,"Village","[""Metadata/Terrain/Leagues/Settlers/Node/ore_node.arm""]",[],"",[],[0],"","","",51
47,"MemoryLineInitiator","[""Metadata/Terrain/EndGame/MapAtlasMemory/memory_tear.arm""]",[],"",[],[0],"","","",51
48,"MercenaryEncounterWitch1","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Witch1.arm""]",[],"",[],[0],"","","",51
49,"MercenaryEncounterWitch2","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Witch2.arm""]",[],"",[],[0],"","","",51
50,"MercenaryEncounterShadow1","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Shadow1.arm""]",[],"",[],[0],"","","",51
51,"MercenaryEncounterShadow2","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Shadow2.arm""]",[],"",[],[0],"","","",51
52,"MercenaryEncounterMarauder1","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Marauder1.arm""]",[],"",[],[0],"","","",51
53,"MercenaryEncounterMarauder2","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Marauder2.arm""]",[],"",[],[0],"","","",51
54,"MercenaryEncounterScion1","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Scion1.arm""]",[],"",[],[0],"","","",51
55,"MercenaryEncounterTemplar1","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Templar1.arm""]",[],"",[],[0],"","","",51
56,"MercenaryEncounterTemplar2","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Templar2.arm""]",[],"",[],[0],"","","",51
57,"MercenaryEncounterRanger1","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Ranger1.arm""]",[],"",[],[0],"","","",51
58,"MercenaryEncounterRanger2","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Ranger2.arm""]",[],"",[],[0],"","","",51
59,"MercenaryEncounterDuelist1","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Duelist1.arm""]",[],"",[],[0],"","","",51
60,"MercenaryEncounterDuelist2","[""Metadata/Terrain/Leagues/Mercenaries/TerrainFeatures/Duelist2.arm""]",[],"",[],[0],"","","",51
