"rownum","GrantedEffectsKey","string_16","bool_24","bool_25","bool_26","MiscAnimated","bool_43","bool_44","i32_45","bool_49","bool_50","bool_51","bool_52"
111,11355,"<root>",1,1,"",67,"","",0,"","","",""
112,11356,"<root>",1,1,"",67,"","",0,"","","",""
113,11357,"<root>",1,1,"",67,"","",0,"","","",""
114,11363,"<lock>",1,1,1,68,"",1,0,"","",1,""
115,3131,"<lock>",1,1,1,73,"",1,0,"","","",""
116,3132,"<lock>",1,1,1,73,"",1,0,"","","",""
117,3133,"<lock>",1,1,1,73,"",1,0,"","","",""
118,11428,"<lock>",1,1,1,74,"",1,0,"","",1,""
119,11387,"<lock>",1,1,1,76,"",1,0,"","","",""
120,11388,"<lock>",1,1,1,76,"",1,0,"","","",""
121,11389,"<lock>",1,1,1,76,"",1,0,"","","",""
122,11531,"<lock>",1,1,1,77,"",1,0,"","","",""
123,11532,"<lock>",1,1,1,77,"",1,0,"","","",""
124,11533,"<lock>",1,1,1,77,"",1,0,"","","",""
125,11543,"<lock>",1,1,"",80,"",1,0,"","","",""
126,11544,"<lock>",1,1,"",80,"",1,0,"","","",""
127,11545,"<lock>",1,1,"",80,"",1,0,"","","",""
128,1529,"<lock>",1,1,1,41,"",1,0,"","",1,""
129,11743,"<lock>",1,1,1,101,"",1,0,"","","",""
130,11806,"<lock>",1,1,1,110,"",1,0,"","","",""
131,11811,"<lock>",1,1,1,76,"",1,0,"","","",""
132,11819,"<lock>",1,1,1,5,"",1,0,"","","",""
133,11821,"R_Weapon",1,"","",25,1,"",1,"",1,"",1
134,11817,"R_Weapon",1,"","",26,1,"",1,"",1,"",1
135,11833,"R_Weapon",1,"","",27,1,"",1,"",1,"",1
136,11033,"<lock>",1,1,"",4,"",1,0,"","","",""
137,11034,"<lock>",1,1,"",4,"",1,0,"","","",""
138,11035,"<lock>",1,1,"",4,"",1,0,"","","",""
139,11945,"<lock>",1,1,"",138,"","",0,"","","",""
140,11943,"<lock>",1,1,"",139,"","",0,"","","",""
141,12135,"<lock>",1,1,1,140,"",1,0,"","",1,""
142,5808,"<lock>",1,1,1,141,"",1,0,"","","",""
