"rownum","BaseItemTypesKey","ModsKeys","AchievementItemsKey","MapFragmentFamilies","bool_52","bool_53","bool_54","bool_55","bool_56","bool_57","MinAreaLevel","i32_62","MapFragmentLimit","bool_70","[rid]_71"
150,3628,[18776],[],35,1,"","","","","",1,100,2,"",[]
151,3629,[18777],[],36,1,"","","","","",1,100,1,"",[]
152,3630,[18778],[],42,1,"","","","","",1,100,5,"",[]
153,3631,[18779],[],43,1,"","","","","",1,100,1,"",[]
154,3633,[18780],[],44,1,"","","","","",1,100,1,"",[]
155,3632,[18781],[],45,1,"","","","","",1,100,1,"",[]
156,3634,[18782],[],137,1,"","","","","",1,100,1,"",[]
157,3636,[18783],[],46,1,"","","","","",1,100,1,"",[]
158,3637,[18784],[],47,1,"","","","","",1,100,2,"",[]
159,3635,[18785],[],48,1,"","","","","",1,100,4,"",[]
160,3638,[18786],[],49,1,"","","","","",1,100,1,"",[]
161,3639,[18788],[],50,1,"","","","","",1,100,2,"",[]
162,3640,[18789],[],51,1,"","","","","",1,100,1,"",[]
163,3641,[18790],[],52,1,"","","","","",1,100,2,"",[]
164,3642,[18791],[],53,1,"","","","","",1,100,1,"",[]
165,3644,[18792],[],54,1,"","","","","",1,100,1,"",[]
166,3643,[18793],[],55,1,"","","","","",1,100,1,"",[]
167,3645,[18794],[],60,1,"","","","","",1,100,1,"",[]
168,3646,[18795],[],57,1,"","","","","",1,100,3,"",[]
169,3648,[18796],[],58,1,"","","","","",1,100,1,"",[]
170,3647,[18797],[],59,1,"","","","","",1,100,2,"",[]
171,3649,[18798],[],65,1,"","","","","",1,100,1,"",[]
172,3650,[18799],[],62,1,"","","","","",1,100,1,"",[]
173,3652,[18800],[],63,1,"","","","","",1,100,2,"",[1]
174,3651,[18801],[],64,1,"","","","","",1,100,1,"",[]
175,3653,[18802],[],76,1,"","","","","",1,100,1,"",[]
176,3654,[18803],[],77,1,"","","","","",1,100,1,"",[1]
177,3655,[18804],[],78,1,"","","","","",1,100,2,"",[]
178,3657,[18805],[],79,1,"","","","","",1,100,1,"",[]
179,3656,[18806],[],80,1,"","","","","",1,100,1,"",[]
180,3658,[18807],[],12,1,"","","","","",1,100,1,"",[]
181,3659,[18808],[],81,1,"","","","","",1,100,2,"",[]
182,3660,[18809],[],82,1,"","","","","",1,100,1,"",[]
183,3661,[18810],[],83,1,"","","","","",1,100,1,"",[]
184,3662,[18811],[],84,1,"","","","","",1,100,1,"",[]
185,3663,[18812],[],85,1,"","","","","",1,100,1,"",[]
186,3664,[18813],[],86,1,"","","","","",1,100,2,"",[]
187,3665,[18814],[],87,1,"","","","","",1,100,5,"",[]
188,3666,[18815],[],88,1,"","","","","",78,100,1,"",[]
189,3667,[18816],[],89,1,"","","","","",1,100,1,"",[]
190,3668,[18817],[],13,1,"","","","","",1,100,1,"",[]
191,3669,[18818],[],90,1,"","","","","",1,100,2,"",[1]
192,3670,[18819],[],91,1,"","","","","",1,100,1,"",[]
193,3671,[18820],[],92,1,"","","","","",1,100,1,"",[]
194,3672,[18821],[],135,1,"","","","","",1,100,1,"",[]
195,3673,[18822],[],139,1,"","","","","",1,100,2,"",[]
196,3674,[18823],[],140,1,"","","","","",1,100,1,"",[]
197,3675,[18824],[],141,1,"","","","","",1,100,1,"",[]
198,3676,[18825],[],107,1,"","","","","",1,100,2,"",[]
199,3677,[18826],[],108,1,"","","","","",1,100,2,"",[]
200,3678,[18841],[],112,1,"","","","","",1,100,2,"",[]
201,3679,[18828],[],110,1,"","","","","",1,100,1,"",[]
202,3680,[18829],[],111,1,"","","","","",1,100,1,"",[]
203,3681,[18835],[],128,1,"","","","","",1,100,1,"",[]
204,3682,[18836],[],129,1,"","","","","",1,100,1,"",[]
205,3683,[18837],[],130,1,"","","","","",1,100,2,"",[]
206,3684,[18838],[],131,1,"","","","","",1,100,1,"",[]
207,3685,[18839],[],132,1,"","","","","",1,100,1,"",[1]
208,3686,[18840],[],133,1,"","","","","",1,100,1,"",[]
209,3687,[18842],[],113,1,"","","","","",1,100,1,"",[]
210,3688,[18843],[],114,1,"","","","","",1,100,1,"",[]
211,3689,[18844],[],115,1,"","","","","",1,100,1,"",[]
212,3690,[18845],[],116,1,"","","","","",1,100,1,"",[]
213,3691,[18846],[],117,1,"","","","","",1,100,1,"",[]
214,3692,[18847],[],118,1,"","","","","",1,100,1,"",[]
215,3693,[18848],[],119,1,"","","","","",1,100,1,"",[]
216,2905,"[20698,20703]",[],15,"","","",1,"","",1,100,1,"",[]
217,2906,"[20699,20704]",[],16,"","","",1,"","",1,100,1,"",[]
218,2907,"[20700,20705]",[],17,"","","",1,"","",1,100,1,"",[]
219,2908,"[20701,20706]",[],18,"","","",1,"","",1,100,1,"",[]
220,2909,"[20702,20707]",[],19,"","","",1,"","",1,100,1,"",[]
221,2910,"[20708,20713]",[],15,"","","",1,"","",1,100,1,"",[]
222,2911,"[20709,20714]",[],16,"","","",1,"","",1,100,1,"",[]
223,2912,"[20710,20715]",[],17,"","","",1,"","",1,100,1,"",[]
224,2913,"[20711,20716]",[],18,"","","",1,"","",1,100,1,"",[]
225,2914,"[20712,20717]",[],19,"","","",1,"","",1,100,1,"",[]
226,3697,[21063],[],142,"","","","","","",1,100,1,"",[]
227,3698,[21064],[],142,"","","","","","",1,100,1,"",[]
228,3699,[21065],[],142,"","","","","","",1,100,1,"",[]
229,3700,[21066],[],142,"","","","","","",1,100,1,"",[]
230,3701,[21067],[],142,"","","","","","",1,100,1,"",[]
231,3702,[21068],[],142,"","","","","","",1,100,1,"",[]
232,3703,[21070],[],142,"","","","","","",1,100,1,"",[]
233,3704,[21071],[],142,"","","","","","",1,100,1,"",[]
234,3705,[21072],[],142,"","","","","","",1,100,1,"",[]
235,3706,[21074],[],142,"","","","","","",1,100,1,"",[]
236,3707,[21075],[],142,"","","","","","",1,100,1,"",[]
237,3708,[21077],[],142,"","","","","","",1,100,1,"",[]
238,3709,[21078],[],142,"","","","","","",1,100,1,"",[]
239,2915,[8425],[],142,"","","",1,"","",1,100,1,"",[]
240,2932,[24494],[9592],142,1,"","","","","",1,100,4,"",[]
241,5089,[37524],[],142,1,"","","","","",1,100,3,"",[]
242,5090,[37525],[],142,1,"","","","","",1,100,2,"",[]
243,5091,[37526],[],142,1,"","","","","",1,100,2,"",[]
244,5092,[37527],[],142,1,"","","","","",1,100,1,"",[]
245,5093,[37528],[],142,1,"","","","","",1,100,3,"",[]
246,5094,[37532],[],142,1,"","","","","",1,100,2,"",[]
247,5095,[37531],[],142,1,"","","","","",1,100,4,"",[]
248,5096,[37530],[],142,1,"","","","","",1,100,4,"",[]
249,5097,[37529],[],142,1,"","","","","",1,100,3,"",[]
