"rownum","Id","rid_4","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","rid_28","i32_44","bool_48","i32_49","i32_53","bool_57"
19,20,85,"Portal","Portail","Portaleffekt","ポータル","포탈","Portal","Портал","Portal","วาร์ป","時空之門","",0,"",0,17,""
20,21,73,"Helmet Attachment","Accessoire de casque","Helmzusatz","兜装飾品","투구 부착물","Adorno de Elmo","Эффект шлема","Accesorio para casco","แฟชั่นติดหมวก","頭部特效",4,0,"",0,15,""
21,22,61,"HUD","Interface","HUD","HUD","HUD","HUD","HUD","HUD","หน้าจอแสดงผล","HUD","",0,"",0,17,""
22,23,60,"Cursor","Curseur","Cursor","カーソル","커서","Cursor","Курсор","Cursor","เคอร์เซอร์","鼠標","",0,"",0,17,""
23,24,64,"Belt Skin","Apparence de ceinture","Gürtel-Skin","ベルトスキン","허리띠 스킨","Visual de Cinto","Внешний вид пояса","Aspecto para cinturón","สกินเข็มขัด","腰帶外觀",10,0,"",0,10,""
24,25,65,"Amulet Skin","Apparence d'amulette","Amulett-Skin","アミュレットスキン","목걸이 스킨","Visual de Amuleto","Внешний вид амулета","Aspecto para amuleto","สกินสร้อย","項鍊外觀",5,0,"",0,11,""
25,26,63,"Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀",11,0,"",0,17,1
26,27,63,"Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀",11,1,"",0,17,1
27,28,63,"Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀",11,2,"",0,17,1
28,29,63,"Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀",11,3,"",0,17,1
29,30,63,"Flask Skin","Apparence de Flacon","Fläschchen-Skin","フラスコスキン","플라스크 스킨","Visual de Frasco","Внешний вид флакона","Aspecto para frasco","สกินขวดยา","藥劑外觀",11,4,"",0,17,1
30,31,86,"Ring Skin","Apparence de bague","Ring-Skin","指輪スキン","반지 스킨","Visual de Anel","Внешний вид кольца","Aspecto para anillo","สกินแหวน","戒指外觀",6,0,"",0,8,""
31,32,86,"Ring Skin","Apparence de bague","Ring-Skin","指輪スキン","반지 스킨","Visual de Anel","Внешний вид кольца","Aspecto para anillo","สกินแหวน","戒指外觀",7,0,"",0,9,""
32,33,87,"Hip Attachment","Accessoire à la hanche","Hüftzusatz","腰装飾品","허리 부착물","Acessório de Cintura","Набедренное украшение","Accesorio para la cadera","แฟชั่นติดสะโพก","臀部附加",10,0,"",0,16,""
33,34,89,"Alternate Charge Skin","Apparence de Charges alternatives","Ladungen-Skin","オルタネートチャージスキン","대체 충전 스킨","Visual Alternativo de Carga","Внешний вид зарядов","Aspecto alternativo para cargas","สกินชาร์จแบบพิเศษ","替代能量球外觀","",0,"",0,17,""
34,35,88,"Extra Effect","Effet supplémentaire","Zusätzlicher Effekt","追加エフェクト","추가 이펙트","Efeito Extra","Дополнительный эффект","Efecto adicional","เอฟเฟคเพิ่มเติม","額外特效","",0,"",0,17,""
35,36,66,"Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀","",0,"",0,17,1
36,37,68,"Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效","",0,"",0,17,1
37,38,70,"Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito Adicional de Arma","Добавленный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效","",0,"",0,17,""
38,39,66,"Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀","",0,"",0,17,1
39,40,68,"Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效","",0,"",0,17,1
40,41,70,"Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito Adicional de Arma","Добавленный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效","",0,"",0,17,""
41,42,66,"Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀","",0,"",0,17,1
42,43,68,"Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效","",0,"",0,17,1
43,44,70,"Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito Adicional de Arma","Добавленный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效","",0,"",0,17,""
44,45,66,"Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀","",0,"",0,17,1
45,46,68,"Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效","",0,"",0,17,1
46,47,70,"Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito Adicional de Arma","Добавленный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效","",0,"",0,17,""
47,48,62,"Passive Jewel Skin","Apparence de Joyau de talent","Juwel-Skin","パッシブジュエルスキン","패시브 주얼 스킨","Visual de Joia Passiva","Внешний вид самоцвета","Aspecto para joya pasiva","สกินจิวเวลพาสซีฟ","天賦珠寶外觀",23,0,1,0,17,""
48,49,10,"Skill Gem Effect","Effet d'aptitude","Fertigkeitseffekt","スキルジェムエフェクト","스킬 젬 이펙트","Efeito de Gema de Habilidade","Эффект камня умения","Efecto para gema de habilidad","เอฟเฟคหินสกิล","技能寶石特效","",0,1,0,17,""
