"rownum","i32_0","rid_4","bool_20","i32_21","bool_25","i32_26","i32_30","bool_34","i32_35","i32_39","i32_43","bool_47","i32_48","i32_52","i32_56","bool_60","bool_61","bool_62","rid_63","bool_79","rid_80","i32_96"
41,43,814,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
42,44,815,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
43,45,816,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
44,46,817,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","","","",0
45,47,114,1,40,"",4,7,"",8000,10,40,1,0,0,0,"","","","","","",0
46,48,847,1,0,"",4,6,1,0,95,100,1,0,0,0,"","","","","","",0
47,49,876,"",0,"",4,9,1,0,0,0,"",0,0,1,"","","","","","",0
48,50,879,1,19,1,3,7,1,100,10,30,1,0,0,0,"","",1,"","","",0
49,51,880,1,4,"",3,7,1,500,20,60,1,0,20,0,"","","","","","",0
50,52,938,"",15,1,2,7,"",0,0,0,"",0,0,0,"","","","","","",0
51,53,943,"",0,"",3,6,1,0,0,0,"",0,0,0,"","","",4,"","",0
52,54,976,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","",7,"","",0
53,55,978,"",7,1,4,7,"",0,19,20,"",0,0,0,"","","","","","",0
54,56,1007,1,0,"",2,4,1,0,10,0,"",0,0,1,"","","","","","",0
55,57,1031,1,0,"",4,5,"",0,25,0,"",0,0,307201,"","","","","","",0
56,58,1035,1,0,"",5,4,1,0,0,0,"",0,0,1,"","","","","","",0
57,59,1042,"",0,"",4,2,1,0,0,0,"",90,5,512001,"","","","","","",0
58,60,187,"",0,"",3,7,1,0,0,0,"",0,45,0,"","","","","","",0
59,61,1053,"",0,"",3,4,1,0,0,0,"",0,0,0,"","","","","","",0
60,62,1054,"",0,"",3,6,"",0,0,0,"",0,0,1,"",1,"","","","",0
61,63,1052,"",0,"",3,7,"",0,120,160,1,0,90,0,"","","","",1,"",0
62,64,1088,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
63,65,1104,1,2,"",2,4,1,0,40,80,1,0,0,0,"","","","","","",0
64,66,1107,1,0,"",2,4,1,0,10,0,"",0,0,1,"","","","","","",0
65,67,1112,"",0,"",4,2,1,0,0,0,"",0,0,0,"","","","","","",0
66,68,1121,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
67,69,1121,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
68,70,1121,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1,"",0
69,71,1122,"",0,"",3,6,"",0,0,0,"",0,0,0,"","","","","","",0
70,72,1124,"",6,"",3,4,"",1000,0,0,"",0,35,0,"","","","","","",0
71,73,1130,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
72,74,1133,1,0,"",2,2,1,0,0,0,"",0,0,1,"","","","","","",0
73,75,1153,1,0,"",3,4,1,0,0,0,"",0,0,1,"",1,1,"","","",25
74,76,566,1,0,"",3,4,"",333,15,100,1,-80,33,0,"","","","","","",0
75,77,"",1,0,"",4,7,"",0,5,28,"",0,0,0,"","","","",1,196,0
76,78,1179,"",0,"",2,6,"",0,0,0,"",0,0,1,"","","","","","",0
77,79,"",1,0,"",3,4,"",0,10,0,"",0,0,0,"","","","","",199,0
78,80,1192,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
79,81,1192,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
80,82,1192,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
81,83,1192,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
82,84,"",1,0,"",3,4,"",0,10,0,"",0,0,0,"","","","","",201,0
83,85,1042,"",0,"",12,4,1,0,0,0,"",0,10,332801,"","","","","","",0
84,86,1042,"",0,"",12,4,1,0,0,0,"",0,10,332801,"","","","","","",0
85,87,1031,1,0,"",4,6,"",0,20,60,"",0,0,307201,"","","","","","",0
86,88,1131,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
87,89,1132,"",0,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
88,90,1230,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
89,91,1230,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
90,92,1230,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
91,93,1230,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
92,94,1132,"",0,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
93,95,1255,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
94,96,1256,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
95,97,1035,1,0,"",5,4,1,0,0,0,"",0,0,1,"","","","","","",0
96,98,1285,1,0,"",4,5,"",0,25,0,"",0,0,307201,"","","","","","",0
97,99,1297,1,0,"",2,4,1,0,10,0,"",0,0,1,"",1,"","","","",0
98,100,1299,1,0,"",4,6,1,0,95,100,1,0,0,0,"","","","","","",0
99,101,154,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
100,102,154,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
101,103,154,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
102,104,154,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
103,105,1312,"",0,"",2,3,"",0,0,0,"",0,0,1,"","","","","","",0
104,106,1315,1,0,"",2,3,"",0,0,0,"",0,0,1,"","","","","","",0
105,107,1334,"",0,"",2,3,"",0,0,0,"",0,0,1,"","","","","","",0
106,108,1339,"",0,"",4,7,"",0,0,0,"",0,220,0,"","","","","","",0
