"rownum","i32","i32","string","string","[rid]","bool"
41,1,5,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_huts_02_01.arm","",[],""
42,1,6,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_huts_02_02.arm","",[],""
43,1,7,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_huts_02_03.arm","",[],""
44,1,8,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_huts_02_04.arm","",[],""
45,1,9,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_huts_03_01.arm","",[],""
46,1,10,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_huts_03_02.arm","",[],""
47,1,11,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_huts_03_03.arm","",[],""
48,1,12,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_huts_03_04.arm","",[],""
49,0,45,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_ambush_02.arm","",[],""
50,0,46,"Metadata/Terrain/Leagues/Azmeri/AzmeriWoods/Rooms/Features/clearing_ambush_03.arm","",[],""
