"rownum","NPCKey","i32","DialogueOption","[i32]","[i32]","[i32]","Script","TextAudio","Category","QuestRewardOffersKey","QuestFlag","NPCTextAudioKeys","Script2","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","rid","i32","bool","DialogueOption2","rid","rid","string","i32","i32","i32","i32","rid","i32","rid","bool","i32","i32","i32"
40,0,18,"Glyph Reward 2",[24],[2148],[2147],"",2147,7,4,71,[],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,2956,0,53,"",0,"",1,0,-16843010,-16843010
41,0,19,"Dweller of the Deep",[115],"[494,0]",[358],"",358,6,"",358,[35],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,3036,0,53,"",0,"",1,0,-16843010,-16843010
42,0,20,"Dweller Reward",[358],"[494,0]",[359],"",359,7,6,71,[],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,3132,0,53,"",0,"",1,0,-16843010,-16843010
43,0,21,"The Fetid Pool",[223],"[40,0]",[224],"",224,6,"",224,[36],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,3244,0,53,"",0,"",1,0,-16843010,-16843010
44,0,22,"The Fetid Pool",[127],"[40,0,0]",[224],"",224,6,"",224,[37],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,3340,0,53,"",0,"",1,0,-16843010,-16843010
45,0,23,"The Fetid Pool",[40],[227],[224],"",224,6,"",224,[36],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,3404,0,53,"",0,"",1,0,-16843010,-16843010
46,0,24,"The Necromancer",[227],"[507,0]",[506],"",506,6,"",506,[38],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,3518,0,53,"",0,"",1,0,-16843010,-16843010
47,0,25,"Necromancer Reward",[506],"[507,0]",[508],"",508,7,5,71,[],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,3622,0,53,"",0,"",1,0,-16843010,-16843010
48,0,26,"The Blocked Road",[230],[233],[295],"","",6,"",295,[39],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,3722,0,53,"",0,"",1,0,-16843010,-16843010
49,0,27,"Reaching the Forest",[508],"[10,0,0]",[229],"",229,6,"",229,[40],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,3860,0,53,"",0,"",1,0,-16843010,-16843010
50,0,28,"Reaching the Forest",[3],"[10,0]",[229],"",229,6,"",229,[40],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,3940,0,53,"",0,"",1,0,-16843010,-16843010
51,0,29,"Reopened Passage",[233],[],[296],"","",3,"",296,[41],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,3988,0,53,"",0,"",1,0,-16843010,-16843010
52,0,30,"Goatmen",[3],[],[347],"","",3,"",347,[42],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,4054,0,53,"",0,"",1,0,-16843010,-16843010
53,0,31,"Letters of Exile",[],[],[371],"","",3,"",371,[43],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,4122,0,53,"",0,"",1,0,-16843010,-16843010
54,0,32,"Medicine Chest",[42],[],[378],"","",3,"",378,[44],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,4202,0,53,"",0,"",1,0,-16843010,-16843010
55,0,33,"Purchase Items",[],[],[],"","",25,"",71,[],"","","",[],[],1344,[],1344,"","",2,"","",1,"","",0,4202,0,53,"",0,"",1,0,-16843010,-16843010
56,0,34,"Sell Items",[],[],[],"","",26,"",71,[],"","","",[],[],1344,[],1344,"","",1,"","",0,"","",0,4202,0,53,"",0,"",1,0,-16843010,-16843010
57,2,0,"Introduction",[],[],[31],"",31,3,"",31,"[45,46,47,48,49,50,51]","",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,4330,0,53,"",0,"",1,0,-16843010,-16843010
58,2,1,"Merveil",[9],[],[48],"",48,3,"",48,[52],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,4378,0,53,"",0,"",1,0,-16843010,-16843010
59,2,2,"Marceus Lioneye",[418],[],[298],"","",3,"",298,[53],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,4460,0,53,"",0,"",1,0,-16843010,-16843010
60,2,3,"Nessa",[13],[],[300],"","",3,"",300,[54],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,4508,0,53,"",0,"",1,0,-16843010,-16843010
61,2,4,"The Medicine Chest",[39],"[42,0]",[44],"",44,6,"",44,[55],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,4588,0,53,"",0,"",1,0,-16843010,-16843010
62,2,5,"Tarkleigh",[14],[],[301],"","",3,"",301,[56],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,4636,0,53,"",0,"",1,0,-16843010,-16843010
63,2,6,"Drowned Dead",[],[],[302],"","",3,"",302,[57],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,4668,0,53,"",0,"",1,0,-16843010,-16843010
64,2,7,"Merveil",[8],[9],[303],"","",3,"",303,[58],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,4732,0,53,"",0,"",1,0,-16843010,-16843010
65,2,8,"Brutus",[4],[5],[304],"","",3,"",304,[59],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,4796,0,53,"",0,"",1,0,-16843010,-16843010
66,2,9,"Undead Rhoas",[223],[228],[305],"","",3,"",305,[60],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,4888,0,53,"",0,"",1,0,-16843010,-16843010
67,2,10,"Captain Fairgraves",[47],"[498,0]",[499],"",499,6,"",499,[61],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,5008,0,53,"",0,"",1,0,-16843010,-16843010
68,2,11,"Captain Fairgraves",[45],[47],[68],"","",3,"",68,[62],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,5072,0,53,"",0,"",1,0,-16843010,-16843010
69,2,12,"Fairgraves Reward",[499],"[498,0]",[65],"",65,7,9,71,[],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,5174,0,53,"",0,"",1,0,-16843010,-16843010
70,2,13,"Prisoner's Gate",[231],[233],[482],"","",3,"",482,[66],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,5272,0,53,"",0,"",1,0,-16843010,-16843010
71,2,14,"Inspirational Poem",[233],[],[268],"",268,3,"",268,[63],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,5360,0,53,"",0,"",1,0,-16843010,-16843010
72,2,15,"Reopened Passage",[268],"[500,0]",[502],"",502,6,"",502,[64],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,5440,0,53,"",0,"",1,0,-16843010,-16843010
73,2,16,"Road Reward",[268],"[500,0]",[66],"",66,7,11,71,[],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,5530,0,53,"",0,"",1,0,-16843010,-16843010
74,2,17,"Medicine Chest",[42],[233],[117],"",117,3,"",117,[65],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,5594,0,53,"",0,"",1,0,-16843010,-16843010
75,2,18,"Surviving Wraeclast",[229],[231],[299],"","",3,"",299,[67],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,5700,0,53,"",0,"",1,0,-16843010,-16843010
76,2,19,"Gamble for Items",[],[],[],"","",25,"",71,[],"","","",[],[],1344,[],1344,"","",2,"","",1,"","",0,5736,0,53,"",0,"",1,0,-16843010,-16843010
77,2,20,"Sell Items",[],[],[],"","",26,"",71,[],"","","",[],[],1344,[],1344,"","",1,"","",0,"","",0,5736,0,53,"",0,"",1,0,-16843010,-16843010
78,9,0,"Introduction",[],[],[75],"",75,3,"",75,[75],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,5768,0,53,"",0,"",1,0,-16843010,-16843010
79,9,1,"The Azmeri",[],[],[306],"","",3,"",306,[76],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,5824,0,53,"",0,"",1,0,-16843010,-16843010
80,9,2,"Yeena",[91],[],[307],"","",3,"",307,[77],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,5886,0,53,"",0,"",1,0,-16843010,-16843010
81,9,3,"Greust",[92],[],[308],"","",3,"",308,[78],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,5950,0,53,"",0,"",1,0,-16843010,-16843010
82,9,4,"Silk",[93],[],[309],"","",3,"",309,[79],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,6010,0,53,"",0,"",1,0,-16843010,-16843010
83,9,5,"Helena",[243],[],[310],"","",3,"",310,[80],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,6074,0,53,"",0,"",1,0,-16843010,-16843010
84,9,6,"Blackguards",[97],[243],[311],"","",3,"",311,[81],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,6164,0,53,"",0,"",1,0,-16843010,-16843010
85,9,7,"The Bandit Scourge",[],"[83,0,0,0]",[53],"",53,6,"",53,[82],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,6300,0,53,"",0,"",1,0,-16843010,-16843010
86,9,8,"The Bandit Scourge",[17],"[83,0,0]",[53],"",53,6,"",53,[83],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,6396,0,53,"",0,"",1,0,-16843010,-16843010
87,9,9,"The Bandit Scourge",[16],"[83,0,0]",[53],"",53,6,"",53,[84],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,6492,0,53,"",0,"",1,0,-16843010,-16843010
88,9,10,"The Bandit Scourge","[16,0]","[83,0]",[53],"",53,6,"",53,[85],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,6588,0,53,"",0,"",1,0,-16843010,-16843010
89,9,11,"The Bandit Scourge",[18],"[83,0,0]",[53],"",53,6,"",53,[86],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,6684,0,53,"",0,"",1,0,-16843010,-16843010
90,9,12,"The Bandit Scourge","[18,0]","[83,0]",[53],"",53,6,"",53,[87],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,6780,0,53,"",0,"",1,0,-16843010,-16843010
91,9,13,"The Bandit Scourge","[18,0]","[83,0]",[53],"",53,6,"",53,[88],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,6876,0,53,"",0,"",1,0,-16843010,-16843010
92,9,14,"Bandit Lords","[16,0,0]","[54,0,0]",[57],"",57,3,"",57,[89],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,7032,0,53,"",0,"",1,0,-16843010,-16843010
93,9,15,"Bandit Amulets","[77,0,0,0]","[122,0]",[808],"triggerer.SpawnServerEffect( Metadata/Effects/misc/quest_hand_in/gold.ao );\r\ntriggerer.SetQuestFlag(\""a2q7-QuestRewardTaken\"", \""a2b-DeliveredAmulets\"");",122,6,"",122,[90],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,7494,0,53,"",0,"",1,0,-16843010,-16843010
94,9,16,"Bandit Amulets",[122],[260],[260],"",260,6,"",260,[91],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,7558,0,53,"",0,"",1,0,-16843010,-16843010
95,9,17,"Take the Apex","[16,0,0,0]","[76,0]",[69],"",69,7,17,71,[],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,7700,0,53,"",0,"",1,0,-16843010,-16843010
96,9,18,"Oak",[18],"[16,0]",[312],"","",3,"",312,[92],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,7790,0,53,"",0,"",1,0,-16843010,-16843010
97,9,19,"Alira",[17],"[16,0]",[312],"","",3,"",312,[93],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,7884,0,53,"",0,"",1,0,-16843010,-16843010
98,9,20,"Kraityn",[16],"[17,0]",[312],"","",3,"",312,[94],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,7982,0,53,"",0,"",1,0,-16843010,-16843010
99,9,21,"Oak","[16,0]",[18],[315],"","",3,"",315,[95],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,8062,0,53,"",0,"",1,0,-16843010,-16843010
100,9,22,"Alira","[16,0]",[17],[315],"","",3,"",315,[96],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,8142,0,53,"",0,"",1,0,-16843010,-16843010
101,9,23,"Kraityn","[17,0]",[16],[315],"","",3,"",315,[97],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,8222,0,53,"",0,"",1,0,-16843010,-16843010
102,9,24,"The Darkness",[88],[85],[235],"",235,3,"",235,[98],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,8314,0,53,"",0,"",1,0,-16843010,-16843010
103,9,25,"The Light",[85],[],[318],"",318,3,"",318,[99],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,8384,0,53,"",0,"",1,0,-16843010,-16843010
104,9,26,"The Baleful Gem",[98],[],[319],"","",3,"",319,[100],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,8466,0,53,"",0,"",1,0,-16843010,-16843010
105,9,27,"Maligaro's Spike",[95],[99],[320],"","",3,"",320,[101],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,8566,0,53,"",0,"",1,0,-16843010,-16843010
106,9,28,"Maligaro's Creations","[98,0]",[],[321],"","",3,"",321,[102],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,8674,0,53,"",0,"",1,0,-16843010,-16843010
107,9,29,"Ancient Gateway",[100],[],[322],"","",3,"",322,[103],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,8756,0,53,"",0,"",1,0,-16843010,-16843010
108,9,30,"Lorrata",[99],[],[323],"","",3,"",323,[104],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,8822,0,53,"",0,"",1,0,-16843010,-16843010
109,9,31,"Fellshrine Ruins",[138],[],[324],"","",3,"",324,[105],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,8906,0,53,"",0,"",1,0,-16843010,-16843010
110,9,32,"The Dark Altar",[234],[76],[262],"",262,6,"",262,[106],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,9002,0,53,"",0,"",1,0,-16843010,-16843010
111,9,33,"Yeena's Vision",[253],[85],[254],"",254,6,"",254,[107],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,9098,0,53,"",0,"",1,0,-16843010,-16843010
112,9,34,"Blocked Passage",[230],[233],[325],"","",3,"",325,[108],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,9196,0,53,"",0,"",1,0,-16843010,-16843010
113,9,35,"The Chamber of Sins",[97],[],[153],"","",3,"",153,[109],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,9286,0,53,"",0,"",1,0,-16843010,-16843010
114,9,36,"Dominus",[],[],[160],"","",3,"",160,[110],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,9336,0,53,"",0,"",1,0,-16843010,-16843010
115,9,37,"Claim Passive Skill Point",[83],"[54,0,0,0]",[122],"triggerer.SpawnServerEffect( Metadata/Effects/misc/quest_hand_in/gold.ao );",122,6,"",71,[],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,9640,0,53,"",0,"",1,0,-16843010,-16843010
116,9,38,"Change Bandit Reward",[],[],[],"","",9,33,71,[],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,9684,0,53,"",0,"",1,0,-16843010,-16843010
117,10,0,"Introduction",[],[],[91],"",91,3,"",91,[111],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,9716,0,53,"",0,"",1,0,-16843010,-16843010
118,10,1,"Eramir",[75],[],[327],"","",3,"",327,[112],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,9780,0,53,"",0,"",1,0,-16843010,-16843010
119,10,2,"Greust",[92],[],[328],"","",3,"",328,[113],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,9828,0,53,"",0,"",1,0,-16843010,-16843010
120,10,3,"Silk",[93],[],[329],"","",3,"",329,[114],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,9876,0,53,"",0,"",1,0,-16843010,-16843010
121,10,4,"Helena",[243],[],[330],"","",3,"",330,[115],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,9924,0,53,"",0,"",1,0,-16843010,-16843010
122,10,5,"Blood Apes",[],[],[331],"","",3,"",331,[116],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,9980,0,53,"",0,"",1,0,-16843010,-16843010
123,10,6,"Vipers",[139],[],[332],"","",3,"",332,[117],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,10044,0,53,"",0,"",1,0,-16843010,-16843010
124,10,7,"Elementals",[134],[],[333],"","",3,"",333,[118],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,10116,0,53,"",0,"",1,0,-16843010,-16843010
125,10,8,"Maligaro's Spike",[258],"[94,0]",[334],"","",3,"",334,[119],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,10196,0,53,"",0,"",1,0,-16843010,-16843010
126,10,9,"Lorrata",[99],[],[335],"","",3,"",335,[120],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,10244,0,53,"",0,"",1,0,-16843010,-16843010
127,10,10,"Chamber of Sins",[101],"[99,0]",[336],"","",3,"",336,[121],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,10358,0,53,"",0,"",1,0,-16843010,-16843010
128,10,11,"The Great White Beast",[],[246],[244],"",244,6,"",244,[122],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,10452,0,53,"",0,"",1,0,-16843010,-16843010
129,10,12,"The Great White Beast",[246],[248],[249],"",249,6,"",249,[123],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,10516,0,53,"",0,"",1,0,-16843010,-16843010
130,10,13,"Great White Beast Reward",[249],[248],[247],"",247,7,14,71,[],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,10616,0,53,"",0,"",1,0,-16843010,-16843010
131,10,14,"The Fellshrine Hand","[247,0]",[87],[96],"",96,6,"",96,[124],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,10738,0,53,"",0,"",1,0,-16843010,-16843010
132,10,15,"The Fellshrine Hand",[86],[87],"[70,0]","",87,6,"",87,[125],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,10818,0,53,"",0,"",1,0,-16843010,-16843010
133,10,16,"The Fellshrine Hand",[87],"[103,0]",[],"","",6,"",87,[125],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,10882,0,53,"",0,"",1,0,-16843010,-16843010
134,10,17,"Fellshrine Reward",[87],"[103,0]",[102],"",102,7,12,71,[],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,10984,0,53,"",0,"",1,0,-16843010,-16843010
135,10,18,"The Darkness","[84,0]",[85],[253],"",253,6,"",253,[126],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,11064,0,53,"",0,"",1,0,-16843010,-16843010
136,10,19,"The Darkness",[76],[85],[253],"",253,6,"",253,[126],"","","",[],[],1344,[],1344,"","",4,"","","","","",0,11128,0,53,"",0,"",1,0,-16843010,-16843010
137,10,20,"The Darkness",[88],"[85,0,0]",[236],"",236,3,"",236,[127],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,11224,0,53,"",0,"",1,0,-16843010,-16843010
138,10,21,"The Light",[85],[],[421],"",421,3,"",421,[128],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,11272,0,53,"",0,"",1,0,-16843010,-16843010
139,10,22,"Purchase Items",[],[],[],"","",25,"",71,[],"","","",[],[],1344,[],1344,"","",2,"","",1,"","",0,11272,0,53,"",0,"",1,0,-16843010,-16843010
140,10,23,"Sell Items",[],[],[],"","",26,"",71,[],"","","",[],[],1344,[],1344,"","",1,"","",0,"","",0,11272,0,53,"",0,"",1,0,-16843010,-16843010
141,11,0,"Introduction",[],[],[92],"",92,3,"",92,[129],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,11304,0,53,"",0,"",1,0,-16843010,-16843010
142,11,1,"Eramir",[75],[],[337],"","",3,"",337,[130],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,11352,0,53,"",0,"",1,0,-16843010,-16843010
143,11,2,"Yeena",[91],[],[338],"","",3,"",338,[131],"",1,"",[],[],1344,[],1344,"","",4,"","","","","",0,11400,0,53,"",0,"",1,0,-16843010,-16843010
