"rownum","Id","Types","ExtraMods","TypesFiltered","DaemonSpawningData","PreviousTiers","bool","Bosses","Radius","Name","Icon","HASH16","TypesExtra","MonsterTypesApplyingRuin","MiscAnimated","BuffTemplates","Tier","i32","Description","MonsterSpawners","bool","Achievements","TextAudio"
34,"MonstersApplyRuin2","[2,26]",[],[],"",[33],"",[],0,"Ruin II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonsterAppliesRuin",24728,[10],1,"",[],2,2,"A Monster type will apply double Ruin with its special ability\r\nFail on reaching 7 Ruin",[],"",[7936],11139
35,"MonstersApplyRuin3","[2,26]",[],[],"",[34],"",[],0,"Ruin III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonsterAppliesRuin",35694,[10],2,"",[],3,2,"Two Monster types will apply double Ruin with their special abilities\r\nFail on reaching 7 Ruin",[],"","[7901,7936]",11145
36,"MonstersApplyRuinLow1","[2,26]",[],[],"",[],"",[],0,"Ruin","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonsterAppliesRuin",33715,[10],1,"",[],1,1,"A Monster type will apply Ruin with its special ability\r\nFail on reaching 7 Ruin",[],"",[7936],11133
37,"MonstersApplyRuinLow2","[2,26]",[],[],"",[33],"",[],0,"Ruin II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonsterAppliesRuin",33906,[10],1,"",[],2,2,"A Monster type will apply double Ruin with its special ability\r\nFail on reaching 7 Ruin",[],"",[7936],11139
38,"MonstersApplyRuinLow3","[2,26]",[],[],"",[34],"",[],0,"Ruin III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/MonsterAppliesRuin",57734,[10],2,"",[],3,2,"Two Monster types will apply double Ruin with their special abilities\r\nFail on reaching 7 Ruin",[],"","[7901,7936]",11145
39,"PlayerDebuffRecoveryReduction1","[8,24]",[],[24],"",[],"",[],0,"Reduced Recovery","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedRecovery",5772,[],0,"",[0],1,0,"30% Reduced Life, Mana, and Energy Shield Recovery Rate",[],"",[7834],11352
40,"PlayerDebuffRecoveryReduction2","[8,24]",[],[],"",[39],"",[],0,"Reduced Recovery II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedRecovery",37639,[],0,"",[42],2,0,"60% Reduced Life, Mana, and Energy Shield Recovery Rate",[],"",[7834],11355
41,"PlayerDebuffAreaAndProjectileSpeed","[8,20,24]",[],"[20,24]","",[],"",[],0,"Lessened Reach","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LessenedReach",50320,[],0,"",[1],1,0,"Players have 50% less Area of Effect and Projectile Speed",[],"",[7835],11376
42,"PlayerDebuffBuffsExpireFaster","[8,24]",[],[24],"",[],"",[],0,"Buffs Expire Faster","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BuffsExpireFaster",29421,[],0,"",[2],1,0,"Buffs expire three times faster on players",[],"",[7836],11154
43,"PlayerDebuffCooldownSpeed","[8,25]",[],[25],"",[],"",[],0,"Less Cooldown recovery","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LessCooldownRecovery",39295,[],0,"",[3],1,0,"Cooldowns take five times longer to recharge",[],"",[7837],11199
44,"PlayerDebuffIncreasingVulnerability","[8,24]",[],[24],"",[],"",[],0,"Escalating Damage Taken","Art/2DArt/UIImages/InGame/Ultimatum/Icons/EscalatingDamageTaken",57621,[],0,"",[4],1,0,"For the remainder of the encounter, damage taken will slowly increase by 1% per second, up to 50%",[],"",[7838],11163
45,"MonsterBuffAcceleratingSpeed","[8,25]",[24322],[25],"",[],"",[],0,"Escalating Monster Speed","Art/2DArt/UIImages/InGame/Ultimatum/Icons/EscalatingMonsterSpeed",7961,[],0,"",[],1,0,"All Monsters gain 2.5% increased attack, cast, and movement speed per second they are alive, up to 50%",[],"",[7839],11181
46,"MonsterBuffNonChaosDamageToAddAsChaosDamage","[8,25]",[24344],[25],"",[],"",[],0,"Bonus Chaos Damage","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChaoticTouch",18354,[],0,"",[],1,0,"Monsters deal 30% of Physical Damage Added as Chaos Damage",[],"",[7840],11307
47,"PlayerDebuffExtraCriticalRolls","[8,25]",[],[25],"",[],"",[],0,"Unlucky Criticals","Art/2DArt/UIImages/InGame/Ultimatum/Icons/UnluckyCrits",40124,[],0,"",[8],1,0,"Your Critical Strike Chance is Unlucky",[],"",[7841],11379
48,"PlayerDebuffHinderedMsOnFlaskUse","[8,21,24]",[],"[21,24]","",[],"",[],0,"Hindering Flasks","Art/2DArt/UIImages/InGame/Ultimatum/Icons/HinderingFlasks",27491,[],0,"",[9],1,0,"Using a Flask Hinders you by 50% for 4 seconds",[],"",[7842],11358
49,"PlayerDebuffCancelFlaskEffectOnFlaskUse","[8,21]",[],[21],"",[],"",[],0,"Limited Flasks","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LimitedFlasks",15668,[],0,"",[10],1,0,"Using a Flask removes any existing Flask effects",[],"",[7843],11373
50,"PlayerDebuffCursesandNonDamagingAilmentsReflectedToSelf","[8,25]",[],[25],"",[],"",[],0,"Ailment and Curse Reflection","Art/2DArt/UIImages/InGame/Ultimatum/Icons/CurseAilmentReflection",11872,[],0,"",[11],1,0,"Curses and Non-damaging Ailments you apply are Reflected",[],"",[7844],11358
51,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCostLow","[8,25]",[],[25],"",[],"",[],0,"Lightning Damage from Mana Costs","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LightningDamageFromMana",28778,[],0,"",[44],1,0,"Take 50% of Mana costs as Lightning Damage",[],"",[7845],11364
52,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCostMid","[8,25]",[],[],"",[],"",[],0,"Lightning Damage from Mana Costs","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LightningDamageFromMana",2238,[],0,"",[45],1,0,"Take 200% of Mana costs as Lightning Damage",[],"",[7845],11364
53,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCostHigh","[8,25]",[],[],"",[],"",[],0,"Lightning Damage from Mana Costs","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LightningDamageFromMana",58901,[],0,"",[12],1,0,"Take 1000% of Mana costs as Lightning Damage",[],"",[7845],11364
54,"PlayerDebuffRandomProjectileDirection","[8,20,25]",[5806],"[20,25]","",[],"",[],0,"Random Projectiles","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ScatteredProjectiles",46286,[],0,"",[13],1,0,"Your Projectiles fly in random directions\r\nMonsters fire additional Projectiles",[],"",[7846],11382
55,"PlayerDebuffAurasAffectAllies","[8,24]",[],[24],"",[],"",[],0,"Treacherous Auras","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SharedAuras",12730,[],0,"",[15],1,0,"Your Auras that affect Allies also affect Enemies",[],"",[7847],11385
56,"PlayerDebuffUltimatumDealNoDamageFor2SecondEvery8Seconds","[8,25]",[],[25],"",[],"",[],0,"Occasional Impotence","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OccasionalImpotence",65051,[],0,"",[39],1,0,"You and your Minions deal no damage for 2 seconds every 8 seconds",[],"",[7848],11208
57,"PlayerDebuffUltimatumLoseChargesEverySecond","[8,25]","[4635,4636,4637]",[25],"",[],"",[],0,"Siphoned Charges","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SiphonedCharges",21966,[],0,"",[40],1,0,"Lose a Power, Frenzy, and Endurance Charge every second\r\nMonsters gain Power, Frenzy, and Endurance Charges on hit",[],"",[7849],11160
58,"GolemCrawlerSpawner",[3],[],[],"",[],"",[],0,"","",51637,[],0,"",[],1,0,"","[""Metadata/Monsters/LeagueUltimatum/Spawners/CrawlerSpawner""]","",[],""
59,"UltimatumWave2MonsterDamageLife",[23],"[24360,24368]",[],"",[],"",[],0,"","",43137,[],0,"",[],1,0,"",[],"",[],""
60,"UltimatumWave3MonsterDamageLife",[23],"[24361,24369]",[],"",[],"",[],0,"","",44962,[],0,"",[],1,0,"",[],"",[],""
61,"UltimatumWave4MonsterDamageLife",[23],"[24362,24370]",[],"",[],"",[],0,"","",28996,[],0,"",[],1,0,"",[],"",[],""
62,"UltimatumWave5MonsterDamageLife",[23],"[24363,24371]",[],"",[],"",[],0,"","",58387,[],0,"",[],1,0,"",[],"",[],""
63,"UltimatumWave6MonsterDamageLife",[23],"[24364,24372]",[],"",[],"",[],0,"","",12736,[],0,"",[],1,0,"",[],"",[],""
64,"UltimatumWave7MonsterDamageLife",[23],"[24365,24373]",[],"",[],"",[],0,"","",44166,[],0,"",[],1,0,"",[],"",[],""
65,"UltimatumWave8MonsterDamageLife",[23],"[24366,24374]",[],"",[],"",[],0,"","",9131,[],0,"",[],1,0,"",[],"",[],""
66,"UltimatumWave9MonsterDamageLife",[23],"[24367,24375]",[],"",[],"",[],0,"","",61542,[],0,"",[],1,0,"",[],"",[],""
67,"SpookySupplementSpawner",[3],[],[],"",[],"",[],0,"","",36127,[],0,"",[],1,0,"","[""Metadata/Monsters/LeagueUltimatum/Spawners/SpookySupplement""]","",[],""
