"rownum","Id","bool","IsLocal","IsWeaponLocal","Semantics","bool","Text","bool","IsVirtual","MainHandAlias_StatsKey","OffHandAlias_StatsKey","bool","HASH32","BelongsActiveSkillsKey","Category","bool","bool","IsScalable","ContextFlags"
18,"local_extra_max_charges","",1,"",3,"","Local Extra Charges","","","","","",-383728497,[],"","","",1,[]
19,"shield_block_%",1,"","",1,"","Shield Block Chance","","","","",1,-1873459806,[],11,"","",1,[]
20,"old_do_not_use_spell_block_%_from_assumed_block_value","","","",1,"","","","","","","",1484398156,[],"","","",1,[]
21,"block_while_dual_wielding_%","","","",1,"","Blocking while Dual Wielding","","","","","",298807534,[],11,"","",1,[]
22,"block_recovery_+%",1,"","",1,"","Block Recovery Increase","","","","",1,-1638902486,[],11,"","",1,[]
23,"shield_armour_+%",1,"","",1,"","Shield Armour","","","","","",1669549715,[],9,"","",1,[]
24,"damage_+%",1,"","",1,"","All Damage","","","","",1,-1168998803,[],1,"","",1,[]
25,"spell_damage_+%",1,"","",1,"","Spell Damage +%","","","","",1,78851980,[],1,"","",1,[]
26,"physical_damage_+%",1,"","",1,"","Physical Damage +%","","","","",1,-453783483,[],1,"","",1,[]
27,"local_physical_damage_+%","",1,1,1,"","Local Physical Damage +%","","",790,812,"",-1544785049,[],"","","",1,[]
28,"global_minimum_added_physical_damage","","","",3,"","Minimum Added Physical Damage","","","","",1,821215114,[],"","","",1,[]
29,"global_maximum_added_physical_damage","","","",3,"","Maximum Added Physical Damage","","","","","",1816224805,[],"","","",1,[]
30,"attack_minimum_added_physical_damage","","","",3,"","Minimum Added Physical Damage","","","","","",-1987301089,[],1,"","",1,[]
31,"attack_maximum_added_physical_damage","","","",3,"","Maximum Added Physical Damage","","","","","",1877497836,[],1,"","",1,[]
32,"local_minimum_added_physical_damage","",1,1,3,"","Local Minimum Added Physical Damage","","",791,813,"",1855777478,[],"","","",1,[]
33,"local_maximum_added_physical_damage","",1,1,3,"","Local Maximum Added Physical Damage","","",792,814,"",2141103287,[],"","","",1,[]
34,"physical_axe_damage_+%","","","",1,"","Axe Damage","","","","","",-1256660353,[],1,"","",1,[]
35,"physical_staff_damage_+%","","","",1,"","Staff Damage","","","","","",932143818,[],1,"","",1,[]
36,"physical_claw_damage_+%","","","",1,"","Claw Damage","","","","","",140443962,[],1,"","",1,[]
37,"physical_dagger_damage_+%","","","",1,"","Dagger Damage","","","","","",-689652613,[],1,"","",1,[]
38,"physical_mace_damage_+%","","","",1,"","Mace Damage","","","","","",1862394874,[],1,"","",1,[]
39,"physical_bow_damage_+%","","","",1,"","Bow Damage","","","","","",204052327,[],1,"","",1,[]
40,"physical_sword_damage_+%","","","",1,"","Sword Damage","","","","","",2133884384,[],1,"","",1,[]
41,"physical_wand_damage_+%","","","",1,"","Wand Damage","","","","","",1844590324,[],1,"","",1,[]
42,"fire_damage_+%",1,"","",1,"","Fire Damage +%","","","","",1,191057191,[],1,"","",1,[]
43,"global_minimum_added_fire_damage","","","",3,"","Minimum Added Fire Damage","","","","","",2034740550,[],"","","",1,[]
44,"global_maximum_added_fire_damage","","","",3,"","Maximum Added Fire Damage","","","","","",-902547218,[],"","","",1,[]
45,"attack_minimum_added_fire_damage",1,"","",3,"","Attack Minimum Added Fire Damage","","","","",1,-1181478971,[],"","","",1,[]
46,"attack_maximum_added_fire_damage",1,"","",3,"","Attack Maximum Added Fire Damage","","","","",1,501099642,[],"","","",1,[]
47,"local_minimum_added_fire_damage","",1,1,3,"","Local Minimum Added Fire Damage","","",793,815,"",318629524,[],"","","",1,[]
48,"local_maximum_added_fire_damage","",1,1,3,"","Local Maximum Added Fire Damage","","",794,816,"",928714545,[],"","","",1,[]
49,"cold_damage_+%",1,"","",1,"","Cold Damage +%","","","","",1,78179886,[],1,"","",1,[]
50,"global_minimum_added_cold_damage","","","",3,"","Minimum Added Cold Damage","","","","",1,-619139700,[],"","","",1,[]
51,"global_maximum_added_cold_damage","","","",3,"","Maximum Added Cold Damage","","","","",1,-271567038,[],"","","",1,[]
52,"attack_minimum_added_cold_damage",1,"","",3,"","Attack Minimum Added Cold Damage","","","","",1,171791935,[],"","","",1,[]
53,"attack_maximum_added_cold_damage",1,"","",3,"","Attack Maximum Added Cold Damage","","","","",1,-939811086,[],"","","",1,[]
54,"local_minimum_added_cold_damage","",1,1,3,"","Local Minimum Added Cold Damage","","",795,817,"",-255408318,[],"","","",1,[]
55,"local_maximum_added_cold_damage","",1,1,3,"","Local Maximum Added Cold Damage","","",796,818,"",472353268,[],"","","",1,[]
56,"lightning_damage_+%",1,"","",1,"","Lightning Damage +%","","","","",1,-1639944867,[],1,"","",1,[]
57,"global_minimum_added_lightning_damage","","","",3,"","Minimum Added Lightning Damage","","","","",1,-1577166020,[],"","","",1,[]
58,"global_maximum_added_lightning_damage","","","",3,"","Maximum Added Lightning Damage","","","","",1,-1369359538,[],"","","",1,[]
59,"attack_minimum_added_lightning_damage",1,"","",3,"","Attack Minimum Added Lightning Damage","","","","",1,365867665,[],"","","",1,[]
60,"attack_maximum_added_lightning_damage",1,"","",3,"","Attack Maximum Added Lightning Damage","","","","",1,513324754,[],"","","",1,[]
61,"local_minimum_added_lightning_damage","",1,1,3,"","Local Minimum Added Lightning Damage","","",797,819,"",-1727629303,[],"","","",1,[]
62,"local_maximum_added_lightning_damage","",1,1,3,"","Local Maximum Added Lightning Damage","","",798,820,"",2119574765,[],"","","",1,[]
63,"chaos_damage_+%",1,"","",1,"","Chaos Damage +%","","","","",1,-1059988617,[],1,"","",1,[]
64,"global_minimum_added_chaos_damage","","","",3,"","Minimum Added Chaos Damage","","","","",1,2045769627,[],"","","",1,[]
65,"global_maximum_added_chaos_damage","","","",3,"","Maximum Added Chaos Damage","","","","",1,237208908,[],"","","",1,[]
66,"attack_minimum_added_chaos_damage",1,"","",3,"","Minimum Added Chaos Damage","","","","",1,-1824954379,[],"","","",1,[]
67,"attack_maximum_added_chaos_damage",1,"","",3,"","Maximum Added Chaos Damage","","","","",1,813475924,[],"","","",1,[]
68,"local_minimum_added_chaos_damage","",1,1,3,"","Local Minimum Added Chaos Damage","","",799,821,"",-1616765083,[],"","","",1,[]
69,"local_maximum_added_chaos_damage","",1,1,3,"","Local Maximum Added Chaos Damage","","",800,822,"",1788772063,[],"","","",1,[]
70,"attack_speed_+%",1,"","",1,"","Attack Speed +%","","","","",1,1067510423,[],3,"","",1,[]
71,"local_attack_speed_+%","",1,1,1,"","Local Attack Speed +%","","",801,823,"",-475973045,[],"","","",1,[]
72,"melee_attack_speed_+%","","","",1,"","Melee Attack Speed","","","","","",392499720,[],3,"","",1,[]
73,"attack_speed_while_dual_wielding_+%","","","",1,"","Attack Speed while Dual Wielding","","","","","",-355434507,[],3,"","",1,[]
74,"axe_attack_speed_+%","","","",1,"","Attack Speed with Axes","","","","","",-179890266,[],3,"","",1,[]
75,"staff_attack_speed_+%","","","",1,"","Attack Speed with Staves","","","","","",-519117186,[],3,"","",1,[]
76,"claw_attack_speed_+%","","","",1,"","Attack Speed with Claws","","","","","",10516126,[],3,"","",1,[]
77,"dagger_attack_speed_+%","","","",1,"","Attack Speed with Daggers","","","","","",-56067023,[],3,"","",1,[]
78,"mace_attack_speed_+%","","","",1,"","Attack Speed with Maces","","","","","",1792355518,[],3,"","",1,[]
79,"bow_attack_speed_+%","","","",1,"","Attack Speed with Bows","","","","","",910131726,[],3,"","",1,[]
80,"sword_attack_speed_+%","","","",1,"","Attack Speed with Swords","","","","","",1781295952,[],3,"","",1,[]
81,"wand_attack_speed_+%","","","",1,"","Attack Speed with Wands","","","","","",-1558902215,[],3,"","",1,[]
82,"shield_attack_speed_+%","","","",1,"","Attack Speed with Shields","","","","","",1314749611,[],"","","",1,[]
83,"accuracy_rating","","","",3,"","Accuracy Rating","","","","",1,552754587,[],5,"","",1,[]
84,"accuracy_rating_+%",1,"","",1,"","Accuracy Rating +%","","","","",1,-253919695,[],5,"","",1,[]
85,"accuracy_rating_while_dual_wielding_+%","","","",1,"","Accuracy Rating while Dual Wielding +%","","","","","",1669799203,[],5,"","",1,[]
86,"axe_accuracy_rating_+%","","","",1,"","Accuracy Rating with Axes","","","","","",-2030619774,[],5,"","",1,[]
87,"staff_accuracy_rating_+%","","","",1,"","Accuracy Rating with Staves","","","","","",1527831504,[],5,"","",1,[]
88,"claw_accuracy_rating_+%","","","",1,"","Accuracy Rating with Claws","","","","","",-258291915,[],5,"","",1,[]
89,"dagger_accuracy_rating_+%","","","",1,"","Accuracy Rating with Daggers","","","","","",176779968,[],5,"","",1,[]
90,"mace_accuracy_rating_+%","","","",1,"","Accuracy Rating with Maces","","","","","",1593823747,[],5,"","",1,[]
91,"bow_accuracy_rating_+%","","","",1,"","Accuracy Rating with Bows","","","","","",-224481941,[],5,"","",1,[]
92,"sword_accuracy_rating_+%","","","",1,"","Accuracy Rating with Swords","","","","","",814552329,[],5,"","",1,[]
93,"wand_accuracy_rating_+%","","","",1,"","Accuracy Rating with Wands","","","","","",362619878,[],5,"","",1,[]
94,"poison_on_critical_strike_with_dagger","","","",4,"","Poisons on Critical Strike with Dagger","","","","","",-2101553279,[],"","","","",[]
95,"base_critical_strike_multiplier_+",1,"","",3,"","Base Critical Strike Multiplier +%","","","","",1,-1317475609,[],4,"","",1,[]
96,"critical_strike_multiplier_with_dagger_+","","","",3,"","Critical Strike Multiplier","","","","","",1100330652,[],4,"","",1,[]
97,"base_self_critical_strike_multiplier_-%",1,"","",3,"","Critical Strike Multiplier","","","","",1,-805995854,[],4,"","",1,[]
98,"self_critical_strike_multiplier_-%_per_endurance_charge",1,"","",3,"","Enemy Critical Strike Damage Multiplier reduction per Endurance Charge","","","","",1,921275512,[],"","","",1,[]
99,"old_do_not_use_local_life_leech_from_physical_damage_%","",1,1,1,"","","","",802,824,"",1356529756,[],"","","",1,[]
100,"old_do_not_use_local_mana_leech_from_physical_damage_%","",1,1,1,"","","","",803,825,"",-1508612598,[],"","","",1,[]
101,"old_do_not_use_life_leech_from_physical_damage_%",1,"","",1,"","Life Leech From Physical Damage %","","","","",1,-658495328,[],"","","",1,[]
102,"old_do_not_use_mana_leech_from_physical_damage_%","","","",1,"","Mana Leech From Physical Damage %","","","","","",-1511982752,[],"","","",1,[]
103,"old_do_not_use_life_leech_from_physical_damage_with_claw_%",1,"","",1,"","","","","","","",-531704569,[],"","","",1,[]
104,"base_life_gained_on_enemy_death",1,"","",3,"","Base Life Gained On Enemy Death","","","","","",1419928513,[],18,"","",1,[]
105,"life_leech_from_any_damage_permyriad",1,"","",1,"","Life Leech from any Damage","","","","",1,1404752895,[],"","","",1,[]
106,"mana_leech_from_any_damage_permyriad",1,"","",1,"","Mana Leech from any Damage","","","","",1,1884462265,[],"","","",1,[]
107,"base_mana_gained_on_enemy_death",1,"","",3,"","Base Mana Gained On Enemy Death","","","","","",1022478200,[],18,"","",1,[]
108,"base_stun_threshold_reduction_+%",1,"","",1,"","Base Stun Threshold Reduction +%","","","","",1,-1258661407,[],6,"","",1,[]
109,"while_using_mace_stun_threshold_reduction_+%","","","",1,"","","","","","","",1181384114,[],6,"","",1,[]
110,"global_knockback",1,"","",4,"","Knockback","","","","",1,-2022599767,[],"","","","",[]
111,"knockback_with_bow","","","",4,"","Knockback with Bows","","","","","",-2117692951,[],"","","","",[]
112,"knockback_with_staff","","","",4,"","Knockback with Staves","","","","","",-238813423,[],"","","","",[]
113,"knockback_with_wand","","","",4,"","Knockback with Wands","","","","","",1429571840,[],"","","","",[]
114,"local_knockback","",1,1,4,"","Knockback","","",804,826,"",-357369588,[],"","","","",[]
115,"maximum_physical_damage_reduction_%",1,"","",1,"","","","","","","",-1587306982,[],"","","",1,[]
116,"base_physical_damage_reduction_rating",1,"","",3,"","Base Physical Damage Reduction Rating","","","","",1,1686922486,[],9,"","",1,[]
117,"physical_damage_reduction_rating_+%",1,"","",1,"","Physical Damage Reduction Rating +%","","","","",1,-1026676306,[],9,"","",1,[]
118,"local_physical_damage_reduction_rating_+%",1,1,"",1,"","Local Physical Damage Reduction Rating +%","","","","","",-1603633950,[],"","","",1,[]
119,"base_evasion_rating",1,"","",3,"","Base Evasion Rating","","","","",1,1457140832,[],9,"","",1,[]
120,"evasion_rating_+%",1,"","",1,"","Global Evasion Rating +%","","","","","",-413400759,[],9,"","",1,[]
121,"local_evasion_rating_+%",1,1,"",1,"","Local Evasion Rating +%","","","","","",-1035225865,[],"","","",1,[]
122,"evasion_rating_+%_per_frenzy_charge",1,"","",1,"","Evasion Rating increase per Frenzy Charge","","","","",1,222133344,[],9,"","",1,[]
123,"base_maximum_life","","","",3,"","Base Maximum Life","","","","","",-412812923,[],7,"","",1,[]
124,"maximum_life_+%",1,"","",1,"","Maximum Life +%","","","","","",-1447371539,[],7,"","",1,[]
125,"base_life_regeneration_rate_per_minute",1,"","",3,"","Life Regeneration Rate per Minute","","","","",1,-82636098,[],7,"","",1,[]
126,"life_regeneration_rate_per_minute_%_per_endurance_charge",1,"","",3,"","Life Regeneration Rate per Endurance Charge","","","","",1,724137496,[],7,"","",1,[]
127,"base_maximum_mana","","","",3,"","Base Maximum Mana","","","","","",33179562,[],8,"","",1,[]
128,"maximum_mana_+%","","","",1,"","Maximum Mana +%","","","","","",-2079668835,[],8,"","",1,[]
129,"mana_regeneration_rate_per_minute_%","","","",1,"","Mana Regeneration Rate per Minute","","","","","",2009634733,[],8,"","",1,[]
130,"mana_regeneration_rate_+%","","","",1,"","Mana Regeneration Rate +%","","","","","",915714296,[],8,"","",1,[]
131,"base_mana_regeneration_rate_per_minute",1,"","",3,"","Mana Regeneration Rate per Minute","","","","",1,2136732448,[],8,"","",1,[]
132,"mana_regeneration_rate_per_minute_%_per_power_charge",1,"","",1,"","Mana Regeneration Rate per Power Charge","","","","",1,9809668,[],"","","",1,[]
133,"base_maximum_energy_shield",1,"","",3,"","Base Maximum Energy Shield","","","","",1,168289692,[],9,"","",1,[]
134,"maximum_energy_shield_+%",1,"","",1,"","Global Maximum Energy Shield +%","","","","","",-1070560918,[],9,"","",1,[]
135,"local_energy_shield",1,1,"",3,"","Local Energy Shield","","","","","",-1349965577,[],"","","",1,[]
136,"local_energy_shield_+%",1,1,"",1,"","Local Energy Shield +%","","","","","",-1850804368,[],"","","",1,[]
137,"energy_shield_recharge_rate_per_minute_%","","","",1,"","","","","","","",2065299120,[],9,"","",1,[]
138,"energy_shield_recharge_rate_+%",1,"","",1,"","","","","","",1,1767848875,[],9,"","",1,[]
139,"energy_shield_delay_-%","","","",1,"","Energy Shield Delay Recovery Increase",1,"","","",1,-1660464583,[],9,"","",1,[]
140,"cannot_be_damaged",1,"","",4,"","Cannot be Damaged",1,"","","",1,1015988110,[],"","","","",[]
141,"base_resist_all_elements_%",1,"","",1,"","Resist all Elements","","","","",1,-1468713837,[],10,"","",1,[]
142,"resist_all_elements_%_per_endurance_charge",1,"","",1,"","Additional Elemental Resistance per Endurance Charge","","","","",1,282544527,[],"","","",1,[]
143,"maximum_fire_damage_resistance_%",1,"","",5,"","","",1,"","",1,-2026582005,[],"","","",1,[0]
144,"base_fire_damage_resistance_%",1,"","",1,"","Base Fire Damage Resistance %","","","","",1,2039518076,[],10,"","",1,[]
145,"maximum_cold_damage_resistance_%",1,"","",5,"","","",1,"","",1,-1821887250,[],"","","",1,[0]
146,"base_cold_damage_resistance_%",1,"","",1,"","Base Cold Damage Resistance %","","","","",1,1746311514,[],10,"","",1,[]
147,"maximum_lightning_damage_resistance_%",1,"","",5,"","","",1,"","",1,1048775403,[],"","","",1,[0]
148,"base_lightning_damage_resistance_%",1,"","",1,"","Base Lightning Damage Resistance %","","","","",1,1417405558,[],10,"","",1,[]
149,"maximum_chaos_damage_resistance_%",1,"","",5,"","","",1,"","","",1091960713,[],"","","",1,[0]
150,"base_chaos_damage_resistance_%",1,"","",1,"","Base Chaos Damage Resistance %","","","","",1,1674290768,[],10,"","",1,[]
151,"base_item_found_quantity_+%","","","",1,"","Increased Item Quantity %","","","","","",1682723695,[],"","","",1,[]
152,"chest_item_quantity_+%",1,"","",1,"","","","","","","",-509838990,[],"","","",1,[]
153,"base_item_found_rarity_+%","","","",1,"","Base Item Found Rarity +%","","","","","",812113821,[],18,"","",1,[]
154,"chest_item_rarity_+%",1,"","",1,"","","","","","","",1234110117,[],"","","",1,[]
155,"item_found_quality_+%",1,"","",1,"","","","","","","",-335246044,[],"","","",1,[]
156,"item_found_relevancy_+%",1,"","",1,"","","","","","","",987729910,[],"","","",1,[]
157,"experience_gain_+%",1,"","",1,"","Experience Gain increase","","","","",1,-713730371,[],18,"","",1,[]
158,"experience_loss_on_death_-%",1,"","",1,"","Experience Loss on Death","","","","","",-1657161374,[],"","","",1,[]
159,"minion_maximum_life_+%",1,"","",1,"","Minion Life Increase","","","","",1,-1990946027,[],12,"","",1,[]
160,"base_spectre_maximum_life_+%","","","",1,"","Spectre Life Increase","","","","","",317122428,[],"","","",1,[]
161,"base_zombie_maximum_life_+%","","","",1,"","Zombie Life Increase","","","","","",-695246821,[],"","","",1,[]
162,"base_fire_elemental_maximum_life_+%","","","",1,"","Fire Elemental Life Increase","","","","","",917421567,[],"","","",1,[]
163,"base_raven_maximum_life_+%","","","",1,"","Raven Life Increase","","","","","",1146914457,[],"","","",1,[]
164,"base_number_of_spectres_allowed","","","",2,"","Spectre Quantity","","","","","",-2103232596,[],12,"","",1,[]
165,"base_number_of_zombies_allowed","","","",2,"","Zombie Quantity","","","","","",-1247798718,[],12,"","",1,[]
166,"totem_life_+%",1,"","",1,"","Totem Life increase","","","","",1,1320174630,[],13,"","",1,[]
167,"totem_range_+%",1,"","",1,"","Totem Range increase","","","","",1,-1584494303,[],"","","",1,[]
168,"buff_duration_+%",1,"","",1,"","Buff Duration Increase","","","","",1,-1601108139,[],"","","",1,[]
169,"buff_affects_party",1,"","",4,"","Buff Affects Party","","","","","",261439218,[],"","","","",[]
170,"buff_party_effect_radius_+%",1,"","",1,"","Buff Affects Party Radius","","","","","",-112215984,[],"","","",1,[]
171,"do_not_chain",1,"","",4,"","Projectiles do not Chain","","","","","",757681231,[],"","","","",[]
172,"number_of_chains",1,"","",3,"","Additional Chains",1,"","","",1,860057348,[],18,"","",1,[]
173,"number_of_additional_projectiles",1,"","",3,"","Additional Projectiles",1,"","","",1,-1876694605,[],6,"","",1,[]
174,"base_number_of_additional_arrows","","","",3,"","Additional Arrows","","","","","",-1552084208,[],"","","",1,[]
175,"base_projectile_speed_+%","","","",1,"","Base Projectile Speed +%","","","","",1,-1247267744,[],6,"","",1,[]
176,"base_arrow_speed_+%","","","",1,"","Arrow speed increase","","","","",1,719481108,[],6,"","",1,[]
177,"base_movement_velocity_+%",1,"","",1,"","Base Movement Velocity +%","","","","",1,-449644146,[],18,"","",1,[]
178,"movement_velocity_+%_per_frenzy_charge",1,"","",1,"","Movement Speed increase per Frenzy Charge","","","","",1,1389368142,[],18,"","",1,[]
179,"max_endurance_charges","","","",2,"","Maximum Endurance Charges","","","","",1,-1413492862,[],16,"","",1,[]
180,"max_frenzy_charges","","","",2,"","Maximum Frenzy Charges","","","","",1,-676115558,[],16,"","",1,[]
181,"max_power_charges","","","",2,"","Maximum Power Charges","","","","",1,84542420,[],16,"","",1,[]
182,"add_endurance_charge_on_critical_strike",1,"","",4,"","Add Endurance Charge on Critical Strike","","","","","",62683932,[],"","","","",[]
183,"add_frenzy_charge_on_critical_strike",1,"","",4,"","","","","","","",211294352,[],"","","","",[]
184,"add_power_charge_on_critical_strike",1,"","",4,"","","","","","","",1279355034,[],"","","","",[]
185,"add_endurance_charge_on_skill_hit_%",1,"","",1,"","","","","","",1,-326764135,[],"","","",1,[]
186,"add_frenzy_charge_on_skill_hit_%",1,"","",1,"","","","","","",1,-803273743,[],16,"","",1,[]
187,"add_power_charge_on_skill_hit_%",1,"","",1,"","","","","","","",1641523098,[],"","","",1,[]
188,"add_endurance_charge_on_enemy_critical_strike",1,"","",4,"","","","","","","",-292376177,[],"","","","",[]
189,"add_endurance_charge_on_status_ailment",1,"","",4,"","","","","","","",-1283605356,[],"","","","",[]
190,"base_avoid_chill_%","","","",1,"","Chill Avoidance","","","","","",-808665548,[],11,"","",1,[]
191,"base_avoid_freeze_%","","","",1,"","Freeze Avoidance","","","","",1,141091880,[],11,"","",1,[]
192,"base_avoid_ignite_%","","","",1,"","Ignite Avoidance","","","","",1,874270813,[],11,"","",1,[]
193,"base_avoid_shock_%","","","",1,"","Shock Avoidance","","","","",1,-1092858676,[],11,"","",1,[]
194,"avoid_stun_%",1,"","",1,"","Stun Avoidance","",1,"","",1,1831785693,[],"","","",1,[0]
195,"always_ignite",1,"","",4,"","Always Ignite Targets","","","","","",1700101235,[],"","","","",[]
196,"always_shock",1,"","",4,"","Always Shock Targets","","","","","",601204277,[],"","","","",[]
197,"always_stun",1,"","",4,"","Always Stun Targets","","","","",1,-391711414,[],"","","","",[]
198,"always_freeze",1,"","",4,"","Always Freeze Targets","","","","",1,128701435,[],"","","","",[]
199,"chill_duration_+%","","","",1,"","Chill Duration Increase","","","","",1,21460690,[],2,"","",1,[]
200,"shock_duration_+%","","","",1,"","Shock Duration Increase","","","","",1,-1227052219,[],2,"","",1,[]
201,"freeze_duration_+%","","","",1,"","Freeze Duration Increase","","","","",1,-1350547084,[],2,"","",1,[]
202,"ignite_duration_+%","","","",1,"","Ignite Duration Increase","","","","",1,1688317111,[],2,"","",1,[]
203,"stun_duration_+%",1,"","",1,"","Stun Duration Increase","",1,"","",1,-1411890284,[],"","","",1,[18]
204,"base_self_chill_duration_-%",1,"","",1,"","","","","","","",1631867717,[],"","","",1,[]
205,"base_self_shock_duration_-%",1,"","",1,"","","","","","",1,150347000,[],"","","",1,[]
206,"base_self_freeze_duration_-%",1,"","",1,"","","","","","",1,-2015042282,[],2,"","",1,[]
207,"base_self_ignite_duration_-%",1,"","",1,"","","","","","",1,-910039483,[],2,"","",1,[]
208,"chance_per_second_of_fire_spreading_between_enemies_%",1,"","",1,"","","","","","","",1878136481,[],"","","",1,[]
209,"burn_damage_+%",1,"","",1,"","Burning Damage Increase","","","","",1,-1997310462,[],1,"","",1,[]
210,"active_skill_level_+",1,"","",3,"","Active Skill Level","","","","","",1316576757,[],"",1,"",1,[]
211,"gem_experience_gain_+%",1,"","",1,"","Gem Experience Gain",1,"","","",1,-433741010,[],"","","",1,[]
212,"skill_area_of_effect_+%",1,"","",1,"","Skill Area of Effect Radius Increase",1,1,"","",1,425804088,[],"","","",1,[31]
213,"base_mana_cost_-%","","","",1,"","Mana Cost Reduction","","","","",1,1289380842,[],8,1,"",1,[]
214,"skill_repeat_count",1,"","",3,"","Skill Repeat Count",1,"","","",1,470395884,[],"",1,"",1,[]
215,"skill_effect_duration_+%",1,"","",1,"","Skill Duration",1,"","","",1,183850661,[],18,"","",1,[]
216,"base_cast_speed_+%",1,"","",1,"","Cast Speed +%","","","","",1,-1571913637,[],3,"","",1,[]
217,"cast_speed_+%_per_power_charge",1,"","",1,"","Cast Speed increase per Power Charge","","","","",1,-115527685,[],"","","",1,[]
218,"skill_cooldown_-%",1,"","",1,"","Skill Cooldown Reduction","","","","","",1421329127,[],"","","",1,[]
219,"avoid_interruption_while_casting_%","","","",1,"","","","","","","",1693823433,[],18,"","",1,[]
220,"base_attack_repeat_count","","","",3,"","Additional Targets","","","","","",200207583,[],"","","",1,[]
221,"base_stun_recovery_+%",1,"","",1,"","Base Stun Recovery +%","","","","",1,1296349074,[],11,"","",1,[]
222,"stun_recovery_+%_per_frenzy_charge",1,"","",1,"","Stun Recovery increase per Frenzy Charge","","","","",1,-1772884047,[],"","","",1,[]
223,"while_using_sword_reduce_enemy_block_%","","","",1,"","","","","","","",-304125896,[],6,"","",1,[]
224,"prevent_monster_heal",1,"","",4,"","Prevent Monster Heal","","","","","",607476185,[],"","","","",[]
225,"prevent_monster_heal_duration_+%",1,"","",1,"","Prevent Monster Heal Duration","","","","","",-1204438960,[],"","","",1,[]
226,"chest_trap_defuse_%",1,"","",1,"","","","","","","",47428942,[],"","","",1,[]
227,"enemies_chill_as_unfrozen",1,"","",4,"","","","","","","",773106185,[],2,"","","",[]
228,"shocks_enemies_that_hit_actor_while_actor_is_casting","","","",4,"","","","","","","",357082255,[],"","","","",[]
229,"local_is_max_quality",1,1,"",4,"","","","","","","",-1531264119,[],"","","","",[]
230,"local_disable_gem_experience_gain",1,1,"",4,"","","","","","","",-2128634386,[],"","","","",[]
231,"local_gem_experience_gain_+%",1,1,"",1,"","","","","","","",1116356588,[],"","","",1,[]
232,"local_extra_socket",1,1,"",4,"","","","","","","",1670712245,[],"","","","",[]
233,"local_level_requirement_-",1,1,"",3,"","","","","","","",-326303339,[],"","","",1,[]
234,"local_attribute_requirements_+%",1,1,"",1,"","Local Attribute Requirements +%","","","","","",-2049182743,[],"","","",1,[]
235,"local_all_sockets_are_white",1,1,"",4,"","","","","","","",-1657225818,[],"","","","",[]
236,"local_quantity_of_sockets_+%",1,1,"",1,"","","","","","","",-1336915422,[],"","","",1,[]
237,"local_connectivity_of_sockets_+%",1,1,"",1,"","","","","","","",215824079,[],"","","",1,[]
238,"local_gem_level_+",1,1,"",3,"","","","","","","",410299292,[],"","","",1,[]
239,"combined_base_block_%","","","",1,"","Block Chance","",1,"","","",-1550187436,[],"","","",1,[0]
240,"physical_damage_reduction_rating",1,"","",1,"","Armour","",1,"","",1,1340387908,[],"","","",1,[0]
